title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Marketing to Moviegoers,['Robert Marich'],2005,['Business & Economics'],"The author goes right to the source and provides data, quotes, and insights from high profile industry professionals and information on market research that the major studios don't want the moviegoing public to know. This book provides practical data, such as templates for advertising campaigns of different sizes, solutions, and an insight into the complicated movie marketing process. Armed with the strategies that Hollywood professionals would prefer not to share, film professionals and marketing professionals alike will have a leg up in this complicated business.",N/A,N/A,en
Hollywood Speaks,['John S. Schuchman'],1988,['Business & Economics'],"Once described as the invisible handicap, deafness remains a mystery to most Americans. From the silent film era to 1986, when deaf actress Marlee Matlin won an Oscar for her performance in Children of a Lesser God, Hollywood has reinforced stereotypical views of deafness and deaf people in nearly two hundred movies and television episodes--front flap.",5,N/A,en
A Heart at Fire's Center,['Steven C. Smith'],2002-05-31,['Biography & Autobiography'],"""An exceptional work. I stand in awe of anyone who can piece together the puzzle of a man's life so fully, especially a man as odd and contradictory as Herrmann. A brilliant job.""—Leonard Maltin ""Bernard Herrmann was a master of psychology. His incredibly innovative music ‘inhabited’ the film it was in, creating moods that stayed with the audience long after the film was over. Steven Smith captures the very heart of what Herrmann represented. I highly recommend this book to anyone who truly wants a glimpse into the world of this musical giant who changed the very nature of film composing.""—Esa-Pekka Salonen, music director, Los Angeles Philharmonic ""Fascinating. The scholarship is impeccable, the judgments sound, and the whole thing as compulsively readable as eating popcorn.""—Nicholas Meyer, director and writer",N/A,N/A,en
Disney,"['Dave Smith', 'Steven Clark']",1999,['Biography & Autobiography'],"Brimming with full-colour art, this comprehensive year-by-year celebration of the birth, development, and success of Walt Disney and The Walt Disney Company offers a guided tour through twentieth century popular culture. Beginning in 1901 with the birth of Walt, the book details the creation of Mickey, Donald and the rest of the gang and the development of the first animated features. Also covered are the live-action feature films, the TV programmes, theme parks, books, retail stores and internet websites - in fact everything that has made Disney a household name.",N/A,N/A,en
Hit and Run,"['Nancy Griffin', 'Kim Masters']",1997-06-17,['Biography & Autobiography'],"Tells the story of Sony Corporation's failed attempt to enter the Hollywood scene by hiring Jon Peters and Peter Gruber, whose involvement with successful films had been minimal at best, to run its newly acquired Columbia Pictures in 1989.",N/A,N/A,en
Spain,['Andrew Whittaker'],2008,['Foreign Language Study'],"* Provides a deeper, long-term understanding of the nation and its people * Designed to supplement the ""usual suspect"" guide books A guidebook can show you where to go, a phrasebook what to say when you get there. Only Speak the Culture: Spain will lead you to the nation's soul. Spain boasts a rich and sometimes misunderstood culture, itself infused with the influences of other great and distant civilizations. Spanish life, language and culture in its widest sense is a major force of growing influence. How many outside it understand its origins and significance? Through exploring the people, the movements and the lifestyles that have shaped the Spanish experience, you will come to an intimate understanding of Spain and the Spanish. There are many travel guides and manuals on living in Spain. Speak the Culture: Spain is different: a superbly designed, informed and entertaining insight into Spanish life and culture and who the Spanish really are. For new residents, business travelers, holidaymakers, students and lovers of Spain everywhere, Speak the Culture: Spain is an engaging companion and guide to an enviably rich civilization at the heart of Europe. Excerpt ""As you might expect Spain's traditional vernacular architecture isn't easily pigeonholed; regionalism generates marked variation. Available building materials and, more significantly, climate have always dictated how people build their houses or outbuildings. The Spaniards' approach to living arrangements is more easily summed up. They're nothing if not sociable; while northern Europeans anxiously section off their own plot of terra firma, in Spain they seem to enjoy living on top of each other, clustered in apartments and houses around the plaza mayor. It's not like they're short of space either--a population density of around 85 per sq km is one of the lowest in Europe.""",5,N/A,en
France,['Andrew Whittaker'],2008,['Foreign Language Study'],"A guidebook can show you where to go, a phrase-book what to say when you get there. Only Speak the Culture: France will lead you to the nation's soul. This easy-to-use cultural companion reflects what it means to have grown up with Camus, Cézanne, De Gaulle and Bardot; it captures the spirit of France and delves deep into the Gallic psyche. Through exploring the people, the movements and the lifestyles that have shaped the French experience, you will come to an intimate understanding of France and the French. There are many travel guides and manuals on living in France. Speak the Culture: France is different: a superbly designed, informed and entertaining insight into French life and culture and who the French really are. Recommended by the Institut français du Royaume-Uni, the Official French Government Centre of Language and Culture in the UK For new residents, business travellers, holidaymakers, students and lovers of France everywhere, Speak the Culture: France is an engaging companion and guide to an enviably rich civilization at the heart of Europe. Excerpt ""It would be wrong to imagine that your average Frenchwoman just pops into Chanel on the Rue du Faubourg-St-Honoré whenever she needs a new bag, cardy or fragrance. While a significant minority do indulge in ready-to-wear lines produced by designer labels, most are happy with less brand-conscious garments. Small boutiques and historic department stores like Le Bon Marché and Les Galeries Lafayette sell the big brands, but many French are happy to buy anonymous clothes at knockdown prices in chain stores like Tati, or even in the hypermarket.""",2,N/A,en
"Fade In, Crossroads",['Robert Jackson'],2017,['Art'],"Fade In, Crossroads is a history of the relations between black and white southerners and films from the silent era to midcentury. It illustrates how the rise and fall of the American film industry coincided with that of the South's most important modern product and export: Jim Crow segregation.",N/A,N/A,en
Media/impact,['Shirley Biagi'],1999,['Business & Economics'],"Providing a thorough overview of each major medium, this text's discussion is enhanced by three integrated themes: media as business, media and technological change, and media and political, social, and cultural institutions. It explores and concludes with critical arguments about the overall effects of media today as well as economic, social, cultural, and political consequences of the media on society.",N/A,N/A,en
Hong Kong Babylon,"['Fredric Dannen', 'Barry Long']",1997,['Motion picture actors and actresses'],"Over the past few years, Hong Kong movies have become more popular and studied by critics and film-goers alike. It is a cinema of incessant action, eye-popping effects and cartoon-like violence which has left its mark on the work of many young contemporary Western Film-makers. Conversely, Hong Kong film-makers like John Woo have crossed over and put their unique stamp on American films like Hard Target and Broken Arrow with John Travolta. In his book Fredric Dannen depicts the dark inner world of Hong Kong cinema: the brave and enigmatic actors who risk their lives performing dangerous stunts and explosive feats of martial arts; the movie producers, many of whom are involved with the criminal triad families and who will resort, literally, to murder to secure a deal or an actor for a film. Hong Kong Babylon is an indispensable guide to one of the most exciting national cinemas.",N/A,N/A,en
