title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Casino Capitalism,['Susan Strange'],1997-11-15,['Business & Economics'],"Reprint. Originally published: Oxford: Blackwell, 1986.",N/A,N/A,en
Handbook of Economic Growth,"['Philippe Aghion', 'Steven N. Durlauf']",2005-12-21,['Business & Economics'],"Featuring survey articles by leading economists working on growth theory, this two-volume set covers theories of economic growth, the empirics of economic growth, and growth policies and mechanisms. It also covers technology, trade and geography, and growth and socio-economic development.",N/A,N/A,en
Economic Capital and Financial Risk Management for Financial Services Firms and Conglomerates,"['B. Porteous', 'P. Tapadar']",2005-12-19,['Business & Economics'],"The authors present a comprehensive and timely discussion of economic capital and financial risk management for financial services firms and conglomerates. Topics covered include: the different types of risks that firms collect; risk governance issues; how stress testing can be used to measure risk; the provision of a clear and precise definition of economic capital; the different types of capital that are eligible to back regulatory capital, and; the development of models that can be used to estimate a firm's economic capital requirements. A unique feature of the book is that, for the first time, the economic capital requirements of financial services firms across the entire risk spectrum, from the short end to the long end, are considered in one book. The authors develop models to estimate the economic capital requirements of banks, asset management firms, life and non-life insurance firms, pension funds, and the financial services conglomerates that comprise these firms. Economic capital is compared to regulatory capital and regulatory capital arbitrage is discussed. The diversification benefit present in financial services conglomerates is quantified and the practical management of this diversification benefit is dealt with. The authors give new insights into capital management and performance measurement for financial services conglomerates and provide detailed descriptions of the main financial services firm regulatory capital changes that are ongoing at the time of writing. This superb and original book charts new ground in the practical application of economic capital for financial services firms and conglomerates. It is required reading for all capital allocation and risk professionals.",N/A,N/A,en
Corporate Finance,"['Pascal Quiry', 'Pierre Vernimmen']",2011-09-26,['Business & Economics'],Rev. ed. of: Corporate finance: theory and practice / Pierre Vernimmen. 2005.,N/A,N/A,en
The Science of Finance,['Gustav Cohn'],1895,['Economics'],N/A,N/A,N/A,en
The New Palgrave Dictionary of Money and Finance,"['John Eatwell', 'Murray Milgate', 'Peter Newman']",1992-10-14,['Business & Economics'],"The first reference work ever to be awarded the Eccles Prize for Excellence in Economic Writing from Columbia Business School. Continuing in the tradition of The New Palgrave , this 3-volume set provides an unparalleled guide to modern money, banking and finance. In over 1,000 substantial essays by leading academic and professional authorities, it provides the most comprehensive analysis available of contemporary theory and the fast-evolving global monetary and financial framework. In its scope and depth of coverage, it is indispensable for the academic and practitioner alike.",N/A,N/A,en
International Finance and Open-Economy Macroeconomics,['Giancarlo Gandolfo'],2002-06-01,['Business & Economics'],"""This book deals with the financial side of international economics and covers all aspects of international finance. There are many books and articles by exponents of alternative points of view. I know of no other book that provides the scope, balance, objectivity and rigor of the book."" (Professor Jerome L. Stein, Brown University) From the reviews: ""In this survey of international finance and open-economy macroeconomics, Gandolfo succeeds in meeting the needs of advanced undergraduate or lower-level graduate students through a largely textual and graphical approach, while at the same time presenting in the appendices explicit mathematical analyses for more advanced graduate students."" (Journal of Banking & Finance 2004)",N/A,N/A,en
Analytical Corporate Finance,['Angelo Corelli'],2023-09-29,['Business & Economics'],"This book draws readers’ attention to the financial aspects of daily life at a corporation by combining a robust mathematical setting and the explanation and derivation of the most popular models of the firm. Intended for third-year undergraduate students of business finance, quantitative finance, and financial mathematics, as well as first-year postgraduate students, it is based on the twin pillars of theory and analytics, which merge in a way that makes it easy for students to understand the exact meaning of the concepts and their representation and applicability in real-world contexts. Examples are given throughout the chapters in order to clarify the most intricate aspects; where needed, there are appendices at the end of chapters, offering additional mathematical insights into specific topics. Due to the recent growth in knowledge demand in the private sector, practitioners can also profit from the book as a bridge-builder between university and industry. Lastly, the book provides useful information for managers who want to deepen their understanding of risk management and come to recognize what may have been lacking in their own systems.",N/A,N/A,en
"Path Integrals in Quantum Mechanics, Statistics, Polymer Physics, and Financial Markets",['Hagen Kleinert'],2004,['Science'],"This is the third, significantly expanded edition of the comprehensive textbook published in 1990 on the theory and applications of path integrals. It is the first book to explicitly solve path integrals of a wide variety of nontrivial quantum-mechanical systems, in particular the hydrogen atom. The solutions have become possible by two major advances. The first is a new euclidean path integral formula which increases the restricted range of applicability of Feynman's famous formula to include singular attractive 1/r and 1/r2 potentials. The second is a simple quantum equivalence principle governing the transformation of euclidean path integrals to spaces with curvature and torsion, which leads to time-sliced path integrals that are manifestly invariant under coordinate transformations. In addition to the time-sliced definition, the author gives a perturbative definition of path integrals which makes them invariant under coordinate transformations. A consistent implementation of this property leads to an extension of the theory of generalized functions by defining uniquely integrals over products of distributions. The powerful Feynman -- Kleinert variational approach is explained and developed systematically into a variational perturbation theory which, in contrast to ordinary perturbation theory, produces convergent expansions. The convergence is uniform from weak to strong couplings, opening a way to precise approximate evaluations of analytically unsolvable path integrals. Tunneling processes are treated in detail. The results are used to determine the lifetime of supercurrents, the stability of metastable thermodynamic phases, and the large-order behavior of perturbationexpansions. A new variational treatment extends the range of validity of previous tunneling theories from large to small barriers. A corresponding extension of large-order perturbation theory also applies now to small orders. Special attention is devoted to path integrals with topological restrictions. These are relevant to the understanding of the statistical properties of elementary particles and the entanglement phenomena in polymer physics and biophysics. The Chem-Simons theory of particles with fractional statistics (anyohs) is introduced and applied to explain the fractional quantum Hall effect. The relevance of path integrals to financial markets is discussed, and improvements of the famous Black -- Scholes formula for option prices are given which account for the fact that large market fluctuations occur much more frequently than in the commonly used Gaussian distributions.",5,N/A,en
Finance and the Good Society,['Robert J. Shiller'],2013-04-21,['Business & Economics'],"Argues that finance should be defined not merely as the manipulation of money or the management of risk but as the stewardship of society's assets, and that new ways to rechannel financial creativity to benefit society as a whole are needed.",5,N/A,en
