title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Serious Training for Endurance Athletes,"['Rob Sleamaker', 'Ray Browning']",1996,['Health & Fitness'],"SERIOUS Training for Endurance Athletes provides the tools to create training programs and workouts that will pay off in competition. Endurance athletes, coaches, and multisport fitness buffs will learn how to design, schedule, execute, and monitor training programs for top results. Rob Sleamaker joins with Ray Browning, seven-time Ironman Triathlon winner, to produce a much improved version of the highly popular earlier edition. You'll learn to: - set up and manage your personalized training schedule; - use the S-E-R-I-O-U-S system of training--Speed, Endurance, Race-pace, Intervals, Overdistance, Up-hill Intervals, Strength; - add variety to your workouts; - develop a winning nutritional program; - prepare mentally for races; and - stay motivated to train and win. The authors share their expertise in a fun and informative way, drawing from their own experiences as champions. Plus, the book features the latest training advice for running, cycling, mountain biking, swimming, rowing, cross-country skiing, cross training, duathlons, and triathlons. SERIOUS Training for Endurance Athletes is your guide to high-level fitness and performance.",4.5,N/A,en
Advanced Personal Training,"['Paul Hough', 'Brad J. Schoenfeld']",2021-11-14,['Medical'],"Effective fitness instruction and training programme design require an exercise specialist trainer to combine professional experience with strategies underpinned by scientific evidence. This book allows readers to develop their understanding of the scientific rationale behind important components of personal training, such as monitoring fitness and training programme design. Each chapter synthesizes the findings of cutting-edge scientific research to identify optimum training methods and dispel some myths that are prevalent in the fitness industry. The chapters within this new edition have been written by internationally renowned experts from several disciplines, including strength and conditioning, physiology, psychology, and nutrition. Contributions have also been made from esteemed academics who have conducted some of the scientific studies discussed within the book. The authors have interpreted and summarised the scientific evidence and produced evidence-based recommendations, allowing readers to explore the latest concepts and research findings and apply them in practice. The book includes several new chapters, such as evidenced based practice (EBP), and designing training programmes female clients. This second edition remains the essential text for fitness instructors, personal trainers and sport and exercise students. The book provides an invaluable resource for fitness courses, exercise science degree programmes and continued professional development for exercise professionals.",N/A,N/A,en
Physical Activity and Health,[],N/A,['Fitness'],N/A,N/A,N/A,en
The Body in Motion,[],1988,['Health & Fitness'],"Discusses how your body moves, the mechanics of grace, and includes exercises that will not only make your everyday motions more graceful but will also improve your athletic performance by making your movements more accurate and confident, enhancing agility and coordination. Includes recipes for breakfast, lunch, dinner, desserts, snacks and beverages that combine foods that are naturally rich in potassium and low in sodium.",N/A,N/A,en
Group Fitness Instructor Manual,[],2000,['Exercise'],"A handbook for today's fitness instructor. Group fitness instructors may be expected to offer participants a wide range of activities, such as indoor cycling, yoga and strength training, as well as aerobics. The contributors to this book are experts in a variety of fields, including exercise physiology, psychology and the law. The manual offers the foundation of knowledge necessary to teach fitness in a group setting. Topics covered include: exercise physiology; fundamentals of anatomy and applied kinesiology; nutrition; health screening; designing a group exercise programme; teaching the class; adherence and motivation; disabilities and health limitations; exercise and pregnancy; injury prevention and emergency procedures; and legal and professional responsibilities.",N/A,N/A,en
Walking for Fitness,['Nina Barough'],2003,['Fitness'],"Explains how readers can obtain maximum fitness results at their own pace and in their own time, demonstrating how to use walking to tone the body, strengthen bones and muscles, lose weight, and enhance overall fitness and quality of life.",N/A,N/A,en
Lauren Conrad Beauty,['Lauren Conrad'],2012-10-16,['Health & Fitness'],"""A beauty guide with tips on hair, makeup and beauty in general by celebrity Lauren Conrad""--",N/A,N/A,en
Physical Activity and Health,"['Claude Bouchard', 'Steven N. Blair', 'William L. Haskell']",2012,['Exercise'],"The human body is designed for activity. For most of our history, physical activity was required for survival, but technological advances have eliminated much of the need for hard physical labor. As our activity levels have dropped, it has become clear that a physically inactive lifestyle can lead to a host of health problems. Physical Activity and Health, Second Edition, provides a comprehensive treatment of the research on the benefits of a physically active lifestyle in comparison with the harmful consequences of physical inactivity. Written by leading scientists from the United States, Canada, Europe, and Australia, Physical Activity and Health, Second Edition, brings together the results of the most important studies on the relationship between physical activity, sedentarism, and various health outcomes. The second edition has been fully updated based on the latest advances in this rapidly changing field and expanded to include the following new content: A chapter on the physiology of inactivity and the effects of sedentary behavior even in people who engage in appropriate amounts of physical activity, which is an area of growing interest; More extensive coverage of physical activity, aging, and the brain, including a new chapter on the relationship between physical activity and brain structures and functions; A chapter on the development of national and international physical activity and health guidelines, which will help readers better understand how scientific findings are converted into practical recommendations. Physical Activity and Health, Second Edition, offers a detailed yet concise presentation of key concepts as well as a framework to help readers relate results from single studies or collections of studies to the overall paradigm linking physical activity and physical fitness to health. For each of the topics covered, the text provides an overview of the most important research findings, discusses the limitations of the current knowledge base, and identifies directions for future investigation. At the core of the text is a review of our current understanding of how physical activity affects health concerns such as cardiovascular disease, diabetes, cancer, and obesity as well as aging and mental health. The text identifies sedentary living habits and poor fitness as major public health problems and examines the potential of physical activity to prevent disease and enhance quality of life. This complete resource also looks at the evolution of the field of physical activity and health; variations in physical activity levels across age, sex, and ethnic groups; the body's physiological responses to physical activity; dose-response issues; and the influence of genetics on physical activity, fitness, and health. The book ends with an integration of the issues covered and discusses new opportunities for research. The second edition of Physical Activity and Health continues to offer clear, user-friendly coverage of the most important concepts and research in the field. Numerous special features will aid readers in their comprehension of the material. Chapter outlines and callout boxes help readers key in on important topics and focus their reading, and chapter summaries, definitions of key terms, and study questions provide tools for review and self-testing. Where other books have simply promoted physical activity for the individual or a population, Physical Activity and Health, Second Edition, completely integrates current knowledge of the relationship between physical activity and health. With contributions from some of the finest scientists in the field, this comprehensive text offers information unmatched in accuracy and reliability.",N/A,N/A,en
Perfectly Imperfect,['Baron Baptiste'],2016,['Health & Fitness'],"A little over a decade ago, Baron Baptiste published his seminal book, 'Journey into Power.' The first of its kind, it introduced the world to Baptiste Power Vinyasa, his signature method that marries a lifetime of studying with some of the world's most renowned yoga masters with his uniquely powerful approach to inner and outer transformation. Since then, yoga has steadily moved into the mainstream in our culture, and Baron's unique contribution has played a key role. As millions of participants incorporate yoga into their daily lives, Baron's teachings have evolved to bring them even deeper into their own transformative possibilities. This book takes readers beyond the foundations of the practice by speaking to everything that happens in their bodies and minds after they get into a yoga pose.",N/A,N/A,en
Survival Fitness,"['Sam Fury', 'Shumona Mallick']",2013-05-05,['Sports & Recreation'],"Discover How To Train Yourself in the 6 Most Useful Physical Activities in Terms of Escape/Survival and Increasing General Fitness. 3+ books in 1 makes Survival Fitness the only physical training book you will ever need! Survival Fitness contains all the information from; Learn Parkour by Sam Fury Basic Swimming by Sam Fury Basic Rock Climbing by Sam Fury And adds to it… Basic riding skills Professional techniques to improve your running speed Hiking techniques to ensure you can safely cover long distances on foot if needed It also includes a special strength, stretch, warm-up and cool down routine which has been specifically designed as a quick workout to increase cardiovascular fitness, whole body strength, flexibility, explosiveness, co-ordination and balance. This routine requires no special equipment and relies only on your own bodyweight. You'll also gain exclusive access to bonus materials that cannot be found anywhere else; Access to Instructional Videos Common Training Injuries Report Calming the Mind Report Get your copy of Survival Fitness today!",N/A,N/A,en
