title,authors,publishedDate,categories,description,averageRating,textSnippet,language
American Folklore Studies,['Simon J. Bronner'],1986,['Social Science'],N/A,N/A,N/A,en
Maniac Magee,['Jerry Spinelli'],1991,['Athletes'],"After his parents die, Jeffrey Lionel Magee's life becomes legendary, as he accomplishes athletic and other feats which awe his contemporaries.",4,N/A,en
The Song of Hiawatha,['Henry Wadsworth Longfellow'],1856,['Indians of North America'],"Describes in verse the boyhood of the legendary Iroquois Indian, Hiawatha.",5,N/A,en
Folktales of Norway,['Reidar Thoralf Christiansen'],1964,['Fiction'],"Often lacking the clear episodic structure of folktales about talking animals and magic objects, legends grow from retellings of personal experiences. Christiansen isolated some seventy-seven legend types, and many of these are represented here in absorbing stories of St. Olaf, hidden treasures, witches, and spirits of the air, water, and earth. The ugly, massively strong, but slow-witted trolls are familiar to English-speaking readers. Less well-known, but the subject of an enormous number of legends, are the more manlike yet sinister ""huldre-folk"" who live in houses and try to woo human girls. These tales reflect the wildness of Norway, its mountains, forests, lakes, and sea, and the stalwart character of its sparse population. ""The translation is excellent, retaining the traditional Norwegian style . . . the tales themselves will also appeal to the interested layman.""—Library Journal",N/A,N/A,en
Popular Tales from the Norse,"['Peter Christen Asbjørnsen', 'Jørgen Engebretsen Moe', 'Sir George Webbe Dasent']",1859,['Fiction'],"So he put the quern on the table, and bade it first of all grind lights, then a table-cloth, then meat, then ale, and so on till they had got everything that was nice for Christmas fare. He had only to speak the word, and the quern ground out what he wanted. The old dame stood by blessing her stars, and kept on asking where he had got this wonderful quern, but he wouldn't tell her.",N/A,N/A,en
The Man Without a Country,['Edward Everett Hale'],1888,['Fiction'],"Philip Nolan, having, in a moment of passion, expressed the wish that he might never again hear of the United States, is required to realize his wish. The story of his awakening to a sense of his deprivation is a moving plea for love of country.",N/A,N/A,en
Encyclopedia of Folk Heroes,['Graham Seal'],2001-12-11,['Psychology'],"A wide-ranging and detailed investigation of folk heroes, both fictional and historical, from the earliest times to the present, taken from societies throughout the world as they exist in folktales, folksongs, customs, speech, and other folklore genres. From Paul Bunyan to Stagolee, from Queen Mab to the Tooth Fairy, every culture has created folk heroes. But as often as not, these ""heroes of the people"" accomplish their goals with methods that are anything but heroic—like the American liar hero Davy Crockett, or Galloping Jones, the Australian drinker and bank robber. Then there's the Irishman Finn Mac Cumhal, whose heroism, like that of Rip Van Winkle, was based on oversleeping. In this new collection, readers will enjoy a wildly colorful parade of nearly 400 thieves, tricksters, simpletons, and dragon slayers from around the world. Despite appearances, these ""heroes"" perform a crucial social function: they allow us to question what is right and what is wrong, to challenge what is legal and what is illegal, to deal with who has power and who does not, and to manage the contradictions and conflicts inherent in all cultures.",N/A,N/A,en
The Fisherman and His Wife,"['Jacob Grimm', 'Wilhelm Grimm']",1957,['Brothers Grimm'],The fisherman's greedy wife is never satisfied with the wishes granted her by an enchanted fish.,N/A,N/A,en
Bulfinch's Mythology,['Thomas Bulfinch'],1913,['Chivalry'],N/A,1,N/A,en
The age of fable,['Thomas Bulfinch'],1910,['Folklore'],N/A,N/A,N/A,en
The Sacred Isle,['Dáithí Ó hÓgáin'],1999,['History'],"Ancient monuments, legends and folklore interpreted to illuminate the realities of prehistoric Irish belief. The myths and legends of prehistoric Ireland have inspired writers through the ages, down to W.B. Yeats and Seamus Heaney in our own century, but what do we know of the realities of ancient Irish belief? Daithi O hOgain's book approaches the question by studying archaeological remains such as tumuli, stone henges and circular enclosures and analysing the rich materials that have been handed down both in the great cycles of Irish heroic tales and the humblebut significant survivals of modern folklore, for instance the traditions associated with wells and springs. Drawing evidence from these varied sources, he arrives at a balanced picture of a society and its beliefs which have alltoo often been the subject of conjecture and fancy. CONTENTS Pre-Celtic Cultures . Basic Tenets in the Iron Age . The Druids and their Practices . The Teachings of the Druids . The Society of the Gods . The Rites of Sovereignty . The Triumph of Christianity. DAITHI O HOGAIN was Professor of Folklore at University College Dublin.",N/A,N/A,en
The Tortoise and the Hare,"['Betty Miles', 'Aesop']",1998,['Fables.'],Recounts in simple dialogue the famous tale of the race between the persevering tortoise and the boastful hare.,N/A,N/A,en
Russian Folk-tales,['Aleksandr Nikolaevich Afanasʹev'],1916,['Folklore'],N/A,N/A,N/A,en
The Adventures of Ulysses,['Charles Lamb'],1894,[],N/A,N/A,N/A,en
The First Nine Books of the Danish History of Saxo Grammaticus,['Saxo (Grammaticus)'],1894,['Denmark'],N/A,N/A,N/A,en
The Way Meat Loves Salt,['Nina Jaffe'],1998-09-15,['Juvenile Fiction'],"In this Eastern European Jewish variant of the Cinderella story, the youngest daughter of a rabbi is sent away from home in disgrace, but thanks to the help of the prophet Elijah, marries the son of a renowned scholar and is reunited with her family. Includes words and music to a traditional Yiddish wedding song.",N/A,N/A,en
The Olive Fairy Book,['Andrew Lang'],1907,"[""Children's stories""]","Twenty-nine tales from the folklore of Turkey, India, Denmark, Armenia, and the Sudan.",5,N/A,en
Fossil Legends of the First Americans,['Adrienne Mayor'],2023-04-11,['History'],"This book examines the discoveries of enormous bones and uses of fossils for medicine, hunting magic, and spells. Well before Columbus, Native Americans observed the mysterious petrified remains of extinct creatures and sought to understand their transformation to stone. In perceptive creation stories, they visualized the remains of extinct mammoths, dinosaurs, pterosaurs, and marine creatures as Monster Bears, Giant Lizards, Thunder Birds, and Water Monsters. Their insights, some so sophisticated that they anticipate modern scientific theories, were passed down in oral histories over many centuries. Drawing on historical sources, archaeology, traditional accounts, and extensive personal interviews, Adrienne Mayor takes us from Aztec and Inca fossil tales to the traditions of the Iroquois, Navajos, Apaches, Cheyennes, and Pawnees.",N/A,N/A,en
The Signifying Monkey,['Henry Louis Gates'],1988,['Literary Criticism'],"Pronde's the critical framework to examine several major works including, Their eyes were watching God by Zora Neale Hurston, Invisible man by Ralph Ellison, and Mumbo jumbo by Ishmael Reed.",3,N/A,en
The Adventures of Robin Hood,['Howard Pyle'],2005,['Juvenile Fiction'],"Recounts the legend of Robin Hood, who plundered the king's purse and poached his deer and whose generosity endeared him to the poor.",2.5,N/A,en
Argonauts of the Western Pacific,['Bronislaw Malinowski'],1911,['Business & Economics'],N/A,N/A,N/A,en
Ancient Tales and Folklore of Japan,['Richard Gordon Smith'],1908,"['Folk literature, Japanese']",N/A,N/A,N/A,en
Modern Greek in Asia Minor,"['Richard McGillivray Dawkins', 'William Reginald Halliday']",1916,['Folklore'],N/A,N/A,N/A,en
In Ghostly Japan,['Lafcadio Hearn'],1905,['Buddha (The concept)'],N/A,N/A,N/A,en
Researches in the Highlands of Turkey,['Henry Fanshawe Tozer'],1869,['Albanians'],N/A,N/A,N/A,en
Zuñi Folk Tales,[],1901,['Folklore'],N/A,N/A,N/A,en
The Three Little Wolves and the Big Bad Pig,['Eugenios Trivizas'],1993,['Animals'],An altered retelling of the traditional tale about the conflict between pig and wolf--with a surprise ending.,N/A,N/A,en
The Red Fairy Book,['Andrew Lang'],2008-08-07,['Fiction'],"Thirty-seven favorite fairy tales from the folklore of France, Germany, Russia, and Scandinavia.",N/A,N/A,en
Pinocchio,['Carlo Collodi'],1926,['Fairy tales'],N/A,N/A,N/A,en
"Myth, Ritual and Religion",['Andrew Lang'],1899,['Folklore'],N/A,N/A,N/A,en
Grimm's Fairy Tales,"['Jacob Grimm', 'Wilhelm Grimm']",1995,['Juvenile Fiction'],"From the land of fantastic castles, vast lakes and deep forests, the Brothers Grimm collected a treasury of entrancing folk and fairy stories full of giants and dwarfs, witches and princesses, magic beasts and cunning boys. From favorites such as ""The Frog-Prince"" and ""Hansel and Gretel"" to the delights of ""Ashputtel"" or ""Old Sultan"", all are vivid with timeless mystery. Copyright © Libri GmbH. All rights reserved.",N/A,N/A,en
The Little Mermaid,"['Enid C. King', 'Hans Christian Andersen']",1981-01-06,['Fiction'],The classic tale of The Little Mermaid.,N/A,N/A,en
Folk-lore of the Holy Land,['James Edward Hanauer'],1910,['Folklore'],N/A,N/A,N/A,en
Just a Minute!,['Yuyi Morales'],2003-09,['Juvenile Nonfiction'],This bilingual English-Spanish counting book reveals Mexican traditions sure to be adored by kids everywhere. Full color.,N/A,N/A,en
Strega Nona,['Tomie dePaola'],1975-08,['Juvenile Fiction'],A retelling of an old Italian tale about what happens when Strega Nona leaves her apprentice alone with her magic pasta pot.,N/A,N/A,en
The Poetic Edda,[],1923,['Edda Sæmundar'],N/A,N/A,N/A,en
The Handbook of Folklore,['Charlotte Sophia Burne'],1914,['Folk-lore'],N/A,N/A,N/A,en
Myths and Myth-makers,['John Fiske'],1873,['Folklore'],N/A,N/A,N/A,en
Oral Literature in Africa,['Ruth H. Finnegan'],1970,['Literary Criticism'],N/A,N/A,N/A,en
The Outlaws of Sherwood,['Robin McKinley'],1989,['Fiction'],The author retells the adventures of Robin Hood and his band of outlaws who live in Sherwood Forest in twelfth-century England.,5,N/A,en
The Tinder Box,['Hans Christian Andersen'],1971,['Fairy tales'],"By cutting off a witch's head, a soldier gains possession of a magic tinderbox which makes him a wealthy man.",N/A,N/A,en
The Magic of Jewels and Charms,['George Frederick Kunz'],1915,['Amulets'],N/A,N/A,N/A,en
Spell of the Tiger,['Sy Montgomery'],2009-01-16,['Nature'],Tigers.,N/A,N/A,en
Semitic Magic,['Reginald Campbell Thompson'],1908,['Folklore'],N/A,N/A,N/A,en
Steadfast Tin Soldier,['Hans Christian Andersen'],1953,['Juvenile Fiction'],Retells the perilous adventures of a one-legged toy soldier in love with a paper-doll ballet dancer.,N/A,N/A,en
The Three Billy Goats Gruff,['Peter Christen Asbjørnsen'],1991,['Fables'],The three billy goats outsmart the hungry troll who lives under the bridge.,N/A,N/A,en
The Living Goddesses,['Marija Gimbutas'],2001-01-12,['History'],"Presents evidence to support the author's woman-centered interpretation of prehistoric civilizations, considering the prehistoric goddesses, gods and religion, and discussing the living goddesses--deities which have continued to be venerated through the modern era.",N/A,N/A,en
The Town Mouse and the Country Mouse,['Aesop'],1979,['Juvenile Fiction'],"When the town mouse and the country mouse visit each other, they decide they prefer their own way of living.",N/A,N/A,en
Myths & Legends of Japan,['Frederick Hadland Davis'],1919,['Folklore'],N/A,N/A,N/A,en
The Green Fairy Book,['Andrew Lang'],1899,['Fairy tales'],N/A,N/A,N/A,en
The Merry Adventures of Robin Hood,['Howard Pyle'],1986,['Fiction'],"Recounts the legend of Robin Hood, who plundered the king's purse and poached his deer and whose generosity endeared him to the poor.",N/A,N/A,en
Strega Nona,['Tomie DePaola'],1975,['Juvenile Fiction'],"When Strega Nona leaves him alone with her magic pasta pot, Big Anthony is determined to show the townspeople how it works.",N/A,N/A,en
The Age of Fable,['Thomas Bulfinch'],1969,['Folklore'],N/A,N/A,N/A,en
Chips from a German Workshop: Essays on the science of religion,['Friedrich Max Müller'],1872,['Comparative linguistics'],N/A,N/A,N/A,en
A Japanese Miscellany,['Lafcadio Hearn'],1901,"[""Children's songs""]",N/A,N/A,N/A,en
Kentucky Superstitions,"['Daniel Lindsey Thomas', 'Lucy Blayney Thomas']",1920,['Social Science'],"This special edition of 'Kentucky Superstitions' was written by Daniel Lindsey Thomas, Ph.D. And Lucy Blaney Thomas, M.A., and first published in 1920, making it just shy of a century old. This wonderful find covers and eclectic mixture of supernatural, occult and every-day superstitions, including superstitions on Divinations, Death and Burial, Sneezes, Cures and Preventions, Fire, Dreams, Weather, Witches and many more. At 342 pages this is a substantial old book, and a must for all those interested in Kentucky history or the state's lore. IMPORTANT NOTE - Please read BEFORE buying! THIS BOOK IS A REPRINT. IT IS NOT AN ORIGINAL COPY. This book is a reprint edition and is a perfect facsimile of the original book. It is not set in a modern typeface and has not been digitally enhanced. As a result, some characters and images might suffer from slight imperfections, blurring, or minor shadows in the page background. This book appears exactly as it did when it was first printed. DISCLAIMER : Due to the age of this book, some methods or practices may have been deemed unsafe or unacceptable in the interim years. If purchasing a book more than 50 years old, please use due diligence before putting the information into practice. In utilizing the information herein, you do so at your own risk. We republish antiquarian books without judgment, solely for their historical and cultural importance, and for educational purposes.--Amazon.",N/A,N/A,en
The Hare and the Tortoise,['Aesop'],1981,['Juvenile Fiction'],Recounts the race between the boastful hare and the persevering tortoise.,N/A,N/A,en
At Swim-Two-Birds,"[""Flann O'Brien""]",1998,['Fiction'],"A wildly comic send-up of Irish literature and culture, ""At Swim-Two-Birds"" is the story of a young, lazy, and frequently drunk Irish college student who lives with his curmudgeonly uncle in Dublin. When not in bed (where he seems to spend most of his time) or reading he is composing a mischief-filled novel about Dermot Trellis, a second-rate author whose characters ultimately rebel against him and seek vengeance. From drugging him as he sleeps to dropping the ceiling on his head, these figures of Irish myth make Trellis pay dearly for his bad writing. Hilariously funny and inventive, ""At Swim-Two-Birds"" has influenced generations of writers, opening up new possibilities for what can be done in fiction. It is a true masterpiece of Irish literature.",5,N/A,en
The Algonquin Legends of New England,['Charles Godfrey Leland'],1884,['Social Science'],N/A,N/A,N/A,en
The Crimson Fairy Book,['Andrew Lang'],2012,['Fairy tales'],"A storyteller's night without one of Mr. Andrew Lang's books of fairy tales would be but a dull affair. This one is "" The Crimson Fairy Book "", made up of some three dozen tales chosen, as in previous collections, from the folk-lore of all nations, and adapted and translated mainly by Mrs. Lang. Mr. H. J. Ford's illustrations, colored and otherwise, are hardly equalled in artistic quality by those in any other children's book. This book is fully illustrated and annotated with a rare extensive biographical sketch of the author, Andrew Lang, written by Sir Edmund Gosse, CB, a contemporary poet and writer. Contents: Preface Lovely Ilonka Lucky Luck The Hairy Man To Your Good Health! The Story of the Seven Simons The Language of Beasts The Boy Who Could Keep A Secret The Prince And The Dragon Little Wildrose Tiidu The Piper Paperarelloo The Gifts Of The Magician The Strong Prince The Treasure Seeker The Cottager And His Cat The Prince Who Would Seek Immortality The Stone-Cutter The Gold-Bearded Man Tritill, Litill, And The Birds The Three Robes The Six Hungry Beasts How the Beggar Boy Turned into Count Piro The Rogue And The Herdsman Eisenkopf The Death Of Abu Nowas And Of His Wife Motiratika Niels And The Giants Shepherd Paul How The Wicked Tanuki Was Punished The Crab And The Monkey The Horse Gullfaxi And The Sword Gunnfoder The Story Of The Sham Prince, Or The Ambitious Tailor The Colony Of Cats How To Find Out A True Friend Clever Maria The Magic Kettle",N/A,N/A,en
Russian Fairy Tales,['Aleksandr Nikolaevich Afanasʹev'],1945,['Fairy tales'],"These Russian tales are rambunctious, full-blooded and temperamental. They are tense with action, magical and human, and move in a kind of cyclone of speed.",4,N/A,en
Handbook of Christian Feasts and Customs,['Francis Xaver Weiser'],1958,['Fiction'],"""The feasts, customs, holydays and holidays of the Christian liturgical year""--Jacket.",N/A,N/A,en
Northern mythology,[],1851,['Folklore'],N/A,N/A,N/A,en
Anansi the Spider,[],1972-05-15,['Juvenile Fiction'],Anansi the Spider is saved from danger by his sons and then faces the problem of rewarding them.,N/A,N/A,en
Travels in West Africa,"['Mary Henrietta Kingsley', 'Albert Carl Ludwig Gotthilf Günther', 'William Forsell Kirby']",1897,"['Africa, West']",N/A,N/A,N/A,en
The Melanesians,['Robert Henry Codrington'],1891,['Ethnology'],N/A,N/A,N/A,en
Bulfinch's Mythology,['Thomas Bulfinch'],1991,['Folklore'],"A beautiful gift edition of Thomas Bulfinch's classic retelling of famous myths and folk legends, with interpretive essays by Princeton classics professor Richard P. Martin.",N/A,N/A,en
Madagascar Before the Conquest,['James Sibree'],1896,['Ethnology'],N/A,N/A,N/A,en
