title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Greedy Old Fat Man,['Paul Galdone'],1983,['Fairy tales'],"A greedy old fat man eats a hundred biscuits and drinks a barrel of milk, but he is still hungry. He meets a little boy, a little girl, a little dog, a little cat and other creatures, gobbling them up as he goes. But a little squirrel leads him to his downfall.",N/A,N/A,en
Puss in Boots,['Lesley Scott'],N/A,[],N/A,N/A,N/A,en
The Green Frogs,['Yumi Heo'],1996,['Juvenile Fiction'],"A folktale about two green frogs who always disobey their mother, explaining why green frogs cry out whenever it rains.",N/A,N/A,en
Sawerigading,[],1990,['Bugis literature'],"History of the folktale Sawerigading, legendary hero of Sulawesi; papers of a seminar.",N/A,N/A,id
El monje y la hija del verdugo,['Ambrose Bierce'],2021,['Folktale'],"""En 1680, el monasterio de Berchtesgaden en los Alpes bávaros fue el escenario del desgraciado amor entre Ambrosio, un joven franciscano, y Benedicta, la hija de un verdugo. Dos siglos más tarde, Ambrose Bierce interpretó los siniestros pormenores de la leyenda hasta convertirla en su única novela y en una de las cimas de la literatura del género. El admirable suspense de estas páginas discurre hacia un desenlace imprevisto, una batalla entre la fe, el deseo, la culpa y la redención. Los esgrafiados labrados por Santiago Caruso, una de las mayores revela-ciones de la gráfica contemporánea, se abisman en esta historia de amor prohibido, destrucción y tragedia. Aunque «decir que se centra el conflicto en la lucha entre Amor y Misión sería generar un gastado déjà vu. Yo lo concibo como una batalla entre Naturaleza y Religión. Pensé entonces en pintar lo animal y lo vegetal invadiendo la percepción de la moral del mundo del Hombre y de Dios»."" -- Amazon.",N/A,N/A,es
The Patient Stone,['Mohammad Batmanglij'],1987,['Folktale'],A retelling of the traditional Persian tale of how the patient stone helps a mistreated young girl achieve her true destiny.,N/A,N/A,en
The hare,[],2000,['Folktale'],N/A,N/A,N/A,ru
The Development of an Alabama Folktale,"['Margaret Gillis Figh', 'Margaret B. Kirkpatrick']",1937,['Folktale'],N/A,N/A,N/A,en
There lived the cat and the rooster,[],1999,['Folktale'],N/A,N/A,N/A,ru
City Mouse-country Mouse and Two More Mouse Tales from Aesop,"['John C. Wallner', 'Aesop']",1987,['Juvenile Fiction'],City mouse-country mouse -- The lion and the mouse -- Belling the cat.,N/A,N/A,en
Hare's house,[],2004,['Folktale'],N/A,N/A,N/A,ru
The Patient Stone,['Sadiq Hidayat'],1987,['Social Science'],A retelling of the traditional Persian tale of how the patient stone helps a mistreated young girl achieve her true destiny.,N/A,N/A,en
The Lion and the Hare Go Hunting,[],2005,['Folktale'],N/A,N/A,N/A,en
Bunga batu,['Darto Singo'],2001,['Folktale'],N/A,N/A,N/A,en
The Coyote and the Bear,[],2005,['Folktale'],N/A,N/A,N/A,en
Joko Tole,"['Alberta CB, Sr']",2000,['Folktale'],N/A,N/A,N/A,en
Hā nithān dang,['Bunmī Thēpsīmư̄ang'],2004,"['Short stories, Lao']",N/A,N/A,N/A,lo
