title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Natural Antioxidants,['Fereidoon Shahidi'],1997,['Medical'],"This book provides state-of-the-art discussion of natural antioxidants from dietary sources, their occurrence, health effects, chemistry, and methodologies. The book summarizes data on the occurrence of antioxidative compounds in cereals and legumes, oilseeds, herbs and spices, vegetables, teas, muscle foods, and other commodities. The antioxidant vitamins and enzymes also are thoroughly discussed. The potential beneficial effects of dietary antioxidants, the chemistry of food antioxidants, and methodologies to assess lipid oxidation and antioxidant activity also have been covered.",2,N/A,en
Bread and Salt,"['R. E. F. Smith', 'David Christian']",1984,['Cooking'],"Bread and Salt - a literal translation of the Russian word for hospitality - explores the social and economic implications of eating and drinking in Russia in the thousand years before 1900. Eating and drinking are viewed here as social activities which involves the economics of production, storage and distribution of food stuffs. These activities attract both social controls and state taxation; in this way the everyday process of eating and drinking is linked with the history of Russia. The dominance of grain in the diet throughout the period and the importance of salt, as implied in the title, are dealt with, as are the early Russian beer-drinking fraternities. The relatively late introduction of spirits, in the from of vodka, and it disastrous consequences in social terms are described. Tea and the samovar, also much more a latecomer than is generally realized, did little to diminish excessive drinking. Drinking, in any event, was by no means discourage by the state, since it was a major source of state income. The final section of the book looks at rural diets in the nineteenth century, when some variation and new items, such as the potato, became important. At the same time, peasants depended basically on the grain crop, as they had for thousands of years. Forced by txation to enter the market, afflicted by severe famines towards the end of the century, many peasants ate and drank no better as a result of the modernization of the county.",N/A,N/A,en
Αθηναιου Ναυκρατιτου Δειπνοσοφιστων,['Athenaeus (of Naucratis.)'],1993,['Language Arts & Disciplines'],"Athenaeus (AD ca. 170–ca. 230), a Greek of Naucratis in Egypt, lived in Rome and wrote a historical work now lost. Of the fifteen books of his surviving Deipnosophists ('Sophists at Dinner'), the first two and parts of the third, eleventh, and fifteenth exist only in summary, the rest apparently complete. In it he pretends to tell a friend about a banquet at a scholar's house whither the learned guests brought extracts from poetry for recitation and discussion. Much of the matter however concerns the food provided and accessories. One learns about cooks, strange dishes, wines, menu cards, and countless other matters. Athenaeus was an antiquarian. The whole work, which mentions nearly eight hundred writers and two thousand five hundred writings, is a large treasury of information not only about table matters but also music, dances, games, and all sorts of literary subjects. And it abounds in quotations, mostly made direct by Athenaeus himself, from authors whose writings have not survived. The Loeb Classical Library edition of The Deipnosophists is in seven volumes. There is a comprehensive index in the final volume.",N/A,N/A,en
Food and Development,['E.M. Young'],2013-06-19,['Science'],"This text analyzes diverse food related problems, namely: the continued prevalence of mass under nutrition in the developing world; acute food crises in some places associated with conflict; the emergence of over nutrition in the developing world and the vulnerability of the contemporary global food production system. The most important of these issues are explored with particular reference to their implications for the majority of the world’s population who live in what was traditionally categorised as the ‘developing world’. The text identifies the major problems and analyzes factors at the international, national and local scales to understand their continued prevalence. Each chapter contains international case studies, discussion questions, suggested further reading and suggested websites.",N/A,N/A,en
Food Packaging Technology,['Debra K. Henyon'],1991,['Technology & Engineering'],"Eight papers from a symposium in San Diego, November 1989, and an introductory overview discuss aspects of the food packaging industry, including extending the shelf life of products through computer modeling, the effect of the food on the package, flavor management, and techniques to evaluate packa",N/A,N/A,en
Fish,['Harlan Walker'],1998,['Cooking'],"The subject of the discussions was not just fish but the diet of fishermen, and any foodstuff from the sea.",N/A,N/A,en
Essentials of Human Nutrition,"['Jim Mann', 'Stewart Truswell']",2012-01-26,['Education'],"Essentials of Human Nutrition offers a broad, quality survey of the field, charting the involvement and impact of nutrition across different age groups, and from the genetic to the community level. It draws together the diverse disciplines necessary to promote the practical application of nutritional science.",N/A,N/A,en
Terrors of the Table,['Walter Gratzer'],2005-09-29,['Health & Fitness'],"Terrors of the Table is an absorbing account of the struggle to find the necessary ingredients of a healthy diet, and the fads and quackery that have always waylaid the unwary and the foolish when it comes to the matter of food and health. Walter Gratzer tells the tale of nutrition's heroes, heroines and charlatans with characteristic crispness and verve. We find an array of colourful personalities, from the distinguished but quarrelsome Liebig, to the enterprising LydiaPinkham. But we also find the slow recognition that the lack of vital ingredients can cause terrible illnesses - scurvy, rickets, beriberi. These diseases stalked the poor in the West even into the 20th century, and scandalously remain in poorer parts of the world today. The narrative stretches from classicaltimes to the modern day and gives a valuable historical perspective to our current understanding. It also highlights some of the problems faced by the developed world regarding health today - in particular diabetes and obesity. And despite our far greater understanding of what our body needs, there are still many who would fall for fads and fancy diets - some dangerous, others just daft.Of course, the story of nutrition does not end there. We have discovered the key vitamins and minerals our body needs, but research continues on the connections between diet, health and disease. The body's biochemistry is complex, and there are no easy answers, no magic formula, that applies to all individuals. The safest and most rational course would seem to be a sensible, moderate, and varied diet, not forgetting that 'a little of what you fancy does you good'.",4,N/A,en
Sensory Evaluation Practices,"['Herbert Stone', 'Joel L. Sidel']",2004-05-05,['Cooking'],"This book will provide useful information for consumer products and food industry personnel involved in the production and marketing of foods, beverages, cosmetics, paper products, and fragrances.",1,N/A,en
A Treatise on Food and Dietetics,['Frederick William Pavy'],1874,['Diet'],N/A,3,N/A,en
The Oxford Companion to Food,['Alan Davidson'],2014,['Business & Economics'],"Twenty years in the making, the first edition of this bestselling reference work appeared in 1999 to worldwide acclaim. Combining serious and meticulously researched facts with entertaining and witty commentary, it has been deemed unique by chefs and reviewers around the globe. It contains both a comprehensive catalog of foodstuffs - crackers and cookies named for battles and divas; body parts from toe to cerebellum; breads from Asia to the Mediterranean - and a richly allusive account of the culture of food, whether expressed in literature and cook books, or as dishes special to a country or community. Retaining Alan Davidson's wisdom and wit, this new edition also covers the latest developments across the whole spectrum of this subject. Tom Jaine has taken the opportunity to update the text and alert readers to new perspectives in food studies. There is new coverage on attitudes towards food consumption, production and perception, such as food and genetics, food and sociology, and obesity. New entries include terms such as convenience foods, gastronomy, fusion food, leftovers, obesity, local food, and many more. There are also new entries on important personalities who are of special significance within the world of food, among them Clarence Birdseye, Henri Nestle, and Louis Pasteur. Now in its third edition the Companion maintains its place as the foremost food reference resource for study and home use.",5,N/A,en
The Food Safety Hazard Guidebook,"['Richard Lawley', 'Laurie Curtis', 'Judy Davis']",2008,['Science'],"This book provides a concise, accessible and affordable source of reference covering a wide range of known and emerging food safety hazards, both biological and chemical. It presents accurate and up-to-date factual information relating to individual hazards.",N/A,N/A,en
A History of Food,['Maguelonne Toussaint-Samat'],1992,['Cooking'],"Now in paperback, here is the fascinating, definitive history of cuisine and eating. Magauelonne Toussaint-Samat looks at the transition from a vegetable to an increasingly meat-based diet, as well as the relationship between people and what they eat, between particular foods and social behavior, and between dietary habits and methods of cooking.",N/A,N/A,en
"Handbook of Food Science, Technology, and Engineering",['Yiu H. Hui'],2006,['Business & Economics'],N/A,5,N/A,en
"The Pantropheon, Or, History of Food, and Its Preparation, from the Earliest Ages of the World",['Alexis Soyer'],1853,['Cookery'],"Soyer presents a history of food focusing on the table of classical antiquity and food in ancient times: agriculture, milling, recipes, mythological origin, ingredients, utensils, exotic dishes, dining habits and customs, and spices and seasonings.",N/A,N/A,en
The Ethics of What We Eat,"['Peter Singer', 'Jim Mason']",2007-03-06,['Cooking'],An investigation of the food choices people make and practices of the food producers who create this food for us leading to a discussion of how we might put more ethics into our shopping carts.,N/A,N/A,en
John Saturnall's Feast,['Lawrence Norfolk'],2012-01-01,['Fiction'],"Historisk roman der foregår i midten af 1600-tallet og handler om en ung mand, som på trods af sin ydmyge opvækst arbejder sig op til at blive en af tidens store køkkenchefer. Det er den engelske kogekunsts storhedstid, men borgerkrigen truer med at sætte et endeligt punktum for det",N/A,N/A,en
Culture of the Fork,['Giovanni Rebora'],2001,['Cooking'],"Along with the cross-cultural exchange of Old and New World, East and West, came new foodstuffs, preparations, flavors, utensils and table manners. Rebora has crafted an elegant and accessible history filled with fascinating information and illustrations. The book is divided into brief chapters covering the history of various foods and gastronomy. 52 illustrations.",N/A,N/A,en
Food System Sustainability,"['Catherine Esnouf', 'Marie Russel', 'Nicolas Bricas']",2013-04-25,['Business & Economics'],"An exploration of the duALIne project's insights, presenting state-of-the-art research in food sustainability and identifying priority areas for further study.",N/A,N/A,en
International Dictionary of Food and Cooking,['Charles G. Sinclair'],1998,['Cooking'],"First Published in 1998. Routledge is an imprint of Taylor & Francis, an informa company.",N/A,N/A,en
From the Good Earth,['Michael Ableman'],1993,['Cooking'],A lavishly illustrated celebration of organically grown food and a look at the land and the people who produce it. Farmer and photographer Michael Ableman takes the reader on an unprecedented photographic journey that spans five continents and investigates a tradition that is thousands of years old. 170 full-color illustrations.,N/A,N/A,en
Vegetable Fats and Oils,['Sabine Krist'],2020-05-15,['Technology & Engineering'],"This encyclopedia scientifically describes 121 vegetable oils and fats. In addition to conventional oils, the book also covers lesser-known oils such as Amaranth, Chia, prickly pear, and quinoa. Author pays particular attention to root plants, extraction, and the ingredients included in information nutritionally relevant to fatty acid patterns. Applications in pharmacology, medicine, cosmetics and technology, as well as possible adverse effects, are discussed. The thoroughly researched reference book includes detailed descriptions along with the latest research results and methods.",N/A,N/A,en
Nutrition,"['Frances Sizer Webb', 'Eleanor Noss Whitney']",2006,['Cooking'],Includes laminated insert with title: Dietary guidelines for Americans 2005.,N/A,N/A,en
"Practical Dietetics, with Special Reference to Diet in Disease",['William Gilman Thompson'],1895,['Diet'],N/A,N/A,N/A,en
"Oxford Symposium on Food & Cookery, 1988",['Tom Jaine'],1989,['Cooking'],"The history, evolution and use of cooking pots from diverse places, such as Syria, Papua New Guinea, China and Spain are discussed.",N/A,N/A,en
How to Dry Foods,['Deanna DeLong'],1992,['Cooking'],"Instructions for building an electric, solar, or air-flow dehydrator accompany a variety of recipes using dried foods and techniques for drying fruits, vegetables, herbs and spices, nuts and seeds, meat, and fish.",5,N/A,en
Around the Roman Table,['Patrick Faas'],2005-04,['Cooking'],"Looks at the dining customs, social traditions, and food of the Roman Empire, and includes recipes reconstructed for the modern cook.",5,N/A,en
Sensory Evaluation Techqs,['Meilgaard'],1987-07-31,['Technology & Engineering'],"Abstract: A 2-volum reference set is designed to provide sufficient and appropriate information to aid food technologists, research scientists, and other food and nutrition professionals in industrial, academic, and government setting in conducting viable sensory evaluations. Volume I covers: background information on the characteristics of sensory attributes and how they are perceived; design criteria for sensory test rooms; factors influencing sensory evaluation conclusions compilation and description of sensory test methods. Volum II covers: qualitative and quantitative aspects of descriptive analysis techniques; consumer acceptability test; the selection/training of sensory panel members; the use of basic probability and statistical methods and of advanced statistical techniques; guidelines for selecting techniques and for reporting results; and a collection of 12 statistical.",N/A,N/A,en
An Omelette and a Glass of Wine,['Elizabeth David'],1986,['Cooking'],Contains delightful explorations of food and cooking among which are the collections namesake essay and many other gems; Z99 black-and-white photographs and illustrations,N/A,N/A,en
Texture in Food,['B M McKenna'],2003-07-03,['Business & Economics'],"Texture is one of the most important attributes used by consumers to assess food quality. This quality is particularly important for the growing number of semi-solid foods from sauces and dressings to yoghurt, spreads and ice cream. With its distinguished editor and international team of contributors, this authoritative book summarises the wealth of recent research on what influences texture in semi-solid foods and how it can be controlled to maximise product quality. Part one reviews research on the structure of semi-solid foods and its influence on texture, covering emulsion rheology, the behaviour of biopolymers and developments in measurement. Part two considers key aspects of product development and enhancement. It includes chapters on engineering emulsions and gels, and the use of emulsifiers and hydrocolloids. The final part of the book discusses improving the texture of particular products, with chapters on yoghurt, spreads, ice cream, sauces and dressings. With its summary of key research trends and their practical implications in improving product quality, Texture in food Volume 1: semi-solid foods is a standard reference for the food industry. It is complemented by a second volume on the texture of solid foods. Summarises the wealth of recent research on what influences texture in semi-solid foods and how it can be controlled to maximise product quality Reviews research on the structure of semi-solid foods and its influence on texture, covering emulsion rheology, the behaviour of biopolymers and developments in measurement Considers key aspects of product development and enhancement and includes chapters on engineering emulsions and gels and the use of emulsifiers and hydrocolloids",N/A,N/A,en
Modern Japanese Cuisine,['Katarzyna Joanna Cwiertka'],2006,"['Cooking, Japanese']","'Modern Japanese Cuisine' explores the origins of Japanese cuisine as we know it today, investigating the transformations and developments food culture in Japan has undergone since the late 19th century.",N/A,N/A,en
Health Benefits of Organic Food,[],2008-01-01,['Agriculture'],"Examines factors such as the role of certain nutrients in prevention and promotion of chronic disease, and health benefits of bioactive compounds in plants. This title covers the prevalence of food-borne pesticides and pathogens and how local and global environmental factors may affect differences between organic and conventionally produced food.",N/A,N/A,en
The Concise Larousse Gastronomique,['Prosper Montagne'],1988,['Cooking'],N/A,N/A,N/A,en
Handbook of Indices of Food Quality and Authenticity,"['R S Singhal', 'Pushpa R. Kulkarni', 'D V Reg']",1997-07,['Business & Economics'],The area of food adulteration is one of increasing concern for all those in the food industry. This book compares and evaluates indices currently used to assess food authenticity.,5,N/A,en
Larousse Gastronomique,['Prosper Montagné'],1961,['Cookbooks'],Includes 8500 recipes and 1000 illustrations.,N/A,N/A,en
Larousse Gastronomique,['Prosper Montagné'],1961,['Aliments - Dictionnaires français'],N/A,N/A,N/A,en
"The Book for All Households; Or, The Art of Preserving Animal and Vegetable Substances for Many Years",['Nicolas Appert'],1920,['House & Home'],N/A,N/A,N/A,en
