title,authors,publishedDate,categories,description,averageRating,textSnippet
Beitrag zur Wildpathologie,['Rolf Brunk'],1960,['Animals'],N/A,N/A,N/A
"The Game Animals of India, Burma, Malaya, and Tibet","['Richard Lydekker', 'John Guy Dollman']",1924,['Big game animals'],N/A,N/A,N/A
Pamphlets on Forestry. Fish and Game,[],1898,['Birds'],N/A,N/A,N/A
"Records of Big Game with Their Distribution, Characteristics, Dimensions, Weights, and Horn & Tusk Measurements",['Rowland Ward'],1914,['Game'],N/A,N/A,N/A
The Complete Shot,['George Teasdale Teasdale-Buckell'],1907,['Game'],N/A,N/A,N/A
My Indian Journal,['Walter Campbell'],1864,['Game'],N/A,N/A,N/A
A Mah Jong Handbook,['Eleanor Noss Whitney'],1964,['Games & Activities'],"As a comprehensive publication for gaining proficiency in this Oriental game, this handbook gives ""variations and additions to the official game and some hints to clarify the fundamentals of strategy useful to all players"".--""Pensacola News-Journal"".",N/A,N/A
Prairie and Forest,['Parker Gillmore'],1874,['Fishing'],N/A,N/A,N/A
The Hunter-naturalist,['Charles Wilkins Webber'],1867,['Game'],N/A,N/A,N/A
An Illustrated Catalogue of the Asiatic Horns and Antlers in the Collection of the Indian Museum,"['Indian Museum', 'T. Bentham']",1908,['Animal defenses'],N/A,N/A,N/A
Pamphlets on Forestry. Fish and Game,[],1900,['Birds'],N/A,N/A,N/A
Indian Small-game Shooting for Novices,['C. A. G. Rivaz'],1912,['Game'],N/A,N/A,N/A
River Road Recipes,['Junior League of Baton Rouge'],1959,['Beverages'],N/A,N/A,N/A
The Foxfire Book of Appalachian Toys & Games,"['Linda Garland Page', 'Hilton Smith']",1993,['Antiques & Collectibles'],"Provides instructions for playing indoor and outdoor games and making dolls, homemade board games, and other toys",N/A,N/A
From Out of the Yukon,[],1948,['Game'],N/A,N/A,N/A
Splendor,[],2010,[],N/A,N/A,N/A
Bulletin [of the Game and Fish Dept.],['Missouri. Conservation Commission'],1911,['Game'],N/A,N/A,N/A
Oregon's Wild Life Resource,['Oregon State Planning Board'],1938,['Game'],N/A,N/A,N/A
Lure of the Open,"['Joseph Charles Godfrey', 'Frank Dufresne']",1949,['Fishes'],N/A,N/A,N/A
Our Wildlife Neighbors,['Lunette Barber'],1955,['Birds'],N/A,N/A,N/A
The Sportsman's Gazetteer and General Guide,['Charles Hallock'],1878,['Sports'],N/A,N/A,N/A
Cotton Country Cooking,['Junior League of Morgan County Inc'],1972-12,['Cooking'],"Welcome to Cotton Country. Enjoy classic and popular Heart of Dixie recipes. The League's favorites are noted with a cotton boll. Inducted into the McIlhenny Hall of Fame, an award given for book sales that exceed 100,000 copies. Cotton Country Cooking is an authentic guide to Southern food, a reliable everyday reference and a gourmet's challenge.",5,N/A
Farmhouse Kitchen,['Dorothy Sleightholme'],1975,"['Cookery, British']",N/A,N/A,N/A
"In the Land of the Moose, the Bear, and the Beaver : Adventures in the Forests of the Athabasca","['Daunt, Achilles']",1890,"['Northwest, Canadian']",N/A,N/A,N/A
Histoire naturelle à l'usage des chasseurs canadiens et des éleveurs d'animaux à fourrure,['Henry de Puyjalon'],1900,['Game and game-birds'],N/A,N/A,N/A
Viltet,['Olav Hjeljord'],2008,['Biologi'],N/A,N/A,N/A
Vocabulario español de la caza,['Spain. Ministerio de Agricultura'],1950,['Game'],N/A,N/A,N/A
Nos gibiers comme je les vois,['Tony Burnand'],1963,['Game'],N/A,N/A,N/A
입문(이창호 정통바둑 1),"[""Ch'ang-ho Yi"", '이창호']",1998-05-01,['Chinese chess'],N/A,N/A,N/A
Jagd- und Waldfahrten durch drei Weltteile,['Hanns Maria von Kadich'],1913,['Forests and forestry'],N/A,N/A,N/A
Jagdtage voller Passion,['Alexander von Bülow'],1962,['Game'],N/A,N/A,N/A
