title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Zoo,"['Eric Baratay', 'Elisabeth Hardouin-Fugier']",2004,['Gardening'],"Wild animals have fascinated human observers since time immemorial. The story of our interest in collecting, classifying and dominating Nature so that its inner workings could be understood also looms large in the history of science, and thus it is surprising that the history of menageries, zoological gardens and the zoo as we know it today has been so poorly documented. This gap is addressed by Zoo, a comprehensive history of the zoo in the Western world.",N/A,N/A,en
Floriography,['Jessica Roux'],2020-09-15,['Reference'],"A charming, gorgeously illustrated botanical encyclopedia for your favorite romantic, local witch, bride-to-be, or green-thumbed friend. Floriography is a full-color guide to the historical uses and secret meanings behind an impressive array of flowers and herbs. The book explores the coded significances associated with various blooms, from flowers for a lover to flowers for an enemy. The language of flowers was historically used as a means of secret communication. It soared in popularity during the 19th century, especially in Victorian England and the U.S., when proper etiquette discouraged open displays of emotion. Mysterious and playful, the language of flowers has roots in everything from the characteristics of the plant to its presence in folklore and history. Researched and illustrated by popular artist Jessica Roux, this book makes a stunning display piece, conversation-starter, or thoughtful gift.",N/A,N/A,en
On the Various Contrivances by Which British and Foreign Orchids are Fertilised by Insects,['Charles Darwin'],1862,['Gardening'],This 1862 publication describes the flower structure of orchids and their pollination to illustrate aspects of Darwin's evolutionary theory.,N/A,N/A,en
The European Garden Flora Flowering Plants,"['James Cullen', 'Sabina G. Knees', 'H. Suzanne Cubey', 'J. M. H. Shaw']",2011-08-11,['Gardening'],"The European Garden Flora is the definitive manual for the accurate identification of cultivated ornamental flowering plants. Designed to meet the highest scientific standards, the vocabulary has nevertheless been kept as uncomplicated as possible so that the work is fully accessible to the informed gardener as well as to the professional botanist. This new edition has been thoroughly reorganised and revised, bringing it into line with modern taxonomic knowledge. Although European in name, the Flora covers plants cultivated in most areas of the United States and Canada as well as in non-tropical parts of Asia and Australasia. Volume 2 contains accounts of the first 71 families of Dicotyledons, including the Aizoaceae and Cactaceae (large and important families of succulents), as well as many tree families (Juglandaceae, Betulaceae, Fagaceae, Ulmaceae) and popular herbaceous plants (Ranunculaceae, Papaveraceae, Cruciferae).",N/A,N/A,en
"Magazine of Horticulture, Botany and All Useful Discoveries and Improvements in Rural Affairs",['Charles Mason Hovey'],1841,['Botany'],N/A,N/A,N/A,en
Thérèse Raquin,['Émile Zola'],2020-12-10,[],"Dingy apartment on the Passage du Pont-Neuf in Paris, Thérèse Raquin is trapped in a loveless marriage to her sickly cousin, Camille. The numbing tedium of her life is suddenly shattered when she embarks on a turbulent affair with her husband's earthy friend Laurent, but their animal passion for each other soon compels the lovers to commit a crime that will haunt them forever. Thérèse Raquin caused a scandal when it appeared in 1867 and brought its twenty-seven-year-old author a notoriety that followed him throughout his life. Zola's novel is not only an uninhibited portrayal of adultery, madness, and ghostly revenge, but also a devastating exploration of the darkest aspects of human existence.",N/A,N/A,en
"The Magazine of Horticulture, Botany, and All Useful Discoveries and Improvements in Rural Affairs",[],1841,['Fruit-culture'],N/A,N/A,N/A,en
The Legacy of Tethys,"['F.D. Por', 'Chanan Dimentman']",1989-10-31,['Gardening'],"This book is an attempt to present a comprehensive view on the aquatic biogeog raphy of a small but very dynamic and complex area of the globe. Luckily, this area, called here the Levant, has attracted much interest in the past and is being increasingly studied in the present. The interphasing between the knowledge of the historical and formative processes and that of the recent distributional aspects is fairly good. The recent years saw also a widening effort which expressed itself in several symposia and monographic books. Therefore I considered it possible to treat the whole subject of the aquatic biogeography of the Levant singlehandedly rather than in the presently widespread manner of an edited book. I am keenly conscious of the shortcommings of my approach of presenting much second-hand information. Possibly this is being compensated by the fact that this book has a more coherent structure and eventually a clearer scientific message. The effort spent in synthesizing the data from the widely different sources hopefully pays off in a presentation which is more easily comprehended by the average reader. For the suspicious reader, I would recommend to read first the closing chapter of this book in which the quintescence of this book and its message is presented in a summariz ing manner.",N/A,N/A,en
Concepts & Images,['Arthur Lee Loeb'],1993,['Art'],"1. Introduction . 1 2. Areas and Angles . . 6 3. Tessellations and Symmetry 14 4. The Postulate of Closest Approach 28 5. The Coexistence of Rotocenters 36 6. A Diophantine Equation and its Solutions 46 7. Enantiomorphy. . . . . . . . 57 8. Symmetry Elements in the Plane 77 9. Pentagonal Tessellations . 89 10. Hexagonal Tessellations 101 11. Dirichlet Domain 106 12. Points and Regions 116 13. A Look at Infinity . 122 14. An Irrational Number 128 15. The Notation of Calculus 137 16. Integrals and Logarithms 142 17. Growth Functions . . . 149 18. Sigmoids and the Seventh-year Trifurcation, a Metaphor 159 19. Dynamic Symmetry and Fibonacci Numbers 167 20. The Golden Triangle 179 21. Quasi Symmetry 193 Appendix I: Exercise in Glide Symmetry . 205 Appendix II: Construction of Logarithmic Spiral . 207 Bibliography . 210 Index . . . . . . . . . . . . . . . . . . . . 225 Concepts and Images is the result of twenty years of teaching at Harvard's Department of Visual and Environmental Studies in the Carpenter Center for the Visual Arts, a department devoted to turning out students articulate in images much as a language department teaches reading and expressing one self in words. It is a response to our students' requests for a ""handout"" and to l our colleagues' inquiries about the courses : Visual and Environmental Studies 175 (Introduction to Design Science), YES 176 (Synergetics, the Structure of Ordered Space), Studio Arts 125a (Design Science Workshop, Two-Dimension al), Studio Arts 125b (Design Science Workshop, Three-Dimensional),2 as well as my freshman seminars on Structure in Science and Art.",N/A,N/A,en
Globalization in World History,['Peter N. Stearns'],2009-10-20,['Gardening'],"Globalization in World History & nbsp;examines major changes in global interactions from 1000 CE onward, and defines four major turning points that have accelerated the process of globalization. It argues that although the term is a relatively new one, the process of globalization has roots much further back in time",N/A,N/A,en
