title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Extended Phenotype,['Richard Dawkins'],1999,['Science'],"In this influential and controversial book that has become a classic in popular science writing, Dawkins furthers his fascinating look at the evolution of life and natural selection.",5,N/A,en
The Selfish Gene,['Richard Dawkins'],1989,['Medical'],"Science need not be dull and bogged down by jargon, as Richard Dawkins proves in this entertaining look at evolution. The themes he takes up are the concepts of altruistic and selfish behaviour; the genetical definition of selfish interest; the evolution of aggressive behaviour; kinshiptheory; sex ratio theory; reciprocal altruism; deceit; and the natural selection of sex differences. 'Should be read, can be read by almost anyone. It describes with great skill a new face of the theory of evolution.' W.D. Hamilton, Science",4.5,N/A,en
A Dictionary of Biology,['Robert Hine'],2019,['Biochemistry'],Originally published in 1985 as A concise dictionary of biology.,N/A,N/A,en
The Mendelian Revolution,['Peter J. Bowler'],1989,['Science'],"Aristotle taught that a human embryo grows from a spiritual essence provided by the father. In the eighteenth century, some thinkers imagined preformed miniatures - the entire human race, one inside the other like Russian dolls, placed by God within the womb of Eve. Even when Gregor Mendel's now-famous experiments with peas revealed the existence of what Mendel called ""dominent"" and ""recessive"" traits, other researchers ignored the findings. The history of genetics, argues Peter J. Bowler, is often a history of scientists' religious, political, and social preconceptions. In The Mendelian Revolution Bowler shows how our thinking about heredity and reproduction has changed over centuries. He describes how modern notions of heredity developed, explains what Gregor Mendel's work really meant, and challenges the myth of Mendelism's ""rediscovery"" in the twentieth century. From the example of genetics, he reveals the flaws in the traditional view of scientific progress as an objective search for empirical truth. And he reveals how understanding Mendelism and heredity can help us understand the increasingly complex role of genetics in the modern world. -- from dust jacket.",N/A,N/A,en
Medical Ethics,['Robert M. Veatch'],1997,['Medical'],"A collection of readings on topics such as abortion, organ transplantation, and HIV. Valuable for practitioners, and students of medical ethics.",3.5,N/A,en
The Welfare of Cats,['Irene Rochlitz'],2007-04-17,['Science'],"Animal welfare is attracting increasing interest worldwide, but particularly from those in developed countries, who now have the knowledge and resources to be able to offer the best management systems for their farm animals, as well as potentially being able to offer plentiful resources for companion, zoo and laboratory animals. The increased attention given to farm animal welfare in the West derives largely from the fact that the relentless pursuit of financial reward and efficiency has led to the development of intensive animal production systems, that challenge the conscience of many consumers in those countries. In developing countries human survival is still a daily uncertainty, so that provision for animal welfare has to be balanced against human welfare. Welfare is usually provided for only if it supports the output of the animal, be it food, work, clothing, sport or companionship. In reality, there are resources for all if they are properly husbanded in both developing and developed countries. The inequitable division of the world’s riches creates physical and psychological poverty for humans and animals alike in all sectors of the world. Livestock are the world’s biggest land user (FAO, 2002) and the population is increasing rapidly to meet the need of an expanding human population. Populations of farm animals managed by humans are therefore increasing worldwide, and there is the tendency to allocate fewer resources to each animal. Increased attention to welfare issues is just as evident for companion, laboratory, wild and zoo animals.",1,N/A,en
Encyclopedia of Genetics,"['Eric C. R. Reeve', 'Isobel Black']",2001,['Medical'],"First Published in 2001. Routledge is an imprint of Taylor & Francis, an informa company.",5,N/A,en
"The 10,000 Year Explosion","['Gregory Cochran', 'Henry Harpending']",2009,['History'],"Two leading researchers make the controversial argument that the human species is still measurably evolving in important ways--in fact, faster than ever before.",N/A,N/A,en
A Dictionary of Genetics,"['Robert C. King', 'William D. Stansfield']",1997,['Medical'],"Modern genetics began in 1900 with the rediscovery of Mendel's paper, and now the sequencing of the human genome has brought the first century of progress in this field to a triumphant conclusion. Genetics has entered a new era with the advent of genomic and proteomic approaches, and the knowledge in no other biological discipline is advancing as rapidly as that in molecular genetics and cell biology. Proliferation of new terms inevitably accompanies such exponential growth. The sixth edition of A Dictionary of Genetics addresses the need of students and professionals to have access to an up-to-date reference source that defines not only the most recently coined terms, but in many cases also presents important ancillary encyclopedic information.A Dictionary of Genetics has a broader coverage than its name implies, since it includes definitions of strictly genetic words along with a variety of non-genetic terms often encountered in the literature of genetics. There are about 7,000 definitions, and tables or drawings that illustrate 395 of these. In addition to the main body of the dictionary, this work features new Appendices covering the genomic sizes and gene numbers of about 30 organisms ranging from the smallest known virus to humans, an up-to-date listing of internet addresses for easy access to genetic databanks, and a list of developments, inventions and advances in genetics, cytology, and evolutionary science from the past 400 years. These 900 entries, covering a period from 1590 to 2001, are also cross-referenced in the definitions that occur in the body of the dictionary. No other genetics dictionary supplies definitions cross-referenced to chronology entries or has species entries cross-referenced to an appendix showing the position of each organism in a taxonomic hierarchy. These features make A Dictionary of Genetics the most important lexicon in this field.",N/A,N/A,en
The Real Science Behind the X-Files,['Anne Simon'],2001,['Performing Arts'],"Could an alien organism really survive a centuries-long trip on a meteor and remain virulent enough to attack a human being? How would a scientist know she was peering at a microbe from another planet? What's the possibility of a genetically mutated monster actually developing? In a gripping exploration of the facts behind the science fiction that has enthralled millions of X-philes, Anne Simon -- the respected virologist who comes up with the science for many intriguing episodes -- discusses telomeres, cloning, the Hayflick limit, nanotechnology, endosymbionts, lentiviruses, and other strange phenomena that have challenged the intellect and threatened the lives and sanity of America's favorite FBI agents. With Simon's extraordinary gift for explaining complicated, cutting-edge science in a light, accessible style, and her behind-the-scenes commentary on the development of various plot lines, The Real Science Behind the X-Files will appeal to science buffs and X-Files aficionados alike.",4,N/A,en
The Gene,['Siddhartha Mukherjee'],2016-05-17,['History'],"Prologue: Families -- ""The missing science of heredity"" 1865-1935 -- ""In the sum of the parts, there are only the parts"" 1930-1970 -- ""The dreams of geneticists"" 1970-2001 -- ""The proper study of mankind is man"" 1970-2005 -- Through the looking glass 2001-2015 -- Post-genome 2015- ... -- Epilogue: Bheda, Abheda",N/A,N/A,en
The Third Twin,['Ken Follett'],1996,['Fiction'],"The study of twins and the genetics of aggression totally consumes research scientist Jeannie Ferrami. An accomplished and headstrong researcher, Jeannie has developed a sophisticated software program to identify identical twins reared apart. But Jeannie's breakthrough project is threatened by the appearance of a sudden impossibility--identical twins born weeks apart to different mothers at separate locations. When Jeannie's research assistant, Lisa, is raped, Steve Logan, a young law student who is one of Jeannie's research subjects, is identified in a police lineup as Lisa's attacker. Logan's genetic tests reveal no violent behavior patterns. Then Jeannie stumbles upon the beginnings of a stunning revelation. Logan is unaware of the existence of a criminal twin brother in jail. Jeannie is convinced of Steve's innocence, yet her judgment may be clouded by her growing emotional attachment to him. By now Jeannie's problems are mounting. Berrington Jones, Jeannie's arrogant and intimidating boss, is a world-renowned authority on biotechnical engineering. He and his partners are involved in devious but lucrative negotiations to sell Genetco, their biogenetic research company. Jeannie's research poses a major threat to their impending millions. Jones arranges to have Jeannie fired. Stunned and feeling helpless, Jeannie doesn't understand why this has happened to her. With Steve and his brother in jail, who is committing these sex crimes? While acting on a hunch that might solve the mystery surrounding Steve and his brother's birth, Jeannie is violently attacked by yet another twin who looks exactly like Steve. Determined to protect her research program and convinced her former boss has something important to hide, a terrified Jeannie has no other choice but to find out why Jones and his partners will stop at nothing to discredit her work.",3.5,N/A,en
The Rosie Project,['Graeme C. Simsion'],2013,['Fiction'],This title was previously published in 2013 in Australia by the Text Publishing Company.,4,N/A,en
"Genes, Peoples, and Languages",['Luigi Luca Cavalli-Sforza'],2001-04-03,['Language Arts & Disciplines'],Describes the birth and first few hours of a foal.,N/A,N/A,en
Biotechnology for Beginners,['Reinhard Renneberg'],2008,['Science'],"Offering an exciting and colorful overview of biotechnology for professionals and students in a wide array of the life sciences, this book also appeals to the lay reader without a scientific background who is interested in an entertaining and informative introduction to the key aspects of biotechnology.",5,N/A,en
The Monk in the Garden,['Robin Marantz Henig'],2000,['Biography & Autobiography'],"A study of the groundbreaking work in genetics conducted by Gregor Mendel, acclaimed as the father of modern genetics, argues that the Moravian monk was far ahead of his time.",N/A,N/A,en
Ethical Canary,['Margaret A. Somerville'],2004,['Medical'],"Addresses such topics as ""cloning, genetically modifying food, mapping human chromosomes, and using animal organs for human transplants."" Provides an ""engaged--and engaging--answer to one of our era's most difficult questions: should society set ethical limits on scientific advances?""",N/A,N/A,en
The Rosie Project,['Graeme Simsion'],2021-03-30,['Fiction'],Includes a conversation with the author.,N/A,N/A,en
Exploring Personal Genomics,"['Joel T. Dudley', 'Konrad J. Karczewski']",2013-01-03,['Medical'],"Rapid advances in high-throughput genome sequencing technologies foreshadow a near-future in which millions of individuals will gain affordable access to their complete genome sequence. This promises to give unprecedented insights into the fundamental biological nature of ourselves and our species: where we came from, how we are born, how we interact with our environment, how we get sick, how we get well, and how we age. Personal genomics is therefore an important component of the inevitable transition towards personalized medicine, as the medical establishment begins to explore and evaluate the role of personal genomics in health and medicine. However there is currently very little training available for medical practitioners. Exploring Personal Genomics provides a novel, inquiry-based approach to understanding and interpreting the practical, medical, and societal aspects of personal genomic information. It is presented in two parts: the first provides readers of all backgrounds with a fundamental understanding of the biology of human genomes, information on how to obtain and understand digital representations of personal genomic data, tools and techniques for exploring the personal genomics of ancestry and genealogy, discovery and interpretation of genetic trait associations, and the role of personal genomics in drug response. The second part offers more advanced readers an understanding of the science, tools, and techniques for investigating interactions between a personal genome and the environment, connecting DNA to physiology, assessing rare variants and structural variation, and exploring resources for performing personal biological investigation. This advanced textbook is primarily aimed at undergraduate and graduate students taking classes in genomic medicine, genetics, and bioinformatics. It will also be of relevance and use to medical practitioners, evolutionary biologists, geneticists and individuals interested in exploring their personal genetic data.",N/A,N/A,en
Evidence as to Man's Place in Nature,['Thomas Henry Huxley'],1877,['Evolution'],N/A,N/A,N/A,en
Intracellular Pangenesis,['Hugo de Vries'],1910,['Heredity'],N/A,N/A,N/A,en
The Genealogical Science,['Nadia Abu El-Haj'],2012-04-26,['History'],"This volume analyses the scientific work and social implications of the flourishing field of genetic history. The author examines genetic history's working assumptions about culture and nature, identity and biology, and the individual and the collective.",N/A,N/A,en
Omics Applications for Systems Biology,"['Wan Mohd Aizat', 'Hoe-Han Goh', 'Syarul Nataqain Baharum']",2018-10-31,['Science'],"This book explains omics at the most basic level, including how this new concept can be properly utilized in molecular and systems biology research. Most reviews and books on this topic have mainly focused on the technicalities and complexity of each omics’ platform, impeding readers to wholly understand its fundamentals and applications. This book tackles such gap and will be most beneficial to novice in this area, university students and even researchers. Basic workflow and practical guidance in each omics are also described, such that scientists can properly design their experimentation effectively. Furthermore, how each omics platform has been conducted in our institute (INBIOSIS) is also detailed, a comprehensive example on this topic to further enhance readers’ understanding. The contributors of each chapter have utilized the platforms in various manner within their own research and beyond. The contributors have also been interactively integrated and combined these different omics approaches in their research, being able to systematically write each chapter with the conscious knowledge of other inter-relating topics of omics. The potential readers and audience of this book can come from undergraduate and postgraduate students who wish to extend their comprehension in the topics of molecular biology and big data analysis using omics platforms. Furthermore, researchers and scientists whom may have expertise in basic molecular biology can extend their experimentation using the omics technologies and workflow outlined in this book, benefiting their research in the long run.",N/A,N/A,en
River Out of Eden,['Richard Dawkins'],1996,['Evolution'],"The Number One SUNDAY TIMES bestseller. A fascinating explanation of how evolution works, from bestselling author Richard Dawkins. The river of Dawkins's title is a river of DNA, flowing through time from the beginning of life on earth to the present - and onwards. Dawkins explains that DNA must be thought of as the most sophisticated information system imaginable: 'Life is just bytes and bytes of information,' he writes. Using this perspective, he describes the mechanisms by which evolution has taken place, gradually but inexorably, over a period of three thousand million years. It is the story of how evolution happens, rather than a narrative of what has actually happened in evolution. He discusses current views on the process of human evolution, including the idea that we all trace back to a comparatively recent African 'Eve', and speculates that the �information explosion' that was unleashed on Earth when DNA came into being has almost certainly happened in other places in the universe.",N/A,N/A,en
The Edge of Evolution,['Michael J. Behe'],2007,['Religion'],"""With Behes book, the theory of intelligent design finally has its masterwork, a comprehensive scientific statement that draws the line between random and non-random mutation in nature, arguing that random mutation plays only a minor role in evolutionary change.""--BOOK JACKET.",5,N/A,en
An Introduction to Genetic Analysis,['Anthony J.F. Griffiths'],2005,['Science'],"The eighth edition of 'An Introduction to Genetic Analysis' has been extensively revised, shaping its coverage to match current research and thinking in genetics.",N/A,N/A,en
