title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Gallery of Geography,['Thomas Milner'],1872,['Australia'],N/A,N/A,N/A,en
Physics of the Solar Corona,['Markus Aschwanden'],2006-01-30,['Science'],"A thorough introduction to solar physics based on recent spacecraft observations. The author introduces the solar corona and sets it in the context of basic plasma physics before moving on to discuss plasma instabilities and plasma heating processes. The latest results on coronal heating and radiation are presented. Spectacular phenomena such as solar flares and coronal mass ejections are described in detail, together with their potential effects on the Earth.",N/A,N/A,en
Historical Encyclopedia of Natural and Mathematical Sciences,['Ari Ben-Menahem'],2009-03-06,['Biography & Autobiography'],"The 5800-page Encyclopedia surveys 100 generations of great thinkers, offering 2070 detailed biographies of scientists, engineers, explorers and inventors, who left their mark on the history of science and technology. This six-volume masterwork also includes 380 articles summarizing the time-line of ideas in the leading fields of science, technology, mathematics and philosophy, plus useful tables, figures and photos, and 20 ‘Science Progress Reports’ detailing scientific setbacks. Interspersed throughout are quotations, gathered from the wit and wisdom of sages, savants and scholars throughout the ages from antiquity to modern times. The Encyclopedia represents 20 years’ work by the sole author, Ari Ben-Menahem, of Israel’s Weizmann Institute of Science",N/A,N/A,en
Ptolemy's Geography,"['Ptolemy', 'J. Lennart Berggren', 'Alexander Jones']",2002-01-15,['History'],"Ptolemy's Geography is the only book on cartography to have survived from the classical period and one of the most influential scientific works of all time. Written in the second century AD, for more than fifteen centuries it was the most detailed topography of Europe and Asia available and the best reference on how to gather data and draw maps. Ptolemy championed the use of astronomical observation and applied mathematics in determining geographical locations. But more importantly, he introduced the practice of writing down coordinates of latitude and longitude for every feature drawn on a world map, so that someone else possessing only the text of the Geography could reproduce Ptolemy's map at any time, in whole or in part, at any scale. Here Berggren and Jones render an exemplary translation of the Geography and provide a thorough introduction, which treats the historical and technical background of Ptolemy's work, the contents of the Geography, and the later history of the work.",N/A,N/A,en
The Sun from Space,['Kenneth Lang'],2000-08-15,['Science'],"A comprehensive account of solar astrophysics and how our perception and knowledge of this star have gradually changed as mankind has elucidated ever more of its mysteries. The emphasis here is on the last decade, which has seen three successful solar spacecraft missions: SOHO, Ulysses and Yohkoh. Together, these have confirmed many aspects of the solar standard model and provided new clues to the numerous open questions that remain. The author, a leading researcher in the field, writes in a clear and concise style. Known also for his famous books ""Astrophysical Formulae"", ""Sun, Earth and Sky"" and the prize-winning ""Wanderers in Space"", he has succeeded once again in addressing a complex scientific topic in a very approachable way.",N/A,N/A,en
Petrogenesis of Metamorphic Rocks,['Kurt Bucher'],1994-01-01,['Electronic books'],"The new edition of Winkler's textbook, completely revised by K. Bucher and M. Frey, is written at the same level as the preceding editions. Numerous diagrams showing the stability relations among minerals found in metamorphic rocks help to determine the pressure and temperature conditions under which a given set of metamorphic rocks may have formed. Part I explains basic principles of metamorphism, introduces metamorphic processes and geologic thermobarometry, and defines metamorphic grade. Part II presents in a systematic way mineralogical changes and assemblages found in the most common types of rocks. The computation of the diagrams is based on recent advances in quantitative petrology and geochemistry. An extensive bibliography makes it an invaluable source book for graduate students and professional geologists.",N/A,N/A,en
"Man and Nature; Or, Physical Geography as Modified by Human Action",['George Perkins Marsh'],1864,['Conservation of natural resources'],N/A,N/A,N/A,en
The Arid Frontier,"['Hendrik J. Bruins', 'Harvey Lithwick']",1998,['Business & Economics'],"Dry lands cover more than one-third of the global land surface, distributed over Africa, Asia, Australia, America, and Southern Europe. This volume presents a conceptual framework, with case studies, in dryland development and management. Contributors emphasize development which is beneficial for both the environment and society and is based on appropriate ethics, legislation, policy, proactive planning , and interactive management. Contributions focus on the principle interactions between people and drylands environments in terms of drought, food, land, water, renewable energy, and housing. The volume's 18 chapters are contained within the following six sections: a management approach to environment and development; environmental policy, planning and management; desertification and climatic variability in arid environments; drought, food, and land management in Africa; management of water re sources; and renewable energy for development of arid lands. Includes a few bandw maps, charts. Lacks an index. Annotation copyrighted by Book News, Inc., Portland, OR",N/A,N/A,en
Encyclopedia of World Geography,[],2002,['Juvenile Nonfiction'],"Each volume focuses on a specific geographic region covering its physical geography, economics, government, and peoples.",N/A,N/A,en
Desert Regions,"['Boris A. Portnov', 'A. Paul Hare']",2012-12-06,['Science'],"Despite the common understanding of the importance of desert development in the contemporary world, there are relatively few books published to date on this sub ject. The books and collective volumes published in this field deal primarily with environmental and physical aspects of desert development such as soil, agricul ture, vegetation, water resources, etc. In contrast, this book addresses the issues of regional and urban development in desert areas, which have not been given sufficient attention. The present book is socially oriented. It considers physical development of desert regions not as an end in itself, but rather as an essential precondition for creating socially attractive and desirable environments for human settlement. The book addresses the issues of desert development at three distinctive conceptual levels - region, urban envi ronment, and building -and deals with both cold and hot deserts. Approximately half of the chapters in this book are original contributions that have not been published elsewhere. The remaining chapters fall into two groups: 1) chapters which have been reprinted from various refereed journals, and 2) chapters initially printed elsewhere and revised by their respective authors specifi cally for this collective volume. In the former case, permission to reproduce the material has been obtained from the respective copyright holders, and the details of original publication and names of copyright holders are indicated in footnotes.",N/A,N/A,en
