title,authors,publishedDate,categories,description,averageRating,textSnippet,language
"Principles of Geology, Or, The Modern Changes of the Earth and Its Inhabitants Considered as Illustrative of Geology",['Sir Charles Lyell'],1858,['Geology'],N/A,N/A,N/A,en
Petrogenesis of Metamorphic Rocks,['Kurt Bucher'],1994-01-01,['Electronic books'],"The new edition of Winkler's textbook, completely revised by K. Bucher and M. Frey, is written at the same level as the preceding editions. Numerous diagrams showing the stability relations among minerals found in metamorphic rocks help to determine the pressure and temperature conditions under which a given set of metamorphic rocks may have formed. Part I explains basic principles of metamorphism, introduces metamorphic processes and geologic thermobarometry, and defines metamorphic grade. Part II presents in a systematic way mineralogical changes and assemblages found in the most common types of rocks. The computation of the diagrams is based on recent advances in quantitative petrology and geochemistry. An extensive bibliography makes it an invaluable source book for graduate students and professional geologists.",N/A,N/A,en
The Student's Elements of Geology,['Sir Charles Lyell'],1878,['Geology'],N/A,N/A,N/A,en
Bulletin of the American Museum of Natural History,['American Museum of Natural History'],1895,['Anthropology'],"Comprises articles on geology, paleontology, mammalogy, ornithology, entomology and anthropology.",N/A,N/A,en
"Discourses, Biological and Geological",['Thomas Henry Huxley'],1894,['Biology'],N/A,N/A,N/A,en
"Principles of Geology; Or, The Modern Changes of the Earth and Its Inhabitants Considered as Illustrative of Geology",['Charles Lyell'],1908,['Geology'],N/A,N/A,N/A,en
Santorini and Its Eruptions,['Ferdinand Fouqué'],1998,['Nature'],"Ben Lewin writes and directs this drama about the sexual awakening of a life-long polio sufferer. John Hawkes stars as Mark O'Brien, a writer in his late thirties who has spent his life lying horizontally in an iron lung since a debilitating childhood bout of polio. A poet and a romantic, Mark has lived a life devoid of sexual intimacy. When he is given the job of writing an article about the sex lives of the disabled, he arranges - with the support of his local priest, Father Brendan (William H. Macy) - to employ the services of sexual surrogate Cheryl (Helen Hunt). Their 'sessions' take Mark on an unexpected journey of discovery and self-awareness.",5,N/A,en
"Charles Darwin's Diary of the Voyage of H. M. S. ""Beagle,""",['Charles Darwin'],1969,['Beagle Expedition'],N/A,N/A,N/A,en
Essay on the Theory of the Earth,['Georges baron Cuvier'],1817,['Geology'],N/A,N/A,N/A,en
A Journey in Brazil,"['Louis Agassiz', 'Elizabeth Cabot Cary Agassiz']",1868,['Brazil'],N/A,N/A,N/A,en
Sinkholes and Subsidence,"['Tony Waltham', 'Fred G. Bell', 'Martin G. Culshaw']",2005,['Science'],"Sinkholes and Subsidence will provide a twenty-first century account of how the various subsidence features in carbonate and evaporite rocks cause problems in development and construction, in our living environment. The authors consider the various methods used in site investigations, both direct and indirect, to locate the features associated with these associated hazards and risks, highlighting the value of hazard mapping. Various ground improvement techniques, such as grouting, and the special types of foundation structures which deal with these problems are covered towards the end of the book. This book is supplemented with a wealth of actual case studies and solutions, written by invited experts. TOC:Introduction Classification and nomenclature. Failures in rock (collapse and caprock sinkholes). Failures in soil (subsidence sinkholes). Buried sinkholes. Induced sinkholes. Collapses in basalt lavas Investigation (direct methods, geophysical methods, site characterization, hazard maps). Engineering and remediation (foundations, reservoirs, dams, ground treatment). Case histories",N/A,N/A,en
Economic Evaluations in Exploration,"['Friedrich-Wilhelm Wellmer', 'Manfred Dalheimer', 'Markus Wagner']",2007-11-29,['Science'],"This textbook, now in its second English edition, is originally a translation of the G- man textbook “Rechnen für Lagerstättenkundler und Rohstoffwirtschaftler, Teil 1”, also translated into the Chinese and Russian languages. Compared to the previous English and German editions the chapters have been updated with new examples and in many cases amended. The textbook is intended for the economic geologist who deals with the evaluation of deposits at an early stage of development. Once an exploration project has reached the feasibility stage, the exact calculations that are necessary for a comprehensive te- nical and economic assessment will be performed by a team of geologists, mining engineers, metallurgists, and economists. In the early stages of exploration, however, any evaluator of deposits must be able to cover the whole spectrum himself. Since only order of magnitude parameters are available at this early stage, the c- culations can only yield order of magnitude results. Precise calculations would even be misleading, since the evaluation does not yet aim at accurate economic assessment but at making the right decision: should the investigation be abandoned or should it be continued at higher costs and with more detailed methods.",N/A,N/A,en
Aridity,['Monique Mainguet'],1999,['Nature'],"At the intersection of environmental science and human biology, this book deals with dry ecosystems, the societies so affected, and the inventiveness of those living under such conditions. It also tries to answer the question of whether long-lasting development is possible in dry environments.",4,N/A,en
The Voyage of the Beagle,['Charles Darwin'],1909,['Beagle Expedition'],With introductions and notes.,N/A,N/A,en
Nicolaus Steno,"['Troels Kardel', 'Paul Maquet']",2018-06-11,['Science'],"This is by far the most exhaustive biography on Niels Stensen, anatomist, geologist and bishop, better known as ""Nicolaus Steno"". We learn about the scientist’s family and background in Lutheran Denmark, of his teachers at home and abroad, of his studies and travels in the Netherlands, Belgium, France, Italy, Austria, Hungary, Bohemia and Germany, of his many pioneering achievements in anatomy and geology, of his encounters with Swammerdam, Malpighi and with members of the newly established Royal Society of London and the Accademia del Cimento in Florence, and with the philosopher Spinoza. It further treats Stensen’s religious conversion. The book includes the full set of Steno's anatomical and geological scientific papers in original language. The editors thoroughly translated the original Latin text to English, and included numerous footnotes on the background of this bibliographic and scientific treasure from the 17th century.",N/A,N/A,en
A Manual of Elementary Geology,['Sir Charles Lyell'],1855,['Geology'],N/A,N/A,N/A,en
New Chapters in the Warfare of Science,['Andrew Dickson White'],1888,['Bible and geology'],N/A,N/A,N/A,en
