title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Dialogues Concerning Natural Religion,['David Hume'],1779,['Religion'],"Dialogues Concerning Natural Religion is a philosophical work written by the Scottish philosopher David Hume. Through dialogue, three fictional characters named Demea, Philo, and Cleanthes debate the nature of God's existence. While all three agree that a god exists, they differ sharply in opinion on God's nature or attributes and how, or if, humankind can come to knowledge of a deity. In the Dialogues, Hume's characters debate a number of arguments for the existence of God, and arguments whose proponents believe through which we may come to know the nature of God. Such topics debated include the argument from design - for which Hume uses a house - and whether there is more suffering or good in the world (Argument from evil)",N/A,N/A,en
On Free Choice of the Will,"['Augustine', 'Thomas Williams']",1993-01-01,['Philosophy'],"""Translated with an uncanny sense for the overall point of Augustine's doctrine. In short, a very good translation. The Introduction is admirably clear."" --Paul Vincent Spade, Indiana University",3,N/A,en
Church Dogmatics,"['Karl Barth', 'Thomas Forsyth Torrance']",2004,['Religion'],N/A,N/A,N/A,en
I and Thou,['Martin Buber'],2012-05-24,['History'],"I AND THOU is one of the most important books of Western Theology. In it, Martin Buber, heavily influenced by the writings of Nietzsche, unites the proto-Existentialist currents of modern German thought with the Judeo-Christian tradition, powerfully updating faith for modern times. Since its first appearance in Germany in 1923, this slender volume has become one of the epoch-making works of our time.This work is the centerpiece of Buber's philosophy. It lays out a view of the world in which human beings can enter into relationships usung their innermost and whole beings to form true partnerships. This is the original English translation, and it was prepared in the author;'s presence.",N/A,N/A,en
Concise Theology,['J. I. Packer'],2001-02,['Religion'],"Theology matters! At last it can be understood easily, thanks to this “layman's language” approach to biblical belief. Authored by J. I. Packer, one of the premier theologians of Christianity, this summary of Christian teaching covers nearly 100 major Christian beliefs from a Reformed perspective. Brief, easy-to-understand chapters offer precise descriptions without sacrificing depth. Thoughtfully arranged and refreshingly readable, this is a book that belongs on the shelf of every Christian.",5,N/A,en
The Torah's Vision of Worship,['Samuel E. Balentine'],1999-07-30,['Bible'],"A complement to the author's earlier Overtures to Biblical Theology study on prayer, this volume addresses the topic of worship as articulated in the first five books of the Bible. Rather than a history of Israelite religion, Balentine's volume examines the ""vision"" of worship expounded in the Torah in relation to priesthood, creation, liturgy, and covenant. He concludes by discussing the contemporary situation of experiencing God's hiddenness and a world caught in despair. Balentine proposes that a fresh look at the Torah offers possibilities of counter-imagination and hope.",N/A,N/A,en
Jesus and the God of Israel,['Richard Bauckham'],2008-12-15,['Religion'],"This book is a greatly revised and expanded edition of Richard Bauckham's acclaimed God Crucified: Monotheism and Christology in the New Testament (1999), which helped redirect scholarly discussion of early Christology.",N/A,N/A,en
The Way of Perfection,"['Saint Teresa (of Avila)', 'Kieran Kavanaugh', 'Otilio Rodríguez']",2000,['Religion'],"St. Teresa of Avila is an unsurpassed teacher of Christian prayer, and in The Way of Perfection she is at her best. Now with the help of this study edition and its helpful commentary and explanations by Teresian expert Fr. Kieran Kavanaugh, everyone can enjoy the benefits of her wisdom. More Information A Study Edition, with Introduction, Commentary, Discussion Questions, and Glossary. St. Teresa of Avila is an unsurpassed teacher of Christian prayer and spirituality, and in The Way of Perfection she is at her best. Now, with the help of this study edition, everyone can enjoy the benefits of her wisdom. In The Way of Perfection, St. Teresa gives practical counsels and advice on prayer, destined originally for the few nuns who embraced the reformed Carmelite life she established. As a handbook for spiritual formation, it presented them with the basic Christian spirituality undergirding their Constitutions and Rule. Over the centuries, the book's appeal has reached far beyond the walls of Carmelite monasteries, and The Way of Perfection has become a spiritual classic. More and more today, Teresa's instructions speak to all those interested in prayer, providing them with basic guidelines for praying and showing how to avoid potential pitfalls. But as the readership and interest grow, so does the need for some help in working with this sixteenth-century text. The principles and teachings in Teresa's book, first presented within the limited horizons of her own situation, clearly lend themselves to broader applications, and can work well in all walks of life. This study edition-with its introduction, commentary, notes, discussion questions, and glossary-provides what is needed to assist contemporary readers in making these applications and delving more deeply into the text's spiritual riches.",N/A,N/A,en
Bride of the Lamb,"['Sergej Nikolaevič Bulgakov', 'Sergius Bulgakov']",2002-02-14,['Religion'],"Sergius Bulgakov is thought by many to be the twentieth century's foremost Russian Orthodox theologian. The Bride of the Lamb is widely regarded as Bulgakov's magnum opus and, even more, as one of the greatest works ever produced in the modern Orthodox church. This book is now available for the first time in English, complete with an introduction to Bulgakov and his theological context.For readers new to Russian religious thought, The Bride of the Lamb presents a fresh approach to Christian doctrine. Bulgakov examines issues of ecclesiology and eschatology from a sophiological perspective. This distinctive Russian approach, based on the doctrine of Sophia, the wisdom of God, sees the Creator and creation intimately linked as Divine-humanity. The Bride of the Lamb explores the nature of created beings, the relationship between God and the world, the role of the church, and such eschatological themes as the second coming of Jesus, resurrection and judgment, and the afterlife. Copyright © Libri GmbH. All rights reserved.",N/A,N/A,en
The Non-existence of God,['Nicholas Everitt'],2004,['Philosophy'],"Arguments for the existence of God have taken many different forms over the centuries: in The Non-Existence of God, Everitt considers all the arguments and examines the role that reason and knowledge play in the debate over God's existence.",N/A,N/A,en
