title,authors,publishedDate,categories,description,averageRating,textSnippet
BMX Breakthrough,['Carl Bowen'],2011-07,['Juvenile Nonfiction'],"Bill lost his grip while doing a Superman and slammed into the concrete. Now, he's afraid to take flight.",N/A,N/A
The Prince,"['Erica Farber', 'John R. Sansevere', 'Mercer Mayer']",2006,['Juvenile Fiction'],"The Critter Kids travel to a castle in england where they hear of a prince who traded places with a look-alike peasant. But who eventually became king, the prince or the peasant?",N/A,N/A
Oprah Winfrey,['Gary Jeffrey'],2006-08-15,['Juvenile Nonfiction'],"A brief profile in graphic novel format, of daytime talk show host Oprah Winfrey.",N/A,N/A
The Alien from Outer Space,"['Erica Farber', 'John R. Sansevere', 'Mercer Mayer']",2006,['Juvenile Fiction'],The Critter Kids gather around the camp fire to listen to the story about what happened during the town's blackout.,N/A,N/A
Neon Genesis Evangelion,['Yoshiyuki Sadamoto'],1998,['Comics & Graphic Novels'],"After a profoundly disturbing vision leads Rei to sacrifice herself in combat against the penultimate Angel, Armisael, Kaworu takes the opportunity to try to get closer to his own target. But Shinji's anger and confusion at Kaworu's advances develop into even darker feelings. Older teens.",N/A,N/A
Nancy Drew #5: The Fake Heir,"['Stefan Petrucha', 'Carolyn Keene']",2006-04-18,['Comics & Graphic Novels'],"Contemporary detective, Nancy Drew, teams with her friends to solve new mysteries.",N/A,N/A
Henry V,['John McDonald'],2010,['Young Adult Fiction'],"Classic Graphic Novels, the new collection from Lucent Books, brings the classics to life for a whole new generation of readers. Designed especially for young fans of the classics, comic book buffs and reluctant readers, this collection utilizes a fresh blend of contemporary storytelling and captivating artwork to entertain, educate and encourage students to return to these stories again and again.",N/A,N/A
Nancy Drew #6: Mr. Cheeters Is Missing,"['Stefan Petrucha', 'Sho Murase', 'Carolyn Keene']",2006-08-08,['Juvenile Nonfiction'],"Contemporary detective, Nancy Drew, teams with her friends to solve new mysteries.",4,N/A
Geronimo Stilton #6: Who Stole the Mona Lisa?,['Geronimo Stilton'],2010-10-26,['Juvenile Fiction'],"When the Pirate Cats travel back in time to steal Leonardo da Vinci's Mona Lisa, Geronimo Stilton and his friends try to stop them.",N/A,N/A
The Odyssey; Based On Homer's Epic Poem,['Gareth Hinds'],2010,['graphic'],N/A,N/A,N/A
