title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Great Escape,['Angus Deaton'],2024-05-21,['Business & Economics'],"The world is a better place than it used to be. People are wealthier and healthier. Yet the escapes from destitution by so many have left gaping inequalities between people and between nations. This book tells the story of how, some parts of the world began to experience sustained progress, and set the stage for unequal world.",N/A,N/A,en
Handbook of Self-Regulation,"['Monique Boekaerts', 'Paul R Pintrich', 'Moshe Zeidner']",2005-07-25,['Education'],"The Handbook of Self-Regulation represents state-of-the-art coverage of the latest theory, research, and developments in applications of self-regulation research. Chapters are of interest to psychologists interested in the development and operation of self-regulation as well as applications to health, organizational, clinical, and educational psychology.This book pulls together theory, research, and applications in the self-regulation domain and provides broad coverage of conceptual, methodological, and treatment issues. In view of the burgeoning interest and massive research on various aspects of self-regulation, the time seems ripe for this Handbook, aimed at reflecting the current state of the field. The goal is to provide researchers, students, and clinicians in the field with substantial state-of-the-art overviews, reviews, and reflections on the conceptual and methodological issues and complexities particular to self-regulation research. Coverage of state-of-the-art in self-regulation research from different perspectives Application of self-regulation research to health, clinical, organizational, and educational psychology Brings together in one volume research on self-regulation in different subdisciplines Most comprehensive and penetrating compendium of information on self-regulation from multi-disciplinary perspectives",N/A,N/A,en
"Health, the Basics","['Rebecca J. Donatelle', 'Lorraine G. Davis']",1994,['Health & Fitness'],"This is a compact version of the personal health text Access to Health third edition. This text, while substantially shorter than the full version, continues to provide a thorough coverage of health and well-being concepts and theory.",4,N/A,en
Essential Concepts for Healthy Living,"['Sandra Alters', 'Wendy Schiff']",2003,['Health & Fitness'],N/A,N/A,N/A,en
The Fyrst Boke of the Introduction of Knowledge,['Andrew Boorde'],1870,['Beards'],N/A,N/A,N/A,en
The Meaning of Illness,"['Marc Augé', 'Claudine Herzlich']",1995,['Medical'],"First Published in 1995. Routledge is an imprint of Taylor & Francis, an informa company.",N/A,N/A,en
The China Study,"['T. Colin Campbell', 'Thomas M. Campbell (II.)']",2006,['Health & Fitness'],"These issues all come down to three things: breakfast, lunch and dinner.",4.5,N/A,en
"Health, Stress, and Coping",['Aaron Antonovsky'],1979,['Self-Help'],"I denne bog undersøger Antonovsky de sociale og psykologiske ressourcer, som folk har til at bekæmpe stress og sygdom. Fra tidligere undersøgelser i medicinsk sociologi, psykiatri, personlighedspsykologi og kulturel antropologi har han udviklet en teori, som forklarer hvorfor nogle bestemte mennesker og grupper har succes med at mestre stress. De fleste af disse mennesker har en sans for sammenhæng, en generel holdning til at livet er meningsfuldt og til at håndtere. For at finde kilden til denne meningsfuldhed undersøger Antonovsky disse menneskers opvækst, sociale relationer og kulturelle baggrund, og han viser, at en bred variation af medicinske data passer og bekræfter hans teori om, hvordan sociale strukturer og relationer fremmer mestring og sundhed.",N/A,N/A,en
Principles of Gender-specific Medicine,"['Marianne J. Legato', 'John P. Bilezikian']",2004,['Health & Fitness'],"Principles of Gender-Specific Medicine examines how normal human biology differs between men and women and how the diagnosis and treatment of disease differs as a function of gender. This revealing research covers various conditions that predominantly occur in men, and as well conditions that predominantly occur in women. Among the subjects covered are cardiovascular disease, mood disorders, the immune system, lung cancer as a consequence of smoking, osteoporosis, diabetes, obesity, and infectious diseases. * Gathers important information in the field of gender-based biology and clinical medicine, proving that a patient's sex is increasingly important in preventing illness, making an accurate diagnosis, and choosing safe and effective treatment of disease * Addresses gender-specific areas ranging from organ transplantation, gall bladder and biliary diseases, to the epidemiology of osteoporosis and fractures in men and women * Many chapters present questions about future directions of investigations",N/A,N/A,en
Le normal et le pathologique,['Georges Canguilhem'],1984,['Medicine'],N/A,N/A,N/A,fr
Encyclopedia of Family Health,"['David B. Jacoby', 'R. M. Youngson']",2004,['Health & Fitness'],An eighteen-volume guide to family health which includes answers to commonly asked medical questions.,N/A,N/A,en
The Secret Garden,['Frances Hodgson Burnett'],1994,['Juvenile Fiction'],Ten-year-old Mary comes to live in a lonely house on the Yorkshire moors and discovers an invalid cousin and the mysteries of a locked garden.,N/A,N/A,en
The Ministry of Healing,['Ellen Gould Harmon White'],1909,['California'],"This book has been around a while. Since it was first published, a lot of other books about health have come and gone. Some of them have been bigger than this one, but none of them have ever been better. Perhaps you have noticed the explosion in diet and exercise publications. Today it is obvious that the pursuit of health and fitness is more than just a quick fad. Looking and feeling good isn't optional, for many people these days, it's a high lifestyle priority. ""The Ministry of Healing"" is a book that crusades for total fitness, not just physical fitness because we are human beings and are more than just bodies. This book speaks to the needs of the whole person, body, mind and spirit. For a whole lot less than one visit to the Doctor, this classic on health will tell you how to manage stress, get well and prevent disease while feeling vibrantly alive. - The True Medical Missionary. The Work of the Physician. Medical Missionaries and Their Work. The Care of the Sick. Health Principles. The Home .The Essential Knowledge. The Worker's Need. Scripture Index. General Index",5,N/A,en
Body for Life,"['Bill Phillips', ""Michael D'Orso""]",2002,['Health & Fitness'],"NB: UK/EIRE RIGHTS ONLY The fitness no. 1 bestseller Body for Life is a twelve week programme that promises to Change Your Mind, Change Your Body, Change Your Life. Bill Phillips' exercise and nutrition plan has been proven to produce dramatic results for tens of thousands of people, whatever their state of fitness. The programme comprises weight training, aerobic exercise, a careful diet and in addition it addresses the reader's own personal goals and encourages personal transformation mentally not just physically. The tone of the author is that of a personal trainer and motivation coach in book form. The Body for Life Programme reveals:*how to lose fat and increase your strength by exercising less, not more*how to tap into an endless source of energy with his 'Power Mindset'*how to trade hours of aerobics for minutes of weight training - with dramatic results*how to feed your muscles and starve your fat with his eating plan*how resistance training can significantly increase your metabolic rate allowing you to burn fat and change the shape of your body The principles behind the programme are simple yet powerful and they can work for you in as little as 12 weeks, transforming not only your body, but the way you live your life.",N/A,N/A,en
Handbook of Religion and Health,"['Harold G. Koenig', 'Tyler J. VanderWeele', 'John R. Peteet']",2024,['Medical'],"Beginning with a Foreword by Dr. Howard K. Koh, former US Assistant Secretary for Health for the Department of Health and Human Services, this volume examines almost every aspect of health, reviewing past and more recent research on the relationship between religion and health outcomes.",N/A,N/A,en
Keep Clean,['Katie Bagley'],2002,['Juvenile Nonfiction'],"""An introduction to hygiene, including germs, head lice, wearing clean clothes, and the importance of washing the body, hands, and hair""--T.p. verso.",N/A,N/A,en
Science and Health with Key to the Scriptures,['Mary Baker Eddy'],1894,['Bible'],N/A,N/A,N/A,en
A Guide To Health,['Mahatma Gandhi'],2023-10-01,['Fiction'],As the familiar saying goes; ‘Prevention is better than cure.’ It is far easier and safer to prevent illness by the observance of the laws of health than to set about curing the illness which has been brought on by our own ignorance and carelessness. Hence it is the duty of all thoughtful men to understand aright the laws of health; and the object of this book is to give an account of these laws. The best methods of cure for some of the most common diseases are also mentioned. The author Mahatma Gandhi assures the readers that there is absolutely no necessity for them to seek the aid of doctors. To those; however; who may not be willing to boycott doctors and medicines altogether; he directs; “As possible; possess your souls in patience; and do not trouble the doctors. In case you are forced at length to call in the aid of a doctor; be sure to get a good man; then; follow his directions strictly; and do not call in another doctor; unless by his own advice. But remember; above all; that the curing of your disease does not rest ultimately in the hands of any doctor.” Mahatma Gandhi led a disciplined life and in this book he has discussed in detail the meaning of health; how to live a healthy life and has also suggested some simple treatments for common ailments. A practical guide to health for all.,N/A,N/A,en
Encyclopedia of Health,['Brian Kinsey'],2010,['Health & Fitness'],"Revised and expanded, the Fourth Edition of the Encyclopedia of Health has been written specifically to help young people make the right choices about their health.",N/A,N/A,en
