title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Bhagavad-gita As It Is,['His Divine Grace A. C. Bhaktivedanta Swami Prabhupada'],N/A,['Philosophy'],"The largest-selling edition of the Gita in the Western world, Bhagavad-gita As It Is is more than a book. It is alive with knowledge and devotion; thus it has the power to change your life for the better. Bhagavad-gita is knowledge of five basic truths and the relationship of each truth to the other: These five truths are Krishna, or God, the individual soul, the material world, action in this world, and time. The Gita lucidly explains the nature of consciousness, the self, and the universe. It is the essence of India's spiritual wisdom, the answers to questions posed by philosophers for centuries. In translating the Gita, A. C. Bhaktivedanta Swami Prabhupada has remained loyal to the intended meaning of Krishna's words, and thus he has unlocked all the secrets of the ancient knowledge of the Gita and placed them before us as an exciting opportunity for self-improvement and spiritual fulfillment. The Gita is a conversation between Krishna and His dear friend Arjuna. At the last moment before entering a battle between brothers and friends, the great warrior Arjuna begins to wonder: Why should he fight? What is the meaning of his life? Where is he going after death? In response, Krishna brings His friend from perplexity to spiritual enlightenment, and each one of us is invited to walk the same path.",4.5,N/A,en
The Beginning and the End of 'Religion',['Nicholas Lash'],1996-06-28,['Religion'],"The common view that 'religion' is something quite separate from politics, art, science, law and economics is one that is peculiar to modern Western culture. In this book Professor Lash argues that we should begin to question seriously that viewpoint: the modern world is ending and we are now in a position to discover new forms of ancient wisdom, which have been obscured from view. These essays explore this idea in a number of directions, examining the dialogue between theology and science, the secularity of Western culture and questions of Christian hope. Part One examines the dialogue between Christianity and Hinduism, while Part Two considers the relations between theology and science, the secularity of Western culture, and questions of Christian hope, or eschatology.",N/A,N/A,en
Hinduism,['Roshen Dalal'],2010,['Religion'],"Hinduism is one of the world’s oldest religions; an amalgam of diverse beliefs and schools, it originates in the Vedas and is rooted in Indian culture. Hinduism: An Alphabetical Guide illuminates complex philosophical concepts through lucid definitions, a historical perspective and incisive analyses. It examines various aspects of Hinduism, covering festivals and rituals, gods and goddesses, philosophers, memorials, aesthetics, and sacred plants and animals. The author also explores pivotal ideas, including moksha, karma, dharma and samsara, and details the diverse commentaries on the Bhagavad Gita and other important texts. Citing extensively from the regional languages, the book describes Hinduism’s innumerable myths and legends, and looks at the many versions of texts including the Ramayana and Mahabharata, placing each entry in its historical context and tracing its evolution to the present.",4,N/A,en
The Upanishads,['Eknath Easwaran'],2007-08-28,['Religion'],"Among the oldest of India’s spiritual texts, the Upanishads are records of intensive question-and-answer sessions given by illumined sages to their students. Widely featured in philosophy courses, the Upanishads have puzzled and inspired wisdom seekers from Yeats to Schopenhauer. Eknath Easwaran makes this challenging text more accessible by selecting the passages most relevant to readers seeking timeless truths today. His accessible, highly readable translation and lively foreword place the teachings in a contemporary context for students and general readers alike.",N/A,N/A,en
Illustrated World's Religions,['Huston Smith'],1994-09-03,['Religion'],"Retaining all the beloved qualities of Huston Smith's classic The World's Religions, this stunning pictorial presentation refines the text to its wonderful essentials. In detailed, absorbing, richly illustrated, and highly readable chapters on Hinduism, Buddhism, Confucianism, Taoism, Islam, Judaism, Christianity, and primal religions, we find refreshing and fascinating presentations of both the differences and the similarities among the worldwide religious traditions. The approach is at once classic and contemporary, retaining all the empathy, eloquence, and erudition that millions of readers love about the earlier edition, while being edited and designed for a contemporary general readership. This delightful marriage of engaging text and remarkable pictures vividly brings to life the scope and vision of Huston Smith's expertise and insight.",N/A,N/A,en
A Vision for Hinduism,['Jeffery D. Long'],2007,['History'],"This text argues that Hindu nationalism is not only destructive of communal relations, but that it also prevents Hinduism from emerging as a world religion. It presents a vision of Hinduism as a tradition capable of pointing the way towards a future in which all the religions manifest complementary visions of a larger reality.",N/A,N/A,en
Chicago Addresses,['Swami Vivekananda'],1915,['Hinduism'],N/A,N/A,N/A,en
Introduction to the Study of the Hindu Doctrines,['René Guénon'],2001,['Philosophy'],"Study of various Hindu schools of thought, with emphasis on the notion of tradition and esoterism.",N/A,N/A,en
Eight Lives,['Rajmohan Gandhi'],1986-01-01,['Religion'],"This book was written by a Hindu, the grandson of Mohandas K. Gandhi. His intent, in writing on eight Muslims and their influence on India in the twentieth century, is to reduce the gulf between Hindu and Muslims. Focusing on figures viewed as heroes by sub-continent Muslims, he shows that they can be admired by Hindus as well--that they need not be frozen in Hindu minds as foes. Here is a fascinating account of twentieth-century India, Pakistan, and Bangladesh told through biographical sketches of eight men: Sayyid Ahmed Khan (1817-1898), Fazlul Huq (1873-1962), Muhammad Ali Jinnah (1876-1948), Muhammad Iqbal (1876-1938), Muhammad Ali (1878-1931), Abul Kalam Azad (1888-1958), Liaqat Ali Khan (1895-1951), and Zakir Husain (1897-1969).",N/A,N/A,en
Beyond Turk and Hindu,"['David Gilmartin', 'Bruce B. Lawrence']",2000,['Religion'],'' Sets] the stage for a rewriting of nearly a thousand years of history to create new understandings of the nature of cultural encounters. . . . The volume breaks free from the polemics of present-day politics and historicist distortions that have seeped into most standard texts.,N/A,N/A,en
Hindus,['Julius Lipner'],2012-10-02,['Religion'],"Offering us a major study of religious Hinduism, Julius Lipner explains the evolution and multidimensional nature of the religion in a clear and direct fashion. Covering history, belief and practice, he combines factual information with explanation and analysis.",N/A,N/A,en
The Myth of the Holy Cow,['D.N. Jha'],2004-02-17,['History'],A book the government of India demands be ritually burned.,3,N/A,en
Sonic Theology,['Guy L. Beck'],1995-01-01,['Religion'],N/A,N/A,N/A,en
The Bhagavad-Gita,[],1986,['Education'],"The dramatic moral crisis that is central to the ""Bhagavad-Gita"" has inspired centuries of Indian philosophers as well as Western thinkers. Renown translator Barbara Stoler Miller presents here a new English-language version of this exemplary text of Hindu culture.",4,N/A,en
Perspectives of Reality,['Jeaneane D. Fowler'],2002,['Philosophy'],"The six major orthodox schools of philosophical thought in Hinduism, known as the orthodox darsanas, are concerned with the nature of reality and it is this theme which unites them. The text begins by analyzing the concept of knowledge, and what constitutes real knowledge. Four topics - the self, causality, the concept of God, and liberation - are then examined.",5,N/A,en
The Artful Universe,['William K. Mahony'],1998-01-01,['Religion'],Provides an accessible introduction to the Vedic religious world by focusing on the role of divine and human imagination in sacred texts.,N/A,N/A,en
Mythologies and Philosophies of Salvation in the Theistic Traditions of India,['Klaus K. Klostermaier'],1984-12-11,['Philosophy'],"Based on exhaustive reference to primary source material, this volume explores the relationships between religious mythologies and religious philosophical system within the theistic traditions in India. Not content merely to explore these relationships, the author further examines the relevance of mythology and philosophy in a discussion of salvation--salvation understood in its sociological, eschatological, and philosophical senses. The treatment of myth and philosophy is comprehensive in scope, pulling together a great variety of sources and commentary, and illuminating them for the Western reader. This study will be of interest both to students of Indian religions and to students of comparative religion interested in creating a context for the discussion of Eastern and Western religions.",N/A,N/A,en
"Ayeen Akbery, Or, The Institutes of the Emperor Akber",['Michael J. Franklin'],2000,['Biography & Autobiography'],N/A,N/A,N/A,en
What is Hinduism?,['Himalayan Academy Publications'],2007,['Religion'],"""Since 1979 the international magazine Hinduism Today has been producing a treasury of educational features on all aspects of Sanatana Dharma. Guided by the founder, Satguru Sivaya Subramuniyaswami, the magazine's editors, who are initiated monks of Kauai's Hindu Monastery, collaborated with holy men and women and experts around the world in creating graphically rich guides to virtually every important aspect of Hinduism. The best of those works are assembled in ""What Is Hinduism?"" for Hindus and non-Hindus alike to discover the culture, beliefs, worship and mysticism that is India's greatest gift to humanity."" --Back cover.",N/A,N/A,en
The Sants,"['Karine Schomer', 'W. H. McLeod']",1987-01-01,['Religion'],N/A,1,N/A,en
Encyclopedia of Hinduism,"['Denise Cush', 'Catherine A. Robinson', 'Michael York']",2008,['Reference'],"Covering all aspects of Hinduism, this encyclopedia includes more ethnographic and contemporary material in contrast to the exclusively textual and historical approach of earlier works.",N/A,N/A,en
The Bible in India,[],1870,['Christianity'],N/A,N/A,N/A,en
A Survey of Hinduism,['Klaus K. Klostermaier'],2007-07-05,['Religion'],"The third edition of this well-regarded introduction to Hinduism adds new material on the religion’s origins, on its relations with rival traditions, and on Hindu science.",N/A,N/A,en
Between Jerusalem and Benares,['Hananya Goodman'],1994-01-01,['Religion'],"This book stands at the crossroads between Jerusalem and Benares and opens a long awaited conversation between two ancient religious traditions. It represents the first serious attempt by a group of eminent scholars of Judaic and Indian studies to take seriously the cross-cultural resonances among the Judaic and Hindu traditions. The essays in the first part of the volume explore the historical connections and influences between the two traditions, including evidence of borrowed elements and the adaptation of Jewish Indian communities to Hindu culture. The essays in the second part focus primarily on resonances between particular conceptual complexes and practices in the two traditions, including comparative analyses of representations of Veda and Torah, legal formulations of dharma and halakhah, and conceptions of union with the Divine in Hindu Tantra and Kabbalah.",N/A,N/A,en
Hindu Goddesses,['David R. Kinsley'],1988-07-19,['Religion'],Goddess worship has long been a significant aspect of Hinduism. In this book David Kinsley sorts out the rich yet often chaotic history of Hindu goddess worship.,N/A,N/A,en
A Primer of Hinduism,['John Nicol Farquhar'],1912,['Hinduism'],N/A,N/A,N/A,en
The Bhagavad Gita,['Christopher Key Chapple'],2009-03-19,['Religion'],"An interlinear edition of the spiritual classic that provides devanaμgariμ, transliterated Sanskrit, and English versions of the Gita.",N/A,N/A,en
Death,['Jaggi Vasudev (Sadhguru)'],2020,['Philosophy'],"Whether a believer or not, a devotee or an agnostic, an accomplished seeker or a simpleton, this is truly a book for all those who shall die!",N/A,N/A,en
The Gospel of Sri Ramakrishna,['Ramakrishna'],1958,['Religion'],"Recorded conversations of the central inspirations of our movement. This book has attracted interest from many diverse religious groups. Large edition includes biography, photos, glossary and index. Abridged edition includes a biography.",N/A,N/A,en
Encyclopaedia of the Hindu World (Volume 3),['Ganga Ram Garg'],1992-01-01,['Religion'],"The number of paths to the One Infinite is necessarily infinite, according to Hinduism, it is this recognition of many paths, each valid in itself, that gives to Hinduism its immense variety. Hinduism is thus like a huge river with an innumerable tributaries. It Contains within it the influence of many cultures. The culture of the Aryans, Dravidian and the tribal peoples, the culture of the later invaders, the influence of Buddhism, Jainism , etc. (to which Hinduism gave birth ) and of Islam and Christianity (which came from outside) can be traced at various stages of the evolution of Hindu thought. The Hindu scheme of life thus leaves a man free to think for himself while providing him with a background in the form of a long tradition halling from the Vedic times. Many people would prefer to be guided by a flexible schemes of life which Hinduism represents, than by a seat of rigid, unalterable dogmas which lose their importance with the passing of time, Moreover, Hinduism is a Continuous process and is still in the making.",N/A,N/A,en
Encyclopaedia of the Hindu World (Volume 3),['Ganga Ram Garg'],1992-01-01,['Religion'],"The number of paths to the One Infinite is necessarily infinite, according to Hinduism, it is this recognition of many paths, each valid in itself, that gives to Hinduism its immense variety. Hinduism is thus like a huge river with an innumerable tributaries. It Contains within it the influence of many cultures. The culture of the Aryans, Dravidian and the tribal peoples, the culture of the later invaders, the influence of Buddhism, Jainism , etc. (to which Hinduism gave birth ) and of Islam and Christianity (which came from outside) can be traced at various stages of the evolution of Hindu thought. The Hindu scheme of life thus leaves a man free to think for himself while providing him with a background in the form of a long tradition halling from the Vedic times. Many people would prefer to be guided by a flexible schemes of life which Hinduism represents, than by a seat of rigid, unalterable dogmas which lose their importance with the passing of time, Moreover, Hinduism is a Continuous process and is still in the making.",5,N/A,en
Brāhmanism and Hindūism,['Sir Monier Monier-Williams'],1891,['Brahmanism'],N/A,N/A,N/A,en
Sixty Upanishads of the Veda,['Paul Deussen'],1997-09-01,['Religion'],N/A,5,N/A,en
Elements of Hindu Iconography,['T. A. Gopinatha Rao'],1916,"['Art, Hindu']",N/A,N/A,N/A,en
Redemptive Encounters,['Lawrence A. Babb'],1986,['History'],"In this comparative study of three modern religious movements, Lawrence A. Babb argues that thematic continuities exist between traditional Hinduism and its widely divergent modern expressions.",N/A,N/A,en
The Uddhava Gita,[],2002-09-28,['Religion'],"""Although set down in writing centuries apart, the Bhagavad Gita and the Uddhava Gita share Krishna's core advice on developing a more complete personal consciousness. But unlike the urgency of an impending battle that drives Krishna's dialogue in the Bhagavad Gita, this dialogue with his dear old friend Uddhava takes place on the eve of Krishna's departure from the world and is filled with philosophy, poetry and practical advice.""--BOOK JACKET.",5,N/A,en
The Ramayana,"['Vālmīki', 'Ramesh Menon']",2004-05-26,['Fiction'],One of the ancient world's great verse epics is retold in energetic English prose in this sparkling volume.,N/A,N/A,en
The Illustrated Encyclopedia of Hinduism,['James G. Lochtefeld'],2002,['Juvenile Nonfiction'],"Provides information on the origins, history, and practice of Hinduism, including facts on the various festivals and celebrations.",N/A,N/A,en
The Tao of Physics,['Fritjof Capra'],1984,['Philosophy'],Studies similarities between the concept of a harmonious universe that emerges from the theories of modern physics and the vision of a continuously interactive world conceived by Eastern mystics.,1,N/A,en
Sādhanā,['Rabindranath Tagore'],1913,['Hindu philosophy'],N/A,N/A,N/A,en
The Garuḍa Purâṇa (Sâroddhâra),['Naunidhirāma'],1911,['Religion'],N/A,3,N/A,en
Essential Hinduism,['Steven Rosen'],2008-05-16,['Philosophy'],"A review of Hindu teachings, beliefs, practices, and history. This volume focuses on Vaishnavism, the most common form of Hinduism.",N/A,N/A,en
