title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Discarded Image,['C. S. Lewis'],1994-08-26,['History'],"Hailed as ""the final memorial to the work of a great scholar and teacher and a wise and noble mind,"" this work paints a lucid picture of the medieval world view, as historical and cultural background to the literature of the Middle Ages and Renaissance.",5,N/A,en
Alexander the Great,['Philip Freeman'],2011-01-04,['Biography & Autobiography'],"In the first authoritative biography of Alexander the Great written for a general audience in a generation, classicist and historian Philip Freeman tells the remarkable life of the great conqueror. The celebrated Macedonian king has been one of the most enduring figures in history. He was a general of such skill and renown that for two thousand years other great leaders studied his strategy and tactics, from Hannibal to Napoleon, with countless more in between. He flashed across the sky of history like a comet, glowing brightly and burning out quickly: crowned at age nineteen, dead by thirty-two. He established the greatest empire of the ancient world; Greek coins and statues are found as far east as Afghanistan. Our interest in him has never faded. Alexander was born into the royal family of Macedonia, the kingdom that would soon rule over Greece. Tutored as a boy by Aristotle, Alexander had an inquisitive mind that would serve him well when he faced formidable obstacles during his military campaigns. Shortly after taking command of the army, he launched an invasion of the Persian empire, and continued his conquests as far south as the deserts of Egypt and as far east as the mountains of present-day Pakistan and the plains of India. Alexander spent nearly all his adult life away from his homeland, and he and his men helped spread the Greek language throughout western Asia, where it would become the lingua franca of the ancient world. Within a short time after Alexander’s death in Baghdad, his empire began to fracture. Best known among his successors are the Ptolemies of Egypt, whose empire lasted until Cleopatra. In his lively and authoritative biography of Alexander, classical scholar and historian Philip Freeman describes Alexander’s astonishing achievements and provides insight into the mercurial character of the great conqueror. Alexander could be petty and magnanimous, cruel and merciful, impulsive and farsighted. Above all, he was ferociously, intensely competitive and could not tolerate losing—which he rarely did. As Freeman explains, without Alexander, the influence of Greece on the ancient world would surely not have been as great as it was, even if his motivation was not to spread Greek culture for beneficial purposes but instead to unify his empire. Only a handful of people have influenced history as Alexander did, which is why he continues to fascinate us.",N/A,N/A,en
Conservatism,['Jerry Z. Muller'],1997-05-04,['History'],"History Professor Jerry Muller locates the origins of modern conservatism within the Enlightenment and distinguishes conservatism from orthodoxy. Reviewing important specimens of analysis from the mid18th century through our own day, Muller demonstrates that characteristic features of conservative argument recur over time and across national borders.",N/A,N/A,en
Constantinople: Capital of Byzantium,['Jonathan Harris'],2009-05-05,['History'],This book examines the intriguing interaction between the spiritual and the political whilst reconstructs the awe-inspiring city in its heyday of 1200.,N/A,N/A,en
The Gates of Europe,['Serhii Plokhy'],2015-12-01,['History'],"Ukraine is currently embroiled in a tense battle with Russia to preserve its economic and political independence. But today's conflict is only the latest in a long history of battles over Ukraine's existence as a sovereign nation. As award-winning historian Serhii Plokhy argues in The Gates of Europe, we must examine Ukraine's past in order to understand its fraught present and likely future. Situated between Europe, Russia, and the Asian East, Ukraine was shaped by the empires that have used it as a strategic gateway between East and West—from the Romans and Ottomans to the Third Reich and the Soviet Union, all have engaged in global fights for supremacy on Ukrainian soil. Each invading army left a lasting mark on the landscape and on the population, making modern Ukraine an amalgam of competing cultures. Authoritative and vividly written, The Gates of Europe will be the definitive history of Ukraine for years to come.",N/A,N/A,en
The Cambridge Ancient History,"['John Boardman', 'J. A. Crook', 'Andrew Lintott', 'Elizabeth Rawson']",1970,['History'],This volume of 'The Cambridge Ancient History' embraces the wide range of approaches and scholarships which have in recent decades transformed our view of late antiquity.,5,N/A,en
The Language Loss of the Indigenous,"['G. N. Devy', 'Geoffrey V. Davis', 'K. K. Chakravarty']",2016-02-26,['Social Science'],"This volume traces the theme of the loss of language and culture in numerous post-colonial contexts. It establishes that the aphasia imposed on the indigenous is but a visible symptom of a deeper malaise — the mismatch between the symbiotic relation nurtured by the indigenous with their environment and the idea of development put before them as their future. The essays here show how the cultures and the imaginative expressions of indigenous communities all over the world are undergoing a phase of rapid depletion. They unravel the indifference of market forces to diversity and that of the states, unwilling to protect and safeguard these marginalized communities. This book will be useful to scholars and researchers of cultural and literary studies, linguistics, sociology and social anthropology, as well as tribal and indigenous studies.",N/A,N/A,en
A History Of Persia (Volume 2),['Sir Percy Sykes'],2013-09-27,['Political Science'],"This is a facsimile of a classic history first published by Macmillan in 1915 and issued in two further editions by Routledge and Kegan Paul. Sir Percy Sykes was an explorer, consul, soldier and a spy who lived and travelled in Persia over a period of twenty-five years. This two-volume collection provides a comprehensive history of Persia from Alexander the Great, through British, French and Russian colonialism, to the early twentieth century oil industry. With a new introduction by Sykes' biographer, Antony Wynn, this comprehensive history provides essential background reading to students and academics of Persia.",N/A,N/A,en
METEOROLOGY,['Aristotle'],2017-04-20,['Philosophy'],"�WE have already discussed the first causes of nature, and all natural motion, also the stars ordered in the motion of the heavens, and the physical element-enumerating and specifying them and showing how they change into one another-and becoming and perishing in general. There remains for consideration a part of this inquiry which all our predecessors called meteorology. It is concerned with events that are natural, though their order is less perfect than that of the first of the elements of bodies. They take place in the region nearest to the motion of the stars. Such are the milky way, and comets, and the movements of meteors. It studies also all the affections we may call common to air and water, and the kinds and parts of the earth and the affections of its parts. These throw light on the causes of winds and earthquakes and all the consequences the motions of these kinds and parts involve. Of these things some puzzle us, while others admit of explanation in some degree. Further, the inquiry is concerned with the falling of thunderbolts and with whirlwinds and fire-winds, and further, the recurrent affections produced in these same bodies by concretion. When the inquiry into these matters is concluded let us consider what account we can give, in accordance with the method we have followed, of animals and plants, both generally and in detail. When that has been done we may say that the whole of our original undertaking will have been carried out.�",N/A,N/A,en
"The Third Reich in Power, 1933 - 1939",['Richard J. Evans'],2012-07-26,['History'],"The Third Reich in Power examines how it was possible for a group of ideological obsessive to remould a society famous for its sophistication and complexity into a one-party state directed at war and race hate. Richard J. Evans shows how the Nazis won over the hearts and minds of German citizens, twisted science, religion and culture, and transformed the economy, education, law and order to achieve total dominance in German politics and society. Drawing on an extraordinary range of research, blending narrative, description and analysis he creates a picture of a dictatorship consumed by visceral hatreds and ambitions and driven by war.",N/A,N/A,en
