title,authors,publishedDate,categories,description,averageRating,textSnippet
Anne's House of Dreams,['L. M. Montgomery'],2014-09-23,['Fiction'],"Originally published in 1917 by McClelland, Goodchild and Stewart.",N/A,N/A
A Modern Introduction to the Family,"['Norman W. Bell', 'Ezra F. Vogel']",1960,['Families'],N/A,N/A,N/A
"El Niño, El Topo, El Zorro Y El Caballo: La Historia Animada",['Charlie Mackesy'],2024-04-23,[],N/A,N/A,N/A
Starting at Home,['Nel Noddings'],2002-01-28,['Education'],"Publisher Fact Sheet Argues that an ethic of care, learned at home, should serve as the foundation for social policy.",N/A,N/A
The Well,['Catherine Chanter'],2015-05-19,['Fiction'],A first novel by an award-winning writer follows the experiences of an Englishwoman who is targeted by suspicion and superstition when her farm remains lush and her grandson drowns in spite of a widespread drought.,N/A,N/A
"Left at Home; Or, The Heart's Resting Place",['M. L. C.'],1875,['Children'],N/A,N/A,N/A
The Secret of a Happy Home,['Marion Harland'],1896,['Asylums'],N/A,N/A,N/A
Modernism and the Architecture of Private Life,['Victoria Rosner'],2005,['Architecture'],"In the late 19th century the conventions of domesticity came under scrutiny by British writers & others intent on bringing a modern spirit into the home. Rosner reveals the connections between those who elegantly synthesized modernist literature with architetcural plans, room designs, & decorative art.",N/A,N/A
The Duties of Women,['Frances Power Cobbe'],1882,['Boston (Mass.)'],N/A,N/A,N/A
House of Stone,['Anthony Shadid'],2012,['Biography & Autobiography'],Culture and institutions.,N/A,N/A
A Wind in the Willows Christmas,['Kenneth Grahame'],2000,"[""Children's stories""]","With the help of his good friend Rat, Mole returns to his old home and shares a wonderful Christmas celebration with former friends.",N/A,N/A
Home,['Arien Mack'],1993-06,['Family & Relationships'],"This volume, based on a multi-institutional collaboration between the New School for Social Research and five major New York City museums, and its resulting conference in October 1990, addresses historical and contemporary meanings of home. Among the issues specifically addressed are the artistic rendition of home in art and propaganda; literary meanings of home; exile through the ages; homelessness past; homelessness and Dickens; alienation and belonging; and the home and family in historical perspective. Includes illustrations. No index. Annotation copyright by Book News, Inc., Portland, OR",N/A,N/A
The Duties of Women,['Frances Power Cobbe'],2010-09-23,['History'],"A series of essays discussing the political importance of feminism in women's daily lives, first published in 1881.",N/A,N/A
The Empty Family,['Colm Tóibín'],2012,['Families'],"This collection of short fiction includes The street, in which Pakistani workers in Barcelona pursue a taboo affair, and Two somen, in which a taciturn Irish set designer confronts repressed emotions while working in her homeland.",N/A,N/A
The House We Grew Up In,['Lisa Jewell'],2013,['Cotswold (England)'],"When their picture-perfect Cotswold village family life with a perpetually young father and hippy mother is shattered by a tragic Easter weekend, four siblings pursue separate adult lives before a reunion reveals astonishing truths.",N/A,N/A
Courtship and Marriage,['Annie S. Swan'],1894,['Family & Relationships'],N/A,N/A,N/A
Anne's House of Dreams,['Lucy Maud Montgomery'],2023,['Country life'],Gilbert Blythe and Anne Shirley Cuthbert marry and move into their house of dreams on the harbour shore. They enjoy their time as a newlywed couple and make their house into a home with friends new and old.,N/A,N/A
The House Beautiful,['William Channing Gannett'],1895,['Arts and crafts movement'],N/A,N/A,N/A
Everyday Spirits,['David Appelbaum'],1993-07-01,['Philosophy'],"Transformation of being begins exactly where one is. This is, for most of us, at home. We are acted upon by objects familiar to us, influenced in unfelt ways, and moved toward a destiny proper to a responsible being. Dwelling is complemented by journeying. To live in a home is to journey on the path that leads through the home to a world beyond. A householder becomes a traveler. A traveler is a seeker after new impressions, fresh impressions of a reality that beckons. Opening to the commonplacewhat stands in front of us on the daily roundwe are open to the call to respond to our role as mediator between heaven and earth. Everyday Spirits is a book about self-perception.",N/A,N/A
The Wizard of Oz,['Lyman Frank Baum'],1985,['Fiction'],"When a huge cyclone transports the orphan Dorothy and her little dog Toto from Kansas to the Land of Oz, she fears that she will never see Aunt Em and Uncle Henry ever again. But she meets the Munchkins, and they tell her to follow the Yellow Brick Road to the Emerald City where the Wonderful Wizard of Oz will grant any wish.",N/A,N/A
Grizzwold,[],1984,['Bears'],"For use in schools and libraries only. When the trees are cut down in his forest, Grizzwold, an unusually large bear, decides to find a new place to live.",N/A,N/A
The Family,['Elsie Worthington Clews Parsons'],1906,['Families'],N/A,N/A,N/A
The Home,['Antonio Argandoña'],2018-03-30,['Family & Relationships'],"In the first major work to take the home as a center of analysis for global social problems, experts from a variety of fields reveal the multidimensional reality of the home and its role in societies worldwide. This unique book serves as a basis for action by proposing global legislative, political and institutional initiatives with the home in mind.",N/A,N/A
Hilda and the Midnight Giant,['Luke Pearson'],2012,['JUVENILE FICTION'],"""Pearson’s whimsical artwork—a cross between Lucky Luke and Miyazaki—creates a magical spell of a mysterious world of hidden creatures, and the production of the book make it a treasure in itself. The story—comparable to the Adventures of Polo series by Regis Faller and Copper by Kazu Kibuishi—never flags in imagination or wonder""—Publishers Weekly ""If you haven't heard of Luke Pearson, buddy, you have been hiding under a particularly uninteresting rock this past year.""—Dan Berry, The Comics Bureau ""Pearson's latest comic, the spell-binding contemporary fairytale Hildafolk, feels just as at home in publisher Nobrow Press' visually intelligent catalogue as it does between good old fashioned yarns like Bone and The Adventures of Tintin in my bookcase.""—Martin Steenton, Avoid the Future In Hilda and the Midnight Giant, our protagonist finds her world turned upside down as she faces the prospect of leaving her snow-capped birthplace for the hum of the megalopolis, where her mother (an architect) has been offered a prestigious job. During Hilda's daily one-and-a-half hour trek to school she looks for ways to stall her mother's decision. She conspires with the beings of the mystical Blue Forest to delay the inevitable. Will they help or hinder her? More importantly, who is this mysterious Midnight Giant? This is the first part of the Hildafolk series, a series that follows Hilda on her many adventures and travels through the magical fjords and enchanted mountains of her birthplace as she unravels the mysteries of the supernatural world that surrounds her. Luke Pearson is a comic book artist and illustrator, author of Hildafolk and Everything We Miss (published by Nobrow Press). Hildafolk, his first book for Nobrow Press, quickly gained him recognition as a leading proponent of the new wave of English cartoonists.",N/A,N/A
The Great Big Book of Families,['Mary Hoffman'],2010,['Families'],"What is a family? Once, it was said to be a father, mother, boy, girl, cat and dog living in a house with a garden. But as times have changed, families have changed too, and now there are almost as many kinds of families as colours of the rainbow - from a mum and dad or single parent to two mums or two dads, from a mixed-race family to children with different mums and dads, from families with a disabled member to those with a mum or dad in prison. Mary Hoffman takes a look through children's eyes at the wide varieties of family life: from homes, food, ways of celebrating, schools and holidays to getting around, jobs and housework, from extended families, languages and hobbies to pets and family trees - and she concludes that, for most people, their own family is the best one of all! With Ros Asquith's delightful pictures, this book takes a fresh, optimistic look at families of today.",N/A,N/A
Miffy's House,['Dick Bruna'],2003,['Juvenile Nonfiction'],"Take a tour of Miffy's house and find out where she keeps her clothes, eats her food, and plays with her toys. Bright colors and fun illustrations bring to life a home that children will feel is just like theirs!",N/A,N/A
Flood,['James Heneghan'],2002,['Juvenile Fiction'],"Andy Flynn is saved from a flood, but his mother and stepfather both die. Suddenly Andy is alone. His Aunt Mona, whom he's never met, takes in him to live with her in Halifax on the opposite side of the country. During the trip, she reveals that Andy's father, whom he thought dead, is alive and in Halifax. As soon they arrive, Andy escapes to find his father. Copyright © Libri GmbH. All rights reserved.",N/A,N/A
Hedgehog's Home,['Branko Copic'],2011-11-01,['Hedgehogs'],"Meet Hedgemond the Hunter, a brave and stubborn little hedgehog. Down in the wild woods he proudly tends to his beloved house, but there are some animals who just can't understand what the fuss is about. Find out just how Hedgemond proves to the grumpy bear and the greedy boar that there is no place like home.",N/A,N/A
Domestication of Media and Technology,['Thomas Berker'],2006,['Crafts & Hobbies'],"This text provides an overview of a key concept in media and technology studies, that is domestication. It includes theories around domestication, that shed light upon the process, in which a technology changes its status, from outrageous novelty to an aspect of everyday life, which is taken for granted.",N/A,N/A
