title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Frankenstein,['Mary Shelley'],1994,['Juvenile Fiction'],A monster assembled by a scientist from parts of dead bodies develops a mind of his own as he learns to loathe himself and hate his creator.,N/A,N/A,en
Tales from the Shadowhunter Academy,"['Cassandra Clare', 'Sarah Rees Brennan', 'Maureen Johnson', 'Robin Wasserman']",2016-11-15,['Juvenile Fiction'],"Collects short stories chronicling Simon's journey from amnesia to Ascension, as he works to regain his lost life while attending the Shadowhunter Academy.",4.5,N/A,en
The Dream-quest of Unknown Kadath,['Howard Phillips Lovecraft'],1970,['Fiction'],"Six bone-chilling tales of bizarre beauty and awesome horror lurk in the dark of the soul, waiting to be called upon by the demons of nightmares, and let loose in the frightened mind. Only H.P. Lovecraft could conjure up these testaments to evil that will live inside of you forever.... Copyright © Libri GmbH. All rights reserved.",5,N/A,en
The Waste Lands,['Stephen King'],1993,['Fiction'],"Roland, the Last Gunslinger, moves closer to The Dark Tower of his dreams and nightmares through a world of the fiendish foes.",N/A,N/A,en
Asian Horror Encyclopedia,['Laurence C. Bush'],2001,['Fiction'],"The Asian Horror Encyclopedia is the first reference work of its kind in English. It covers Asian horror culture in literature, art, film and comics. From its roots in ancient Chinese folklore to the best-selling Japanese horror novelists of today, this book is a handy alphabetic reference, collecting scarce information from obscure sources.",N/A,N/A,en
Frankenstein,['Mary Wollstonecraft Shelley'],1965,['Fiction'],"This revision of a widely adopted critical edition presents the 1831 text of Mary Shelley7;s English Romantic novel along with critical essays that introduce students to ""Frankenstein"" from contemporary psychoanalytic, Marxist, feminist, gender, and cultural studies perspectives. An additional essay demonstrates how various critical perspectives can be combined. In the second edition, 3 of the 6 essays are new. The text and essays are complemented by contextual documents, introductions (with bibliographies), and a glossary of critical and theoretical terms.",N/A,N/A,en
Thinner,"['Stephen King', 'Richard Bachman']",1985,['Fiction'],Billy Halleck's nightmare begins after he sideswipes an old Gypsy woman as she is crossing the street: he loses ninety-three pounds within six weeks.,N/A,N/A,en
The Loch,['Steve Alten'],2006,['Fiction'],"To prove the innocence of his estranged father, marine biologist Zachary Wallace must confront his childhood nightmare of nearly drowning in Loch Ness after a near-death experience causes the long forgotten memory to resurface.",N/A,N/A,en
Ring,['Kōji Suzuki'],2004,['Detective and mystery stories'],"Stunning, cutting-edge thriller with a chilling supernatural twist from Japan's stylish new literary star. Asakawa is a hardworking journalist who has climbed his way up from local-news beat reporter to writer for his newspaper's weekly magazine. A chronic workaholic, he doesn't take much notice when his seventeen-year-old niece dies suddenly -- until a chance conversation reveals that another healthy teenager died at exactly the same time, in chillingly similar circumstances. Sensing a story, Asakawa begins to investigate, and soon discovers that this strange simultaneous sudden-death syndrome also affected another two teenagers. Exactly one week before their mysterious deaths the four teenagers all spent the night at a leisure resort in the same log cabin. When Asakawa visits the resort, the mystery only deepens. particular videotape. When he watches it, instead of a movie he finds an odd collection of disparate images with a portentous message at the end: Those who have viewed these images are fated to die at this exact hour one week from now. Asakawa finds himself in a race against time -- he has only seven days to find the cause of the teenagers' deaths before it finds him. The hunt puts him on the trail of an apocalyptic power that will force Asakawa to choose between saving his family and saving civilization.",N/A,N/A,en
The Howling Ghost,['Christopher Pike'],2014-08-05,['Fiction'],"Cindy's brother is taken away by a ghost. Sally, Adam, and Watch promise to bring him back.",N/A,N/A,en
Dracula,['Bram Stoker'],1997,"['Dracula, Count (Fictitious character)']","After discovering the double identity of the wealthy Transylvanian nobleman, Count Dracula, a small group of people vow to rid the world of the evil vampire. Illustrated notes throughout the text explain the historical background of the story.",N/A,N/A,en
The Secret Path,['Christopher Pike'],2014-08-05,['Juvenile Fiction'],"Disregarding a warning that the town of Springfield is called ""Spooksville"" for a good reason, newcomer Adam accompanies his friends to a secret path at the graveyard that is said to lead to other, more terrifying worlds.",N/A,N/A,en
Ghost Story,['Peter Straub'],1979,['Fiction'],Horror. Early novel about four men who inadvertently cause the death of a young woman in the 1920s.,5,N/A,en
Bloodcurdling Tales of Horror and the Macabre: The Best of H. P. Lovecraft,['H. P. Lovecraft'],1982,['Fiction'],"Offers sixteen Lovecraft tales of horror, including ""The Shadow Out of Time.""",N/A,N/A,en
Danse Macabre,['Stephen King'],1985-01-15,['Art'],"Information on the horror phenomenon including books, movies, radio, and T.V.",N/A,N/A,en
The Phantom of the Opera,['Gaston Leroux'],1977,['Fiction'],Under the Paris Opera House lives a disfigured musical genius who uses music to win the love of a beautiful opera singer.,N/A,N/A,en
The Castle of the Carpathians,['Jules Verne'],2010-01-05,[],N/A,N/A,N/A,en
The Green Mile,['Stephen King'],1996,['Horror'],A multi-part serial novel that begins on Death Row and burrows inward to the most horrific secrets of the heart.,N/A,N/A,en
