title,authors,publishedDate,categories,description,averageRating,textSnippet
Das Peristylhaus 1 von Iaitas,['Katharina Dalcher'],1994,['Architecture'],N/A,N/A,N/A
Owl at Home,['Arnold Lobel'],1976,"[""Children's stories""]","Welcome to Owl's cozy home. Owl lives by himself in a warm little house. One evening he invites Winter to sit by the fire. Another time he finds strange bumps in his bedroom. And when Owl goes for a walk one night, he makes a friend that follows him all the way home.",N/A,N/A
The House as Gothic Element in Anglo-American Fiction (18th - 20th Century),['David Ronneburg'],2007-08,['Language Arts & Disciplines'],"Seminar paper from the year 2002 in the subject English Language and Literature Studies - Literature, grade: 1,0, University of Leipzig (Anglistik), course: The Gothic Inheritance, 48 entries in the bibliography, language: English, abstract: Diese in englischer Sprache verfasste Arbeit besch ftigt sich mit verschiedenen Erscheinungsformen und Funktionen, in denen das ""Haus-Motiv"" als ""gothic element"" in der Angloamerikanischen Literatur auftritt. Zu diesem Zweck werden zahlreiche Prosatexte von Autoren wie F.H. Burnett, A.C. Doyle, B. Stoker, C. Bront , C. Dickens, D. du Maurier, O. Wilde, J.K. Rowling, N. Hawthorne, M. Twain, W. Faulkner und C.P. Gilman auf das Haus-Motiv hin untersucht, analysiert und im Gothic-Kontext interpretiert.",N/A,N/A
The Repair and Maintenance of Houses,"['Ian A. Melville', 'Ian A. Gordon']",1997,['Dwellings'],"Hailed as a splendid book - a ""must"" for any office - when first published and subsequently commended by the Department of the Environment and English Heritage, the new edition of this standard work retains the principles put forward previously but updates the detail to take account of changes in techniques, current Building Regulations and statutes, British Standards and the legislation introduced in 1966. It covers all aspects of the structure and services to enable the correct diagnosis of defects to be made in both old and modern houses, offers practical, environmentally conscious advice in a very readable style, is well indexed and contains many useful structural diagrams.",N/A,N/A
Reconstruction and the Home,['Howard Robertson'],1947,['Architecture'],N/A,N/A,N/A
Oversight plans for all House committees,['United States. Congress. House. Committee on Government Reform and Oversight'],1997,['Political Science'],N/A,N/A,N/A
Voting in the House of Representatives,"['United States. Congress. House. Select Committee to Investigate the Voting Irregularities of August 2, 2007']",2008,['Political Science'],N/A,N/A,N/A
The Hidden House,['Martin Waddell'],1997,"[""Children's stories, Irish""]","With the owner gone, three dolls watch as their house becomes hidden by growing plants and trees until a man walks by and discovers the residence.",N/A,N/A
Burnette Studio/residence,['Wendell Burnette'],2001,['Architecture'],"The highly collectable volumes in this series each focus on a single important contemporary building selected for its unique character, innovative design, or technical genius. Buildings of various types and sizes are included, from small residences to expansive museums, detailing the evolution of the design and the construction process from initial concept to finished building. Featured are photographs, sketches, drawings, and details alongside an essay by the architect on the design process and an essay by a well-known architectural critic on the project's design significance. The studio residence of Wendell Burnette Architects is designed to be like an oasis in the Arizona desert, with an interior garden in the entryway full of light, shade, and water. Wendell Burnette's travels in Europe and Mexico are evident in the international, timeless style found in his architecture. The building is the physical embodiment of the firm's philosophy, which is the desire to create spaces that engage people. Wendell Burnette delivers architecture that is both uniquely appropriate and timelessly valuable to the client and the user. Wendell Burnette Architects is based in Phoenix, Arizona.",N/A,N/A
"Subcommittee on Oversight and Investigations of the Committee on Energy and Commerce, U.S. House of Representatives",['United States. Congress. House. Committee on Energy and Commerce. Subcommittee on Oversight and Investigations'],1987,['Biography & Autobiography'],N/A,N/A,N/A
Look at the House,['Rigby'],1999-08,['Education'],A learn-to-read story about things in the sky.,N/A,N/A
This Old House: Ask Norm,['Norm Abram'],2001-09,['House & Home'],"Ask Norm - Practical answers from America's most trusted remodeling expert, responding to tough questions.",N/A,N/A
千年楼市,['李开周'],2009,['House'],"本书将古代的房产市场和古人的家居生活为您慢慢道来,向您讲述四周的地价、汉朝的房价、唐朝的置业秘笈、宋朝的购房流程、元朝的住房政策、明朝的装修方案,以及清朝的购房者怎样贷款,是时空旅行者去古代置业的必备指南。",N/A,N/A
