title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Carl Rogers on Personal Power,['Carl Ransom Rogers'],1977,['Psychology'],CONTENT: The politics of the helping professions; the new family and the old; The revolution in marriage and partnerships; Power or persons: Two trends in education; The politics of administration; The person-centered approach and the oppressed; Resolving intercultural tensions: A beginning; A person-centered workshop: Its planning and fruition; The power of the powerless; Without jealousy; A political base: The actualizing tendency; The emerging person: Spearhead of the quiet revolution.,N/A,N/A,en
Renaissance Thought and Its Sources,['Paul Oskar Kristeller'],1979,['History'],"Representing an extraordinary lifetime of scholarship, Renaissance Thought and Its Sources offers a systematic account of major themes in Renaissance philosophy, science, and literature. Here, in some of Paul Oskar Kristeller's most comprehensive and ambitious writings, is an exploration of the distinctive trends and concepts of the Renaissance, grounded in detailed historical investigation.",N/A,N/A,en
Worldly Wisdom,['James Sloan Allen'],2008,['Literary Criticism'],Explores the ideas expressed in some fifty classic writings that offer the reader insight into the meaning of life and how to live it more fully.,N/A,N/A,en
Modernity on Endless Trial,['Leszek Kolakowski'],1997-06-23,['History'],"Leszek Kolakowski delves into some of the most intellectually vigorous questions of our time in this remarkable collection of essays garnished with his characteristic wit. Ten of the essays have never appeared before in English. ""Exemplary. . . . It should be celebrated."" —Arthur C. Danto, New York Times Book Review ""This book . . . express[es] Kolakowski's thought on God, man, reason, history, moral truth and original sin, prompted by observation of the dramatic struggle among Christianity, the Enlightenment and modern totalitarianism. It is a wonderful collection of topics."" —Thomas Nagel, Times Literary Supplement ""No better antidote to bumper-sticker thinking exists than this collection of 24 'appeals for moderation in consistency,' and never has such an antidote been needed more than it is now."" —Joseph Coates, Chicago Tribune ""Whether learned or humorous, these essays offer gems in prose of diamond hardness, precision, and brilliance."" —Thomas D'Evelyn, The Christian Science Monitor A ""Notable Books of the Year 1991"" selection, New York Times Book Review—a ""Noted with Pleasure"" selection, New York Times Book Review—a ""Summer Reading 1991"" selection, New York Times Book Review—a ""Books of the Year"" selection, The Times.",N/A,N/A,en
Humanism and Democratic Criticism,['Edward W. Said'],2004,['Education'],"brought on by advances in technological communication, intellectual specialization, and cultural sensitivity -- has eroded the former primacy of the humanities, Edward Said argues that a more democratic form of humanism -- one that aims to incorporate, emancipate, and enlighten --",N/A,N/A,en
Interpretations of Renaissance Humanism,['Angelo Mazzocco'],2006,['History'],"Authored by some of the most preeminent Renaissance scholars active today, this volume's essays give fresh and illuminating analyses of important aspects of Renaissance humanism, including its origin, connection to the papal court and medieval traditions, classical learning, religious and literary dimensions, and its dramatis personae.",N/A,N/A,en
The Lost Italian Renaissance,['Christopher S. Celenza'],2006-01-09,['History'],"A groundbreaking work of intellectual history, The Lost Italian Renaissance uncovers a priceless intellectual legacy suggests provocative new avenues of research.",N/A,N/A,en
Humanism and Platonism in the Italian Renaissance,['James Hankins'],2003,['History'],N/A,5,N/A,en
Man for Himself,['Erich Fromm'],1947,['Philosophy'],"In ""Man for Himself,"" Erich Fromm examines the confusion of modern women and men who, because they lack faith in any principle by which life ought to be guided, become the helpless prey forces both within and without. From the broad, interdisciplinary perspective that marks Fromm' s distinguished oeuvre, he shows that psychology cannot divorce itself from the problems of philosophy and ethics, and that human nature cannot be understood without understanding the values and moral conflicts that confront us all. He shows that an ethical system can be based on human nature rather than on revelations or traditions. As Fromm asserts, "" If man is to have confidence in values, he must know himself and the capacity of his nature for goodness and productiveness.""",N/A,N/A,en
Vittorino Da Feltre and Other Humanist Educators,['William Harrison Woodward'],1897,['Classical education'],N/A,N/A,N/A,en
Vittorino Da Feltre and Other Humanist Educators,['William Harrison Woodward'],1897,['Classical education'],N/A,N/A,N/A,en
Animal Rites,['Cary Wolfe'],2003-02,['Nature'],"In Animal Rites, Cary Wolfe examines contemporary notions of humanism and ethics by reconstructing a little known but crucial underground tradition of theorizing the animal from Wittgenstein, Cavell, and Lyotard to Lévinas, Derrida, Žižek, Maturana, and Varela. Through detailed readings of how discourses of race, sexuality, colonialism, and animality interact in twentieth-century American culture, Wolfe explores what it means, in theory and critical practice, to take seriously ""the question of the animal.""",5,N/A,en
Man Made God,['Luc Ferry'],2002-05-15,['Philosophy'],"What happens when the meaning of life based on a divine revelation no longer makes sense? Does the quest for transcendence end in the pursuit of material success and self-absorption? Luc Ferry argues that modernity and the emergence of secular humanism in Europe since the eighteenth century have not killed the search for meaning and the sacred, or even the idea of God, but rather have transformed both through a dual process: the humanization of the divine and the divinization of the human. Ferry sees evidence for the first of these in the Catholic Church's attempts to counter the growing rejection of dogmatism and to translate the religious tradition into contemporary language. The second he traces to the birth of modern love and humanitarianism, both of which demand a concern for others and even self-sacrifice in defense of values that transcend life itself. Ferry concludes with a powerful statement in favor of what he calls ""transcendental humanism""—a concept that for the first time in human history gives us access to a genuine spirituality rooted in human beings instead of the divine.",N/A,N/A,en
Humanism & Politics,['Albert William Levi'],1969,['Art'],N/A,N/A,N/A,en
In Our Image and Likeness,['Charles Edward Trinkaus'],1970,['Philosophy'],N/A,N/A,N/A,en
Origins of Concepts in Human Behavior,['Mark D. Altschule'],1977,['Psychology'],N/A,N/A,N/A,en
Renaissance Thought and the Arts,['Paul Oskar Kristeller'],1990,['Art'],"Written by an eminent authority on the Renaissance, this collection of essays focuses on topics such as humanist learning, humanist moral thought, the diffusion of humanism, Platonism, music and learning during the early Renaissance, and the modern system of arts in relation to the Renaissance.",5,N/A,en
Cultural Amnesia,['Clive James'],2007,['Literary Collections'],"Containing more than 100 original essays organized by quotations, James illuminates, rescues, or occasionally destroys the careers of many of the greatest thinkers, humanists, musicians, artists, and philosophers of the 20th century. 110 photographs.",3,N/A,en
Humanism in Business,['Heiko Spitzeck'],2009-02-26,['Business & Economics'],"There are many books about business and society, yet very few of them question the primacy of GDP growth, profit maximization and individual utility maximization. This groundbreaking book questions these assumptions and investigates the possibility of creating a human-centered, value-oriented society based on humanistic principles.",N/A,N/A,en
The Drama of Atheist Humanism,['Henri de Lubac'],1995,['Religion'],"De Lubac traces the origin of 19th century attempts to construct a humanism apart from God, the sources of contemporary atheism which purports to have 'moved beyond God.' The three persons he focuses on are Feuerbach, who greatly influenced Marx; Nietzsche, who represents nihilism; and Comte, who is the father of all forms of positivism. He then shows that the only one who really responded to this ideology was Dostoevsky, a kind of prophet who criticizes in his novels this attempt to have a society without God. Despite their historical and scholarly appearance, de Lubac's work clearly refers to the present. As he investigates the sources of modern atheism, particularly in its claim to have definitely moved beyond the idea of God, he is thinking of an ideology prevalent today in East and West which regards the Christian faith as a completely outdated.",N/A,N/A,en
From Poliziano to Machiavelli,['Peter Godman'],2019-01-15,['History'],"Peter Godman presents the first intellectual history of Florentine humanism from the lifetime of Angelo Poliziano in the later fifteenth century to the death of Niccolo Machiavelli in 1527. Making use of unpublished and rare sources, Godman traces the development of philological and official humanism after the expulsion of the Medici in 1494 up to and beyond their restoration in 1512. He draws long overdue attention to the work of Marcello Virgilio Adriani--Poliziano's successor in his Chair at the Studio and Machiavelli's colleague at the Chancery of Florence. And he examines in depth the intellectual impact of Savonarola and the relationship between secular and religious and oral and print cultures. Godman shows a complex reaction of rivalry and antagonism in Machiavelli's approach to Marcello Virgilio, who was the leading Florentine humanist of the day. But he also demonstrates that Florentine humanists shared a common culture, marked by a preference for secular over religious themes and by constant anxiety about surviving and prospering in the city's dangerous political climate. The book concludes with an appendix, drawn from previously incaccessible archives, about the censorship of Machiavelli by the Inquisition and the Index. From Poliziano to Machiavelli adds new depth to the intellectual history of Forence during his most dynamic period in its history. Originally published in 1998. The Princeton Legacy Library uses the latest print-on-demand technology to again make available previously out-of-print books from the distinguished backlist of Princeton University Press. These editions preserve the original texts of these important books while presenting them in durable paperback and hardcover editions. The goal of the Princeton Legacy Library is to vastly increase access to the rich scholarly heritage found in the thousands of books published by Princeton University Press since its founding in 1905.",N/A,N/A,en
The Handbook of Humanistic Psychology,"['Kirk J. Schneider', 'James F. T. Bugental', 'J. Fraser Pierson']",2001,['Medical'],"`A cornucopia of valuable historical, theoretical, and practical information for the humanistic psychologist′ - Irvin Yalom, Emeritus Professor of Psychiatry, Stanford University `The editors represent both the founding generation and contemporary leadership and the contributors they have enlisted include most of the active voices in the humanistic movement. I know of no better source for either insiders or outsiders to grasp what humanistic psychology is about, and what either insiders or outsiders should do about it′ - M Brewster Smith, University of California at Santa Cruz `As a humanist it offered me a breadth I had not known existed; as a researcher it offered me an excellent statement of in depth research procedures to get closer to human experience; as a practitioner it offered me inspiration. For all those who work with and explore human experience, you can not afford to miss the voice of the third force so excellently conveyed in this comprehensive coverage of its unique view of human possibility and how to harness it′ - Leslie S Greenberg, York University Inspired by James F T Bugental′s classic, Challenges of Humanistic Psychology (1967), The Handbook of Humanistic Psychology represents the latest scholarship in the resurgent field of humanistic psychology and psychotherapy. Set against trends toward psychological standardization and medicalization, the Handbook provides a rich tapestry of reflection by the leading person-centered scholars of our time. Their range of topics is far-reaching,from the historical, theoretical, and methodological, to the spiritual, psychotherapeutic, and multicultural. Psychology is poised for a renaissance, and this Handbook will play a critical role in that transformation. As increasing numbers of students and professionals rebel against mechanizing trends, they are looking for the fuller, deeper, and more personal psychological orientation that this Handbook promotes.",4.5,N/A,en
The Intellectual Origins of the European Reformation,['Alister E. McGrath'],1995,['History'],"It is widely recognized that the sixteenth-century Reformation remains one of the most fascinating and exciting areas of scholarship. A central and important question, raised by intensive modern research on the Renaissance and late medieval scholasticism, concerns the intellectual origins of the Reformation. This updated and expanded version of the original, highly acclaimed edition of 1987 explores the complex intellectual roots of the Reformation, offering a sustained engagement with the ideas of humanism and scholasticism. McGrath demonstrates how the intellectual origins of the Reformation were heterogeneous, and draws out the implications of this finding for our understanding of the Reformation as a whole. McGrath's reading of the Reformation against its complex intellectual background opens up new insights into this highly significant historical phenomenon. Yet this is more than a fascinating exploration in the history of ideas; it is also a defense of the entire enterprise of intellectual history in the face of social historical approaches, and a reaffirmation of the importance of ideas to the development of history. Book jacket.",N/A,N/A,en
Humanism,['Ferdinand Canning Scott Schiller'],1903,['Humanism'],N/A,N/A,N/A,en
Humanism and the Culture of Renaissance Europe,['Charles G. Nauert'],2006-05-04,['History'],The updated second edition of a highly readable synthesis of the major determining features of the Renaissance.,N/A,N/A,en
Renaissance Thinkers,"['James McConica', 'Anthony Kenny', 'Anthony Quinton', 'Peter Burke']",1993,['Education'],Renaissance Thinkers contains studies of four of the most important philosophical writers of the European Renaissance.,N/A,N/A,en
The Genesis of a Humanist Manifesto,['Edwin H. Wilson'],1995,['Philosophy'],""" ... is Edwin H. Wilson's story of how the humanist manifesto of 1933 was shaped, how it came to have thirty-four prominent endorsements, how it was published, and, ultimately, its historical impact.""--Introduction.",N/A,N/A,en
Man as an End,['Alberto Moravia'],1976,['Literary Collections'],"Il Moravia saggista raccoglie in questo libro tutta una serie di interessanti riletture: Machiavelli, Boccaccio, Pavese, Maupassant fino al celebre saggi su Manzoni e l'ipotesi di un realismo cattolico che impone una nuova angolatura nella lettura dei ""Promessi Sposi"".",N/A,N/A,en
