title,authors,publishedDate,categories,description,averageRating,textSnippet,language
De leer der sympathie bij David Hume en Adam Smith,"['Jan Gerrit Appeldoorn', 'Johan Gerrit Appeldoorn']",1903,['Caring'],N/A,N/A,N/A,nl
Humanity,['Jonathan Glover'],2001,['History'],"Confronts the brutal history of the 20th century to unravel the psychological mystery of why so many atrocities occured, the Holocaust, Hiroshima, the Gulag, Cambodia, Yugoslavia, Rwanda, and the others, and how we can prevent their recurrence.",N/A,N/A,en
Caring,['Nel Noddings'],2013-09-14,['Education'],"With numerous examples to supplement her rich theoretical discussion, Nel Noddings builds a compelling philosophical argument for an ethics based on natural caring, as in the care of a mother for her child. In Caring—now updated with a new preface and afterword reflecting on the ongoing relevance of the subject matter—the author provides a wide-ranging consideration of whether organizations, which operate at a remove from the caring relationship, can truly be called ethical. She discusses the extent to which we may truly care for plants, animals, or ideas. Finally, she proposes a realignment of education to encourage and reward not just rationality and trained intelligence, but also enhanced sensitivity in moral matters.",5,N/A,en
A Common Humanity,['Raimond Gaita'],2002,['Philosophy'],This profound and arresting book draws on a wealth of examples to paint a provocative new picture of our common humanity.,3,N/A,en
Essential Care,['Leonardo Boff'],2008,['Family & Relationships'],"Essential Care envisions a globalized society in the great common home of the earth and of a world in which care has been recognized as a fundamental ethos of the human being and as an indispensable compassion for all beings of creation.--Marcella Maria Althaus-Reid, University of Edinburgh",N/A,N/A,en
The Only Thing That Matters,['Neale Donald Walsch'],2013-09-26,"['Body, Mind & Spirit']","The interesting thought that ""98% of the world's people are spending 98% of their time on things that don't matter"" opens the latest book from seven-time New York Times best-selling author Neale Donald Walsch, who says with gentleness that this is the reason so many lives are filled with sadness and turmoil, and that the world itself seems continually on the brink of calamity. This circumstance, Walsch says, is nobody's fault. We simply haven't been told or taught what does matter--or, if that question has been answered for us, the answers we've been given have not been accurate. Yet now, the author declares, the human race is receiving an invitation from Life Itself, in the form of a palpable energy shift in 2012 and beyond, to address the question directly--and people everywhere can feel it. Some sense this shift much in the way they can sense, in the sleepy hours of the morning, that it is time to wake up. Others experience frustration at how things are going right now, but they also feel a muted excitement stirring deep within, a restless readiness to respond to a soft but persistent inner voice that has lately been saying: IT DOESN'T HAVE TO BE THIS WAY. Walsch says that this inner voice is correct. One's life does not have to be a series of worrisome and challenging crises involving finances or relationship or health or family, and neither does the world at large have to be a container of constant calamity surrounding its governance and ecology and culture. In his latest book, The Only Thing That Matters, he offers a formula, elegant in its simplicity, that will immediately uplift the life of anyone who embraces it--and that could change the World Entire.",N/A,N/A,en
The Essays of Michel de Montaigne,['Michel de Montaigne'],1946,['Christianity'],N/A,N/A,N/A,en
Moment of Freedom,['Jens Bjørneboe'],1999,['Fiction'],"The first in a trilogy of books that examine the evil inherent in the human race. Set in a middle-European principality, it centres on the narrator, a servant of justice, employed to brush gowns, fill inkwells and be daily witness to injustice masquerading as a court of law.",N/A,N/A,en
R.U.R (Rossum's Universal Robots),['Karel Capek'],2010-01,['Fiction'],"Čapek's play, likened to a modern retelling of the Jewish Golem legend, is set in a robot factory where a robot rebellian leads to the extinction of the human race.",N/A,N/A,en
Starting at Home,['Nel Noddings'],2002-01-28,['Education'],"Publisher Fact Sheet Argues that an ethic of care, learned at home, should serve as the foundation for social policy.",N/A,N/A,en
Why Worry about Future Generations?,['Samuel Scheffler'],2018,['Philosophy'],"The things we do today may make life worse for future generations. But why should we care what happens to people who won't be born until after all of us are gone? Some philosophers have treated this as a question about our moral responsibilities, and have argued that we have duties of beneficence to promote the well-being of our descendants. Rather than focusing exclusively on issues of moral responsibility, Samuel Scheffler considers the broader question of why and how future generations matter to us. Although we lack a developed set of ideas about the value of human continuity, we are more invested in the fate of our descendants than we may realize. Implicit in our existing values and attachments are a variety of powerful reasons for wanting the chain of human generations to persist into the indefinite future under conditions conducive to human flourishing. This has implications for the way we think about problems like climate change. And it means that some of our strongest reasons for caring about the future of humanity depend not on our moral duty to promote the good but rather on our existing evaluative attachments and on our conservative disposition to preserve and sustain the things that we value. This form of conservatism supports rather than inhibits a concern for future generations, and it is an important component of the complex stance we take toward the temporal dimension of our lives.",N/A,N/A,en
The Power And The Glory,['Graham Greene'],2001-05-22,['Fiction'],Explores corruption and atonement through a priest and the people he encounters as he flees the Mexican State which has outlawed the church. A theological thriller.,N/A,N/A,en
Origins,"['Richard E. Leakey', 'Roger Lewin']",1982,['Social Science'],"Discusses the evolution of prehistoric ape-like creatures into human beings, theorizing that the key to this transformation was the ability to share and cooperate in a social context.",N/A,N/A,en
