title,authors,publishedDate,categories,description,averageRating,textSnippet
Men At Arms - Playtext,"['Stephen Briggs', 'Terry Pratchett']",2011-09-30,['Fiction'],"Scarcely a year on from the events of Guards! Guards!, the Ankh-Morpork City Night Watch find their services are once more needed to tackle a threat to their city. A threat at least as deadly as a 60-foot dragon, but mechanical and heartless to boot. It kills without compunction. It is the first gun on the Discworld. The original Watch - Captain Vimes, Sergeant Colon, Corporal Carrot and Corporal Nobbs - are joined by some new recruits, selected to reflect the city's ethnic make-up - Lance-Constable Cuddy (a dwarf), Detritus (a troll) and Angua (a w..., well, best to find out for yourself).",5,N/A
The Idiot,['Fyodor Dostoyevsky'],2024-12-25,['Humor'],"""The Idiot,"" by Fyodor Dostoyevsky, is a profound exploration of human nature, morality, and the complexities of society. The novel follows the life of Prince Myshkin, a young man whose innocence, kindness, and lack of social guile make him appear foolish to those around him. As he returns to Russia from a long stay in Switzerland for treatment of his epilepsy, Myshkin becomes entangled in a web of intrigue, love, and societal expectations, revealing the dark undercurrents of the Russian aristocracy. Throughout the narrative, Dostoyevsky uses the character of Myshkin, often referred to as ""the idiot,"" to question the nature of goodness, sanity, and human suffering. The prince's untainted perception of the world stands in stark contrast to the moral ambiguity and hypocrisy of those he encounters, leading to tragic and often heart-wrenching outcomes. ""The Idiot"" delves into deep philosophical questions about the nature of beauty, truth, and human compassion. Myshkin's relationships with characters such as the beautiful Nastasya Filippovna and the virtuous Aglaya Epanchin bring out themes of love, obsession, and betrayal, all while examining the harsh realities of a society obsessed with wealth, status, and power. Celebrated for its intricate psychological insight and complex characters, ""The Idiot"" is one of Dostoyevsky's most important works. Its examination of a naive but pure-hearted individual in a corrupt world serves as a poignant critique of human nature and societal values. The novel's timeless themes continue to resonate with readers who seek a deep understanding of the human condition. For readers interested in the philosophical and psychological depth of Dostoyevsky's work, ""The Idiot"" is an essential read. Its exploration of innocence, moral conflict, and the boundaries of human understanding invites readers to reflect on their own beliefs and values, making it a compelling journey through the complexities of the human soul.",N/A,N/A
Dead Souls (Annotated with Biography),['Nikolai Gogol'],2013-11-21,['Humor'],"Dead Souls is a novel by Nikolai Gogol, first published in 1842, and widely regarded as an exemplar of 19th-century Russian literature. Gogol himself saw it as an ""epic poem in prose"", and within the book as a ""novel in verse"". Despite supposedly completing the trilogy's second part, Gogol destroyed it shortly before his death. Although the novel ends in mid-sentence (like Sterne's Sentimental Journey), it is usually regarded as complete in the extant form.",N/A,N/A
The Cynic's Word Book,['Ambrose Bierce'],2008-07-26,['History'],"One of Bierce's most famous works. Originally an occasional newspaper item which was first published in book form in 1906 as The Cynic's Word Book. It consists of satirical definitions of English words which lampoon cant and political double-talk. Under the entry ""leonine"", meaning a single line of poetry with an internal rhyming scheme, he included an apocryphal couplet written by the apocryphal Bella Peeler Silcox (Ella Wheeler Wilcox) in which an internal rhyme is achieved in both lines only by mispronouncing the rhyming words: The electric light invades the dunnest deep of Hades. Cries Pluto, 'twixt his snores: ""O tempora! O mores!"" Later published as The Devil's Dictionary, the title Bierce himself preferred to The Cynic's Word Book.",N/A,N/A
Why Men Don't Listen and Women Can't Read Maps,"['Allan Pease', 'Barbara Pease']",2004-01-13,['Family & Relationships'],"Have you ever wished your partner came with an instruction booklet? This international bestseller is the answer to all the things you've ever wondered about the opposite sex. For their controversial new book on the differences between the way men and women think and communicate, Barbara and Allan Pease spent three years traveling around the world, collecting the dramatic findings of new research on the brain, investigating evolutionary biology, analyzing psychologists, studying social changes, and annoying the locals. The result is a sometimes shocking, always illuminating, and frequently hilarious look at where the battle line is drawn between the sexes, why it was drawn, and how to cross it. Read this book and understand--at last!--why men never listen, why women can't read maps, and why learning each other's secrets means you'll never have to say sorry again.",1,N/A
The History of Don Quixote de la Mancha,['Miguel de Cervantes Saavedra'],2019-01-30,['Fiction'],"With regard to Don Quixote, it need hardly be said that its object is satire upon the books of knight-errantry, which were so much used in the time of Cervantes, and especially by the Spanish. He conceived that these books were likely to give his countrymen false ideas of the world; to fill them all, but especially the young, with fanciful notions of life, and so make them unfit to meet its real difficulties and hardships. In order to exhibit the absurdity of such works (it must be remembered too, that the more famous books of knighthood had given rise to a host of spurious imitations, with all their faults and none of their beauties), the author of Don Quixote represents a worthy gentleman with his head turned by such reading, and then sallying forth and endeavouring to act in this plain matter-of-fact world (where there are windmills, and not giants-inns, and not castles-good honest hosts and hostesses, and not lords and ladies-chambermaids, and not peerless beauties-estates to be got by hard labour, and not islands to be given away to one's dependants as if by enchantment), endeavouring to act, we say, as if all that was said in Amadis de Gaul, and Palmerin of England, and Olivante de Laura, were really true.",N/A,N/A
Dante's Divina Commedia,"['Dante Alighieri', 'Ramsay']",2019-03-05,['History'],"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",N/A,N/A
The Tale of How Ivan Ivanovich Quarreled with Ivan Nikiforovich (Annotated with Biography),['Nikolai Gogol'],2013-11-21,['Fiction'],"This story takes place in a bucolic small town of Mirgorod (Myrhorod in Ukrainian), written in the style featuring grotesque, realistic portrayals of the characters. The two Ivans are gentlemen landowners, neighbors and great friends, each one almost being the opposite image of the other. Ivan Ivanovich is tall, thin, and well-spoken, for example, while Ivan Nikiforovich is short, fat, and cuts to the point with a biting honesty. One day, Ivan Ivanovich notices his friend's servant hanging some clothes out to dry as well as some military implements, especially a Turkish rifle that interests him. He goes over to Nikiforovich's house and offers to trade it for a brown pig and two sacks of oats, but his friend is unwilling to part with it and calls Ivan Ivanovich a goose, which terribly offends him. After this, they begin to hate each other.",N/A,N/A
Don't Shoot the Albatross!,['Jonathan Eyers'],2012-12-19,['Sports & Recreation'],"Sailors are a notoriously superstitious lot - even if some won't admit it. Years of taking to the water, at the mercy of uncontrollable (and sometimes deadly) forces, have led even the wisest to seek ways of influencing the gods or fate. From bad omens and odd rituals to lucky tokens and forbidden words, the superstitions of the sea are legion. Many of these superstitions have refused to go away and quite a few have entered the general public consciousness. Some are amusing in their own right, others have fascinating origins, whilst for many there are bizarre anecdotal incidents which would appear to lend credence to these arcane beliefs. Illustrated with quirky cartoons, this book explores nautical superstitions from all over the world in an informative yet entertaining way. Includes superstitions about: Boatbuilding, naming and launching; Lucky and unlucky dates to sail; People, things and animals not to let on board; Signs and portents at sea; Words not to say (and their alternatives); Predicting the weather; Fishing; and much, much more!",N/A,N/A
The Divine Comedy - Scholar's Choice Edition,['MR Dante Alighieri'],2015-02-18,[],"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",N/A,N/A
