title,authors,publishedDate,categories,description,averageRating,textSnippet,language
"Trade, Foreign Direct Investment, and International Technology Transfer",['Kamal Saggi'],1999,['Attributes'],"The author surveys the literature on trade and foreign direct investment--especially wholly-owned subsidiaries of multinational firms and international joint ventures--as channels for technology transfer. He also discusses licensing and other arm's length channels of technology transfer. He concludes: 1) How trade encourages growth depends on whether knowledge spillover is national or international. Spillover is more likely to be national for developing countries than for industrial countries. 2) Local policy often makes pure foreign direct investment infeasible, so foreign firms choose licensing or joint ventures. The jury is still out on whether licensing or joint ventures lead to more learning by local firms. 3) Policies designed to attract foreign direct investment are proliferating. Several plant-level studies have failed to find positive spillover from foreign direct investment to firms competing directly with subsidiaries of multinationals. (However, these studies treat foreign direct investment as exogenous and assume spillover to be horizontal-when it may be vertical.) All such studies do find the subsidiaries of multinationals to be more productive than domestic firms, so foreign direct investment does result in host countries using resources more effectively. 4) Absorptive capacity in the host country is essential for getting significant benefits from foreign direct investment. Without adequate human capital or investments in research and development, spillover fails to materialize. 5) A country's policy on protection of intellectual property rights affects the type of industry it attracts. Firms for which such rights are crucial (such as pharmaceutical firms) are unlikely to invest directly in countries where such protections are weak, or will not invest in manufacturing and research and development activities. Policy on intellectual property rights also influences whether technology transfer comes through licensing, joint ventures, or the establishment of wholly-owned subsidiaries.",N/A,N/A,en
The Moment of Complexity,['Mark C. Taylor'],2003-09,['Philosophy'],"We live in a moment of unprecedented complexity, an era in which change occurs faster than our ability to comprehend it. With ""The Moment of Complexity"", Mark C. Taylor offers a map for the unfamiliar terrain opening in our midst, unfolding an original philosophy of our time through a remarkable synthesis of science and culture. According to Taylor, complexity is not just a breakthrough scientific concept but the defining quality of the post-Cold War era. The flux of digital currents swirling around us, he argues, has created a new network culture with its own distinctive logic and dynamic.",N/A,N/A,en
Information Theory,['Robert B. Ash'],1990,['Computers'],"Developed by Claude Shannon and Norbert Wiener in the late Forties, information theory, or statistical communication theory, deals with the theoretical underpinnings of a wide range of communication devices: radio, television, radar, computers, telegraphy, and more. This book is an excellent introduction to the mathematics underlying the theory. Designed for upper-level undergraduates and first-year graduate students, the book treats three major areas: analysis of channel models and proof of coding theorems (Chapters 3, 7 and 8); study of specific coding systems (Chapters 2, 4, and 5); and study of statistical properties of information sources (Chapter 6). Among the topics covered are noiseless coding, the discrete memoryless channel, error correcting codes, information sources, channels with memory and continuous channels. The author has tried to keep the prerequisites to a minimum. However, students should have a knowledge of basic probability theory. Some measure and Hilbert space theory is helpful as well for the last two sections of Chapter 8, which treat time-continuous channels. An appendix summarizes the Hilbert space background and the results from the theory of stochastic processes necessary for these sections. The appendix is not self-contained, but will serve to pinpoint some of the specific equipment needed for the analysis of time-continuous channels. In addition to historic notes at the end of each chapter indicating the origin of some of the results, the author has also included 60 problems, with detailed solutions, making the book especially valuable for independent study.",N/A,N/A,en
Price Theory and Applications,['Steven E. Landsburg'],2005,['Microeconomics'],"Intermediate microeconomics is both fun and intellectually challenging in this new edition, written by the author of The ArmchairEconomist, the popular trade book that explains basic economics to the general public. The text provides an exceptionally friendly andapplication-rich presentation, combined with a rigorous and careful development of microeconomic theory. All of the standard topics ofintermediate price theory are included, as well as innovative topics such as alternative normative criteria, efficient asset markets,contestable markets, antitrust law, human capital, and the demand for public goods. A unique unifying theme of social welfare is used withlittle higher-level mathematics.",N/A,N/A,en
Economic Approaches to Organizations,"['Sytse Douma', 'Hein Schreuder']",2002,['Business & Economics'],Focuses on economic decision making within the firm and helps students make the link between management and economic theories and ideas.,N/A,N/A,en
Information Operations,['Joint Forces Staff College (U.S.)'],2004,['History'],Explains the critical importance of information operations in future conflict,N/A,N/A,en
The Role of Information in the Economy and Society,['Nick Moore'],1994-04,['Business & Economics'],"The main aims of the workshop were: the establishment of a network of institutes in the area of information economics & policy, working within a common framework; to give recommendations on future activities in information economics & policy; & to give recommendations on European Community & national policy. The Workshop discussed the wide-ranging role of information in the economy & society from a number of angles: the economy, firms & organizations, social, legal & policy dimensions.",N/A,N/A,en
Managing Public Organizations,"['Jan Kooiman', 'Kjell A. Eliassen']",1987-12,['Business & Economics'],Managing Public Organizations presents the case for the development of public management and indicates the directions it should take. It reviews the progress of new management initiatives in the European public sphere; examines the role of the public manager and the organization of public bodies; and considers the potential for change. The contributors reject the notion that there are formulas for management innovation or that general rules from private sector management can be applied. They emphasize the need to develop a concept of management that is appropriate for public organizations.,N/A,N/A,en
An Internet in Your Head,['Daniel Graham'],2022-06-28,[],"Whether we realize it or not, we think of our brains as computers. In neuroscience, the metaphor of the brain as a computer has defined the field for much of the modern era. But as neuroscientists increasingly reevaluate their assumptions about how brains work, we need a new metaphor to help us ask better questions. The computational neuroscientist Daniel Graham offers an innovative paradigm for understanding the brain. He argues that the brain is not like a single computer--it is a communication system, like the internet. Both are networks whose power comes from their flexibility and reliability. The brain and the internet both must route signals throughout their systems, requiring protocols to direct messages from just about any point to any other. But we do not yet understand how the brain manages the dynamic flow of information across its entire network. The internet metaphor can help neuroscience unravel the brain's routing mechanisms by focusing attention on shared design principles and communication strategies that emerge from parallel challenges. Highlighting similarities between brain connectivity and the architecture of the internet can open new avenues of research and help unlock the brain's deepest secrets. An Internet in Your Head presents a clear-eyed and engaging tour of brain science as it stands today and where the new paradigm might take it next. It offers anyone with an interest in brains a transformative new way to conceptualize what goes on inside our heads.",N/A,N/A,en
The Radio Spectrum,"['Björn Wellenius', 'Isabel Neto']",2005,['Business'],"Abstract: The radio spectrum is a major component of the telecommunications infrastructure that underpins the information society. Spectrum management, however, has not kept up with major changes in technology, business practice, and economic policy during the past two decades. Traditional spectrum management practice is predicated on the spectrum being a limited resource that must be apportioned among uses and users by government administration. For many years this model worked well, but more recently the spectrum has come under pressure from rapid demand growth for wireless services and changing patterns of use. This has led to growing technical and economic inefficiencies, as well as obstacles to technological innovation. Two alternative approaches are being tried, one driven by the market (spectrum property rights) and another driven by technology innovation (commons). Practical solutions are evolving that combine some features of both. Wholesale replacement of current practice is unlikely, but the balance between administration, property rights, and commons is clearly shifting. Although the debate on spectrum management reform is mainly taking place in high-income countries, it is deeply relevant to developing countries as well.",N/A,N/A,en
