title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Managing Technological Innovation,['Frederick Betz'],2003-07-03,['Business & Economics'],"Technology management as a field came together during the 1980s in response to the question of how society could deliberately create new technology and exploit it in economic development. This updated edition introduces technology management, covers the importance of managing information technologies, and compares them to existing physical technologies.",N/A,N/A,en
Nascent Entrepreneurship,['Per Davidsson'],2006,['Business & Economics'],"Small Firm Growth has two purposes -- to review the extant empirical literature on small firm growth by focusing on small and medium-sized firms (SMEs) and to suggest a framework for integrating our knowledge on small firm growth to guide future research. The authors identify a number of key themes: the conceptualization of small firm growth, assessing small firm growth, factors driving or hindering growth, modes of growth (such as organic growth versus acquisitions), growth stages and transition, and the effects of small firm growth. Small Firm Growth first discusses the nature of the phenomenon of small firm growth and its relation to entrepreneurship as well as size and age. It then moves on to how growth can best be assessed. A major section is devoted to findings on factors that contribute to or hinder firm growth. Following this it offers a section on how small firms grow, if and when they grow at all. In particular, it examines organic growth versus acquisitions; growth through networking and alliances, and international expansion. The next topic treated is 'growth stages and transitions' and the effects of growth in terms of profitability and job creation. Finally, the authors propose a framework for guiding future research and furthering management theory and practice on small firm growth.",N/A,N/A,en
A Social Theory of Innovation,['Alexander Styhre'],2013,['Business & Economics'],"The contemporary economy is primarily understood through the rationalist and formalist lenses of economic theory and its accompanying (mainstream) theories of organization and management. In this corpus of work, the economy is commonly portrayed as emerging on the basis of the calculated and instrumental use of heterogeneous resources. Innovation - the capacity to produce new goods and services, being of key importance in a competitive capitalist economic regime - is a joint collaborative process embedded in social action, i.e., through forms of agency. In contrast to individualist, calculative, and utilitarian images of economic agency, sociologists, historians, anthropologists, and others have demonstrated that economic agency is determined in many cases by social and cultural conditions that extend beyond the narrow sphere of instrumental economic behavior. A Social Theory of Innovation makes a connection between innovation, economic agency, and three complementary perspectives - i.e. those of playfulness, reciprocity, and squandering (the conspicuous and symbolic waste of excess resources) - in terms of being three principles that underlie innovative and creative work. Rather than postulating the homo oeconomicus model of economic agency - prescribed by neoclassical economic theory - as the only possible and legitimate image of economic agency, alternative models exist which in various ways contribute to our understanding of how and why innovation is produced in contemporary society. The book draws on a diverse corpus of literature from management studies, economics, economic sociology, and the humanities to provide a less confined and narrow image of innovation and economic agency. This book is intended for undergraduate, graduate, and post-graduate business school curricula in both economic sociology and other educational programs addressing the organization of the economy and society at large.",N/A,N/A,en
Insight in Innovation,"['Jan Verloop', 'J. G. Wissema']",2004-05-08,['Business & Economics'],"Managing innovation in such a way that it becomes an effective tool for achieving strategic organizational objectives is the subject of this work, which provides insight into the management process for innovation in creating intellectual capital and supporting sustainable development.",N/A,N/A,en
Organizing Innovation,['Marcel Veenswijk'],2006,['Business & Economics'],"New Public Management as an administrative reform ideology as well as conceptual innovation has changed the outlook of public administration during the last ten years. Public administration and public administration reform should not only be concerned with the improvement of the efficiency and coherence which play an important role in public administration, but also political values like liberty, equity and security as well as legal values like the rule of the law. The modernization agenda of public administration has a rather internal focus, while the ultimate test for the modernization of public administration is the way in which governments are able to respond to changing social, cultural and economic conditions and the wicked policy problems which result from them. This publication contains interesting contributions to the science and practice of public administration.",N/A,N/A,en
Enterprise,"['Robin Lowe', 'Sue Marriott']",2006,['Business & Economics'],"The authors here discuss the factors that should be taken into account when starting up a new business. However, a key factor of this book is the emphasis on the learning and decision-making processes of entrepreneurs.",N/A,N/A,en
Research Handbook on Gender and Innovation,"['Gry Agnete Alsos', 'Ulla Hytti', 'Elisabet Ljunggren']",2016-09-30,['Business & Economics'],"Innovation is seen as one of the main engines of economic growth. It is generally assumed to be gender neutral when, in fact, the gendered construction of innovation has been traditionally masculine. This Handbookexplores the nexus between innovation and gender by providing a wide range of studies from different analytical and methodological perspectives and from various regional and industry contexts and draws implications for a gender-inclusive innovation policy. The multi-disciplinary group of contributors discuss topics such as gender and innovation in new and small businesses, and growth businesses; addressing innovation in different organizational contexts ranging from public sector health care to mining and forestry; researching gender in innovation policy and in design and materiality. ThisHandbook will be useful to researchers looking to understand parallels between research on gender and innovation on one hand, and research on gender and entrepreneurship or management on the other. It will also be invaluable to students looking for an overview of research in both areas. Contributors include: R. Aidis, G.A. Alsos, N. Amble, E. Andersson, L. Andersson, P. Axelsen, K.-E. Berglund, T. Bijedic, E. Börjesson, S. Brink, K. Ehrnberger, K. Ettl, E. Fernandes, L. Foss, C. Henry, U. Hytti, S. Ilstedt, A. Isaksson, M. Johansson, A. Kovalainen, S. Kriwoluzky, T. Kvidal-Røvik, R. Leite, M. Lindberg, B. Ljunggren, E. Ljunggren, S. Martins, S. Poutanen, S.R. Sardeshmukh, R.M. Smith, L.K. Snerthammer, M. Tillmar, F. Welter",N/A,N/A,en
Software Takes Command,['Lev Manovich'],2013-07-04,['Social Science'],Offers the first look at the aesthetics of contemporary design from the theoretical perspectives of media theory and 'software studies'.,N/A,N/A,en
Managing Innovation and Change,['David Mayle'],2006-08-30,['Business & Economics'],"Building on the success of the Second Edition with 19 new chapters, Managing Innovation and Change showcases the best work of thinkers writing in this area and provides a coherent picture of key ideas and concepts to have emerged from this exciting field. Frequently radical and intentionally provocative in terms of topic and treatment, the book: - covers the increasing diversity of pressures to which modern enterprises are subjected; - reviews some of the more persistent acronyms to which the art of management is increasingly prone; - examines the nature of innovation; - looks at the broader issues surrounding change, and - turns to those attributes of leadership which are consistent with the successful management of innovation and change.",4,N/A,en
Innovative Minds,"['Ulrich Eberl', 'Joerg Puma', 'Jörg U. Puma']",2007-08-13,['Business & Economics'],"Innovative Minds: A Look Inside Siemens' Idea Machine tells the story of 30 innovations - the large and the small, the rapid and the slow-moving, the disruptive and the evolutionary - and covers the entire spectrum of people and processes involved in their development. The book provides a unique insight into the multi-dimensional process of innovation development at Siemens. All of the innovations were shaped not only by complex organizational forces and strategies, but also by a host of factors, including bold visions, creative freedom, conflicts, internal and external networks, customer orientation, teamwork - and an ample measure of luck. Every innovation story yields many valuable lessons, for companies and for each individual involved. With this in mind, the authors offer a wealth of experiences for all readers who are involved in the process of innovation - whether in a strategic or hands-on capacity - infields such as research and development, marketing, production and sales, strategy and innovation management, organization and management.",N/A,N/A,en
