title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Presentation Skills for Students,"['Joan van Emden', 'Lucinda Becker']",2016-06-09,['Education'],"The ability to speak clearly, fluently and persuasively is essential to students in all courses of study. This text discusses a wide range of speaking occasions, such as giving a seminar or a project presentation.",N/A,N/A,en
Gotta Tango,"['Alberto Paz', 'Valorie Hart']",2008,['Performing Arts'],"Gotta Tango is a superior instructional package for learning how to dance the authentic Argentine tango at a social level. Master teachers Alberto Paz and Valorie Hart take you on a journey through the rich culture, history, and music of Buenos Aires that inspired the romantic passion, alluring creativity, and natural elegance of the Argentine tango dance. You will learn the fundamentals and roles each partner plays in this exhilarating and intimate social dance. The book describes, illustrates, and explains the fundamental concepts and techniques, while the DVD visually demonstrates real dance situations with a partner. This combination provides tango lessons that are infinitely more effective than a stand-alone book or video product--and will have you dancing with confidence in less time than you thought possible. Each tango dancer has a unique way of expressing movements. Gotta Tango offers a logical, structured approach that will help you learn quickly how to move spontaneously with a partner and with the music. It provides the tools you will use every day as a tango dancer as you immerse yourself in the experience, pleasure, and addiction of dancing the Argentine tango.",N/A,N/A,en
Blended Learning Designs in STEM Higher Education,"['Christopher N Allan', 'Chris Campbell', 'Julie Crough']",2019-06-04,[],N/A,N/A,N/A,en
Computational Thinking Education,"['Siu-Cheung Kong', 'Harold Abelson']",2019,['Education'],"This book is open access under a CC BY 4.0 license. This book offers a comprehensive guide, covering every important aspect of computational thinking education. It provides an in-depth discussion of computational thinking, including the notion of perceiving computational thinking practices as ways of mapping models from the abstraction of data and process structures to natural phenomena. Further, it explores how computational thinking education is implemented in different regions, and how computational thinking is being integrated into subject learning in K-12 education. In closing, it discusses computational thinking from the perspective of STEM education, the use of video games to teach computational thinking, and how computational thinking is helping to transform the quality of the workforce in the textile and apparel industry.",N/A,N/A,en
Dork Diaries 3 1/2,['Rachel Renée Russell'],2011-10-11,['Juvenile Fiction'],"Create your own Dork Diary with this special, interactive addition to the New York Times bestselling Dork Diaries series. Nikki Maxwell has been writing in a diary since the start of the school year, and she usually takes it everywhere she goes--so she can't believe it when one morning she can't find her diary The hunt is on, and while she looks, pursuing various theories about where it could be, Nikki can't help putting together a list of important diary-keeping lessons to remember in case of missing diary emergencies like this one. How to Dork Your Diary is chock full of tips from Nikki on fun things to write about in your diary, with lots of space for readers to write and draw their own entries. Meanwhile Nikki's friends Chloe and Zoey, her little sister Brianna, her crush Brandon, and mean girl MacKenzie are all a part of the story as Nikki searches everywhere for that diary, with plenty of adventures along the way",4,N/A,en
Developing Models in Science Education,"['J.K. Gilbert', 'C. Boulter']",2000-11-30,['Science'],"Models and modelling play a central role in the nature of science, in its conduct, in the accreditation and dissemination of its outcomes, as well as forming a bridge to technology. They therefore have an important place in both the formal and informal science education provision made for people of all ages. This book is a product of five years collaborative work by eighteen researchers from four countries. It addresses four key issues: the roles of models in science and their implications for science education; the place of models in curricula for major science subjects; the ways that models can be presented to, are learned about, and can be produced by, individuals; the implications of all these for research and for science teacher education. The work draws on insights from the history and philosophy of science, cognitive psychology, sociology, linguistics, and classroom research, to establish what may be done and what is done. The book will be of interest to researchers in science education and to those taking courses of advanced study throughout the world.",N/A,N/A,en
How to Dork Your Diary,['Rachel Renée Russell'],2011,['Diaries'],"Nikki Maxwell has been writing in a diary since the start of the school year, and she usually takes it everywhere she goes, so she can't believe it when one morning she can't find her diary! The hunt is on, and while she looks, pursuing various theories about where it could be, Nikki can't help putting together a list of important diary-keeping lessons to remember in case of missing diary emergencies like this one.",N/A,N/A,en
Learner-Centered Teaching Activities for Environmental and Sustainability Studies,['Loren B. Byrne'],2016-03-31,['Science'],"Learner-centered teaching is a pedagogical approach that emphasizes the roles of students as participants in and drivers of their own learning. Learner-centered teaching activities go beyond traditional lecturing by helping students construct their own understanding of information, develop skills via hands-on engagement, and encourage personal reflection through metacognitive tasks. In addition, learner-centered classroom approaches may challenge students’ preconceived notions and expand their thinking by confronting them with thought-provoking statements, tasks or scenarios that cause them to pay closer attention and cognitively “see” a topic from new perspectives. Many types of pedagogy fall under the umbrella of learner-centered teaching including laboratory work, group discussions, service and project-based learning, and student-led research, among others. Unfortunately, it is often not possible to use some of these valuable methods in all course situations given constraints of money, space, instructor expertise, class-meeting and instructor preparation time, and the availability of prepared lesson plans and material. Thus, a major challenge for many instructors is how to integrate learner-centered activities widely into their courses. The broad goal of this volume is to help advance environmental education practices that help increase students’ environmental literacy. Having a diverse collection of learner-centered teaching activities is especially useful for helping students develop their environmental literacy because such approaches can help them connect more personally with the material thus increasing the chances for altering the affective and behavioral dimensions of their environmental literacy. This volume differentiates itself from others by providing a unique and diverse collection of classroom activities that can help students develop their knowledge, skills and personal views about many contemporary environmental and sustainability issues. ​ ​ ​",N/A,N/A,en
Gotta Ballroom,"['Christine Zona', 'Chris George']",2008,['Performing Arts'],"An instruction and technique quide for learning to dance the American style waltz, tango, foxtrot and Viennese waltz.",N/A,N/A,en
Strengthening Teaching and Learning in Research Universities,"['Bjørn Stensaker', 'Grahame T. Bilbow', 'Lori Breslow', 'Rob van der Vaart']",2017-07-25,['Education'],"This book offers a range of approaches and specific examples of how a sample of internationally leading research-intensive universities, from a variety of regions around the world, work to improve teaching and learning. It describes and analyzes broad university initiatives and approaches that have the potential of driving institution-wide change processes in teaching and learning, thus providing a link between strategic ambitions and cultural transformation in the universities. Globally, research-intensive universities are increasingly pressured to increase their performance in both research and education. However, while much focus internationally has been devoted to how universities are working to boost their research performance, less is known about how internationally leading universities are working to improve teaching and learning. Through comparative cases drawn from universities in Europe, Asia and the US, key practices and lessons are identified and showcased providing a unique insight into the ways internationally leading research universities work to support and enhance staff engagement in teaching and learning. It will be essential reading for researchers and advanced students working in Higher Education and Sociology, particularly those with an interest in comparative studies.",N/A,N/A,en
