title,authors,publishedDate,categories,description,averageRating,textSnippet,language
El lenguaje e Internet,['David Crystal'],2002-04-11,['Language Arts & Disciplines'],"Esta obra se investiga la naturaleza del impacto que internet esta teniendo sobre el lenguaje. Crystal plantea que internet esta haciendo posible una impresionante expansiin para ocupar un lugar en la categoria variedad del leguaje, y que esta ofreciendo oportunidades sin precedentes para la creatividad personal.",N/A,N/A,es
Digital Methods,['Richard Rogers'],2013,['Computers'],A proposal to repurpose Web-native techniques for use in social and cultural scholarly research.,N/A,N/A,en
Culture and Technology in the New Europe,['Laura B. Lengel'],2000-04-13,['Business & Economics'],"Culture and Technology in the New Europe presents the insights of an international group of academic researchers and media practitioners who examine the impact of technology on East Central Europe, South-Eastern Europe, the Newly Independent States and the Russian Federation. Drawing from the expertise of authors from and working in the region, the book addresses concerns that the New Europe faces at the eve of the Third Millennium and a decade after the fall of communist rule. Such concerns include access to information and communication technology and the culturally-specific discourses articulated through media and technology. While the book focuses on information and communication reforms, and the development of a participatory democracy are examined. The book is distinguished by diverse studies ranging from the problems of Cyber Hate from and about the New Europe, to online activism in war-torn Kosovo, Bosnia, Croatia and Yugoslavia, to how digital media art articulates new cultural and creative freedoms once silenced by the Soviet regime. Finally, the book looks to the future of media, technology and communication in the New Europe, particularly the gaps between post-socialist nations and those more technologically advantaged, and how these gaps can be narrowed or eradicated in the Third Millennium.",N/A,N/A,en
The Internet Encyclopedia,['Hossein Bidgoli'],2004,['Business & Economics'],"The Internet Encyclopedia in a 3-volume reference work on the internet as a business tool, IT platform, and communications and commerce medium.",4,N/A,en
Access Controlled,['Ronald Deibert'],2010,['Computers'],Report from the OpenNet Initiative.,5,N/A,en
The Innovators,['Walter Isaacson'],2014-10-07,['Biography & Autobiography'],"A revelatory history of the people who created the computer and the Internet discusses the process through which innovation happens in the modern world, citing the pivotal contributions of such figures as Ada Lovelace, Alan Turing, Bill Gates, and Tim Berners-Lee.",N/A,N/A,en
Digital Labor,['Trebor Scholz'],2013,['Business & Economics'],"'Digital Labor' asks whether life on the Internet is mostly work, or play. We tweet, we tag photos, we link, we review books, we comment on blogs, we remix media and we upload video to create much of the content that makes up the web.",N/A,N/A,en
The Cyberspace Handbook,['Jason Whittaker'],2004,['Computers'],"A comprehensive guide to all aspects of new media, information technologies and the internet.",N/A,N/A,en
HTML for the World Wide Web,['Elizabeth Castro'],2003,['Computers'],"bull; Task-based approach teaches readers how to combine HTML and CSS to create sharp, consistent Web pages regardless of monitor size, browser, platform, or viewing device. bull; Comprehensive coverage of the transition from HTML to XHTML, including the differences between the languages. bull; Packed with tips, techniques, and illustrations--all updated to reflect newer browsers and the changing use of HTML.",N/A,N/A,en
Ruling the Root,['Milton Mueller'],2004-01,['Business & Economics'],"An account of the complex, frequently contentious, issues of Internet governance and the formation of ICANN, the Internet Corporation for Assigned Names and Numbers.",N/A,N/A,en
Power Without Responsibility,"['James Curran', 'Jean Seaton']",2003,['Language Arts & Disciplines'],"The sixth edition of this title is a guide for all those involved with the production and consumption of the media. It includes up-to-date analysis of new media and legislation, New Labour conservatism and coverage of Scottish and Welsh devolution.",N/A,N/A,en
Democracy's Fourth Wave?,"['Philip N. Howard', 'Muzammil M. Hussain']",2013-04-04,['Business & Economics'],"In 2011, the international community watched as citizens mobilized through the Internet and digital media to topple three of the world's most entrenched dictators: Ben Ali in Tunisia, Mubarak in Egypt, and Qaddafi in Libya. This book examines not only the unexpected evolution of events during the Arab Spring, but the longer history of desperate-and creative-digital activism through the Arab world.",N/A,N/A,en
