title,authors,publishedDate,categories,description,averageRating,textSnippet,language
A History of Islamic Societies,['Ira M. Lapidus'],2014-10-13,['History'],"""This third edition of Ira M. Lapidus's classic A History of Islamic Societies has been substantially revised to incorporate the insights of new scholarship and updated to include historical developments in the first decade of the twenty-first century. Lapidus's history explores the beginnings and transformations of Islamic civilizations in the Middle East and details Islam's worldwide diffusion to Africa, Spain, Turkey and the Balkans, Central, South and Southeast Asia, and North America, situating Islamic societies within their global, political, and economic contexts. It accounts for the impact of European imperialism on Islamic societies and traces the development of the modern national state system and the simultaneous Islamic revival from the early nineteenth century to the present. This book is essential for readers seeking to understand Muslim peoples.""--Publisher information.",4,N/A,en
Islam and the West,['Bernard Lewis'],1993,['History'],"In this enlightening and highly-praised collection of essays, extensively revised, Lewis explores the vast common heritage shared by Islam and the West, the history of the troubled relationship, and the perceptions each side holds of the other. This is a matchless guide to the backgroud of Middle East conflicts today from an eminent authority.",N/A,N/A,en
History Of Islamic Philosophy,['Henry Corbin'],2014-06-23,['Philosophy'],"First published in 1993. Routledge is an imprint of Taylor & Francis, an informa company.",5,N/A,en
The History of al-Ṭabarī Vol. 8,['Abū Jaʿfar Muḥammad ibn Jarīr al-Ṭabarī'],1997-01-09,['Religion'],"Volume VIII of al-Tabari's great 40-volume history of the Arabs covers the history of the Muslim community and the biography of Muh'ammad in the middle Medinan years. During this period, Meccan resistance to Islam collapsed, Muh'ammad returned triumphantly to his native city, and the Muslim community weathered controversy in Muhammad's private life.",N/A,N/A,en
Islam in America,['Jane I. Smith'],2010,['History'],"A leading authority in the field introduces the basic tenets of the Muslim faith, surveys the history of Islam in the U.S., and profiles the lifestyles, religious practices, and worldviews of American Muslims. The book covers the role of women in American Islam, raising and educating children, appropriate dress and behavior, concerns about prejudice, and much more.",N/A,N/A,en
The Many Faces of Political Islam,['Mohammed Ayoob'],2008,['Political Science'],"A lucid, comprehensive examination of the true relationship between Islam and global politics",N/A,N/A,en
The Muslim Jesus,['Tarif Khalidi'],2001-05-31,['Religion'],"This work presents in English translation the largest collection ever assembled of the sayings and stories of Jesus in Arabic Islamic literature. The 300 sayings and stories, arranged in chronological order, show us how the image of this Jesus evolved throughout a millennium of Islamic history.",N/A,N/A,en
Beyond Turk and Hindu,"['David Gilmartin', 'Bruce B. Lawrence']",2000,['Religion'],'' Sets] the stage for a rewriting of nearly a thousand years of history to create new understandings of the nature of cultural encounters. . . . The volume breaks free from the polemics of present-day politics and historicist distortions that have seeped into most standard texts.,N/A,N/A,en
Redefining Christian Identity,"['Jan J. Ginkel', 'Hendrika Lena Murre-van den Berg', 'Theo Maarten van Lint']",2005,['History'],"Cultural interaction in the Middle East since the Rise of Islam - such was the title of a combined research project of the Universities of Leiden and Groningen aimed at describing the various ways in which the Christian communities of the Middle East expressed their distinct cultural identity in Muslim societies. As part of the project the symposium ""Redefining Christian Identity, Christian cultural strategies since the rise of Islam"" took place at Groningen University on April 7-10, 1999. This book contains the proceedings of this conference. From the articles it becomes clear that a number of distinct ""cultural strategies"" can be identified, some of which were used very frequently, others only in certain groups or at particular periods of time. The three main strategies that are represented in the papers of this volume are: (i) reinterpretation of the pre-Islamic Christian heritage; (ii) inculturation of elements from the new Islamic context; (iii) isolation from the Islamic context. Viewed in time, it is clear that the reinterpretation of older Christian heritage was particularly important in the first two centuries after the rise of Islam, the seventh and eighth centuries, that inculturation was the dominant theme of the Abbasid period, in the ninth to twelfth centuries, whereas from the Mongol period onwards, from the thirteenth to the eighteenth centuries, isolation more and more often occurs, although inculturation of elements from the predominantly Muslim environment never came to a complete standstill.",N/A,N/A,en
The Moslem World,['Samuel Marinus Zwemer'],1916,['Islam'],N/A,N/A,N/A,en
