title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Canaanite Myth and Hebrew Epic,['Frank Moore Cross'],1997-09,['History'],The essays in this volume address key aspects of Israelite religious development. Frank Moore Cross traces the continuities between early Israelite religion and the Canaanite culture from which it emerged; explores the tension between the mythic and the historical in Israel’s religious expression; and examines the reemergence of Canaanite mythic material in the apocalypticism of early Christianity and the Dead Sea Scrolls.,4,N/A,en
Art and Judaism in the Greco-Roman World,['Steven Fine'],2005-06-08,['Art'],Publisher Description,N/A,N/A,en
The Jews in the Time of Jesus,['Stephen M. Wylen'],1996,['History'],"The teachings of Jesus, his life story, his relationships, the things that were said of him by early Christians - all are best understood against the backdrop of Jesus' own time and place. Understanding Jewish life in the first century will help us better understand Jesus' mission and how it relates to our own religious concerns today. The Jews in the Time of Jesus is ideal for classroom use and for anyone who is interested in understanding the Jewish roots of Christianity.",N/A,N/A,en
The Guide for the Perplexed,['Moses Maimonides'],2004,['Philosophy'],"Written by the greatest Jewish thinker of the middle ages if not of all time, this title offers a profound and timeless statement of man's relation to himself, to God, and to society.",4,N/A,en
History of the Jews,['Flavius Josephus'],1839,['Jews'],N/A,N/A,N/A,en
The Guide of the Perplexed of Maimonides,['Moses Maimonides'],1881,['Jewish philosophy'],N/A,N/A,N/A,en
Josephus: The Jewish War,['Flavius Josephus'],1928,['Jews'],N/A,N/A,N/A,en
American Judaism,['Nathan Glazer'],1957,['History'],"First published in 1957, Nathan Glazer's classic, historical study of Judaism in America has been described by the New York Times Book Review as ""a remarkable story . . . told briefly and clearly by an objective historical mind, yet with a fine combination of sociological insight and religious sensitivity."" Glazer's new introduction describes the drift away from the popular equation of American Judaism with liberalism during the last two decades and considers the threat of divisiveness within American Judaism. Glazer also discusses tensions between American Judaism and Israel as a result of a revivified Orthodoxy and the disillusionment with liberalism. ""American Judaism has been arguably the best known and most used introduction to the study of the Jewish religion in the United States. . . . It is an inordinately clear-sighted work that can be read with much profit to this day.""—American Jewish History (1987)",N/A,N/A,en
Paul and the Gentile Problem,['Matthew Thiessen'],2016,['History'],"Paul and the Gentile Problem provides a new explanation for the apostle Paul's statements about the Jewish law. Instead of understanding his arguments against circumcision to be criticisms of Judaism or the law, this book makes the case that Paul meant to oppose gentile judaizing.",N/A,N/A,en
Two Nations in Your Womb,['Israel Jacob Yuval'],2006-07-25,['Biography & Autobiography'],Publisher Description,N/A,N/A,en
Kitab al Khazari,['Judah (ha-Levi)'],1969-01-01,['Fiction'],N/A,N/A,N/A,en
Israel and Humanity,['Elia Benamozegh'],1995,['Religion'],"This book forms a grand synthesis of Benamozegh's religious thought. It is at once a wide-ranging summa of scriptural, Talmudic, Midrashic, and kabbalistic ideas, and an intensely personal account of Jewish identity.",N/A,N/A,en
The Guide of the Perplexed of Maimonides,['Moses Maimonides'],1956,['Jewish philosophy'],N/A,N/A,N/A,en
Josephus: The life. Against Apion,['Flavius Josephus'],1926,['Jews'],N/A,N/A,N/A,en
The Oxford Handbook of Apocalyptic Literature,['John Joseph Collins'],2014,['Literary Criticism'],"Apocalypticism arose in ancient Judaism in the last centuries BCE and played a crucial role in the rise of Christianity. It is not only of historical interest: there has been a growing awareness, especially since the 2001 terrorist attacks on the United States, of the prevalence of apocalyptic beliefs in the contemporary world. To understand these beliefs, it is necessary to appreciate their complex roots in the ancient world, and the multi-faceted character of the phenomenon of apocalypticism. The Oxford Handbook of Apocalyptic Literature is a thematic and phenomenological exploration of apocalypticism in the Judaic and Christian traditions. Most of the volume is devoted to the apocalyptic literature of antiquity. Essays explore the relationship between apocalypticism and prophecy, wisdom and mysticism; the social function of apocalypticism and its role as resistance literature; apocalyptic rhetoric from both historical and postmodern perspectives; and apocalyptic theology, focusing on phenomena of determinism and dualism and exploring apocalyptic theology's role in ancient Judaism, early Christianity, and Gnosticism. The final chapters of the volume are devoted to the appropriation of apocalypticism in the modern world, reviewing the role of apocalypticism in contemporary Judaism and Christianity, and more broadly in popular culture, addressing the increasingly studied relation between apocalypticism and violence, and discussing the relationship between apocalypticism and trauma, which speaks to the underlying causes of the popularity of apocalyptic beliefs. This volume will further the understanding of a vital religious phenomenon too often dismissed as alien and irrational by secular western society.",N/A,N/A,en
A History of Zionism,['Walter Laqueur'],1972,['History'],"Examines the development of Zionist thought, and its inherent link with the growth of antisemitism in the 19th century. Argues that while there were clearly other factors, antisemitism was a major element in the emergence of Zionism. Discusses the Zionist view of antisemitism as the result of the Jews' anomolous social and economic structure in the diaspora. Notes the growth of Zionist youth movements in Germany as a reaction to antisemitic movements. Points out that the lack of help given to Jews during the Holocaust gave Zionism a great impetus at the end of the Second World War. However, it was also felt that the idea of a Jewish state had lost its ""raison d'etre"" as a haven for persecuted European Jews. Zionist leaders had anticipated persecutions and expulsions, but not mass murder as a solution to the ""Jewish problem."" Discusses theories on antisemitism of major Zionist thinkers: Moses Hess, Max Lilienblum, Leo Pinsker, Max Nordau, Chaim Weizmann, and Ze'ev Jabotinsky.",N/A,N/A,en
Blood and Belief,['David Biale'],2007,['History'],"""A wonderful, rich, and fascinating book, and a great read. Biale explores the meanings of blood within Jewish and Christian cultures from the blood of the sacrifices of the book of Leviticus to the blood of the Eucharist to the blood of medieval blood libels and the place of blood in Nazi ideology. Biale shows that blood symbolism stands at the center of the divide between Judaism and Christianity. This book will be the point of departure for all future studies of the subject.""—Shaye J.D. Cohen, Harvard University ""I know of no other work that, through numerous insights and useful distinctions, so alerts us to and comprehensively documents the ongoing constitutive role of Christian and anti-Semitic perceptions of Jewish existence and the interactions between them. Whereas much contemporary historiography has become so specialized that historians have surrendered the larger picture, David Biale's panoramic perspective reveals the great value and interest of this work.""—Steven E. Aschheim, author of Beyond the Border: The German-Jewish Legacy Abroad",N/A,N/A,en
Torah and Commentary,['Sol Scharfstein'],2008,['Religion'],N/A,N/A,N/A,en
