title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Tractatus Logico-philosophicus,['Ludwig Wittgenstein'],1922,['Language Arts & Disciplines'],The Tractatus Logico-Philosophicus is the only book-length philosophical work by the Austrian philosopher Wittgenstein that was published during his lifetime. The project had a broad goal: to identify the relationship between language and reality.,N/A,N/A,en
Warlpiri Morpho-Syntax,['J. Simpson'],2012-12-06,['Language Arts & Disciplines'],"Warlpiri is a Pama-Nyungan language (Ngarrka group) spo ken by over 3,000 people in Central Australia. Neighbour ing languages (all Pama-Nyungan) include its closest relatives, Warlmanpa and Ngardily, to the north-east and west respec tively, Warumungu (Warumungic) and the Arandic languages, Kaytetye and Alyawarr, to the east, the Western Desert lan guages, Pintupi and Kukatja, to the south and west respectively, the Ngumbin language Jaru to the north-west, the Arandic lan guage, Anmatyerre, to the south-east, and the Ngumbin lan guages, Gurindji and Mudburra, to the north. Warlpiri country encompasses a huge area of semi-desert stretching west of Tennant Creek to the Western Australian border. For the Warlpiri, this country is filled with meaning. Jukurrpa (often translated as 'Dreaming') beings travel across it, creating and changing the landscape in their passing. Songs, dances, painting, stories and journeys celebrate the jukurrpa and the country. The Warlpiri language is also from the jukurrpa; it is the language spoken by the jukurrpa beings on their travels through Warlpiri country.",N/A,N/A,en
Japanese For Dummies,['Eriko Sato'],2012-11-06,['Foreign Language Study'],"Previous ed.: New York: Hungry Minds, 2002.",N/A,N/A,en
Chinese Language Education in the United States,"['Jiening Ruan', 'Jie Zhang', 'Cynthia B. Leung']",2015-11-10,['Education'],"This book offers historical, philosophical, and sociocultural perspectives on Chinese language education for speakers of other languages with a special focus on Chinese language education in the United States. It provides a comprehensive, cross-disciplinary look at changes in CFL/CSL education over time in China and the U.S. and the philosophical, political and sociocultural influences that led to these changes. The essays address a wide array of topics related to Chinese language education, including: A historical overview of the field Theories that apply to CFL/CSL learning Policies and initiatives for CFL/CSL by the Chinese and U.S. governments Medium of instruction Curriculum and instruction for CFL/CSL learners at K-12 and college levels Technology for CFL/CSL education Chinese language learning for heritage learners CFL in study abroad contexts CFL teacher education and training This work is essential reading for scholars and students interested in gaining a greater understanding of Chinese language education in the two countries and around the world.",N/A,N/A,en
Chinese Culture in the 21st Century and its Global Dimensions,"['Kelly Kar Yue Chan', 'Chi Sum Garfield Lau']",2020-05-11,['Literary Criticism'],"This book investigates the internationalization of Chinese culture in recent decades and the global dimensions of Chinese culture from comparative and interdisciplinary perspectives. It covers a variety of topics concerning the contemporary significance of Chinese culture in its philosophical, literary and artistic manifestations, including literature, film, performing arts, creative media, linguistics, translations and philosophical ideas. The book explores the reception of Chinese culture in different geographic locations and how the global reception of Chinese culture contrasts with the local Chinese community. The chapters collectively cover gender studies and patriarchal domination in Chinese literature in comparison to the world literature, explorations on translation of Chinese culture in the West, Chinese studies as an academic discipline in the West, and Chinese and Hong Kong films and performances in the global context. The book is an excellent resource for both scholars and students interested in the development of Chinese culture on the global stage in the 21st Century.",N/A,N/A,en
New Horizons in Chinese Linguistics,"['C-T James Huang', 'Audrey Li Yen Hui']",2012-12-06,['Language Arts & Disciplines'],"The past decade and a half has witnessed a great deal of renewed interest in the study of Chinese linguistics, not only in the traditional areas of philological studies and in theoretically oriented areas of syn chronic grammar and language change but also in the cultivation of new frontiers in related areas of the cognitive sciences. There is a significant increase in the number of students studying one area or another of the linguistic structure of Chinese in various linguistic programs in the United States, Europe, Australia and in China, Hong Kong, Singapore, Taiwan, and other parts of Asia. Several new academic departments devoted to the study of linguistics have been established in Taiwan and Hong Kong in the past few years. The increasing research and study activities have also resulted in a number of national and international conferences, including the North American Conference on Chinese Linguistics (NACCL), which has been held annually in the United States; the International Symposium on Chinese Languages and Linguistics (IsCLL), which has had its fourth meeting since it was launched by Academia Sinica in Taiwan in 1990; the International Association of Chinese Linguistics (lACL), created in Singapore in 1992 and now incorporated in Irvine, California, which has held its annual meetings at major institutions in Asia, Europe, and the US.",N/A,N/A,en
The Linguistic Turn,['Richard Rorty'],1970,['Analysis (Philosophy)'],N/A,N/A,N/A,en
Language Policy in the People’s Republic of China,"['Minglang Zhou', 'Hongkai Sun']",2004-08-27,['Foreign Language Study'],"Language matters in China. It is about power, identity, opportunities, and, above all, passion and nationalism. During the past five decades China’s language engineering projects transformed its linguistic landscape, affecting over one billion people’s lives, including both the majority and minority populations. The Han majority have been juggling between their home vernaculars and the official speech, Putonghua – a speech of no native speakers – and reading their way through a labyrinth of the traditional, simplified, and Pinyin (Roman) scripts. Moreover, the various minority groups have been struggling between their native languages and Chinese, maintaining the former for their heritages and identities and learning the latter for quality education and socioeconomic advancement. The contributors of this volume provide the first comprehensive scrutiny of this sweeping linguistic revolution from three unique perspectives. First, outside scholars critically question the parities between constitutional rights and actual practices and between policies and outcomes. Second, inside policy practitioners review their own project involvements and inside politics, pondering over missteps, undergoing soul-searching, and theorizing their personal experiences. Third, scholars of minority origin give inside views of policy implementations and challenges in their home communities. The volume sheds light on the complexity of language policy making and implementing as well as on the politics and ideology of language in contemporary China.",N/A,N/A,en
Language and Language-in-Education Planning in the Pacific Basin,"['R.B. Kaplan', 'Richard B. Baldauf Jr.']",2013-03-14,['Language Arts & Disciplines'],"Language and Language-in-Education Planning in the Pacific Basin examines and reviews the ecological context (including, e.g., the historical, political and educational issues) of language planning in 14 countries in the Pacific basin: Japan, the two Koreas, Taiwan, the Philippines, Indonesia, Malaysia, Brunei Darussalam, Singapore, Australia, New Zealand, Papua New Guinea, the Solomon Islands and Vanuatu. The planning goals pursued in these states are then examined in terms of an overarching view of language planning. The book provides the only up-to-date overview and review of language policy in the region and challenges those interested in language policy and planning to think about how such goals might be achieved in the context of language ecology. In a world where languages and their uses and users are changing rapidly, and where governments and other political bodies are driving planned language change, there is a need to understand and consider how and why language planning is done. The book will be of interest to specialists interested in language and education, and to more general readers wishing to understand the dynamics of history and politics and its impact on language and language-in-education policy decisions.",N/A,N/A,en
Cambridge Topics in English Language Language Change,['Ian Cushing'],2018-05-10,['Juvenile Nonfiction'],"This is a general introduction to the methods and principles behind English linguistics study, suitable for students at advanced level and beyond. Written with input from the Cambridge Corpus, it looks at the way meaning is made using authentic written and spoken examples. This helps students give confident analysis and articulate responses. Using short activities to help explain analysis methods, the book guides students through major modern issues and concepts. It summarises key concerns and modern findings, while providing inspiration for language investigations and non-examined assessments (NEAs) with research suggestions.",N/A,N/A,en
