title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Law and Identity in Mandate Palestine,['Assaf Likhovski'],2006,['Law'],"One of the major questions facing the world today is the role of law in shaping identity and in balancing tradition with modernity. In an arid corner of the Mediterranean region in the first decades of the twentieth century, Mandate Palestine was confront",N/A,N/A,en
Sourcebook on Public International Law,['Tim Hillier'],1998-02-14,['Law'],"This work is primarily aimed at the law student, although it may also be of relevance to those studying international relations. It covers the main topics of public international law and is designed to serve both as a textbook and as a case and materials book.",N/A,N/A,en
Directors' and Officers' Liability Insurance,"['Adolfo Paolini', 'Deepak Nambisan']",2020-11-25,['Law'],"“With the ever increasing number of claims against directors and officers, this book provides a very welcome addition to the bookshelves which hitherto have lacked books on this important area” - Alison Green, Chairman of the Trustees of the BILA Charitable Trust. This book scrutinises the origins and the rationale underlying D&O insurance, and provides answers to the question of protecting directors against the potential liabilities they may face. It provides clear understanding about D&O policies wording, exclusions and issues of misrepresentation. The information contained in this new book includes Nature and Legality of D&O Liability Insurance, D&O Exclusions, Directors’ and Officers’ Liability to Third Parties, Directors’ Liability at Civil Law, D&O: Defence Costs Cover and Allocation, Aggregation Principles and D&O Cover and the Reinsurance of D&O Policies.",N/A,N/A,en
Protection of Children During Armed Political Conflict,"['Charles W. Greenbaum', 'Philip E. Veerman', 'Naomi Bacon-Shnoor']",2006,['Law'],"This volume attempts to examine the issue of prevention of violence to children in violent political conflicts from a multidisciplinary perspective that includes international law, developmental psychology, education, communications and police science. While this volume concentrates mainly on the Israeli-Palestinian conflict, it also presents the experience of others in different parts of the world who have coped successfully with prevention of violence to civilian populations, and particularly to children. The editors aim to engage military and police communities world-wide, and especially in our society, Israel, in a dialogue concerning the most effective ways to abide by international conventions of human rights and childrens rights to which Israeli society is committed. The volume reports on practical methods to save the lives of civilians and children in political conflicts that have been tried and which serve to protect children.",N/A,N/A,en
Legal Education and the Reproduction of Hierarchy,['Duncan Kennedy'],2004-07-01,['Law'],"In 1983 Harvard law professor Duncan Kennedy self-published a biting critique of the law school system called Legal Education and the Reproduction of Hierarchy. This controversial booklet was reviewed in several major law journals—unprecedented for a self-published work—and influenced a generation of law students and teachers. In this well-known critique, Duncan Kennedy argues that legal education reinforces class, race, and gender inequality in our society. However, Kennedy proposes a radical egalitarian alternative vision of what legal education should become, and a strategy, starting from the anarchist idea of workplace organizing, for struggle in that direction. Legal Education and the Reproduction of Hierarchy is comprehensive, covering everything about law school from the first day to moot court to job placement to life after law school. Kennedy's book remains one of the most cited works on American legal education. The visually striking original text is reprinted here, making it available to a new generation. The text is buttressed by commentaries by five prominent legal scholars who consider its meaning for today, as well as by an introduction and afterword by the author that describes the context in which Kennedy wrote the book, including a brief history of critical legal studies.",N/A,N/A,en
Key Aspects of German Business Law,"['Michael Wendler', 'Bernd Tremml', 'Bernard Buecker']",2013-04-17,['Law'],"A clear and precise overview of the key aspects of German business law. Written by attorneys involved in the daily practice of business law in Germany, this book is aimed at people who wish to familiarise themselves quickly with the German legal system and the manner in which it influences business purchases, establishment, operations and liquidations. Throughout, special attention has been paid to highlighting and explaining the differences between the German legal system and that of the United States, although the intention is to provide information that will prove valuable to all foreigners, particularly business people and lawyers advising clients with an interest in doing business in Germany.",N/A,N/A,en
The Great Game of Genocide,['Donald Bloxham'],2005,['History'],Between 1915-1916 approximately one million Armenian Christians were killed under the auspices of the Ottoman government. For nearly a century this genocide has either been ignored or not recognised for what it was. The author provides an explanation for why it happened and why it has subsequently been overlooked.,N/A,N/A,en
Implementation of Law in the People's Republic of China,"['Jianfu Chen', 'Yuwen Li', 'Jan Michiel Otto']",2021-08-04,['Law'],"China, after some twenty years of reform, is no longer a country without law. Indeed, one may legitimately complain that there are too many laws that are changing too rapidly. However, law acquires no life nor performs its intended social functions without proper implementation and enforcement. Here, few people, Chinese or foreign, are content with the general situation of implementation of law in China. The problems and difficulties in implementing and enforcing laws and regulations are reported and discussed in the various forums of the Chinese media almost on a daily basis, and often reported in Western media also. Academics in China are filling the pages of various legal journals with their diagnoses and analyses of the causes of, and solutions to, the lack of proper implementation of law, and legal regulations and policy measures are being issued to deal with these problems and to overcome the difficulties. The future of the rule of law in China, as we are so often reminded by scholars of Chinese politics and law, largely depends on the proper implementation and enforcement of law. This is a book about `law-in-action' in China, that is, it focuses on the administration of the law as a process through which `law-in-the-books' is put into action and, hence, is made to perform its intended social functions. It deals with the process, the institutional settings (the players), and the political, economic, social, and cultural settings (the factors) involved in the administration of law in China. Throughout the book, we will see a variety of problems and difficulties involved in implementing and enforcing laws and regulations that are identified and analyzed by the contributors. We will also see analyses on legal regulations and policy measures that have been issued to rectify the many identified problems, to raise the standard of actual implementation of law, and to improve the functioning of the various law-implementing/enforcing authorities. Additionally, the book provides various case studies on implementation of law in China. The present book, we believe, is among the first collective efforts at a systematic and comprehensive study of the implementation of law in China, and we hope that it will stimulate many more such studies - studies on the actual operation and impact of law on society and on individuals.",N/A,N/A,en
"Libya, the Responsibility to Protect and the Future of Humanitarian Intervention","['A. Hehir', 'R. Murray']",2013-05-29,['Political Science'],"This book critically analyses the 2011 intervention in Libya arguing that the manner in which the intervention was sanctioned, prosecuted and justified has a number of troubling implications for the both the future of humanitarian intervention and international peace and security.",N/A,N/A,en
Encyclopedia of Soviet Law,['Ferdinand Joseph Maria Feldbrugge'],1973,['Law'],N/A,N/A,N/A,en
The Islamic Law of Personal Status,['Jamal J. Nasir'],2020-06-02,['Law'],"This new edition of the authoritative English-language treatment of Islamic personal status law gives practitioners and courts throughout the world direct access to this important body of law in its most up-to-date development. All Middle Eastern and North African Arab states are covered; new to this edition is coverage of recent provisions enacted in Kuwait, Yemen, and Sudan. The chapter on dissolution of marriage has been completely revised to reflect current legal interpretation and judicial practice in this rapidly changing area of Islamic law. Also new and especially valuable are English versions, for the first time anywhere, of fundamental Shiite and Jaafari legal works with the most thorough analysis and commentary available in any non-Arabic source. Dr. Nasir's much-appreciated methodology has been continued since the very successful first edition of 1986. For each topic - e.g., marriage, dower, dissolution of marriage, parentage, inheritance, and waqf - he begins with a consideration of the subject in Sharia law, and then goes on to present legislation and contemporary views, in particular Arab countries. This approach, while it clearly manifests the continuity of Islamic law respecting personal status, is of great practical value to judges and practitioners, especially those who must resolve disputes under Islamic law in non-Muslim countries.",N/A,N/A,en
Freedom from Religion,['Amos Guiora'],2013-02-14,['Law'],"In 'Freedom From Religion', Amos N. Guiora invites readers to consider an unusual technique for curtailing the threat of new terrorist attacks: limiting freedom of religion and freedom of expression for religious extremists.",N/A,N/A,en
