title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Leadership and Decision-making,"['Victor Harold Vroom', 'Philip W. Yetton']",1973,['BUSINESS & ECONOMICS'],N/A,N/A,N/A,en
The Art of War,['Sun Tzu'],2017-03,['Business & Economics'],A manual on the rational planning and conduct of military operations written over two millennia ago in China.,N/A,N/A,en
Organizations,"['James L. Gibson', 'John M. Ivancevich', 'James H. Donnelly']",1982,['Business & Economics'],N/A,N/A,N/A,en
"Vested Outsourcing, Second Edition","['K. Vitasek', 'M. Ledyard']",2013-05-13,['Business & Economics'],"In her classic book Vested Outsourcing , Kate Vitasek identified the top 10 flaws in most outsourced business models and shows organizations how to rethink their outsourcing relationships in a way that will lower costs, improve service, and increase innovation. This revised edition includes updated case studies and a new chapter based on Dell.",N/A,N/A,en
Art of War,['Sun Tzu'],2022-07-19,['Business & Economics'],This elegant edition of Sun Tzu's classic text The Art of War uses traditional Chinese binding techniques to deliver essential wisdom in a beautiful package.,N/A,N/A,en
The Nature of Leadership,"['John Antonakis', 'Anna T. Cianciolo', 'Robert J. Sternberg']",2004,['Business & Economics'],"More than ever before, leadership is seen as critical for the proper functioning of societies and social institutions. Written by a team of leading experts, The Nature of Leadership will provide compelling answers to the most vexing questions surrounding leadership: Is leadership measurable? Are there traits that reliably distinguish leaders from nonleaders? Does the situation matter? Are there differences in women's and men's leadership styles? Is ethical leadership effective leadership? Are elements of leadership culturally bounded whereas other elements are universal? Does vision really matter? Can leadership be developed? --COVER.",5,N/A,en
"Cases on Management, Leadership and Organisations","['Knud Sinding', 'Anne Bøllingtoft']",2012-10-11,['Business & Economics'],"The realities of organisational life seem a far departure from what is taught in the classroom, particularly if one has never before worked for an organisation. The examples presented in this book bring to life the challenges of managing and leading organisations and are relevant for students who must learn to analyse, discuss and assess what takes place within organisations, what ought to happen and why certain strategies fail. The book contains 24 case studies from a range of organisations, some anonymous and others known. Among other things the case studies include profiles of leaders or managers, the organisational structure, decision-making and information flow in each organisation. The businesses covered range widely, from anonymous government offices to the arcane peculiarities of university departments and to vast shipping conglomerates.",N/A,N/A,en
Ethics and Leadership in Business and Politics,"['Faan Malan', 'Ben Smit (professor.)']",2001,['Business & Economics'],"This work provides a mindset for leadership to deal with the problem of unethical transgressions in South African communities and buisness. It provides a thorough and comprehensive diagnosis of leadership and morality, from an analysis of causes, to the compilation of remedies.",N/A,N/A,en
Management of Organizational Behavior,"['Paul Hersey', 'Kenneth H. Blanchard']",1977,['Business & Economics'],"Monograph on the behavioural sciences approach to personnel management - covers managerial skills, motivation, leadership, job enrichment, group dynamics, behavioural change, etc. Bibliography pp. 321 to 351, graphs and references.",N/A,N/A,en
Principle-centered Leadership,['Stephen R. Covey'],1999,['Business & Economics'],Stephen Covey's empowering philosophy for life is translated into a useful guide to managing people in organisations and business. He shows how to create harmony in organisations that have suffered poor internal relationships over a long period.,5,N/A,en
The Leader Who Had No Title,['Robin Sharma'],2010-03-23,['Business & Economics'],"From the author of ""The Monk Who Sold His Ferrari"" comes an inspiring parableabout the skills needed to excel in career and life.",4.5,N/A,en
Global Marketing Strategy,['Bodo B. Schlegelmilch'],2016-03-02,['Business & Economics'],"This book has been written for experienced managers and students in postgraduate programs, such as MBA or specialized Masters programs. In a systematic yet concise manner, it addresses all major issues companies face when conducting business across national and cultural boundaries, including assessing and selecting the most promising overseas markets, evaluating market entry alternatives, examining the forces that drive adaptation versus standardization of the marketing mix. It looks at the various global marketing challenges from a strategic perspective and also addresses topics not usually found in international marketing texts, such as aligning marketing strategies with global organizational structures, managing the relationship between national subsidiaries, regional headquarters and global headquarters, as well as corporate social responsibility challenges, and pertinent future trends that are likely to affect global business.",N/A,N/A,en
Doing the Right Things Right,['Laura Stack'],2016-01-18,['Business & Economics'],"A How-To Guide for the Modern Leader Inspired by Peter Drucker's groundbreaking book The Effective Executive, Laura Stack details precisely how 21st-century leaders and managers can obtain profitable, productive results by managing the intersection of two critical values: effectiveness and efficiency. Effectiveness, Stack says, is identifying and achieving the best objectives for your organization—doing the right things. Efficiency is accomplishing them with the least amount of time, effort, and cost—doing things right. If you're not clear on both, you're wasting your time. As Drucker put it, “There is nothing so useless as doing efficiently that which should not be done at all.” Stack's 3T Leadership offers twelve practices that will enable executives to be effective and efficient, grouped into three areas where leaders spend their time: Strategic Thinking, Teamwork, and Tactics. With her expert advice, you'll get scores of new ideas on how you, your team, and your organization can boost productivity.",N/A,N/A,en
Synchronicity,"['Joseph Jaworski', 'Betty S. Flowers']",1998,['Business & Economics'],"Sparked by a conversation about the lack of moral and ethical standards at high levels in business, this text explores the issues of leadership.",4,N/A,en
Leading Consciously,['Debashis Chatterjee'],1998,['Business & Economics'],"This work brings together classical spiritual wisdom and contemporary scientific truths about work, organization and leadership. The author addresses issues of motivation, decision-making, work psychology, and self-mastery.",N/A,N/A,en
Develop Your Leadership Skills,['John Eric Adair'],2007,['Business & Economics'],"Develop your Leadership Skills is John Adair's most accessible title on leadership. Full of exercises and checklists, it can help to boost confidence levels and guide and inspire anyone on their journey to becoming a leader of excellence.Acknowledged as a world expert, John Adair offers stimulating insights into recognizing and developing individual leadership qualities, aquiring personal authority, and most importantly, mastering core leadership functions such as planning, communicating and motivating.Suitable for anyone who wishes to improve or develop their leadership skills, this guide distils the essence of John Adair's teaching and provides a framework for becoming an effective leader.",3,N/A,en
Organizations,[],2006,['Corporate culture'],N/A,N/A,N/A,en
Start with why,['Simon Sinek'],2011,['Leadership'],"Why are some people and organisations more inventive, pioneering and successful than others?And why are they able to repeat their success again and again? Because in business, it doesn't matter what you do, it matters why you do it. Steve Jobs, the Wright Brothers, and Martin Luther King have one thing in common - they started with why. This book is for anyone who wants to inspire others, or to be inspired. www.startwithwhy.com Jacket design: Base Art Co.",N/A,N/A,en
