title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Aeneid,['Virgil'],1998,['History'],"This translation captures the excitement, poetic energy, and intellectual force of Virgil's epic poem, 'The Aeneid'.",5,N/A,en
Aeneid,['Virgil'],2005,['Aeneas (Legendary character)'],Translated by Rolfe Humphries.,N/A,N/A,en
The Aeneid of Virgil,"['Virgil', 'Rolfe Humphries']",1987,['Literary Collections'],"This epic poem, written by Virgil between 29 and 19 BC, tells the story of Aeneas, a Trojan who travelled to Italy, where he became the ancestor of the Romans. It tells the story of Aeneas's wanderings from Troy to Italy, and of the Trojans' ultimately victorious war upon the Latins, under whose name Aeneas and his Trojan followers are destined to be subsumed.",N/A,N/A,en
Maniac Magee,['Jerry Spinelli'],1991,['Athletes'],"After his parents die, Jeffrey Lionel Magee's life becomes legendary, as he accomplishes athletic and other feats which awe his contemporaries.",4,N/A,en
Aeneis,['Virgil'],1994-11-10,['History'],"Aeneid IX marks the beginning of the full-scale narrative of the war between the Trojans and Turnus' Italians which occupies the last quarter of the epic. Two days during which Turnus launches a siege-assault on the Trojan camp while Aeneas is absent are separated by the nocturnal interlude of the ill-fated expedition of the romantic young Trojans Nisus and Euryalus. In this, the first major single-volume commentary in English on the book, Dr Hardie explores Virgil's transformation of Homeric models of battle narrative in the service of contemporary Roman ideology. The volume includes a detailed linguistic and thematic commentary on the text, and an introduction consisting of a series of interpretative essays on the book.",N/A,N/A,en
The Song of Hiawatha,['Henry Wadsworth Longfellow'],1856,['Indians of North America'],"Describes in verse the boyhood of the legendary Iroquois Indian, Hiawatha.",5,N/A,en
"Vergil's Aeneid ; And, Fourth (""messianic"") Eclogue",['Virgil'],1989,['Language Arts & Disciplines'],"It seems to be a fact of literary history that Vergil's great Roman epic, the Aeneid (29-19 B.C.), is the most popular work of the imagination in the history of Western civilization, in the sense that it has probably been read by more people than have read any other literary work in the past two thousand years. Naturally, it has often been translated, but the most prestigious translation remains that by John Dryden (1697), which itself ranks as the third most popular translation in English literature, behind only the King James Bible and Pope's Iliad. Dryden's work is also the only long poem of merit in English literature between Milton and Pope. Yet it is almost impossible to find an annotated translation of the Aeneid, that is, a translation with the kind of introductory and explanatory material that would enable readers to understand and appreciate Vergil's achievement. Similarly, Dryden's translation has not been as available as it deserves. To meet these needs, Howard Clarke offers Vergil's story in Dryden's version, with the kind of information that would make the experience of reading these two classics both convenient and informative. A small bonus has been the addition of Vergil's ""Fourth (or 'Messianic') Eclogue,"" the brief poem that predicted the birth of a wonderful child and thereby made Vergil seem something more than just a pagan poet. Since Dryden's translation was a product of its time, the late seventeenth century, when the conventions of translation were much looser than they are now, his work has sometimes been criticized for its liberties and inaccuracies. Both the Introduction and the Notes to this edition take account of these complaints and single those passages where Dryden has significantly deviated from Vergil's original. Also, Dryden's spelling and punctuation have been modernized to facilitate reading.",N/A,N/A,en
Aeneid,['Virgil'],1909,['Aeneas (Legendary character)'],N/A,5,N/A,en
The Aeneid of Virgil,['Virgil'],1903,"['Epic poetry, Latin']",N/A,N/A,N/A,en
Virgil's Aeneid,['Virgil'],1884,['Aeneas (Legendary character)'],N/A,N/A,N/A,en
