title,authors,publishedDate,categories,description,averageRating,textSnippet,language
"Time, Tense, and Quantifiers",['Christian Rohrer'],1980,['Language Arts & Disciplines'],"Over the past few decades, the book series Linguistische Arbeiten Linguistic Studies], comprising over 500 volumes, has made a significant contribution to the development of linguistic theory both in Germany and internationally. The series will continue to deliver new impulses for research and maintain the central insight of linguistics that progress can only be made in acquiring new knowledge about human languages both synchronically and diachronically by closely combining empirical and theoretical analyses. To this end, we invite submission of high-quality linguistic studies from all the central areas of general linguistics and the linguistics of individual languages which address topical questions, discuss new data and advance the development of linguistic theory.",N/A,N/A,en
علم اللغة بين التراث والمناهج الحديثة,['حجازي، محمود فهمي'],1995,['Arabic language'],N/A,N/A,N/A,ar
中国古代语言学史稿,['李智明'],1993,['Chinese language'],研究先秦至清代各个时期的语言。,N/A,N/A,zh-CN
言語学の方法,"['郡司隆男', '坂本勉']",1999,['Japanese language'],N/A,N/A,N/A,ja
ことばの探索,['長谷川宏'],1976,['Language and languages'],N/A,N/A,N/A,ja
Anthropos (majalah).,['Anthropos Institute'],1960,['Ethnology'],N/A,N/A,N/A,en
文字信息学,"['刘新中', '王桂娣']",1989,['Chinese language'],"本书运用信息论方法,对人类为自已的文明而发明的文字及语言信息系统,进行了分析和描述.",N/A,N/A,zh-CN
現代言語学入門,[],1999,['Liguistics'],N/A,N/A,N/A,ja
現代言語学入門,[],2000,['Linguistics'],N/A,N/A,N/A,ja
Dil ve düşünce,"['Joseph Vendryes', 'Berke Vardar']",1968,['Language and languages'],N/A,N/A,N/A,tr
Anthropos,['Anthropos Institute'],1996,['Ethnology'],N/A,N/A,N/A,en
Slovanské studie IX,"['Jana Raclavská', 'Aleksandra Wieczorek', 'Ostravská univerzita. Filozofická fakulta']",2005,['Liguistics'],N/A,N/A,N/A,cs
単語と文の構造,['郡司隆男'],2002,"['Grammar, Comparative and general']",N/A,N/A,N/A,ja
Türkçe kompozisyon ve dilbilgisi terimleri,['Yaşar Yörük'],1977,['Liguistics'],N/A,N/A,N/A,tr
言語研究とシソーラス,['国立国語研究所'],1997,['Liguistics'],N/A,N/A,N/A,ja
Dünyanın zihnen gelişmesinde dil alanları,"['Leo Weisberger', 'Hüseyin Sesli']",1968,['Liguistics'],N/A,N/A,N/A,tr
