title,authors,publishedDate,categories,description,averageRating,textSnippet
Writings in General Linguistics,['Ferdinand de Saussure'],2006,['Language Arts & Disciplines'],"Ferdinand de Saussure's Cours de linguistique générale was posthumously composed by his students from the notes they had made at his lectures. The book became one of the most influential works of the twentieth century, giving direction to modern linguistics and inspiration to literary and cultural theory. Before he died Saussure told friends he was writing up the lectures himself but no evidence of this was found. Eighty years later in 1996 a manuscript in Saussure's hand was discovered in the orangerie of his family house in Geneva. This proved to be the missing original of the great work. It is published now in English for the first time in an edition edited by Simon Bouquet and Rudolf Engler, and translated and introduced by Carol Sanders and Matthew Pires, all leading Saussure scholars. The book includes an earlier discovered manuscript on the philosophy of language, Saussure's own notes for lectures, and a comprehensive bibliography of major work on Saussure from 1970 to 2004. It is remarkable that for eighty years the understanding of Saussure's thought has depended on an incomplete and non-definitive text, the sometimes aphoristic formulations of which gave rise to many creative interpretations and arguments for and against Saussure. Did he, or did he not, see language as a-social and a-historical? Did he, or did he not, rule out the study of speech within linguistics? Was he a reductionist? These disputes and many others can now be resolved on basis of the work now published. This reveals new depth and subtetly in Saussure's thoughts on the nature and complex workings of language, particularly his famous binary oppositions between form and meaning, the sign and what is signified, and language (langue) and its performance (parole).",5,N/A
The Linguistics Student's Handbook,['Laurie Bauer'],2007,['Language Arts & Disciplines'],"The book that tells you all the things you felt you were expected to know about linguistics, but were afraid to ask about.*What do you know about Burushaski and Miwok?*What's the difference between paradigmatic and syntagmatic?*What is E-language?*What is a language?*Do parenthetical and non-restrictive mean the same thing?*How do you write a bibiliographic entry for a work you have not seen?Every student who has asked these questions needs this book. A compendium of useful things for linguistics students to know, from the IPA chart to the Saussurean dichotomies, this book will be the constant companion of anyone undertaking studies of linguistics. Part reference work, part revision guide, and with tables providing summary information on some 280 languages, the book provides a new learning tool as a supplement to the usual textbooks and glossaries.",N/A,N/A
Why Do Languages Change?,"['Robert Lawrence Trask', 'Robert McColl Millar']",2010,['Language Arts & Disciplines'],"Packed with fascinating examples, this entertaining book explores changes in the English language over time.",N/A,N/A
Saussure's Third Course of Lectures on General Linguistics (1910-1911),['Ferdinand de Saussure'],1993-10-21,['Language Arts & Disciplines'],"The notes taken by Saussure's student Emile Constantin were not available to the editors of the published Cours de Linguistique Generale (1916), and came to light only after World War II. They have never been published in their entirety. full record, is generally considered to represent a more advanced version of Saussure's teaching than the earlier two. It is clear that Constantin's notebooks offer a text which differs in a number of significant respects from the Cours published by Saussure's original editors, and bring forward ideas which do not emerge in the 1916 publication. They constitute unique evidence concerning the final stages of Saussure's thinking about language. English translation of the text. There has been no attempt made by Komatsu and Harris to turn the English into readable prose. Constantin's notes, even as revised by their author, retain the infelicities, repetitions, abruptness - occasionally incoherences - that betray the circumstances of their origin. scholars and libraries specializing in the subject. It should be of interest to scholars, historians and linguists interested in the history of modern linguistics.",N/A,N/A
Lectures on the Science of Language,['Friedrich Max Müller'],1864,['Comparative linguistics'],N/A,N/A,N/A
I-Language,"['Daniela Isac', 'Charles Reiss']",2008-04-24,['Language Arts & Disciplines'],"The book introduces the major branches of theoretical linguistics - phonology, morphology, syntax, semantics - in the context of cognitive science, with reference to fields such as vision, auditory perception and philosophy of mind.",N/A,N/A
Translanguaging,"['O. Garcia', 'L. Wei']",2015-12-05,['Language Arts & Disciplines'],"Winner of the British Association of Applied Linguistics Book Prize 2014 This book addresses how the new linguistic concept of 'Translanguaging' has contributed to our understandings of language, bilingualism and education, with potential to transform not only semiotic systems and speaker subjectivities, but also social structures.",N/A,N/A
A Comparative Grammar of the Dravidian Languages,['Mikhail Sergeevich Andronov'],2003,['Foreign Language Study'],"Due to their crucial role one of the major tasks in modern South Asia linguistics is the research of the historical view of the Dravidian Languages. A knowledge of the Dravidian language structure in all its development stages, from their earliest beginnings to today, is necessary for understanding numerous fundamental aspects with the emergence of the indoarian, Munda and other languages of south Asia and of course for the history of the Dravidian language family itself. The Comparative Grammar forms an important part of the historical linguistics. Yet Richard Caldwell's Comparative Grammar of Dravidian or South Indian Family of Languages (London, 1856, 2/1875, 3/1913) is outdated. An up to date comparative grammar of the Dravidian languages therefore was long overdue. With the work of the renowned Russian Dravidian scientist Mikhail S. Andronov, in which the over 80 known, investigated and described languages and dialects of the Dravidian language family are taken in consideration, this gap has been closed.",N/A,N/A
An Introduction to the Study of Language,['Leonard Bloomfield'],1914,"['Grammar, Comparative and general']",N/A,N/A,N/A
Philosophy of Linguistics,"['Ruth M. Kempson', 'Tim Fernando', 'Nicholas Asher']",2012-04-20,['Computers'],"'Philosophy of linguistics' investigates the foundational concepts and methods of linguistics, the scientific study of human language. It brings together philosophers, scientists and historians to map out both the basic assumptions set during the second half of the last century and the unfolding shifts in perspective in which more functionalist perspectives are explored.",N/A,N/A
Language and Education,['M.A.K. Halliday'],2009-03-31,['Language Arts & Disciplines'],>,N/A,N/A
Linguistics: An Introduction,['William McGregor'],2009-03-15,['Language Arts & Disciplines'],A fresh and contemporary introductory textbook for all students of linguistics and language studies. >,2,N/A
Language and Linguistics: The Key Concepts,['R.L. Trask'],2007-08-07,['Language Arts & Disciplines'],"The fully updated second edition of this critical work includes a new introduction, a wide range of new entries and added specialised further reading for lecturers and more advanced students.",N/A,N/A
Aspects of Language,['Dwight Bolinger'],1975,['Language Arts & Disciplines'],N/A,N/A,N/A
Explorations in the Functions of Language,['Michael Alexander Kirkwood Halliday'],1977,['Language Arts & Disciplines'],N/A,N/A,N/A
Linguistics Encyclopedia,['Kirsten Malmkjμr'],2004-01-08,['Foreign Language Study'],This thoroughly revised and updated volume offers comprehensive coverage of the major and subsiduary fields of linguistic study.,N/A,N/A
Modular Approaches to the Study of the Mind,['Noam Chomsky'],1984,['Psychology'],N/A,N/A,N/A
"The Science of Language, Founded on Lectures Delivered at the Royal Institution in 1861 and 1863",['Friedrich Max Müller'],1899,['Comparative linguistics'],N/A,N/A,N/A
Language Form and Language Function,['Frederick J. Newmeyer'],2000,['Language Arts & Disciplines'],"The two basic approaches to linguistics are the formalist and the functionalist approaches. In this engaging monograph, Frederick J. Newmeyer, a formalist, argues that both approaches are valid. However, because formal and functional linguists have avoided direct confrontation, they remain unaware of the compatability of their results. One of the author's goals is to make each side accessible to the other. While remaining an ardent formalist, Newmeyer stresses the limitations of a narrow formalist outlook that refuses to consider that anything of interest might have been discovered in the course of functionalist-oriented research. He argues that the basic principles of generative grammar, in interaction with principles in other linguistic domains, provide compelling accounts of phenomena that functionalists have used to try to refute the generative approach.",N/A,N/A
Historical Linguistics,['Winfred Philipp Lehmann'],1992,['Language Arts & Disciplines'],"A comprehensive, clearly written introduction to historical linguistic theory and methods. Thoroughly revised, this edition draws on recent linguistic and archaeological research, incorporating key developments and advances.",N/A,N/A
Language and Its Structure,['Ronald W. Langacker'],1973,['Foreign Language Study'],N/A,N/A,N/A
The Byzantine Grammarians,['Robert Henry Robins'],1993,['Language Arts & Disciplines'],"No detailed description available for ""The Byzantine Grammarians"".",N/A,N/A
Lectures on the Science of Language,['Friedrich Max Müller'],1864,['Comparative linguistics'],N/A,N/A,N/A
Theory of Language,"['Steven Weisler', 'Slavoljub P. Milekic']",2000,['Language Arts & Disciplines'],"Along with coverage of phonics, phonology, morphology, semantics and syntax, the text covers more unconventional topics including language and culture, and language evolution.""--BOOK JACKET.",5,N/A
Describing Morphosyntax,['Thomas E. Payne'],1997-10-09,['Language Arts & Disciplines'],"Of the 6000 languages now spoken throughout the world around 3000 may become extinct during the next century. This guide gives linguists the tools to describe them, syntactically and grammatically, for future reference.",5,N/A
Readings in Applied English Linguistics,['Harold Byron Allen'],1964,['Applied linguistics'],N/A,N/A,N/A
Lectures on the Science of Language,['Friedrich Max Müller'],1862,['Comparative linguistics'],N/A,N/A,N/A
