title,authors,publishedDate,categories,description,averageRating,textSnippet,language
What is World Literature?,['David Damrosch'],2003-03-30,['Language Arts & Disciplines'],INTRODUCTION: Goethe coins a phrase -- PART ONE: CIRCULATION -- Gilgamesh's quest -- The pope's blowgun -- From the old world to the whole world -- PART TWO: TRANSLATION -- Love in the necropolis -- The afterlife of Mechthild von Magdeburg -- Kafka comes home -- PART THREE: PRODUCTION -- English in the world -- Rigoberta Menchú in print -- The poisoned book -- CONCLUSION: World enough and time.,3,N/A,en
Intertextuality,"['Michael Worton', 'Judith Still']",1990,['Education'],"A collection of essays by American, British and Australian scholars which approaches this field of textual enquiry from perspectives as diverse as Marxism and psychoanalysis. Each essay examines an aspect of contemporary practice and proposes new ways forward for students and teachers.",N/A,N/A,en
Poetic Rhythm,['Derek Attridge'],1995-09-28,['Language Arts & Disciplines'],"This is the first introduction to rhythm and meter that begins where students are: as speakers of English familiar with the rhythms of ordinary spoken language, and of popular verse such as nursery rhymes, songs, and rap. Poetic rhythm builds on this knowledge and experience, taking the reader from the most basic questions about the rhythms of spoken English to the elaborate achievements of past and present poets. Terminology is straightforward, the simple system of scansion that is introduced is suitable for both handwriting and computer use, and there are frequent practical exercises. Chapters deal with the elements of verse, English speech rhythms, the major types of metrical poetry, free verse, and the role of sense and syntax. Poetic rhythm will help readers of poetry experience and enjoy its rhythms in all their power, subtlety, and diversity, and will serve as an invaluable tool for those who wish to write or discuss poetry in English at a basic as well as a more advanced level.",N/A,N/A,en
Children's Literature in the Elementary School,"['Charlotte S. Huck', 'Barbara Zulandt Kiefer']",2004,['Education'],Accompanying CD-ROM contains: McGraw-Hill children's literature database; a student study guide; and practical resources.,N/A,N/A,en
The Harvard Classics,['Charles William Eliot'],1910,['Literature'],N/A,N/A,N/A,en
The Deipnosophists,['Athenaeus (of Naucratis.)'],1929,['Literature'],N/A,N/A,N/A,en
Classical Literature and Its Times,['Joyce Moss'],2006,['Literary Criticism'],Examines the relationship between the political/social climate during which books were written and the works themselves. This volume focuses on classical literature.,N/A,N/A,en
Heart of the West,['O. Henry'],1904,['Literature'],N/A,N/A,N/A,en
SUN ALSO RISES,['Ernest Hemingway'],1926,['Fiction'],"Published in 1926 to explosive acclaim, The Sun Also Rises stands as perhaps the most impressive first novel ever written by an American writer. A roman à clef about a group of American and English expatriates on an excursion from Paris's Left Bank to Pamplona for the July fiesta and its climactic bull fight, a journey from the center of a civilization spiritually bankrupted by the First World War to a vital, God-haunted world in which faith and honor have yet to lose their currency, the novel captured for the generation that would come to be called ""Lost"" the spirit of its age, and marked Ernest Hemingway as the preeminent writer of his time.",N/A,N/A,en
Dialogism,['Michael Holquist'],2002,['Biography & Autobiography'],"Michael Holquist's masterly study draws on all of Bakhtin's known writings, providing a comprehensive account of his achievement. This edition includes a new introduction, concluding chapter and a fully updated bibliography.",N/A,N/A,en
"Chapterhouse, Dune",['Frank Herbert'],1985,['Fiction'],Science fiction-roman.,N/A,N/A,en
Emerson,['John Jay Chapman'],1898,['Literature'],N/A,N/A,N/A,en
Digital Fortress,['Dan Brown'],2004-05-15,['Fiction'],A thriller from the #1 New York Times bestselling author of The Da Vinci Code.,3.5,N/A,en
