title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Research Methods for Business Students,"['Mark Saunders', 'Philip Lewis', 'Adrian Thornhill']",2009,['Business & Economics'],"Brings the theory, philosophy and techniques of research to life and enables students to understand the relevance of the research methods. This book helps you learn from worked examples and case studies based on real student research, illustrating what to do and what not to do in your project.",4.5,N/A,en
Innovations in Governmental Accounting,"['Vicente Montesinos', 'José Manuel Vela']",2013-06-29,['Business & Economics'],"New Accounting and Management challenges for Public Entities require a continuous introduction of innovations and reforms in accordance with new international trends, techniques and experiences. In order to carry this out, extensive knowledge of Innovations in Government Accounting and Reporting, International Standards, Performance Evaluation Developments and relevant national experiences will without doubt be indispensable. The purpose of this book is to present an updated overview of the most useful and innovative International Experiences in Governmental Accounting, Reporting and Control. The content of the volume is the result of high-quality contributions from prestigious researchers and public sector professionals, presenting a perspective on the current state and foreseeable evolution of International Government Accounting. The book is primarily aimed at public sector managers, accountants and researchers, although financial analysts, administrators, auditors, and graduate students will also find it highly relevant.",N/A,N/A,en
Management of Organizational Behavior,"['Paul Hersey', 'Kenneth H. Blanchard']",1977,['Business & Economics'],"Monograph on the behavioural sciences approach to personnel management - covers managerial skills, motivation, leadership, job enrichment, group dynamics, behavioural change, etc. Bibliography pp. 321 to 351, graphs and references.",N/A,N/A,en
Ethics and Leadership in Business and Politics,"['Faan Malan', 'Ben Smit (professor.)']",2001,['Business & Economics'],"This work provides a mindset for leadership to deal with the problem of unethical transgressions in South African communities and buisness. It provides a thorough and comprehensive diagnosis of leadership and morality, from an analysis of causes, to the compilation of remedies.",N/A,N/A,en
Sprint,"['Jake Knapp', 'John Zeratsky', 'Braden Kowitz']",2016-03-08,['Business & Economics'],"Three Google Ventures design partners outline a five-day process for problem-solving and identifying correct solutions using design, prototyping, and testing ideas with customers.",N/A,N/A,en
Creating Futures,['Michel Godet'],2001,['Business & Economics'],"The future is open to us, to be written or created collectively. This powerful statement flies in the face of traditional notions of prediction and forecasting, but is central to the approach presented in this book. The author maintains that, with the right tools and attitudes, people can learn how to create futures. In this handbook for professionals, managers, planners, and entrepreneurs will discover an arsenal of effective futures-thinking techniques--from workshops to scenario-building software--that enhance the collective process. Readers will find effective ways to anticipate change, while avoiding cliched solutions and conventional thinking. Creating Futures provides powerful tools for business and political leaders facing uncertainty.",4,N/A,en
Computer Science and Communications Dictionary,['Martin Weik'],2000-12-31,['Business & Economics'],"The Computer Science and Communications Dictionary is the most comprehensive dictionary available covering both computer science and communications technology. A one-of-a-kind reference, this dictionary is unmatched in the breadth and scope of its coverage and is the primary reference for students and professionals in computer science and communications. The Dictionary features over 20,000 entries and is noted for its clear, precise, and accurate definitions. Users will be able to: Find up-to-the-minute coverage of the technology trends in computer science, communications, networking, supporting protocols, and the Internet; find the newest terminology, acronyms, and abbreviations available; and prepare precise, accurate, and clear technical documents and literature.",N/A,N/A,en
Innovation and Entrepreneurship,['Peter Drucker'],2012-08-06,['Business & Economics'],"Still a neglected area of business, the ability to innovate and be a systematic entrepreneur is the focus of Peter Drucker's study, that deals with the practicalities of opportunities, risks, structures, strategies, staffing and remuneration.",N/A,N/A,en
Doing the Right Things Right,['Laura Stack'],2016-01-18,['Business & Economics'],"A How-To Guide for the Modern Leader Inspired by Peter Drucker's groundbreaking book The Effective Executive, Laura Stack details precisely how 21st-century leaders and managers can obtain profitable, productive results by managing the intersection of two critical values: effectiveness and efficiency. Effectiveness, Stack says, is identifying and achieving the best objectives for your organization—doing the right things. Efficiency is accomplishing them with the least amount of time, effort, and cost—doing things right. If you're not clear on both, you're wasting your time. As Drucker put it, “There is nothing so useless as doing efficiently that which should not be done at all.” Stack's 3T Leadership offers twelve practices that will enable executives to be effective and efficient, grouped into three areas where leaders spend their time: Strategic Thinking, Teamwork, and Tactics. With her expert advice, you'll get scores of new ideas on how you, your team, and your organization can boost productivity.",N/A,N/A,en
Successful Management by Motivation,"['Bruno S. Frey', 'Margit Osterloh']",2013-03-09,['Business & Economics'],"Motivated employees play a crucial role in creating a companys sustainable competitive advantage. Successful Management by Motivation shows that in a knowledge-based society, this goal cannot be achieved by extrinsic motivation alone. Pay for performance often even hurts because it crowds out intrinsic motivation. To succeed, companies have to find ways of fostering and sustaining intrinsic motivation. With the help of in-depth case studies, representative surveys, and analysis based on a large number of firms and employees, this work identifies the various aspects of motivation in companies and shows how the right combination of intrinsic and extrinsic motivation can be achieved.",N/A,N/A,en
