title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Predictably Irrational,['Dan Ariely'],2008-02,['Business & Economics'],"Intelligent, lively, humorous, and thoroughly engaging, ""The Predictably Irrational"" explains why people often make bad decisions and what can be done about it.",4.5,N/A,en
Marketing Management,"['Philip Kotler', 'Kevin Keller', 'Mairead Brady', 'Malcolm Goodman', 'Torben Hansen']",2019-07-12,['Business & Economics'],The classic Marketing Management is an undisputed global best-seller – an encyclopedia of marketing considered by many as the authoritative book on the subject.,N/A,N/A,en
Iran,['United States. Bureau of International Commerce'],1977,['Business'],N/A,N/A,N/A,en
Modern Multidimensional Scaling,"['I. Borg', 'P. J. F. Groenen']",2005-08-04,['Social Science'],"The first edition was released in 1996 and has sold close to 2200 copies. Provides an up-to-date comprehensive treatment of MDS, a statistical technique used to analyze the structure of similarity or dissimilarity data in multidimensional space. The authors have added three chapters and exercise sets. The text is being moved from SSS to SSPP. The book is suitable for courses in statistics for the social or managerial sciences as well as for advanced courses on MDS. All the mathematics required for more advanced topics is developed systematically in the text.",N/A,N/A,en
Competitive Identity,['Simon Anholt'],2006-11-13,['Business & Economics'],"Ever since Simon Anholt coined the phrase 'Nation Branding, there has been more and more interest in the idea that countries, cities and regions can build their brand images. This authoritative book considers how commercial brand management can really be applied to places and shows how places can build and sustain their competitive identity.",N/A,N/A,en
Understanding Consumer Decision Making,"['Thomas J. Reynolds', 'Jerry C. Olson']",2001-05,['Business & Economics'],This edited volume will help business and academic researchers understand the means-end approach to understanding consumers. This is a qualitative marketing research method to gain customer insight into decision making.,N/A,N/A,en
When Corporations Rule the World,['David C. Korten'],1995,['Business & Economics'],"Squarely addressing the controverial issue of modern corporate power, this book explains how economic globalization has concentrated the power to govern in global corporations and financial markets, detaching them from the human interest. Korten presents a policy for restoring democracy and rooting power in people and communities. """"A must-read.""""--Archibishop Desmond Tutu.",N/A,N/A,en
Global Marketing Strategy,['Bodo B. Schlegelmilch'],2016-03-02,['Business & Economics'],"This book has been written for experienced managers and students in postgraduate programs, such as MBA or specialized Masters programs. In a systematic yet concise manner, it addresses all major issues companies face when conducting business across national and cultural boundaries, including assessing and selecting the most promising overseas markets, evaluating market entry alternatives, examining the forces that drive adaptation versus standardization of the marketing mix. It looks at the various global marketing challenges from a strategic perspective and also addresses topics not usually found in international marketing texts, such as aligning marketing strategies with global organizational structures, managing the relationship between national subsidiaries, regional headquarters and global headquarters, as well as corporate social responsibility challenges, and pertinent future trends that are likely to affect global business.",N/A,N/A,en
Controversy in Marketing Theory,['Shelby D. Hunt'],2003,['Business & Economics'],"In this book distinguished theorist and author Shelby D. Hunt analyzes the major controversies in the ""philosophy debates"" raging throughout the field of marketing. Using an historical approach, Hunt argues against relativism and for scientific realism as a philosophy for guiding marketing research and theory. He also shows how the pursuit of truth and objectivity in marketing research are both possible and desirable. Specific controversies analyzed in the book include: Does positivism dominate marketing research? Does positivism imply quantitive methods? Is relativism an appropriate foundation for marketing research? Does relativism imply pluralism, tolerance, and openness? Should marketing pursue the goal of objective research? An ideal companion to Hunt's classic text, Foundations of Marketing Theory, this volume will be equally useful on its own in any graduate level course on marketing theory.",N/A,N/A,en
The Service-dominant Logic of Marketing,"['Robert F. Lusch', 'Stephen L. Vargo']",2006,['Business & Economics'],"Presents a paradigm for the marketing discipline that is service-oriented, customer-oriented, relationship-focused, and knowledge-based, and places marketing, once viewed as a support function, central to overall business strategy. This book elaborates on this model to provide insight and commentary.",5,N/A,en
Luxury Fashion Branding,['U. Okonkwo'],2016-01-18,['Business & Economics'],This groundbreaking fashion branding and management text brings an analytical business dimension to the marketing and corporate techniques of the luxury fashion goods industry. It will make engaging reading for anyone who wishes to learn about the captivating business of turning functional products into objects of desire.,N/A,N/A,en
Marketing,"['Gary M. Armstrong', 'Philip Kotler']",2007,['Business & Economics'],How do we get you moving? By placing you–the customer–in the driver’s seat. Marketing introduces the leading marketing thinking on how customer value is the driving force behind every marketing strategy. Fasten your seatbelt. Your learning journey starts here! www.prenhall.com/kotler,4,N/A,en
Dictionary of Advertising and Marketing Concepts,['Arthur Asa Berger'],2013-08-31,['Business & Economics'],"In concise entries, this dictionary analyzes ideas and concepts about advertising and its social, economic, psychological and cultural significance.",N/A,N/A,en
The Marketing Planning Process,"['Ray Donnelly', 'Graham Harrison']",2009,['Business & Economics'],"Butterworth-Heinemann's CIM Coursebooks have been designed to match the syllabus and learning outcomes of our new qualifications and should be useful aids in helping students understand the complexities of marketing. The discussion and practical application of theories and concepts, with relevant examples and case studies, should help readers make immediate use of their knowledge and skills gained from the qualifications.' Professor Keith Fletcher, Director of Education, The Chartered Institute of Marketing 'Here in Dubai, we have used the Butterworth-Heinemann Coursebooks in their various forms since the very beginning and have found them most useful as a source of recommended reading material as well as examination preparation.' Alun Epps, CIM Centre Co-ordinator, Dubai University College, United Arab Emirates Butterworth-Heinemann's official CIM Coursebooks are the definitive companions to the CIM professional marketing qualifications. The only study materials to be endorsed by The Chartered Institute of Marketing (CIM), all content is carefully structured to match the syllabus and is written in collaboration with the CIM faculty. Each chapter is packed full of case studies, study tips and activities to test your learning and understanding as you go along. *The coursebooks are the only study guide reviewed and approved by CIM (The Chartered Institute of Marketing). *Each book is crammed with a range of learning objectives, cases, questions, activities, definitions, study tips and summaries to support and test your understanding of the theory. *Past examination papers and examiners' reports are available online to enable you to practise what has been learned and help prepare for the exam and pass first time. *Extensive online materials support students and tutors at every stage. Based on an understanding of student and tutor needs gained in extensive research, online materials have been designed specifically for CIM students and created exclusively for Butterworth-Heinemann. Check out exam dates on the Online Calendar, see syllabus links for each course, and access extra mini case studies to cement your understanding. Explore marketingonline.co.uk and access online versions of the coursebooks and further reading from Elsevier and Butterworth-Heinemann. INTERACTIVE, FLEXIBLE, ACCESSIBLE ANY TIME, ANY PLACE www.marketingonline.co.uk",N/A,N/A,en
Marketing,['Michael John Baker'],2001,['Business & Economics'],N/A,N/A,N/A,en
A Concise Guide to Market Research,"['Marko Sarstedt', 'Erik Mooi']",2014-07-29,['Business & Economics'],"This accessible, practice-oriented and compact text provides a hands-on introduction to market research. Using the market research process as a framework, it explains how to collect and describe data and presents the most important and frequently used quantitative analysis techniques, such as ANOVA, regression analysis, factor analysis and cluster analysis. The book describes the theoretical choices a market researcher has to make with regard to each technique, discusses how these are converted into actions in IBM SPSS version 22 and how to interpret the output. Each chapter concludes with a case study that illustrates the process using real-world data. A comprehensive Web appendix includes additional analysis techniques, datasets, video files and case studies. Tags in the text allow readers to quickly access Web content with their mobile device. The new edition features: Stronger emphasis on the gathering and analysis of secondary data (e.g., internet and social networking data) New material on data description (e.g., outlier detection and missing value analysis) Improved use of educational elements such as learning objectives, keywords, self-assessment tests, case studies, and much more Streamlined and simplified coverage of the data analysis techniques with more rules-of-thumb Uses IBM SPSS version 22",N/A,N/A,en
Principles of Forecasting,['J.S. Armstrong'],2001-05-31,['Business & Economics'],"Principles of Forecasting: A Handbook for Researchers and Practitioners summarizes knowledge from experts and from empirical studies. It provides guidelines that can be applied in fields such as economics, sociology, and psychology. It applies to problems such as those in finance (How much is this company worth?), marketing (Will a new product be successful?), personnel (How can we identify the best job candidates?), and production (What level of inventories should be kept?). The book is edited by Professor J. Scott Armstrong of the Wharton School, University of Pennsylvania. Contributions were written by 40 leading experts in forecasting, and the 30 chapters cover all types of forecasting methods. There are judgmental methods such as Delphi, role-playing, and intentions studies. Quantitative methods include econometric methods, expert systems, and extrapolation. Some methods, such as conjoint analysis, analogies, and rule-based forecasting, integrate quantitative and judgmental procedures. In each area, the authors identify what is known in the form of `if-then principles', and they summarize evidence on these principles. The project, developed over a four-year period, represents the first book to summarize all that is known about forecasting and to present it so that it can be used by researchers and practitioners. To ensure that the principles are correct, the authors reviewed one another's papers. In addition, external reviews were provided by more than 120 experts, some of whom reviewed many of the papers. The book includes the first comprehensive forecasting dictionary.",N/A,N/A,en
Basics Marketing 03,['Brian Sheehan'],2011-06-01,['Business & Economics'],"Marketing Management provides a battery of invaluable business skills, ideas and tools to help students of marketing take their first steps to a stellar career.",N/A,N/A,en
A Dictionary of Marketing,['Charles Doyle'],2011-03-24,['Business & Economics'],"Covers traditional marketing techniques and theories alongside the latest concepts, and acknowledges the increased importance of marketing in the customer-oriented environment.",N/A,N/A,en
Introduction to Marketing Concepts,"['Graeme Drummond', 'John Ensor']",2005,['Business & Economics'],"Providing comprehensive coverage of basic marketing topics, this text focuses on the key points of each aspect, illustrating the complexities and specific areas, as well as taking a more general overview.",N/A,N/A,en
Transcending Horizons Through Innovative Global Practices,"['Editor:Alok Bansal', 'Yogeshwari Phatak', 'I C Gupta', 'Rajendra Jain']",2009,['Finance'],Papers presented at a conference.,N/A,N/A,en
Marketing Research,"['Harper W. Boyd', 'Ralph L. Westfall', 'Stanley F. Stasch']",1977,['Business & Economics'],N/A,N/A,N/A,en
The Customer Century,['Anders Grönstedt'],2000,['Business & Economics'],"Based on in-depth interviews with senior marketing managers from top companies such as Federal Express and Hewlett-Packard, Gronstedt advises businesses to thrive in the upcoming ""customer century"" by improving communications with key customers and across departments. 10 line drawings.",N/A,N/A,en
From Grey to Silver,"['Sven Kunisch', 'Stephan Boehm', 'Michael Boppel']",2010-11-08,['Business & Economics'],"Demographic change is one of the most crucial issues of our time. This book sheds light on the demographic implications companies face. Based on an integrated framework, the book investigates three important perspectives: An economic and social perspective helps organisations and managers better understand the basic parameters of demographic change and its influences on the labour market. A human resources and leadership perspective reveals how age management can help retain employees of different age groups as motivated and productive workforce members. An innovation and marketing perspective examines how companies can exploit the potentials that senior customers offer. A combination of research-driven and practice-oriented chapters makes this book a profound and an interesting read. It primarily addresses executives from various organisational fields, including HR, marketing, and management. Professional trainers, scholars and students of economy and business will also gain valuable insights.Dr. Guenter Pfeiffer, Chief Personnel Officer and member of the Executive Board, Swisscom Group “New approaches are required to restructuring, redeployment and age management that go beyond the typical instruments of part-time models and flexible retirement schemes.” Dr. Guenter Pfeiffer, Chief Personnel Officer and member of the Executive Board, Swisscom Group “Recognising the business consequences of the demographic developments and taking these into consideration are imperative for the competitiveness of not only companies, but also entire economies.” Bundespraesident a.D. Prof. Dr. Roman Herzog Former President of the Federal Republic of Germany",N/A,N/A,en
Marketing,"['Gary Armstrong', 'Philip Kotler']",2005,['Business & Economics'],"How do we get you moving? By placing you-the customer-in the driver's seat. ""Marketing"" introduces the leading marketing thinking on how ""customer value ""is the driving force behind every marketing strategy. Fasten your seatbelt. Your learning journey starts here! www.prenhall.com/kotler",N/A,N/A,en
Our Master's Voice: Advertising,['James Rorty'],1934,['Advertising'],N/A,N/A,N/A,en
Retailing in the 21st Century,"['Manfred Krafft', 'Murali K. Mantrala']",2005-12-27,['Business & Economics'],"Retailing in the new millennium stands as an exciting, complex and critical sector of business in most developed as well as emerging economies. Today, the retailing industry is being buffeted by a number of forces simultaneously, e.g., increasing competition within and across retailing formats, the growth of online retailing, the advent of ‘radio frequency identification’ (RFID) technology, the explosion in customer-level data availability, the global expansion of major retail chains like Wal-Mart and METRO Group and so on. Making sense of it all is not easy but of vital importance to retailing practitioners, analysts and policymakers. With crisp and insightful contributions from some of the world’s leading experts in retailing, Retailing in the 21st Century offers in one book a compendium of state-of-the-art, cutting-edge knowledge to guide successful retailing in the new millennium.",N/A,N/A,en
Marketing Research,['Nigel Bradley'],2007,['Business & Economics'],"This edition of Marketing Research: Tools and Techniques provides an accessible and engaging insight into marketing research. Based on the concept of the Marketing Research Mix, it is organized around the core themes of research preparation, data collection, analysis and communication of findings.",N/A,N/A,en
A Framework for Marketing Management,['Philip Kotler'],2003,['Business & Economics'],Features include: coverage of adapting marketing to the new economy; real-world vignettes; illustrations and marketing advertisements; a full package of teaching supplements and an accompanying companion website.,N/A,N/A,en
Principles of Marketing,"['Philip Kotler', 'Gary Armstrong', 'Lloyd C. Harris', 'Hongwei He']",2019,['Marketing'],"Philip Kotler is S. C. Johnson & Son Distinguished Professor of International Marketing at the Kellogg Graduate School of Management, Northwestern University. Gary Armstrong is Crist W. Blackwell Distinguished Professor Emeritus of Undergraduate Education in the Kenan-Flagler Business School at the University of North Carolina at Chapel Hill. Lloyd C. Harris is Head of the Marketing Department and Professor of Marketing at Birmingham Business School, University of Birmingham. His research has been widely disseminated via a range of marketing, strategy, retailing and general management journals. Hongwei He is Professor of Marketing at Alliance Manchester Business School, University of Manchester, and as Associate Editor for Journal of Business Research",N/A,N/A,en
Market Segmentation,"['Michel Wedel', 'Wagner A. Kamakura']",2012-12-06,['Business & Economics'],"Modern marketing techniques in industrialized countries cannot be implemented without segmentation of the potential market. Goods are no longer produced and sold without a significant consideration of customer needs combined with a recognition that these needs are heterogeneous. Since first emerging in the late 1950s, the concept of segmentation has been one of the most researched topics in the marketing literature. Segmentation has become a central topic to both the theory and practice of marketing, particularly in the recent development of finite mixture models to better identify market segments. This second edition of Market Segmentation updates and extends the integrated examination of segmentation theory and methodology begun in the first edition. A chapter on mixture model analysis of paired comparison data has been added, together with a new chapter on the pros and cons of the mixture model. The book starts with a framework for considering the various bases and methods available for conducting segmentation studies. The second section contains a more detailed discussion of the methodology for market segmentation, from traditional clustering algorithms to more recent developments in finite mixtures and latent class models. Three types of finite mixture models are discussed in this second section: simple mixtures, mixtures of regressions and mixtures of unfolding models. The third main section is devoted to special topics in market segmentation such as joint segmentation, segmentation using tailored interviewing and segmentation with structural equation models. The fourth part covers four major approaches to applied market segmentation: geo-demographic, lifestyle, response-based, and conjoint analysis. The final concluding section discusses directions for further research.",N/A,N/A,en
The Conquest of Cool,['Thomas Frank'],1997,['Business & Economics'],"Looks at advertising during the 1960s, focusing on the relationship between the counterculture movement and commerce.",N/A,N/A,en
According to Kotler,['Philip Kotler'],2005,['Business & Economics'],"According to Kotler distills the essence of marketing guru Philip Kotler's wisdom and years of experience into an immensely readable question and answer format. Based on the thousands of questions Kotler has been asked over the years, the book reveals the revolutionary theories of one of the profession's most revered experts.",3,N/A,en
The Distribution of Wealth,['John Rogers Commons'],1893,['Marketing'],N/A,N/A,N/A,en
The Management of Tourism,"['Lesley Pender', 'Richard Sharpley']",2005,['Business & Economics'],This text provides detailed coverage of the breadth of issues involved in the management of tourism businesses. It explains and supports fundamental business management aspects whilst examining specific techniques required for the successful management of a variety of tourism businesses.,4,N/A,en
"Epic Content Marketing: How to Tell a Different Story, Break Through the Clutter, and Win More Customers by Marketing Less",['Joe Pulizzi'],2013-09-24,['Business & Economics'],"He proves it in these pages."" (Jay Baer, New York Times bestselling author of Youtility: Why Smart Marketing is About Help Not Hype). ""The future of successful brand building, an",N/A,N/A,en
Statistical Analysis of Management Data,['Hubert Gatignon'],2013-10-17,['Business & Economics'],"Statistical Analysis of Management Data provides a comprehensive approach to multivariate statistical analyses that are important for researchers in all fields of management, including finance, production, accounting, marketing, strategy, technology, and human resources. This book is especially designed to provide doctoral students with a theoretical knowledge of the concepts underlying the most important multivariate techniques and an overview of actual applications. It offers a clear, succinct exposition of each technique with emphasis on when each technique is appropriate and how to use it. This third edition, fully revised, updated, and expanded, reflects the most current evolution in the methods for data analysis in management and the social sciences. In particular, this edition includes: · A new chapter on the analysis of mediation and moderation effects · Examples using STATA for most of the statistical methods · Example of XLSTAT applications Featuring numerous examples, the book may serve as an advanced text or as a resource for applied researchers in industry who want to understand the foundations of the methods particularly relevant and typically used in management research, and to learn how they can be applied using widely available statistical software.",N/A,N/A,en
The New Rules of Marketing and PR,['David Meerman Scott'],2015-10-05,['Business & Economics'],"Scott analyses how the internet has revolutionised communications and promotions. Told with many compelling case studies and real-world examples, this is a practical guide to the new reality of PR and marketing.",N/A,N/A,en
Contemporary Issues in Marketing and Consumer Behaviour,"['Elizabeth Parsons', 'Pauline Maclaran']",2009-06-04,['Business & Economics'],"An exciting new book that covers all the latest buzzwords within marketing and consumer behavior: building brand cultures; gender; ethics; sustainable marketing; the green and the global consumer among many more. Importantly, Contemporary Issues in Marketing and Consumer Behaviour makes clear links between theory and practice in marketing. It also locates the recent development of both marketing ideas and applications within the wider global, social and economic contexts. Written by a team of experts in the field, this title fills a gap in a growing market interested in these contemporary issues. It provides a complete off-the-shelf teaching package for Masters, MBA and advanced undergraduate modules in marketing and consumer behavior and a useful resource for dissertation study at both undergraduate and postgraduate levels.",N/A,N/A,en
