title,authors,publishedDate,categories,description,averageRating,textSnippet
To the Lighthouse,['Virginia Woolf'],1955,['Fiction'],"""To the Lighthouse features the serene and maternal Mrs. Ramsay, the tragic yet absurd Mr. Ramsay, and their children and assorted guests who are on holiday on the Isle of Skye. From the seemingly trivial postponement of a visit to a nearby lighthouse, Virginia Woolf constructs a moving examination of the complex tensions and allegiances of family life and the conflicts within a marriage.""--BOOK JACKET.",3,N/A
Journey by Moonlight,['Antal Szerb'],2007,['Fiction'],First published in Budapest in 1937.,5,N/A
The Age of Innocence,['Edith Wharton'],2006-02-09,['Fiction'],"Edith Wharton's most famous novel, written immediately after the end of the First World War, is a brilliantly realized anatomy of New York society in the 1870s. The charming Newland Archer is content to live within its constraints until he meets Ellen Olenska, whose arrival threatens his impending marriage as well as his comfortable future. - ;'They lived in a kind of hieroglyphic world, where the real thing was never said or done or even thought, but only represented by a set of arbitrary signs.' Edith Wharton's most famous novel, written immediately after the end of the First World War, is a brilliantly realized anatomy of New York society in the 1870s, the world in which she grew up, and from which she spent her life escaping. Newland Archer, Wharton's protagonist, charming, tactful, enlightened, is a thorough product of this society; he accepts its standards and abides by its rules but he also recognizes its limitations. His engagement to the impeccable May Welland assures him of a safe and conventional future, until the arrival of May's cousin Ellen Olenska puts all his plans in jeopardy. Independent, free-thinking, scandalously separated from her husband, Ellen forces Archer to question the values and assumptions of his narrow world. As their love for each other grows, Archer has to decide where his ultimate loyalty lies. -",N/A,N/A
The Zahir,['Paulo Coelho'],2006,['Compulsive behavior'],"One day a renowned author discovers that his wife, a war correspondent has disappeared without a trace. Though time brings more success and new love, he remains mystified and fascinated by her absence.",N/A,N/A
Women in China's Long Twentieth Century,['Gail Hershatter'],2007-03-29,['Business & Economics'],"“An important and much-needed introduction to this rich and fast-growing field. Hershatter has handled a daunting task with aplomb.” —Susan L. Glosser, author of Chinese Visions of Family and State, 1915–1953",N/A,N/A
The Giant Raft...,['Jules Verne'],1882,['Adventure stories'],N/A,N/A,N/A
"The Oriental, the Ancient and the Primitive",['Jack Goody'],1990-02-08,['Reference'],"Continuing the comparative survey of pre-industrial family formation undertaken in The Development of Family and Marriage in Europe (1983), Professor Goody looks in depth at kinship practice in Asia. His findings cause him to question many traditional assumptions about the ""primitive"" East, and he suggests that, in contrast to pre-colonial Africa, kinship practice in Asia has much in common with that prevailing in parts of pre-industrial Europe. Goody examines the transmission of productive and other property in relation both to the prevailing political economy and to family and ideological structures, and explores the distribution of mechanisms and strategies of management across cultures. The book concludes that notions of western ""uniqueness"" are often misplaced, and that much previous work on Asian kinship has been unwittingly distorted by the application of concepts and approaches derived from other, inappropriate, social formations.",N/A,N/A
The White Princess,['Philippa Gregory'],2013-07-23,['Fiction'],"Elizabeth of York is forced to marry her enemy, and when she finally has a chance for revenge, she ponders what to do.",N/A,N/A
Tender Is the Night,['F. Scott Fitzgerald'],1995-07,['Fiction'],An idealist confronted by a doomed marriage.,N/A,N/A
The Golden Bowl,['Henry James'],1995,['Fiction'],"The novel opens with Prince Amerigo musing in Bond Street on his approaching marriage, and on the likely consequences of an alliance between Roman aristocracy and American millions ...",N/A,N/A
