title,authors,publishedDate,categories,description,averageRating,textSnippet
The Principia,"['Isaac Newton', 'I. Bernard Cohen', 'Anne Whitman']",1999-10-20,['Science'],Presents Newton's unifying idea of gravitation and explains how he converted physics from a science of explanation into a general mathematical system.,N/A,N/A
Philosophiæ naturalis principia mathematica,['Isaac Newton'],1822,['Celestial mechanics'],N/A,N/A,N/A
The Mathematical Principles of Natural Philosophy,['Isaac Newton'],1968,['Celestial mechanics'],N/A,N/A,N/A
Classical Mechanics,['Joseph L. McCauley'],1997-05-08,['Science'],This advanced text is the first book to describe the subject of classical mechanics in the context of the language and methods of modern nonlinear dynamics. The organizing principle of the text is integrability vs. nonintegrability.,N/A,N/A
Philosophia naturalis principia mathematica,['Isaac Newton'],1687,['Celestial mechanics'],N/A,N/A,N/A
New Foundations for Classical Mechanics,['David Hestenes'],1986-06-30,['Mathematics'],"This is a textbook on classical mechanics at the intermediate level, but its main purpose is to serve as an introduction to a new mathematical language for physics called geometric algebra. Mechanics is most commonly formulated today in terms of the vector algebra developed by the American physicist J. Willard Gibbs, but for some applications of mechanics the algebra of complex numbers is more efficient than vector algebra, while in other applica tions matrix algebra works better. Geometric algebra integrates all these algebraic systems into a coherent mathematical language which not only retains the advantages of each special algebra but possesses powerful new capabilities. This book covers the fairly standard material for a course on the mechanics of particles and rigid bodies. However, it will be seen that geometric algebra brings new insights into the treatment of nearly every topic and produces simplifications that move the subject quickly to advanced levels. That has made it possible in this book to carry the treatment of two major topics in mechanics well beyond the level of other textbooks. A few words are in order about the unique treatment of these two topics, namely, rotational dynamics and celestial mechanics.",N/A,N/A
The Principia: The Authoritative Translation and Guide,"['Isaac Newton', 'Julia Budenz']",2016-02-05,['Science'],"In his monumental 1687 work,ÊPhilosophiae Naturalis Principia Mathematica, known familiarly as theÊPrincipia, Isaac Newton laid out in mathematical terms the principles of time, force, and motion that have guided the development of modern physical science. Even after more than three centuries and the revolutions of Einsteinian relativity and quantum mechanics, Newtonian physics continues to account for many of the phenomena of the observed world, and Newtonian celestial dynamics is used to determine the orbits of our space vehicles. This authoritative, modern translation by I. Bernard Cohen and Anne Whitman, the first in more than 285 years, is based on the 1726 edition, the final revised version approved by Newton; it includes extracts from the earlier editions, corrects errors found in earlier versions, and replaces archaic English with contemporary prose and up-to-date mathematical forms. Newton's principles describe acceleration, deceleration, and inertial movement; fluid dynamics; and the motions of the earth, moon, planets, and comets. A great work in itself, theÊPrincipiaÊalso revolutionized the methods of scientific investigation. It set forth the fundamental three laws of motion and the law of universal gravity, the physical principles that account for the Copernican system of the world as emended by Kepler, thus effectively ending controversy concerning the Copernican planetary system. The illuminating Guide to Newton's PrincipiaÊby I. Bernard Cohen makes this preeminent work truly accessible for today's scientists, scholars, and students. Designed with collectors in mind, this deluxe edition has faux leather binding covered with a beautiful dustjacket. Ê",N/A,N/A
An Account of Sir Isaac Newton's Philosophical Discoveries,"['Colin MacLaurin', 'Patrick Murdoch']",1750,['Mechanics'],N/A,N/A,N/A
The Science of Mechanics,['Ernst Mach'],1893,['Mechanics'],N/A,N/A,N/A
"On the Loadstone and Magnetic Bodies, and on the Great Magnet the Earth",['William Gilbert'],1893,['Blood'],N/A,N/A,N/A
A View of Sir Isaac Newton's Philosophy,['Henry Pemberton'],1728,['Celestial mechanics'],N/A,N/A,N/A
Einstein in Matrix Form,['Günter Ludyk'],2013-06-12,['Science'],"This book is an introduction to the theories of Special and General Relativity. The target audience are physicists, engineers and applied scientists who are looking for an understandable introduction to the topic - without too much new mathematics. The fundamental equations of Einstein's theory of Special and General Relativity are derived using matrix calculus, without the help of tensors. This feature makes the book special and a valuable tool for scientists and engineers with no experience in the field of tensor calculus. In part I the foundations of Special Relativity are developed, part II describes the structure and principle of General Relativity. Part III explains the Schwarzschild solution of spherical body gravity and examines the ""Black Hole"" phenomenon. Any necessary mathematical tools are user friendly provided, either directly in the text or in the appendices.",N/A,N/A
The Works of Archimedes,['Archimedes'],1897,['Geometry'],N/A,3.5,N/A
Compendium of Theoretical Physics,"['Armin Wachter', 'Henning Hoeber']",2006-04-18,['Science'],"Mechanics, Electrodynamics, Quantum Mechanics, and Statistical Mechanics and Thermodynamics comprise the canonical undergraduate curriculum of theoretical physics. In Compendium of Theoretical Physics, Armin Wachter and Henning Hoeber offer a concise, rigorous and structured overview that will be invaluable for students preparing for their qualifying examinations, readers needing a supplement to standard textbooks, and research or industrial physicists seeking a bridge between extensive textbooks and formula books. The authors take an axiomatic-deductive approach to each topic, starting the discussion of each theory with its fundamental equations. By subsequently deriving the various physical relationships and laws in logical rather than chronological order, and by using a consistent presentation and notation throughout, they emphasize the connections between the individual theories. The reader’s understanding is then reinforced with exercises, solutions and topic summaries. Unique Features: Every topic is reviewed axiomatically-deductively and then reinforced through exercises, solutions and summaries Each subchapter ends with a set of applications, making the Compendium an ideal review of theoretical physics for physicists working in industry or research A Mathematical Appendix covers vector operations, integral theorems, partial differential quotients, complete function systems, Fourier analysis, Bessel functions, spherical Bessel functions, Legendre functions, Legendre polynomials and spherical harmonics Armin Wachter holds a Ph.D. in Physics from the John von Neumann Institute for Computing (NIC) / Research Centre of Jülich, Germany. His research interests include theoretical elementary particle physics, heavy quark physics, heavy meson spectroscopy, algorithms on parallel computers, andlattice gauge theory. He is presently writing a textbook on relativistic quantum mechanics for Springer. Henning Hoeber received his Ph.D. in Physics from the University of Edinburgh, Scotland and has since held research positions at the John von Neumann Institute for Computing (NIC) / Research Centre of Jülich, Germany and the University of Wuppertal, Germany. His research interests include elementary particle physics, lattice gauge theory, and computational physics, and since 1998 he has done extensive work in the fields of seismic processing, time series analysis, statistical and transform methods for seismic signal processing, and elastic wave propagation.",N/A,N/A
