title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Five Great Monarchies of the Ancient Eastern World,['George Rawlinson'],1865,['Assyria'],N/A,N/A,N/A,en
The Five Great Monarchies of the Ancient Eastern World,['George Rawlinson'],1881,['Assyria'],N/A,N/A,N/A,en
The Five Great Monarchies of the Ancient Eastern World,['George Rawlinson'],1862,['Assyria'],N/A,N/A,N/A,en
Tono-Bungay,['Herbert George Wells'],1908,['England'],N/A,N/A,N/A,en
Understanding Media,['Marshall McLuhan'],1973,['Communication'],N/A,N/A,N/A,en
The Story of Media and Babylon from the Fall of Nineveh to the Persian War,['Zénaïde Alexeïvna Ragozin'],1889,['Babylon (Extinct city)'],N/A,N/A,N/A,en
Orality and Literacy,[],1982,['Communication'],And literacy,N/A,N/A,en
Degraded Capability,"['Philip Hammond', 'Edward S. Herman']",2000-05-20,['Business & Economics'],'Required reading for anyone wishing to understand the war and the media's role in it.' --The New Internationalist,N/A,N/A,en
Tono-Bungay,['Herbert George Wells'],1997,['Fiction'],"Tono-Bungay (1909) is widely regarded as Wells's finest novel, combining futuristic science fiction and contemporary social satire. In it, George Ponderovo is apprenticed to his Uncle Edward, a dynamic chemist who invents a bogus medicine, Tono-Bungay, and earns a vast fortune. But as he witnesses Edward's spectacular rise, he also contemplates the corrupt English society that allows his uncle to wield so much power. No other writer has the breadth of Wells to encompass both George's personal breakdown and the full panorama of a degenerate imperial society.",N/A,N/A,en
The Seven Great Monarchies of the Ancient Eastern World,['George Rawlinson'],1884,['Assyria'],N/A,N/A,N/A,en
Media and Their Publics,['Michael Higgins'],2008-10,['Performing Arts'],The public is so central to discussions of the role of broadcasting in civil society that it often passes without comment. This work offers a critical insight into this key component of media policy and practice. It covers areas such as techniques of political interview and political discussion programmes.,N/A,N/A,en
The Seven Great Monarchies of the Ancient Eastern World,['George Rawlinson'],1884,['Assyria'],N/A,N/A,N/A,en
The Seven Great Monarchies of the Ancient Eastern World,['George Rawlinson'],1889,['Assyria'],N/A,N/A,N/A,en
La société du spectacle,['Guy Debord'],1992,['Fiction'],"Systématisant les thèmes développés dans la revue Internationale situationniste, Debord critique tous les aspects du capitalisme et de son système général d'illusions où la représentation est préférée à la réalité, tout en incitant à une praxis révolutionnaire nouvelle pour une société sans classe.",N/A,N/A,fr
Celebrity Society,['Robert Van Krieken'],2012,['Biography & Autobiography'],"The fascination with celebrities may be a guilty pleasure, but it is also an increasingly important dimension of the way we organise social and political relationships. 'Celebrity Society' outlines the sociology of celebrity as a central characteristic of modernity, linking us together in unique and ever-changing ways.",N/A,N/A,en
Mediated Nostalgia,['Ryan Lizardi'],2016-05-15,['History'],"Considering the current rash of film remakes, vintage video game downloads, and box sets of bygone television shows, media today is obsessed with nostalgia. Instead of presenting a past that functions as an adaptive mirror with which we can compare our contemporary situation, the past is instead presented as an individualized version that transfixes us as uncritical citizens of our own culture. Mediated Nostalgia: Individual Memory and Contemporary Mass Media argues that the cultural implication of a cross-media eternal return to nostalgia is an increasing reliance on defining who we are as people and societies by what media we consumed as children. The unblinking eye toward the past knows no progress, or at the very least, does not employ the past to compare and adaptively engage with the present or future. Examining film, literature, television, and video games, Ryan Lizardi tackles the idea of why that strong sense of nostalgia is such a popular tactic for the media industry, and why it is problematic.",N/A,N/A,en
"Media, Babylon and Persia",['Zénaïde Alexeïevna Ragozin'],1889,['Babylon'],N/A,N/A,N/A,en
A Dictionary of Communication and Media Studies,"['James Watson', 'Anne Hill']",1997,['Business & Economics'],A dictionary of Communicaiton and media,N/A,N/A,en
Tono-Bungay,['Herbert George Wells'],1908,['England'],"Tono-Bungay (1909) is widely regarded as Wells's finest novel, combining futuristic science fiction and contemporary social satire. In it, George Ponderovo is apprenticed to his Uncle Edward, a dynamic chemist who invents a bogus medicine, Tono-Bungay, and earns a vast fortune. But as he witnesses Edward's spectacular rise, he also contemplates the corrupt English society that allows his uncle to wield so much power.",N/A,N/A,en
"Media, Babylon, and Persia. Including a Study of the Zend-Avesta Or Religion of Zoroaster. From the Fall of Nineveh to the Persian War",['Zénaïde A. Ragozin'],1889,['Babylon (Extinct city)'],N/A,N/A,N/A,en
"Media, Babylon and Persia",['Zénaïde Alexeïevna Ragozin'],1891,['Avesta'],N/A,N/A,N/A,en
The five great monarchies of the ancient Eastern world,['George Rawlinson'],1864,['Assyria'],N/A,N/A,N/A,en
"The Story of Media, Babylon and Persia",['Zénaïde Alexeïevna Ragozin'],1888,['Babylon (Extinct city)'],N/A,N/A,N/A,en
"Media, Babylon and Persia",['Zenaide Alexeievna Ragozin'],1888,[],N/A,N/A,N/A,en
News and Journalism in the UK,['Brian McNair'],1999,['Language Arts & Disciplines'],On journalism in the UK,N/A,N/A,en
The Five Great Monarchies of the Ancient Eastern World,[],1880,['Assyria'],N/A,N/A,N/A,en
A History of Violence,['John Wagner'],1997,['Comics & Graphic Novels'],"A graphic suspense novel about a man who kills a couple of wanted murderers, and is later hounded by the mob.",N/A,N/A,en
Postmodernist Culture,['Steven Connor'],1997,['Philosophy'],"This 2nd edition of Postmodernist Culture considers the work of Lyotard and Jameson and the way modern theories are impinging on more areas of culture including the law, music, dance, ecology, technology, ethnography and spatial theories.",3,N/A,en
Media History,"['Niels Brügger', 'Søren Kolstrup']",2002,['History'],"Based on the Aarhus seminar, this book provided a reflection on the theoretical and methodological problems inherent in the writing of media histories & looks at published histories that provide models of empirical research within various media.",N/A,N/A,en
License to Jump!,"['Marit Nybelius', 'Annette R. Hofmann']",2015,['Ski jumping'],"At the 2015 Nordic Ski World Championship in the Swedish resort Falun, the World Championship in women's ski jumping will be conducted. Women's ski jumping did not have a smooth way to become an internationally acknowledged and accepted sport. However, that struggle is no longer discussed. In many European countries women's ski jumping regularly gets TV coverage and the print media covers it in its sports sections. This book aims to give insight into the at least 150-year-history of women's ski jumping from its beginnings until it became an Olympic sport in the 2014 Sochi Games. It shows the struggle and effort of female ski jumpers, coaches, families and others to make this sport internationally recognized and accepted. The chapters reflect a collection of research done by international authors. Due to the accessibility of sources the main focus is on Europe and North America. However, we do not claim to offer a complete history; there are many histories of women's ski jumping, depending on the geographic location. We tried to avoid an overlapping of contents, which was not always possible, because each chapter was to be an entity in itself. In the future, still, bit by bit, little pieces have to be added to the puzzle to gain a complete picture of the evolution of this sport. Although all authors have an academic background in sport history and/or sport sociology and sport media, the book is aimed to appeal to the general public. For all those readers who are interested in more details, footnotes and references are added.",N/A,N/A,en
The Five Great Monarchies of the Ancient Eastern World,[],1977,['Assyria'],N/A,N/A,N/A,en
Press Freedom in Africa,['Herman Wasserman'],2014-07-03,['Freedom of the press'],This book gives an overview of current debates surrounding press freedom in Africa in response to ongoing contestations between media and governments on the continent. It was originally published as a special issue of Ecquid Novi: African Journalism Studies.,N/A,N/A,en
Bad News,['Anjan Sundaram'],2016-01-14,[],"The incredible story of the rise of dictatorship and the fall of open speech, as told by the last free journalists to remain in Rwanda.",N/A,N/A,en
Approaches to Media,"['Oliver Boyd-Barrett', 'Chris Newbold']",1995,['Audiences'],"This volume illustrates and exemplifies the variety of ways in which the mass media have been researched over the past fifty or more years. It provides extracts from seminal works and relates them to developments in the field as a whole and to later works. The volume identifies the majordivisions within the field, including mass society theory, the media effects tradition, political economy, the public sphere, media occupations and professionals, cultural hegemony, feminism, and ""new"" audience research.",N/A,N/A,en
Mediating the Message in the 21st Century,"['Pamela J. Shoemaker', 'Stephen D. Reese']",2014,['Content analysis (Communication)'],Provides a comprehensive review of the functions and factors which influence media content decisions. It analyzes research in this area and evaluates the theoretical perspectives typically used in these studies in an attempt to establish a new theory of media content.,N/A,N/A,en
Multiculturalism and Democracy in North Africa,['Moha Ennaji'],2014,['Social Science'],"Investigating the connections between multiculturalism, minorities, citizenship, and democracy in North Africa, this book argues that multiculturalism in this region- and in the Arab world at large - has reached a significant level in terms of scale and importance. In the rest of the world, there has been a trend - albeit a contested one - toward a greater recognition of minority rights. The Arab world however, particularly North Africa, seems to be an exception to this trend, as Arab states continue to promote highly unitary and homogenizing ideas of nationhood and state unity, whilst discouraging, or even forbidding, minority political mobilization. The central theoretical premise of this book is that North Africa is a multicultural region, where culture is inherently linked to politics, religion, gender, and society, and a place where democracy is gradually taking root despite many political and economic hurdles. Addressing the lacuna in literature on this issue, this book opens new avenues of thought and research on diversity, linking policy based on cultural difference to democratic culture and to social justice. Multiculturalism and Democracy in North Africa will be of use to students and researchers with an interest in Sociology, Cultural Studies, and Political Science more broadly.",N/A,N/A,en
The Seven Great Monarchies of the Ancient Eastern World,['George Rawlinson'],1880,['Assirië'],N/A,N/A,N/A,en
Media and Communication,"['Helge Rønning', 'Knut Lundby']",1991,['Social Science'],N/A,N/A,N/A,en
Taking Sides,"['Alison Alexander', 'Jarice Hanson']",1993,['Social Science'],"This debate-style reader is designed to introduce students to controversies in mass media. The readings, which represent the arguments of leading scholars and media commentators, reflect a variety of viewpoints and have been selected for their liveliness and substance and because of their value in a debate framework. Taking Sides actively develops critical thinking skills by requiring students to analyze opposing viewpoints and reach considered judgements.",N/A,N/A,en
Civil Liberties,['Debbie Levy'],2000,['Juvenile Nonfiction'],"Discusses civil liberties guaranteed by the Constitution including freedom of speech and assembly, media freedoms, religious liberties, and right to privacy.",N/A,N/A,en
Ratings Analysis,"['James G. Webster', 'Patricia F. Phalen', 'Lawrence Wilson Lichty']",2006,['Performing Arts'],"This volume provides a thorough and up-to-date presentation of the ratings industry and the analysis process. For scholars and students in the areas of audience research, media research, and programming.",N/A,N/A,en
"The five great monarchies of the ancient eastern world; or, The history, geography, and antiquities of Chaldaea, Assyria, Babylon, Media, and Persia",['George Rawlinson'],1871,['Assyria'],N/A,N/A,N/A,en
