title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Cholera and the Ecology of Vibrio cholerae,"['B.S. Drasar', 'B.D. Forrest']",1996-09-30,['Medical'],Only in recent years has it been revealed that V. cholerae is a normal inhabitant of esturine and riverine waters. This means that even if the disease can be eliminated from human population by vaccines etc. the vibrio will continue to survive independently in the environment. It is likely that the environment is the source of epidemic strains. This is the first book to focus on the implication of these discoveries.,N/A,N/A,en
The Principles and Practice of Medicine,['Sir William Osler'],1898,['Internal medicine'],N/A,N/A,N/A,en
Climate Change and the Health of Nations,"['Anthony J. McMichael', 'Alistair Woodward', 'Cameron Muir']",2017,['Medical'],"When we think ""climate change,"" we think of man-made global warming, caused by greenhouse gas emissions. But natural climate change has occurred throughout human history, and populations have had to adapt to its vicissitudes. Tony McMichael, a renowned epidemiologist and a pioneer in the field of how human health relates to climate change, is the ideal guide to this phenomenon, and in his magisterial Climate Change and the Health of Nations, he presents a sweeping and authoritative analysis of how human societies have been shaped by climate events.",5,N/A,en
"Zoonomia, Or, The Laws of Organic Life",['Erasmus Darwin'],1794,['Evolution'],N/A,N/A,N/A,en
Textbook of Family Medicine,"['Robert E. Rakel', 'David Rakel']",2011,['Medical'],"Offers guidance on the principles of family medicine, primary care in the community, and various aspects of clinical practice. Suitable for both residents and practicing physicians, this title includes evidence-based, practical information to optimize your patient care and prepare you for the ABFM exam.",N/A,N/A,en
Currents and Counter-currents in Medical Science,['Oliver Wendell Holmes'],1861,['Medicine'],N/A,N/A,N/A,en
The Man who Mistook His Wife for a Hat and Other Clinical Tales,['Oliver Sacks'],1985,['Medical'],Explores neurological disorders and their effects upon the minds and lives of those affected with an entertaining voice.,N/A,N/A,en
"Names, Natures and Things",['Syed Nomanul Haq'],1995-02-28,['Philosophy'],"Jabir ibn Hayyan, for a long time the reigning alchemical authority both in Islam and the Latin West, has exercised numerous generations of scholars. To be sure, it is not only the vexed question of the historical authorship and dating of the grand corpus Jabirianum which poses a serious scholarly challenge; equally challenging is the task of unraveling all those obscure and tantalizing discourses which it contains. This book, which marks the first full-scale study of Jabir ever to be published in the English language, takes up both challenges. The author begins by critically reexamining the historical foundations of the prevalent view that the Jabirian corpus is the work not of an 8th-century individual, but that of several generations of Shi'i authors belonging to the following century and later. Tentatively concluding that this view is problematic, the author, therefore, infers that its methodological implications are also problematic. Thus, developing its own methodological matrix, the book takes up the second challenge, namely that of a substantive analysis and explication of a Jabirian discourse, the Book of Stones. Here explicating Jabir's notions of substance and qualities, analyzing his ontological theory of language and unraveling the metaphysics of his Science of Balance, the author reconstructs the doctrinal context of the Stones and expounds its central theme. He then presents an authoritative critical edition of a substantial selection of the text of the Stones, based on all available manuscripts. This critical edition has been translated in its entirety and is provided with exhaustive commentaries and textual notes -- another pioneering feature of this book: for this is the first English translation of a Jabirian text to emerge in print after a whole century. An outstanding contribution is that it announces and presents an exciting textual discovery: the author has found in the Stones a hitherto unknown Arabic translation of part of Aristotle's Categories. Given that we have so far known of only one other, and possibly later, classical Arabic translation of the Greek text, Haq's discovery gives this book an historical importance.",N/A,N/A,en
The Knife Man,['Wendy Moore'],2005,['Biography & Autobiography'],"In The Knife Man Wendy Moore unveils John Hunter's extraordinary world - a world characterized by hangings at the Tyburn Tree, by gruesome expeditions to dank churchyards, and by countless human dissections in attic rooms.",N/A,N/A,en
Dorland's Illustrated Medical Dictionary,[],2003,['Medicine'],N/A,N/A,N/A,en
The Healing Arts,['Peter Elmer'],2004-03-09,['History'],"""The book will appeal to students, teachers, health workers and general readers who wish to develop a critical awareness of medicine in the past. The essays are complemented by a selection of primary and secondary readings in the companion volume, Health, Disease and Society in Europe, 1500-1800: A Source Book.""--BOOK JACKET.",N/A,N/A,en
Dorland's Illustrated Medical Dictionary,['William Alexander Newman Dorland'],2000,['Medical'],Illustrates and defines terms used in different branches of medicine and health science.,N/A,N/A,en
Acute Care Surgery,"['L.D. Britt', 'Donald D. Trunkey', 'David V. Feliciano']",2007-02-23,['Medical'],"This book comprehensively presents the full spectrum of surgical emergencies. These include trauma and non-traumatic acute surgical diseases of the abdominal, pelvic, and cardiothoracic organs as well as the extremities, skin and soft tissue, and head and neck. Management of surgical infections is also discussed. This is the ideal reference text for surgical trainees as well as practicing surgeons. Authoritative, comprehensive, and user-friendly, the text features over 40 chapters complete with case studies as well as question and answer commentaries. The text is augmented by more than 500 tables and illustrations.",N/A,N/A,en
Principles and Practice of Medicine,['Sir William Osler'],1909,['Internal medicine'],N/A,N/A,N/A,en
Philosophical Issues in Psychiatry,"['Kenneth S. Kendler', 'Josef Parnas']",2008-12-29,['Medical'],"This multidisciplinary collection explores three key concepts underpinning psychiatry—explanation, phenomenology, and nosology—and their continuing relevance in an age of neuroimaging and genetic analysis. This book opens with Dr. Kenneth S. Kendler’s introduction to the philosophical grounding of psychiatric practice. Chapters in the first section of the book then address the concept of explanation, from the difficulties in describing complex behavior to the categorization of psychological and biological causality. In the second section, contributors discuss experience, including the complex and vexing issue of how self-agency and free will affect mental health. The third and final section examines the organizational difficulties in psychiatric nosology and the instability of the existing diagnostic system. Each chapter includes both an introduction by the editors and a concluding comment by another of the book’s contributors. Contributors: John Campbell, PhD; Thomas Fuchs, MD, PhD; Shaun Gallagher, PhD; Kenneth S. Kendler, MD; Sandra D. Mitchell, PhD; Dominic P. Murphy, PhD; Josef Parnas, MD, DrMedSci; Louis A. Sass, PhD; Kenneth F. Schaffner, MD, PhD; James F. Woodward, PhD; Peter Zachar, PhD ""This is a serious and important book . . . it is certainly one that researchers, scholars and anyone involved in trying to explain the nature of psychiatric disorders to a skeptical audience ought to read.""—British Journal of Psychiatry Kenneth S. Kendler, MD, is the Rachel Brown Banks Distinguished Professor of Psychiatry at the Medical College of Virginia, where he is also a professor of human genetics and the director of the Virginia Institute for Psychiatric and Behavioral Genetics. He is the author of Genes, Environment, and Psychopathology. Josef Parnas, MD, DrMedSci, is a professor of psychiatry and the consultant medical director for the Department of Psychiatry at Copenhagen University. He is the codirector of the National Danish Research Foundation's Center for Subjectivity Research.",N/A,N/A,en
Perverse Romanticism,['Richard C. Sha'],2009,['Literary Criticism'],"At the nexus of Kantian aesthetics, literary analysis, and the history of medicine, Perverse Romanticism makes an important contribution to the study of sexuality in the long eighteenth century.",N/A,N/A,en
Dental Erosion,"['A. Lussi', 'Adrian Lussi']",2006-05-10,['Medical'],"Erosive tooth wear is a multifactorial condition of growing concern to the clinician and is a subject of extensive research. This book is the first which deals in such detail with dental erosion. It presents the whole spectrum of views on the issue, from the molecular level to behavioral aspects, as well as trends in society. The multifactorial etiological pattern of erosive tooth wear is emphasized and is a strand connecting the different chapters of the book. Definition, diagnosis, prevalence, incidence and chemistry of dental erosion are discussed in the first part of the publication. Further, topics like extrinsic and intrinsic causes of dental erosion are covered and a chapter is devoted to dental erosion in children. Methods of assessment are presented and critically evaluated. The book concludes with themes on dentinal hypersensitivity, risk assessment and preventive measures and restorative options for erosive lesions. This publication is not only highly recommended to faculty members, researchers and dental students, but also to practitioners and other dental professionals who are committed to the prevention and treatment of dental erosion.",N/A,N/A,en
Florence Nightingale on Public Health Care,"['Florence Nightingale', 'Lynn McDonald']",2004-01-20,['Biography & Autobiography'],"Annotation Reports Nightingale's accomplishments in developing a public heath care system based on disease prevention. Includes papers, letters and ""Notes on Nursing for the Labouring Classes.""",N/A,N/A,en
The War on Cancer,['Guy Faguet'],2005-12-01,['Medical'],"After reviewing the history of cancer and its impact on the population, Dr. Faguet exposes the antiquated notions that have driven cancer drug development, documents the stagnation in treatment outcomes despite major advances in cancer genomics and growing NCI budgets, and identifies the multiple factors that sustain the status quo. He shows that, contrary to frequent announcements of breakthroughs, our current cancer control model cannot eradicate most cancers and the reasons why. Significantly, this book also delineates a way forward via a shift from the discredited cell-kill approach of the past to an integrated, evidence-driven cancer control paradigm based on prevention, early diagnosis, and pharmacogenomics. The author's views are based on data published in mainstream scientific journals and other reliable references, 432 of which are cited.",N/A,N/A,en
Treatment and Prevention of Malaria,"['Henry M. Staines', 'Sanjeev Krishna']",2012-01-06,['Medical'],"Malaria has defeated previous efforts at eradication and remains a massive global public health problem despite being readily preventable and treatable. It is a devastating disease that also extracts huge economic costs from the poorest countries in endemic regions. Starting with an overview of the disease and its current political, financial and technical context, this Milestones in Drug Therapy volume describes the history, chemistry, mechanisms of action and resistance, preclinical and clinical use, pharmacokinetics and safety and tolerability of the current range of antimalarial drugs. There is particular emphasis on artemisinins and related peroxides, as these drugs have now become the frontline treatment for malaria. Next generation antimalarials, molecular markers for detecting resistance, the importance of diagnostics and disease prevention are also covered in detail.",N/A,N/A,en
Sacred Rights,['Daniel C. Maguire'],2003,['Medical'],"Contains twelve essays in which religious scholars examine the issues of contraception and abortion as seen from various faith traditions, and present alternative interpretations of restrictive views on family planning.",N/A,N/A,en
"The Concepts of Illness, Disease and Morbus",['F. Kraupl Taylor'],1979-06-07,['Medical'],"Dr Taylor's book analyses the disease concept as it developed in medical history and seeks to clarify it with the help of concepts largely derived from logical class theories. A solution is proposed to the problem of how to distinguish between the class of 'patients' and the class of 'healthy persons' which corresponds to the actual diagnostic practices of doctors. The earliest theories of disease postulated concrete entities which exist independently of the body. The notion of disease entity has lost its original ontological connotations and instead its important feature has become the possession of a unitary and self-contained character. Dr Taylor describes the modern theories as essentially 'reactive' in character, that is the symptoms of a disease are the bodily reactions to the 'noxae'. After seeing the subject in its historical content, Dr Taylor goes on to discuss in detail the notion of the classification of diseases, making extensive use of modern views on the logic of classes.",N/A,N/A,en
Reenchanted Science,['Anne Harrington'],1999-01-31,['Health & Fitness'],"By the 1920s in Central Europe, it had become a truism among intellectuals that natural science had ""disenchanted"" the world, and in particular had reduced humans to mere mechanisms, devoid of higher purpose. But could a new science of ""wholeness"" heal what the old science of the ""machine"" had wrought? Some contemporary scientists thought it could. These years saw the spread of a new, ""holistic"" science designed to nourish the heart as well as the head, to ""reenchant"" even as it explained. Critics since have linked this holism to a German irrationalism that is supposed to have paved the way to Nazism. In a penetrating analysis of this science, Anne Harrington shows that in fact the story of holism in Germany is a politically heterogeneous story with multiple endings. Its alliances with Nazism were not inevitable, but resulted from reorganizational processes that ultimately brought commitments to wholeness and race, healing and death into a common framework. Before 1933, holistic science was a uniquely authoritative voice in cultural debates on the costs of modernization. It attracted not only scientists with Nazi sympathies but also moderates and leftists, some of whom left enduring humanistic legacies. Neither a ""reduction"" of science to its politics, nor a vision in which the sociocultural environment is a backdrop to the ""internal"" work of science, this story instead emphasizes how metaphor and imagery allow science to engage ""real"" phenomena of the laboratory in ways that are richly generative of human meanings and porous to the social and political imperatives of the hour.",N/A,N/A,en
Foundations of Biophilosophy,"['Martin Mahner', 'Mario Bunge']",2013-03-14,['Science'],"Over the past three decades, the philosophy of biology has emerged from the shadow of the philosophy of physics to become a respectable and thriving philosophical subdiscipline. The authors take a fresh look at the life sciences and the philosophy of biology from a strictly realist and emergentist-naturalist perspective. They outline a unified and science-oriented philosophical framework that enables the clarification of many foundational and philosophical issues in biology. This book will be of interest both to life scientists and philosophers.",N/A,N/A,en
Medical Lexicon,['Robley Dunglison'],1853,['Medicine'],N/A,N/A,N/A,en
The Aphorisms of Hippocrates,['Hipócrates'],2015-02,['Medical'],"Hippocrates, distinguished by the titles of Father of Medicine and Prince of Physicians, was born in Greece, 460 years before the Christian era. Here, we present the aphorisms of Hippocrates from the latin version of Verhoofd, with a literal translation on the opposite page and explanatory notes. This work is a book of reference to the medical student.",N/A,N/A,en
Mims' Medical Microbiology,"['Richard V. Goering', 'Cedric A. Mims']",2008,['Medical'],"Offers coverage of microbiology and basic immunology, through a clinically relevant, systems-based approach. This title contains nearly 500 illustrations and emphasises the microbiology of the agents causing disease, and the diseases affecting individual organ systems.",N/A,N/A,en
Alchemy Tried in the Fire,"['William R. Newman', 'Lawrence M. Principe']",2002-12-30,['History'],"Using, as their guide, the previously misunderstood interactions between Robert Boyle, widely known as 'the father of chemistry', and George Starkey, an alchemist and the most prominent American scientific writer before Benjamin Franklin as their guide, Newman and Principe reveal the hitherto hidden laboratory operations of a famous alchemist and argue that many of the principles and practices characteristic of modern chemistry derive from alchemy.",N/A,N/A,en
The Principles and Practice of Medicine,['Sir William Osler'],1925,['Diseases'],N/A,N/A,N/A,en
Tropical Diseases,['Sir Patrick Manson'],1984,['Tropical medicine'],N/A,N/A,N/A,en
