title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Meditation on Emptiness,['Jeffrey Hopkins'],1983,"['Body, Mind & Spirit']",Comprehensive and authoritative title on the key teaching of the Buddha.,N/A,N/A,en
Meditation Now,['S.N. Goenka'],2012-11-08,"['Body, Mind & Spirit']","Celebrated Vipassana meditation teacher S. N. Goenka interprets the Buddha’s teachings in this collection of lectures, essays, and interviews. These writings provide insights into how one of the most influential contemporary Buddhist practitioners defines Vipassana and how he uses it to achieve peace of mind and lead a happy, useful life. Included are transcripts of recent talks given at the World Economic Forum in Davos and at the Millennium World Peace Summit, and a previously unpublished interview conducted by Alan AtKisson, former editor of In Context magazine.",N/A,N/A,en
Of the Imitation of Christ,['Imitatio Christi'],1844,['Meditation'],N/A,N/A,N/A,en
Peace is Every Step,['Thich Nhat Hanh'],1995,"['Body, Mind & Spirit']","Lucidly and beautifully written, PEACE IN EVERY STEP contains commentaries and meditations, personal anecdotes and stories from Nhat Hanh's experiences as a peace activist, teacher, and community leader. It begins where the reader already is - in the kitc",N/A,N/A,en
Yoga,['Mircea Eliade'],2009-07-26,['Health & Fitness'],"First published in English in 1958, the author lays the groundwork for a Western understanding of Yoga, providing a comprehensive survey of Yoga in theory and practice from its earliest antecedents in the Vedas through the twentieth century.",N/A,N/A,en
Who Ordered This Truckload of Dung?,['Brahm'],2005-08-30,['Humor'],"“Laugh your way to enlightenment” with this inspirational and light-hearted collection of stories from beloved Buddhist teacher Ajahn Brahm. The 108 pieces in the international bestseller Who Ordered This Truckload of Dung? offer thoughtful commentary on everything from love and commitment to fear and pain. Drawing from his own life experience, as well as traditional Buddhist folk tales, author Ajahn Brahm uses over thirty years of spiritual growth as a monk to spin delightful tales that can be enjoyed in silence or read aloud to friends and family. Featuring titles such as “How to Be a VIP” and “The Worm and His Lovely Pile of Dung,” these wry and witty stories provide playful, pithy takes on the basic building blocks of everyday happiness. Suitable for children, adults, and anyone in between, this eloquent volume delivers insight and inspiration in a humorous and engaging voice. Features of this book: A collection of stories full of humor and wisdom Useful for stress relief and handling life’s ups and downs Perfect for gifting Written in easy-to-understand language Delightful for Buddhists and non-Buddhists alike This book contains both encouraging, uplifting stories and thoughtful teachings in Ajahn Brahm’s characteristic joyful style. Ajahn Brahm helps us navigate all of life’s difficulties and beautiful moments. Who Ordered this Truckload of Dung? is certain to be an enjoyable addition to any individual or family’s most treasured collection.",N/A,N/A,en
Waking Up,['Sam Harris'],2015-06-16,"['Body, Mind & Spirit']","Spirituality.The search for happiness --Religion, East and West --Mindfulness --The truth of suffering --Enlightenment --The mystery of consciousness.The mind divided --Structure and function --Are our minds already split? --Conscious and unconscious processing in the brain --Consciousness is what matters --The riddle of the self.What are we calling ""I""? --Consciousness without self --Lost in thought --The challenge of studying the self --Penetrating the illusion --Meditation.Gradual versus sudden realization --Dzogchen: taking the goal as the path --Having no head --The paradox of acceptance --Gurus, death, drugs, and other puzzles.Mind on the brink of death --The spiritual uses of pharmacology.",N/A,N/A,en
"Mindfulness, Bliss, and Beyond",['Brahm'],2006-08-11,"['Body, Mind & Spirit']","""Better than sex!"" That's how Ajahn Brahm describes meditation, and his enthusiasm is contagious. A self-described meditation junkie, Brahm, the author of the popular ""Who Ordered This Truckload of Dung?, "" shares his recipe for bliss in this practical, energizing new book. ""The Meditator's Handbook"" is a complete, stem-to-stern guide to the subject, with precise step-by-step instructions for traversing the stages of practice and overcoming obstacles. Drawing on his working-class roots, Brahm explains difficult concepts clearly and easily, so that beginners understand them, while those who already meditate gain new insight. Full of surprises, delightfully goofy humor, and entertaining stories that inspire, instruct, and illuminate, ""The Meditator's Handbook"" encourages novices and gives a shot in the arm to more experienced practitioners.",N/A,N/A,en
Full Catastrophe Living,['Jon Kabat-Zinn'],1990,['Psychology'],"An expert in the field of stress reduction introduces a practical program of mindfulness meditation techniques, explaining how a moment-to-moment awareness can help one cope with both chronic illness and day-to-day tension and stress",N/A,N/A,en
"Gāyatrī, the Highest Meditation",['Keshavadas (Satguru Sant)'],1990,['Health & Fitness'],"The highest Meditationdescribes the Gayatri, the mantra which helps the higher man to be born in us all. Sant Keshavadas profoundly tells the meaning and many facets (water rites, sitting posture, time, atmosphere, breath controle, pronunciation of sacred sounds) of this ancient meditation. there are few books available on the Gayatri meditationin English. Professor T.K.Venkateswaran of the Department of Religious Studies, University of Detroit, praises Sant Keshavadas Work and States that if the Gayatri Mantra is understood, repeated, and meditated upon, in the manner in which it is presented in this book, it will illumine the intellect and produce the highest bliss, creativity, and success in the world.",4.5,N/A,en
