title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Ulysses,['James Joyce'],2008-04-17,['Fiction'],"A day in the life of Leopold Bloom, whose odyssey through the streets of turn-of-the-century Dublin leads him through trials that parallel those of Ulysses on his epic journey home.",N/A,N/A,en
The Fortress,['Meša Selimović'],1999,['Fiction'],"The Fortress is one of the most significant and fascinating novels to come out of the former Yugoslavia. Ahmet Shabo returns home to eighteenth-century Sarajevo from the war in Russia, numbed by the death in battle or suicide of nearly his entire military unit. In time he overcomes the anguish of war, only to find that he has emerged a reflective and contemplative man in a society that does not value, and will not tolerate, the subversive implications of these qualities.",5,N/A,en
No Longer Human,['太宰治'],1958,['Fiction'],A young man describes his torment as he struggles to reconcile the diverse influences of Western culture and the traditions of his own Japanese heritage.,4.5,N/A,en
Masculine Domination,['Pierre Bourdieu'],2001,['Social Science'],"Translation, from the French, of: La domination masculine.",5,N/A,en
Ulysses,['James Joyce'],1997-10-28,['Fiction'],Ulysses has enough verbal splendor to furnish a legion of novels.,N/A,N/A,en
The Picture of Dorian Gray,['Oscar Wilde'],2007,['Readers (Adult)'],N/A,N/A,N/A,en
Pan,['Knut Hamsun'],2023,['Fiction'],"In his 1894 breakthrough novel, Pan, Knut Hamsun provides a lyrical, yet disturbing analysis of love and the dark recesses of the human psyche. Lieutenant Thomas Glahn roams Norway's northernmost wilds alone, save only for his faithful dog, Aesop. Living out of a rudimentary hut at the edge of a vast forest, Glahn pursues his solitary existence, hunting and fishing, until the strange girl Edvarda comes into his life. Edvarda is the daughter of a merchant in a nearby town and both are strongly attracted to one another, but neither understands the other's love. Glahn becomes overwhelmed by the society of people where Edvarda lives and suffers a series of tragedies during their time together.A new translation by Terence Cave of Hamsun's 1894 novel restores the power and virtuosity of Hamsun's original and includes an illuminating introduction and explanatory notes.",N/A,N/A,en
The Posthumous Papers of the Pickwick Club,['Charles Dickens'],1838,['England'],N/A,N/A,N/A,en
El retrato de Dorian Gray,['Oscar Wilde'],2003-10-31,['Aging'],"Un joven llamado Dorian Gray es el tema de una pintura por el artista Basil Hallward. Basil queda enormemente impresionado por la belleza física de Dorian al punto de enamorarse y creer que le pertenece. Dorian Gray, está convencido de que vale la pena perseguir la belleza y la juventud pero desea que su retrato muestre edad y los efectos del tiempo en lugar de a sí mismo.",N/A,N/A,es
The Pickwick Papers Volume 1 of 4 (EasyRead Super Large 18pt Edition),['Charles Dickens'],1961,[],N/A,N/A,N/A,en
Sexual Behavior in the Human Male,"['Alfred C. Kinsey', 'Wardell B. Pomeroy', 'Clyde E. Martin']",2023-06-06,['Psychology'],"When first published in 1948, Sexual Behavior in the Human Male encountered a storm of condemnation and acclaim. By unshackling sex research from flawed founding constraints, Kinsey revolutionized it. In this 75th anniversary edition, featuring a new foreword from Judith A. Allen, Sexual Behavior in the Human Male revisits the work of Alfred C. Kinsey and his fellow researchers as they sought to accumulate an objective body of facts regarding sex. Originally an entomologist, Kinsey applied his fieldwork taxonomy methods to human sexuality. With 5,300 research subjects, his undertaking was the largest sex research project of its time, transforming the field. With scientific exactness, Kinsey describes the methodology, sampling, coding, interviewing, and statistical analyses, and then examines factors and sources of sexual outlet. Told through men's experiences of sexuality and reproduction, Sexual Behavior in the Human Male: Anniversary Edition is a remarkable rumination on American society and science in the early 20th century.",N/A,N/A,en
Confessions of Zeno,['Italo Svevo'],1962,['Italian fiction'],"Italo Svevo was born in Trieste in 1861; his mother was Italian and his father German-Austrian. His work attracted no attention until the publication of this novel in 1923, when his qualities began to be widely acclaimed. It is the story of a well-to-do man, his courtship and marriage, his mistress, his business dealings with his brother-in-law, and his psycho-analysis, in which Svevo combines an ironic method with subtle characterisation and a lively sense of narrative.",N/A,N/A,en
