title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Weather Book,['Robert Fitzroy'],1863,['Clouds'],N/A,N/A,N/A,en
"Atmosphere, Weather, and Climate","['Roger Graham Barry', 'Richard J. Chorley']",2003,['Nature'],"Atmosphere, Weather and Climateis the essential introduction to weather processes and climatic conditions around the world, their observed variability and changes, and projected future trends. Extensively revised and updated, this eighth edition retains its popular tried and tested structure while incorporating recent advances in the field. From clear explanations of the basic physical and chemical principles of the atmosphere, to descriptions of regional climates and their changes, Atmosphere, Weather and Climatepresents a comprehensive coverage of global meteorology and climatology.",N/A,N/A,en
Natural Questions,['Lucius Annaeus Seneca'],2014-08-20,['Literary Collections'],"In 'Natural Questions' Seneca expounds & comments on the natural sciences as understood in his day, offering insights to ancient philosophical & scientific approaches to the physical world, as well as vivid evocations of the grandeur, beauty & terror of nature.",N/A,N/A,en
Weather Cycles,['William James Burroughs'],2003-12-24,['Nature'],"This completely updated new edition of Weather Cycles: Real or Imaginary? explores in detail the unresolved debate on the existence of weather cycles. The book examines the competing arguments for observed effects being due to natural variability, solar activity and the Earth's orbital parameters. It provides a different perspective on one of the most difficult questions in the current global warming debate: namely, just how much of the recent temperature rise can be attributed to natural causes? Only by understanding how the climate can change of its own accord, and whether observed shifts are part of a set of predictable patterns, will it be possible to reach a reliable judgement on how much impact human activities are having. This book examines the complex analysis required to assess the evidence for cycles with a minimum of mathematics. This comprehensive and balanced account will appeal to the student and expert alike.",N/A,N/A,en
The Gentleman's Magazine,[],1737,['Books'],"Contains opinions and comment on other currently published newspapers and magazines, a selection of poetry, essays, historical events, voyages, news (foreign and domestic) including news of North America, a register of the month's new publications, a calendar of forthcoming trade fairs, a summary of monthly events, vital statistics (births, deaths, marriages), preferments, commodity prices. Samuel Johnson contributed parliamentary reports as ""Debates of the Senate of Magna Lilliputia.""",N/A,N/A,en
Meteorological Observations and Essays,['John Dalton'],1834,['Cumbria (England)'],N/A,N/A,N/A,en
Weekly Weather and Crop Bulletin,[],1993,['Crops and climate'],N/A,N/A,N/A,en
Weekly Weather and Crop Bulletin,[],1994,['Crops and climate'],N/A,N/A,N/A,en
Physics of the Air,['William Jackson Humphreys'],1964,['Atmosphere'],Mechanics and thermodynamics of the atmosphere; Atmospheric electricity and auroras; Meteorological acoustics; Atmospheric optics; Factors of climatic control.,N/A,N/A,en
Peri ouranou,"['Aristotle', 'Panos P. Panagiōtou']",1989,"['Astronomy, Greek']",N/A,N/A,N/A,el
Practical Exercises in Elementary Meteorology,['Robert DeCourcy Ward'],1899,['Meteorology'],N/A,N/A,N/A,en
The Book Of The Damned (Fortean writings),['Charles Fort'],1941,['Astronomy'],"""The original and greatest compilation of a thousand attested phenomena that Science cannot verify-- and deliberately ignores""--Cover.",N/A,N/A,en
Weekly Weather and Crop Bulletin,[],1993,['Crops and climate'],N/A,N/A,N/A,en
The Physical Geography of the Sea,['Matthew Fontaine Maury'],1883,['Marine meteorology'],"""The department of the Physical Geography of the Sea is a new field of research : there is great activity in it ; and it is the aim of the author of this work to keep its readers posted up with the improvements, the developments, and the contributions that are made in this interesting field from time to time.""--xi.",N/A,N/A,en
The Story of the Weather Simply Told for General Readers,['George Frederick Chambers'],1897,['Meteorology'],N/A,N/A,N/A,en
Dynamics of the Atmosphere,"['Wilford Zdunkowski', 'Andreas Bott']",2003-04-10,['Nature'],"Dynamics of the Atmosphere consists of two parts: the first presenting the mathematical tools needed for a thorough understanding of the topics covered in the second part of the book. The second part begins with the derivation of the equation describing the atmospheric motion on the rotating earth. Subjects tackled in subsequent chapters include kinematics of the atmosphere (including vorticity and circulation theorems), wave motion in the atmosphere, inertial and dynamic stability, and turbulent systems in the atmosphere. Finally, newer methods of weather prediction, such as the spectral technique and the stochastic dynamic method, are introduced in order to demonstrate their potential for extending the forecasting range. Complete with numerous exercise sets and solutions, this textbook has been written for advanced undergraduate and graduate students of meteorology and other related sciences. It may also be used as a reference source by professional meteorologists and researchers in atmospheric science.",N/A,N/A,en
The Atmosphere,"['Frederick K. Lutgens', 'Edward J. Tarbuck']",1982,['Science'],"Using everyday, easy-to-grasp examples to reinforce basic concepts, this highly regarded handbook remains the standard introduction to meteorology and the atmosphere - components, problems, and applications. Includes the most up-to-date coverage of topics such as: ozone depletion; the ultraviolet index; temperature; dew point temperature and orographic effects; wildfires and weather; thunderstorms and lightning; the record-breaking Florida hurricane season; effects of air pollution, and more. Incorporates top-quality visuals, including new satellite images and illustrations by the award-winning Dennis Tasa, to demonstrate the highly visual nature of meteorology. Uses a largely non-technical writing style to help readers grasp important concepts. For those interested in learning more about meteorology.",N/A,N/A,en
Chemistry of the Climate System,['Detlev Möller'],2017-06-26,['Science'],"""One can see that Moller did an enormous piece of work. HIs efforts produced an important and wonderful result. I Consider this volume as one of the best books in the field, if not the best one. MOller's approach is unique in such a sense that he places atmospheric (and environmental) chemistry in the frame of the climate system. AS Paul Crutzen notes in the Preface, it is also unusual that he treats the history of all the problems discussed. THe structure of the book is also particular. SO, the author is congratulated for preparing this nice book.""Ern? Mészáros, Air Chemistry Group of the Hungarian Academy of Sciences, Prof. Emer. UNiversity of Veszprém ""Even at the first glance one can see that the book ""Chemistry of the Climate System"" represents an enormous piece of work. I Think that Detlev Moller s efforts produced an important and wonderful result. I Consider this volume as one of the best books in the field, if not the best one. THe approach is unique in such a sense that he places atmospheric (and environmental) chemistry in the frame of the climate system. AS Paul Crutzen notes in the Preface, it is also unusual that he treats the history of all the problems discussed. THe structure of the book is also particular. SO, I congratulate for preparing this nice book."" Professor Erno Mészáros (Academy of Sciences of Hungary)",N/A,N/A,en
Weekly Weather and Crop Bulletin,[],1971,['Crops and climate'],N/A,N/A,N/A,en
Discourse on Method,['René Descartes'],2004,['Philosophy'],"René Descartes was born in La Haye, known today as La Haye-Descartes in 1596. After studying classical literature, history, rhetoric, and philosophy at the collège des Jésuites de la Flèche, he obtained his law degree from the University of Poitiers. In 1618, he enrolled in the Dutch army commanded by the prince Maurice of Nassau. Upon invitation by Queen Christina of Sweden, Descartes moved to Sweden in 1649 in order to tutor her in philosophy. Shortly thereafter he became ill with pneumonia and died in early 1650.",N/A,N/A,en
McGraw-Hill Dictionary of Earth Science,['Sybil P. Parker'],1997,['Juvenile Nonfiction'],"Includes more than 8,000 essential terms and definitions in the earth sciences, this complete and handy source for the latest terminology covers the fields of climatology, geochemistry, geodesy, geography, hydrology, oceanography, and palaeontology.",N/A,N/A,en
Meteorology Today,['C. Donald Ahrens'],1985,['Science'],"METEOROLOGY TODAY is an easy-to-understand meteorology textbook that combines clear and inviting narrative with learning aids, such as in-chapter reviews and end-of-chapter exercises that will help you master the material.",N/A,N/A,en
Fundamentals of Weather and Climate,['Robin McIlveen'],2010-05-27,['Mathematics'],Originally published in 1986 as Basic meteorology: a physical outline.,N/A,N/A,en
The Everything KIDS' Weather Book,['Joseph Snedeker'],2012-10-18,['Juvenile Nonfiction'],"""Gives you an exciting look into all the action that happens in the sky""--P. [4] of cover.",N/A,N/A,en
An Introduction to Atmospheric Gravity Waves,['C. J. Nappo'],2002-08-26,['Mathematics'],"CD-ROM contains: 10 computer programs written in FORTRAN77, and 6 ASCII data sets.",N/A,N/A,en
The History of Meteorology to 1800,['H. Howard Frisinger'],1977,['Science'],N/A,N/A,N/A,en
Vegetation of the Earth and Ecological Systems of the Geo-biosphere,['Heinrich Walter'],1985-07,['Gardening'],"We shall limit our observations to the conditions in natural ecosystems, since it would be beyond the scope of this book to embark upon a consideration of secondary, man-made ecosystems. 2. Classification of the Geo-biosphere into Zonobiomes The biosphere is the thin layer of the earth's surface to which the phenomena connected with living matter are confined. On land, this comprises the lowest layer of the atmosphere permanently inhabited by living organisms and into which plants extend, as well as the root-containing portion of the lithosphere, which we term the soil. Living organisms are also found in all bodies of water, to the very depths of the oceans. In a watery medium, however, cycling of material is achieved by means other than those on land, and the organisms (plankton) are so different that aquatic ecosystems have to be dealt with separately. The biosphere is therefore subdivided into (a) the geo-biosphere comprising terrestrial ecosystems, and (b) the hydro-biosphere, comprising aquatic ecosystems, which is the field of hydrobiologists (oceanographers and limnologists) . Our studies are confined to the geo-biosphere (Walter 1976), which constitutes the habitat of man and is, therefore, of special interest. The prevailing climate, being the primary independent factor in the environment, can be used as a basis for further subdivision of the geo-biosphere since the formation of soil and type of vegetation are dependent upon it (see p. 3), and it has not yet been substantially influenced by man.",N/A,N/A,en
Understanding Weather Patterns,['Nancy Dickmann'],2021,['Juvenile Nonfiction'],"""Weather is always changing. It can be unpredictable. But even with all the changes, some patterns can be found. Learn how meteorologists use tools and systems to measure and predict these patterns. Find out how these patterns influence weather around the world""--",N/A,N/A,en
Fundamentals of Cartography,"['R. P. Misra', 'Rameshwar Prasad Misra', 'A. Ramesh']",1989,['Social Science'],N/A,5,N/A,en
An Introduction to Climate,['Glenn Thomas Trewartha'],1968,['Climatology'],"The earth's ocean of air; The elements and controls of climate; Solar radiation; Temperature of the atmosphere; Wind and pressure systems; Atmospheric moisture and precipitation; Air masses fronts; Atmospheric disturbances and their associated weather; The world pattern of climate: climatic types and their distribution; Classification of climates and the world pattern; Tropical humid climates; Subtropical climates; Temperature climates; Boreal, polar and highland climates; Dry climates.",N/A,N/A,en
New Lands Within the Arctic Circle,['Julius Payer'],1876,['Arctic regions'],Payer and Karl Weyprecht were the commanders of the Austro-Hungarian North-Polar Expedition described here; also includes material on a preliminary expedition by Payer and Weyprecht to the Barents Sea in the summer of 1871.,N/A,N/A,en
The weather book : a manual of practical meteorology,['Robert Fitzroy'],1863,['Meteorology'],N/A,N/A,N/A,en
The London Eye Mystery,['Siobhan Dowd'],2008,['Juvenile Fiction'],"When Ted and Kat's cousin Salim disappears from the London Eye ferris wheel, the two siblings must work together--Ted with his brain that is ""wired differently"" and impatient Kat--to try to solve the mystery of what happened to Salim.",3,N/A,en
Meteorology,['Aristotle'],2000,['Meteorology'],N/A,N/A,N/A,en
Meteorology Today,['C. Donald Ahrens'],2003,['Meteorology'],"This undergraduate textbook describes the composition and origin of the atmosphere; explains the principles behind temperature, moisture, precipitation, and winds; and walks through the development of air masses, cyclones, severe storms, air pollution, and climate change. The seventh edition adds 55 color photographs, updates statistics, and adds a",N/A,N/A,en
Elements of Meteorology,"['Albert Miller', 'Jack C. Thompson']",1975,['Science'],The structure of the atmosphere; Atmospheric measurements; The energy of the atmosphere; Atmospheric motions: causes; atmospheric motions: Circulation patterns; Atmospheric motions: Cyclonic vortices; Climate; Weather forecasting; Applications of meteorology; Modification of weather and climate.,N/A,N/A,en
Essentials of Meteorology,['C. Donald Ahrens'],2005,['Atmosphere'],"This updated and enhanced Fourth Edition of ESSENTIALS OF METEOROLOGY is written by the most widely read, trusted author in introductory meteorology. Ahrens' ability to explain relatively complicated ideas in a student-friendly, manageable fashion allows even non-science students to visualize the principles of meteorology. Introductory stories at the beginning of each chapter draw students naturally into the discussion while ""Did You Know?"" sections highlight interesting weather facts and recent meteorological events. Updated material in this edition includes new Weather Watch and Focus boxes, as well as updated art, maps, and figures. The package of teaching and learning tools to accompany this text will now include course management, and a FREE, brand-new, student tutorial system - MeteorologyNow. MeteorologyNow is Web-based, assessment-driven, completely flexible, and contains a wealth of book-specific interactivities. It also offers a personalized learning plan based on each student's assessment results, helping the student focus on the concepts they don't yet understand. This complete teaching package provides each student with fun, interactive learning opportunities and an even greater chance for success.",N/A,N/A,en
S.O.S. Meteors,['Edgar-Pierre Jacobs'],2009,['Comics & Graphic Novels'],"When Professor Philip Mortimer goes to France to assist in solving drastic changes in the weather, he vanishes while investigating the disappearance of his taxi driver, and Captain Francis Blake of MI5 must solve the case before disaster strikes.",N/A,N/A,en
Air Apparent,['Mark Monmonier'],2000-11-15,['Science'],"Traces the development of the weather map and its ability to make the atmosphere visible and predictable, and examines the interaction and relationship between technology and weather forecasting.",N/A,N/A,en
Dissertations on Different Subjects in Natural Philosophy,['James Hutton'],1792,['Chemistry'],N/A,N/A,N/A,en
Glossary of Meteorology,"['Todd S. Glickman', 'American Meteorological Society']",2000,['Science'],"This electronic version of the 2nd Edition of the Glossary of Meteorology is meant to be a ""living document"" to be periodically updated as terms in our field evolve. Has over 12,000 meteorological terms.",N/A,N/A,en
The Book of the Damned,['Charles Fort'],1919,['Astronomy'],N/A,N/A,N/A,en
The Invention of Clouds,['Richard Hamblyn'],2002-08-03,['Biography & Autobiography'],"Presents the story of Luke Howard, an ameteur meterologist, and his groundbreaking work that began with naming and classifying clouds.",4,N/A,en
Scientific Writings of Joseph Henry,['Joseph Henry'],1886,['Meteorology'],N/A,N/A,N/A,en
The Aerial World,['Georg Hartwig'],1881,['Aeronautics'],N/A,N/A,N/A,en
Scientific Writings,['Joseph Henry'],1886,['Meteorology'],N/A,N/A,N/A,en
A History of the Theories of Rain and Other Forms of Precipitation,['William Edgar Knowles Middleton'],1965,['Meteorology'],N/A,N/A,N/A,en
Meteorology,['Charles Fitzhugh Talman'],1922,['Meteorology'],N/A,N/A,N/A,en
Weather,"['Dan Green', 'Simon Basher']",2012,['Climatology'],Describes the forces at work that make up the wild world of weather.,N/A,N/A,en
Meteorology for Pilots,['K. M. Wickson'],1992,['Airplanes'],N/A,N/A,N/A,en
A Short Introduction to Climate Change,['R. A. Eggleton'],2013,['Business & Economics'],"This book provides a comprehensive, balanced and reader-friendly account of the developments in climate science over the past 250 years.",N/A,N/A,en
Cloud Dynamics,['Robert A. Houze'],1993,['Nature'],"Clouds play a critical role in the Earth's climate, general atmospheric circulation, and global water balance. Clouds are essential elements in mesoscale meteorology, atmospheric chemistry, air pollution, atmosphericradiation, and weather forecasting, and thus must be understood by any student or researcher in the atmospheric sciences. Cloud Dynamics provides a skillful and comprehensive examination of the nature of clouds--what they look like and why, how scientists observe them, and the basic dynamics and physics that underlie them. The book describes the mechanics governing each type of cloud that occurs in Earth's atmosphere, and the organization of various types of clouds in larger weather systems such as fronts, thunderstorms, and hurricanes.This book is aimed specifically at graduate students, advanced undergraduates, practicing researchers either already in atmospheric science or moving in from a related scientific field, and operational meteorologists. Some prior knowledge of atmospheric dynamics and physics is helpful, but a thorough overview of the necessary prerequisites is supplied. Key Features * Key Highlights of This Text * Provides a complete treatment of clouds integrating the analysis of air motions with cloud structure, microphysics, and precipitation mechanics * Describes and explains the basic types of clouds and cloud systems that occur in the atmosphere-fog, stratus, stratocumulus, altocumulus, altostratus, cirrus, thunderstorms, tornadoes, waterspouts, orographically induced clouds, mesoscale convection complexes, hurricanes, fronts, and extratropical cyclones * Presents a photographic guide, presented in the first chapter, linking the examination of each type of cloud with an image to enhance visual retention and understanding * Summarizes the fundamentals, both observational and theoretical, of atmospheric dynamics, thermodynamics, cloud microphysics, and radar meteorology, allowing each type of cloud to be examined in depth * Integrates the latest field observations, numerical model simulations, and theory * Supplies a theoretical treatment suitable for the advanced undergraduate or graduate level",N/A,N/A,en
The Cyclones of the Far East,['José Algué'],1904,['Cyclones'],N/A,N/A,N/A,en
Meteorology,"['Eric William Danielson', 'James Levin', 'Elliot Abrams']",2003,['Science'],"""Meteorology, 2/e is an introduction to atmospheric science for science and non-science majors, covering all topics expected of an introductory text and organized and presented in a way that offers the instructor considerable flexibility regarding topic sequence. The text follows a unique investigative approach intended to teach the scientific method as well as meteorology. The authors have written the text to encourage this approach to learning: they pose numerous questions to the student, develop ideas bottom-up rather than explain phenomena from general principles, and attempt to assist each student in constructing his or her own map of meteorology.",N/A,N/A,en
Principles of Meteorological Analysis,['Walter J. Saucier'],1955,['Science'],"Highly respected classic reviews atomospheric variables, hydrostatics, static stability. Detailed discussions of various analyses: scalar, cross-section, isobaric, isentropic, much more. Hundreds of detailed graphs, charts enhance text geared to intermediate-level meteorology students.",N/A,N/A,en
Meteorology for Scientists and Engineers,['Roland B. Stull'],2000,['Nature'],P. 14.,4.5,N/A,en
The Book of the Damned,['Charles Fort'],2008,"['Body, Mind & Spirit']","This work focuses on paranormal activity including UFOs, strange weather patterns, unusual inorganic materials from the sky, the strange disappearances of people under odd circumstances, and the existence of mythological creatures studied in cryptozoology.",N/A,N/A,en
Report,['Canada. Meteorological Branch'],1895,['Meteorology'],N/A,N/A,N/A,en
"Science and Civilisation in China: Volume 3, Mathematics and the Sciences of the Heavens and the Earth",['Joseph Needham'],1959,['History'],"After two volumes mainly introductory, Dr Needham now embarks upon his systematic study of the development of the natural sciences in China. The Sciences of the Earth follow: geography and cartography, geology, seismology and mineralogy. Dr Needham distinguishes parallel traditions of scientific cartography and religious cosmography in East and West, discussing orbocentric wheel-maps, the origins of the rectangular grid system, sailing charts and relief maps, Chinese survey methods, and the impact of Renaissance cartography on the East. Finally-and here Dr Needham's work has no Western predecessors-there are full accounts of the Chinese contribution to geology and mineralogy.",2.5,N/A,en
"Atmosphere, Weather and Climate","['Roger Graham Barry', 'Richard J. Chorley']",1972,['Meteorology'],N/A,N/A,N/A,en
"Tables, Meteorological and Physical",['Arnold Guyot'],1858,['Meteorology'],N/A,N/A,N/A,en
