title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Control of Innate and Adaptive Immune Responses during Infectious Diseases,['Julio Aliberti'],2011-09-21,['Medical'],"Upon infection the host needs to mount vigorous immune response against pathogen in order to successfully control its replication. However, once the infectious agent is controlled or eliminated, host cells need to signal the immune system to slow or cease its activities. While vast knowledge has been accumulated through the years on the mechanisms involved in the initiation and effector phases of the immune responses, the pathways triggered in order to modulate or end innate and acquired immunity are becoming more evident as evidence for its relevance comes to surface. Due to its biological power, evidence has surfaced indicating that eventually pathogens may take advantage of such regulatory pathways in order to escape effector mechanisms and progress to persistence. This book will discuss several cellular pathways involved in controlling immune response in the context of infectious diseases, their biological consequences and potential ""hijack"" of these pathways for the benefit of pathogen leading towards pathogen persistence as opposed to clearance.",N/A,N/A,en
Oxford Handbook of Infectious Diseases and Microbiology,"['Estée Török', 'Ed Moran', 'Fiona J. Cooke']",2017,['Medical'],"This handbook takes an integrated approach to both infectious disease and microbiology. Referenced to national frameworks and current legislation, it covers basic principles of bacteriology and virology, specific information on diseases and conditions, and material on 'hot topics' such as bioterrorism and preventative medicine.",N/A,N/A,en
The Pasteurization of France,['Bruno Latour'],1993-10-15,['History'],Describes Pasteur's roles in improving health practices in France and identifies the other forces that helped implement his ideas about health care.,N/A,N/A,en
Essentials of Food Science,"['Vickie A. Vaclavik', 'Elizabeth W. Christian', 'Tad Campbell']",2020-11-27,['Technology & Engineering'],"The fifth edition of the Essential of Food Science text continues its approach of presenting the essential information of food chemistry, food technology, and food preparations while providing a single source of information for the non-major food science student. This latest edition includes new discussions of food quality and new presentations of information around biotechnology and genetically modified foods. Also new in this edition is a discussion of the Food Safety Modernization Act (FSMA), a comparison chart for Halal and Kosher foods and introductions to newly popular products like pea starchand the various plant-based meat analogues that are now available commercially and for household use. Each chapter ends with a glossary of terms, references, and a bibliography. The popular “Culinary Alert!” features are scattered throughout the text and provide suggestions for the reader to easily apply the information in the text to his or her cooking application. Appendices at the end of the book include a variety of current topics such as Processed Foods, Biotechnology, Genetically Modified Foods, Functional Foods, Nutraceuticals, Phytochemicals, Medical Foods, and a Brief History of Foods Guides including USDA Choosemyplate.gov. V.A. Vaclavik, Ph.D., RD. has taught classes in nutrition, food science and management and culinary arts for over 25 years at the college level in Dallas, Texas. She is a graduate of Cornell University, human nutrition and food; Purdue University, restaurant, hotel, institution management; and Texas Woman’s University, institution management and food science. Elizabeth Christian, Ph.D. has been an adjunct faculty member at Texas Woman’s University for more than 25 years, teaching both face-to-face and online classes in the Nutrition and Food Science department. She obtained her B.S. and her PhD. In Food Science from Leeds University, England, and then worked as a research scientist at the Hannah Dairy Research Institute in Scotland for Five years before moving to the United States. Tad Campbell, MCN, RDN, LD is a clinical instructor at The University of Texas Southwestern Medical Center at Dallas, where he teaches Food Science and Technology as well as other nutrition courses in the Master of Clinical Nutrition – Coordinated Program. He holds a Bachelor of Business Administration degree from Baylor University as well as a Master of Clinical Nutrition from UT Southwestern where he studied Food Science under Dr. Vickie Vaclavik.",N/A,N/A,en
Aspergillus and Aspergillosis,"['Hugo Van Den Bossche', 'Geert Cauwenbergh', 'Donald W. R. MacKenzie']",1988-04-01,['Medical'],"Species of aspergilli are common in man's environment and are responsible for a wide spectrum of human and animal disease, ranging in animals from mycotic abortion to aflatoxicosis and in humans from localized colonization of the ear or skin to life-threatening systemic infection of neutropenic patients. In recent times, invasive aspergillosis has become increasingly important as a cause of morbidity and death, initially in patients receiving immunosuppression prior to organ transplantation, and latterly in haematologic patients rendered neutropenic by underlying disease or chemotherapy. In some centres, the condition has been recorded in more than 40% of patients dying with acute leukaemia. Laboratory diagnostic procedures are not always helpful and the diagnosis depends largely on clinical parameters. The clinician is faced with yet another problem, that of management. At present, antifungal therapy of invasive aspergillosis can be largely ineffectual, and the mortality rate remains unacceptably high. Since Aspergillus fumigatus was first described almost 125 years ago, several other pathogenic species have been recognized. The marked biosynthetic abilities and varied mechanisms of gene recombination of aspergilli have long commanded attention in food technology and genetics. Their equally varied abilities to cause disease have attracted the interest of toxicologists, allergists and physicians concerned with infectious diseases.",N/A,N/A,en
Food Preservatives,"['Nicholas J. Russell', 'Grahame W. Gould']",2003-07-31,['Science'],"For centuries man has treated food to prolong its edible life, and nowadays both traditional and modern preservatives are used widely to ensure the satisfactory maintenance of quality and safety of foods. There continues to be increased public concern about the use of food additives, including preservatives, resulting from a perception that some of them may have deleterious effects on health. However, as eating habits have changed with an emphasis on what has been popularly termed a `healthy diet', there is at the same time a concern that reduction in preservative usage could lead to loss of safety and protection from food poisoning. While some preservatives are coming under increasing regulatory pressure others, particularly more natural ones, are receiving increased attention and gaining in importance and acceptability. This book supports the continued safe and effective use of preservatives within these current constraints. It therefore gives detailed information on the practical use of the major antimicrobial preservatives. Uniquely, it couples this with current understanding of their modes of action, at the levels of cellular physiology and biochemistry, in such a way as to provide a sound scientific basis for their efficacy. Such an approach also encourages the future logical development and use of preservatives.",3.5,N/A,en
Life in the Universe,"['Dirk Schulze-Makuch', 'Louis N. Irwin']",2018-11-19,['Science'],"Examines each of these parameters in crucial depth and makes the argument that life forms we would recognize may be more common in our solar system than many assume. Considers exotic forms of life that would not have to rely on carbon as the basic chemical element, solar energy as the main energy source, or water as the primary solvent and the question of detecting bio- and geosignatures of such life forms, ranging from earth environments to deep space. Seeks an operational definition of life and investigate the realm of possibilities that nature offers to realize this very special state of matter. Avoids scientific jargon wherever possible to make this intrinsically interdisciplinary subject understandable to a broad range of readers.",N/A,N/A,en
Microbiology,"['Gerard J. Tortora', 'Berdell R. Funke', 'Christine L. Case']",2007,[],"This edition feature efficient new 'Disease in Focus' boxes, a thoroughly revised immunity chapter 17, new options for the Microbiology Place website/CD-Rom, and a new Media Manager instructor presentation package with 30 multi-step animations. Fundamenta",N/A,N/A,en
Living at Micro Scale,['David B. Dusenbery'],N/A,['Science'],"Discusses the constraints on the size, shape, and behavior of tiny organisms using findings from different fields to show why microorganisms have some of the properties they have.",N/A,N/A,en
The Food Safety Hazard Guidebook,"['Richard Lawley', 'Laurie Curtis', 'Judy Davis']",2012,['Science'],"Food safety is important and consumers have a right to expect that those who supply the food that they buy have taken every care to manufacture products that will do them no harm. Those with a responsibility for the regulation of the global food industry recognise this principle and legislate accordingly and the business of managing and regulating the safety of the food supply chain has come a long way in the last 25 years or so. Prompted by the emergence of new food safety hazards, such as the bacterial pathogens Listeria monocytogenes and E. coli O157, powerful new techniques for evaluating and managing the risks presented by these threats have been developed. For example, hazard analysis critical control point, or HACCP, has now become the food safety management system of choice worldwide. Although the food safety management tools are now widely available, they are still virtually useless unless they are supported by adequate and accurate information. HACCP does not work unless its practitioners have access to enough data and scientific knowledge to enable them to understand hazards and how to control them effectively. The Food Safety Hazard Guidebook is an attempt to address the problem of accessing the available information by distilling the key facts about a wide range of individual food safety hazards into a single text. The result is a guidebook, rather than an encyclopaedia, which acts as a portal for the immense and ever expanding body of scientific knowledge that exists for food safety. It is an easy-to-use information resource for anyone with a professional interest in the safety of the food supply. The book is easy to navigate and presents concise and carefully researched factual information on a wide range of biological and chemical hazards in a clear format that is designed to support risk analysis exercises and HACCP studies. It covers a broad range of established and emerging food safety hazards and includes details of authoritative sources of further information (many web-based) for those seeking to examine a topic in greater depth. The section on food allergens is a particularly valuable component of the book, the chapters on fish toxins are also useful and unusual in a book of this kind and bacterial pathogens are comprehensively covered. One of the most important features of the book is the wide scope of the content and the highly structured format designed to help the reader find information quickly. Other key benefits to the reader are: -The wide range of biological and chemical hazards covered in a single book -Written specifically with food industry professionals in mind -Easy to navigate and accessible for the non-expert -Clear and concise presentation of factual information presented in a format that lends itself to use in risk assessment exercises -Inclusion of references and web links to reliable sources of further information on each chapter -specifically designed for practical use by a professional readership.",N/A,N/A,en
