title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Bill Gates,['David Marshall'],2004,['Juvenile Nonfiction'],"A brief biography of Bill Gates, best known for his development of Microsoft Windows.",N/A,N/A,en
GO! with Microsoft Outlook 2016 Getting Started,"['Shelley Gaskin', 'Joan Lambert']",2016,['Microsoft'],"GO! with Office 2016 Getting Started is an Introductory text that offers a chapter on core Office 2016 features, and then one chapter for each of the four primary applications that introduces students to the basic features of each. Using the scenario-based instructional projects students learn the basics and then apply them through mastery, problem-solving, and critical thinking projects. In today's fast-moving, mobile environment, the GO! with Office 2016 series focuses on the job skills needed to succeed in the workforce. With job-related projects that put Microsoft Office(R) into context, students learn the how and why at the moment they need to know, all in the appropriate Microsoft procedural syntax. For Office 2016, the hallmark guided-practice to skill-mastery pathway is better than ever. Students have many opportunities to work live in Microsoft office to apply the skills they've learned. In addition, these learning objectives are presented in project-based scenarios that prompt students to prove mastery in the context of real-world application. MyITLab for this text provides students and instructors with access to the eText, chapter quizzes, testbanks, and other instructor resources.",N/A,N/A,en
Working with Microsoft Dynamics CRM 3.0,"['Mike Snyder', 'Jim Steger']",2006,['Administración de bases de datos'],"Learn how to tailor Microsoft CRM to work the way you do. This in-depth guide is perfect for developers, IT implementers, and advanced users who want to learn how to use the new features and enhancements of Microsoft CRM 3.0 to meet exacting business needs. Two experts on CRM delivery case studies, integration and performance guidelines, and adaptable code samples--the information you need to help you create successful CRM solutions. Discover how to: Set up and configure Microsoft CRM 3.0 Manage information access with security settings Create and deploy custom reports Integrate Microsoft CRM with other business applications and tools Customize forms by modifying fields, tabs, and sections--without any programming Modify default entities--or create your own custom entities Develop server-side and client-side application customizations Automate business processes with WorkflowGet code and data samples on the Web",5,N/A,en
Introducing Microsoft SQL Server 2019,"['Kellyn Gorman', 'Allan Hirt', 'Dave Noderer']",2020-04-16,['Computers'],"Introducing Microsoft SQL Server 2019 takes you through what's new in SQL Server 2019 and why it matters. After reading this book, you'll be well placed to explore exactly how you can make MIcrosoft SQL Server 2019 work best for you.",N/A,N/A,en
Microsoft Access 2007,[],2009,['Microsoft'],N/A,N/A,N/A,en
An Atypical ASP.NET Core 5 Design Patterns Guide,['Carl-Hugo Marcotte'],2020-12-30,['Computers'],"A .NET developer's guide to crafting robust, maintainable, and flexible web apps by leveraging C# 9 and .NET 5 features and component-scale and application-scale design patterns Key Features Apply software design patterns effectively, starting small and progressing to cloud-scale Discover modern application architectures such as vertical slice, clean architecture, and event-driven microservices Explore ASP.NET design patterns, from options to full-stack web development using Blazor Book Description Design patterns are a set of solutions to many of the common problems occurring in software development. Knowledge of these design patterns helps developers and professionals to craft software solutions of any scale. ASP.NET Core 5 Design Patterns starts by exploring basic design patterns, architectural principles, dependency injection, and other ASP.NET Core mechanisms. You'll explore the component scale as you discover patterns oriented toward small chunks of the software, and then move to application-scale patterns and techniques to understand higher-level patterns and how to structure the application as a whole. The book covers a range of significant GoF (Gangs of Four) design patterns such as strategy, singleton, decorator, facade, and composite. The chapters are organized based on scale and topics, allowing you to start small and build on a strong base, the same way that you would develop a program. With the help of use cases, the book will show you how to combine design patterns to display alternate usage and help you feel comfortable working with a variety of design patterns. Finally, you'll advance to the client side to connect the dots and make ASP.NET Core a viable full-stack alternative. By the end of the book, you'll be able to mix and match design patterns and have learned how to think about architecture and how it works. What You Will Learn Apply the SOLID principles for building flexible and maintainable software Get to grips with .NET 5 dependency injection Work with GoF design patterns such as strategy, decorator, and composite Explore the MVC patterns for designing web APIs and web applications using Razor Discover layering techniques and tenets of clean architecture Become familiar with CQRS and vertical slice architecture as an alternative to layering Understand microservices, what they are, and what they are not Build ASP.NET UI from server-side to client-side Blazor Who this book is for ﻿This design patterns book is for beginners as well as intermediate-level software and web developers with some knowledge of .NET who want to write flexible, maintainable, and robust code for building scalable web applications. Knowledge of C# programming and an understanding of web concepts like HTTP is necessary.",N/A,N/A,en
Microsoft Powerpoint,[],1994,['Microsoft'],N/A,N/A,N/A,en
Visual C# 2005,"['Harvey M. Deitel', 'Paul J. Deitel']",2006,['C#'],"This title provides a comprehensive introduction to Microsoft's object-oriented language. C# builds on the skills already mastered by countless C++ and Java programmers, enabling them to create powerful Web applications. It is useful for courses on C# programming found in departments of computer science.",N/A,N/A,en
Introducing Microsoft Plus,[],1995,['Microsoft'],N/A,N/A,N/A,en
Secrets of Success from the Story of Bill Gates,['Lyton Chandomba'],2019-05-24,[],"Bill Gates is a visionary, pioneer and strategic thinker. He is one of the most influential people of our times. He has changed our world and the postmodern era. Gates is a business mogul, magnate, tech visionary and business trailblazer, philanthropist - as of 2009, the world's richest person.This book is about the secrets and lessons of success we can learn from the story of Bill Gates. After many years of studying the story and life of Bill Gates his success secrets have now been revealed. These are unique secrets revealed for the first time. If you are eager to Succeed in your life, business or career here is the opportunity to learn from this book. The Secrets are out. Success comes with great vision. Success always starts in the mind, with the thoughts you think. Success involves strategic thinking. Success can be learned and it always leaves tracks you can follow from those who have achieved it. If you can learn to drive you can learn anything. This book has been recommended as a must for every Household and Business. Why Wait! Order your Copy Today. https: //mobile.twitter.com/SuccessSecrets5",N/A,N/A,en
How to Use Visual Basic 6,"['Shimon Mordzynski', 'Lowell Mauer']",1999,['BASIC (Computer program language).'],"A step-by-step full-color tutorial for Visual Basic users, this title provides not only an introduction to essential programming techniques but also a great amount of insight into tricks and shortcuts.",N/A,N/A,en
