title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Future of Money,['Benjamin J. Cohen'],2004,['Business & Economics'],"This book is a thoughtful, amply documented reflection on the future of currency. The dollar, euro and yen dominate the global monetary order, with the dollar now unrivaled at the top and unlikely to be threatened in the future. The countries that issue lesser currencies face a trade-off between monetary sovereignty and international acceptability (with all its economic advantages). Some economists say these lesser currencies should simply dollarize, that is, sacrifice their monetary sovereignty on the altar of international economic efficiency by adopting a stronger currency as their own. Author Benjamin J. Cohen argues that these countries are likely to reject dollarization because the emotional and political advantages of issuing one's own currency are simply too strong. He suggests various alternate mechanisms that allow countries to maintain some monetary independence and authority while gaining the advantages of a fully liquid, widely used currency. Non-specialists may find his extensive discussions a bit dry or sometimes tedious, but getAbstract.com applauds the author's ability to explore monetary economics in admirably lucid detail.",5,N/A,en
Money and the Mechanism of Exchange,['William Stanley Jevons'],1882,['Exchange'],N/A,N/A,N/A,en
The Demand for Money,['David E. W. Laidler'],1977,['Business & Economics'],N/A,N/A,N/A,en
Marginal Gains,['Jane I. Guyer'],2004-03,['Business & Economics'],"In America, almost all the money in circulation passes through financial institutions every day. But in Nigeria's ""cash and carry"" system, 90 percent of the currency never comes back to a bank after it's issued. What happens when two such radically different economies meet and mingle, as they have for centuries in Atlantic Africa? The answer is a rich diversity of economic practices responsive to both local and global circumstances. In Marginal Gains, Jane I. Guyer explores and explains these often bewildering practices, including trade with coastal capitalism and across indigenous currency zones, and within the modern popular economy. Drawing on a wide range of evidence, Guyer demonstrates that the region shares a coherent, if loosely knit, commercial culture. She shows how that culture actually works in daily practice, addressing both its differing scales of value and the many settings in which it operates, from crisis conditions to ordinary household budgets. The result is a landmark study that reveals not just how popular economic systems work in Africa, but possibly elsewhere in the Third World.",N/A,N/A,en
An Inquiry Into the Nature and Causes of the Wealth of Nations,['Adam Smith'],1811,['Economics'],N/A,N/A,N/A,en
The Archaeology of the Roman Economy,['Kevin Greene'],1986,['Business & Economics'],Kevin Greene shows how archaeology can help provide a more balanced view of the Roman economy by informing the classical historian about geographical areas and classes of society that received little attention from the largely aristocratic classical writers whose work survives.,N/A,N/A,en
The Theory of Money and Credit,['Ludwig Von Mises'],1953,['Credit'],N/A,5,N/A,en
Making Money,['Terry Pratchett'],2007-09-18,['Fiction'],"The Ankh-Morpork Post Office is running like . . . well, not at all like a government office. The mail is delivered promptly; meetings start and end on time; five out of six letters relegated to the Blind Letter Office ultimately wend their way to the correct addresses. Postmaster General Moist von Lipwig, former arch-swindler and confidence man, has exceeded all expectations—including his own. So it's somewhat disconcerting when Lord Vetinari summons Moist to the palace and asks, ""Tell me, Mr. Lipwig, would you like to make some real money?"" Vetinari isn't talking about wages, of course. He's referring, rather, to the Royal Mint of Ankh-Morpork, a venerable institution that haas run for centuries on the hereditary employment of the Men of the Sheds and their loyal outworkers, who do make money in their spare time. Unfortunately, it costs more than a penny to make a penny, so the whole process seems somewhat counterintuitive. Next door, at the Royal Bank, the Glooper, an ""analogy machine,"" has scientifically established that one never has quite as much money at the end of the week as one thinks one should, and the bank's chairman, one elderly Topsy (née Turvy) Lavish, keeps two loaded crossbows at her desk. Oh, and the chief clerk is probably a vampire. But before Moist has time to fully consider Vetinari's question, fate answers it for him. Now he's not only making money, but enemies too; he's got to spring a prisoner from jail, break into his own bank vault, stop the new manager from licking his face, and, above all, find out where all the gold has gone—otherwise, his life in banking, while very exciting, is going to be really, really short. . . .",N/A,N/A,en
The Theory of Money and Banks Investigated,['George Tucker'],1839,['Business & Economics'],N/A,N/A,N/A,en
Money and the Mechanism of Exchange,['William Stanley Jevons'],1920,['Exchange'],N/A,N/A,N/A,en
