title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Muhammad,['Maxime Rodinson'],2002,['Islam'],"This volume provides an introduction to the life and message of the Prophet Muhammad, as well as a study of the effects of Islam. This edition is published with a new prologue by the author, a scholar of Islamic history and society.",N/A,N/A,en
Bridges to the Ancestors,['David D. Harnish'],2006-01-01,['Social Science'],"""Bridges to the Ancestors effectively reveals the Lingsar festival as a site of cultural struggle as Harnish explores how history, identity, and power are constructed and negotiated. He addresses the fascinating interaction between music and myth and the forces of modernity, globalization, authenticity, tourism, religion, regionalism, and nationalism in maintaining ""tradition.""""--Jacket.",N/A,N/A,en
The Muslim Private Sector in Southeast Asia,['Mohamed Ariff'],1991,['Business & Economics'],The papers in this volume were first presented at a workshop which was held in Singapore on 26-27 September 1988,N/A,N/A,en
Men and Women Around the Messenger,"['Ḫālid Muḥammad Ḫālid', 'ʾAbd-al-Ḥamīd ʿAlīwah']",2003,['Muslim'],N/A,N/A,N/A,en
Modern Islām in India,['Wilfred Cantwell Smith'],1974,['India'],N/A,N/A,N/A,en
Flag of the Prophet,['E. Hamilton Currey'],2008-10,['History'],"You know about the fleets of Britain, France, Spain, and America; but did you know that some of the most formidable naval forces in history were not European at all? As the 16th Century opened, the moors had been driven out of Spain and cast onto the barren shores of north Africa. Driven by a combination of greed, desperation, and religious fanaticism, they took to the seas and formed themselves into fleets of pirates. These, however, were not the free-lance murdering marauders of a later age These were well-organized, well-led, well-disciplined, nautical shock troops. For almost 100 years they menaced the Mediterranean at will. When booty was scarce at sea, they simply went ashore and took what they wanted: gold, silver, jewels and, most of all, people--as slaves. From 1492 to 1580 they defied Charles V, Philip II, 13 consecutive Popes, and the best soldiers and sailors that Spain, Venice, Genoa, Catalonia and France could throw against them. This then is the story of the era known as ""The Grand Period of the Muslim Corsairs."" More specifically, it is the story of three leaders: Kheyr-ed-Din Barbarossa, Dragut Reis, and Ali Basha. It goes without saying that they were each stained with the blood of a thousand crimes and acts of cruelty. Nevertheless, in each, there was a spark of genius that helped shape the course of history.",N/A,N/A,en
Pedagogized Muslimness,['Mette Buchardt'],2019-04-18,['Bildungsniveau'],"Becoming Danish/Christian and becoming Muslim are skills that may be acquired in the secularized school system. This study explores how social structure and the politics of identity and knowledge in relation to religion intertwine when recontextualized in the classroom of the Danish comprehensive school post 9-11. Through close readings of what takes place at a classroom level in two Copenhagen schools, Pedagogized Muslimness provides insights into how the Nordic model of comprehensive schooling - in the (post-)welfare state - plays out in daily school life and with what effects. The book provides a deeper understanding of how knowledge is produced in school, and how school operates as an arena for the production and distribution of social difference. The good pupil is the pupil that speaks of her/himself, acting as a subject, or who, by confirming the teacher's organizing of her/himself, accepts being made into an object upon which knowledge can be generated. Particularly overexposed are the pupils, whom the teachers identify as ""Muslim"", something which draws on decades of casting this group of children as special objects of - as well as obstacles to - schooling. By the late 1970s and the early 1980s, the children of migrants came to be defined by their parents' relation to the labor market: as ""foreign workers"" in often unskilled jobs, associated with rural life and ""traditional family patterns"", and characterized by what was seen as their (lack of) language skills. In the course of several moral panics around ""Muslims"" and ""Muslim children"", this focus has translated into a knowledge formation of culture/religion. The book shows how school-produced Muslimness, in the pedagogized social economy of the classroom, becomes a parameter of social class, higher as well as lower.",N/A,N/A,en
Muslims in Amdo Tibetan Society,"['Marie-Paule Hille', 'Bianca Horlemann', 'Paul Kocot Nietupski']",2015,['History'],"Muslims in Amdo Tibetan Society: Multi-Disciplinary Approaches offers nine case studies from several academic disciplines. The chapters describe the ethnic, cultural, linguistic, and religious diversity within the Muslim communities of Amdo and illustrate complex social interactions with other Amdo communities. While relations between Han Chinese and Tibetans, and between Han Chinese and Muslims in Qinghai and Gansu, have already attracted scholarly attention, this volume has a special focus on Tibetan-Muslim interactions. These are rarely discussed and if so, then mostly in the contexts of trade relations and conflicts. This volume challenges some established stereotypes of Tibetan-Muslim relations and also highlights new facets of cross-cultural contacts and religious and linguistic influences.",N/A,N/A,en
Mindanao Statecraft and Ecology,['Eric S. Casino'],2000,['Cotabato City Region (Philippines)'],N/A,N/A,N/A,en
Muslims in Eastern Europe,['Egdūnas Račius'],2018,['History'],Provides an overview of the history and current trends in Muslim communities in 21 post-Communist Eastern European countries.,N/A,N/A,en
The Making of Pakistan,['Khursheed Kamal Aziz'],2002,['India'],N/A,N/A,N/A,en
"Plurality, Religiosity, and Patriotism",['Al Makin'],2017,['Islam'],N/A,N/A,N/A,en
The Golden Bell,['Robert L Stone'],2022-09-08,[],"Arriving in Córdoba as a young man in 1088 to learn medicine, Yehuda Halevi is enchanted by a world in which Muslim, Jewish and Christian courtiers share poetry and philosophy in their elegant gardens. Here he falls in love with Deborah, the spirited daughter of his host. In this turbulent world, however, Yehuda also encounters invasions and pirates, book burnings and bandits. Driven by conflict to move from city to city, Yehuda and Deborah are often parted - but always in the hope that they will one day return together to Córdoba. As Yehuda's fame grows as a poet and as a philosopher, his writings become increasingly mystical but also increasingly restless, for he yearns to travel to the holy city of Jerusalem. In 1140, as an old man, he must finally decide whether to stay with his family or begin the perilous voyage towards Egypt and Crusader Jerusalem... In this beautifully evocative story, Robert L. Stone transports the reader to twelfth-century Andalucía as he traces the extraordinary life of a man determined to devote himself - and his exceptional talent - to a greater truth.",N/A,N/A,en
To be a Muslim,['Fathi Yakan'],1997,['Islam'],N/A,N/A,N/A,en
On the Margins,['Gerdien Jonker'],2020,['Berlin (Germany)'],"This title is available in its entirety in Open Access. Living on the margins of German society, Jews and Muslims in interwar Berlin explored common ground. Based on a number of private archives, the study discusses the contact zones and personal entanglements that arose from their meeting.",N/A,N/A,en
Muslims in France,"['Tariq Ramadan', 'Islamic Foundation (Great Britain)']",1999,['France'],N/A,N/A,N/A,en
The Cultivation of I Am,['Sheik Andrell Parham Bey(c)'],2015-04-09,['Religion'],This book of hardcore reality is not fiction. The Cultivation of I Am is an educational venue of work in a mythology created by the author. Included in the book is a sample lesson book that gives explanations on what the book is about and how to decode it.,N/A,N/A,en
Dakhan History Musalman,['W. W. Loch'],1989,['Bombay (India : State)'],"Part I: Poona, Satara And Sholapur; Part Ii: Khandes, Nasik And Ahmednagar.",N/A,N/A,en
Islamic Law,['Mohamad Akram Laldin'],2006,['Islamic law'],N/A,N/A,N/A,en
Moslems in Indonesia,"['Willem Frederik Wertheim', 'B. B. Hering']",1980,['Indonesia'],N/A,N/A,N/A,en
Modernization of Muslim Education in India,['Fahimuddin'],2004,['Education and state'],"This Study Analyses The Role Of Madrasas Infulfilling The Educational Needs Of Muslim Children, Its Relevance In Today'Stime,Impact Of The Madrasa Modernization Programme And The Allegations And Canardsbeing Spread Against The Madrasa System Of Education",N/A,N/A,en
Mosques in Kenya,['Hassan Mwakimako'],2007,['Religion'],"No detailed description available for ""Mosques in Kenya"".",5,N/A,en
The Muslim Mind Foundation and Early Manifestation,['Muḥammad ʻAbd al-Raʼūf'],1991,['Islam'],N/A,N/A,N/A,en
The All-India Muslims Educational Conference,['Shan Muhammad'],2003,['Education'],The Mohammadan Educational Conference Was Founded By Sir Syed Ahmad Khan In 1886 To Strengthen The Aligarh Movement And Disseminate Education Among The Muslims In Every Nook And Corner Of The Country. This Book Trances Its Evolution From The Early Days.,N/A,N/A,en
Resurgence of Muslim Separatism in British India,"['Mahomed Ali Jinnah', 'Mīr G̲h̲ulām Bhīk Nairang']",2001,"['Dissenters, Religious']",N/A,N/A,N/A,en
Architecture & Site of the Baburi Masjid of Ayodhya,['Ram Nath'],1991,"['Ayodhya (Faizabad, India)']","This is a study of the Architecture and Site of the Controversial Ayodhya Mosque, dealing along side with its epigraphs, and also with other mosques which bear his name, in order to make an assessment of its style. Did Babur really commission it, or his name has been associated with it a little erroneously ? Chapters: 01. Prologue 02. Architecture of the Baburi Masjid and Its Epigraphs 03. Style of other Mosques of Babur's Reign 04. Babur and Medieval Oudh 05. Efficacy of 'Tradition' as a source of History 06. Evolution of the Mosque Forum 07. 'Shariat' and 'Siyasat' 08. Fanatics and Fundamentalists 09. Site of the Baburi Masjid 10. Nature of Indian Islam 11. Epilogue",N/A,N/A,en
"Pakistan, a Political Study",['Aḥmad Shujāʻ Pāshā'],1995,['Constitutional history'],N/A,N/A,N/A,en
مدينة قادس ودورها في التاريخ السياسي والحضاري للأندلس في العصر الإسلامي,"['سالم، سحر السيد عبد العزيز', 'Saḥar al-Sayyid ʻAbd al-ʻAzīz Sālim']",1990,['Andalusia (Spain)'],N/A,N/A,N/A,ar
Pustinjak,['Bajram Redžepagić'],2012,['Islamic stories'],N/A,N/A,N/A,bs
Untukmu Umat,['Zaharuddin Abd Rahman'],2009,['Motivation (Psychology)'],"MENJADI insan yang cemerlang dan diredhai ALLAH adalah impian bagi setiap insan. Namun, untuk menuju kecemerlangan itu bukanlah sesuatu yang mudah jika tidak disertai dengan istiqamah dan semangat yang jitu. Prinsip amar makruf nahi mungkar juga menjadi tonggak untuk menjadi mukmin yang terbilang. Untukmu Umat diterbitkan sebagai panduan buat setiap individu untuk menuju ke arah kehidupan yang diredhai ALLAH. Buku ini juga membincangkan beberapa isu menarik berkaitan lelaki dan wanita masa kini.",N/A,N/A,ms
Storia dei musulmani di Sicilia,['Michele Amari'],2002,['History'],N/A,N/A,N/A,it
L'émergence des organisations islamiques au Tchad,['Gondeu Ladiba'],2011,['Chad'],"L'auteur s'interroge sur les dynamiques islamiques au Tchad, avec le souci d'en distinguer les logiques, à bonne distance des affrontements polémiques. Ouvrage de référence sur l'islam tchadien contemporain, ses ambitions dépassent le coeur de son sujet et envisagent des domaines aussi variés que les relations diplomatiques, les organisations de la société civile et le réveil religieux chrétien.",N/A,N/A,fr
Ayahku,['Hamka'],2007,['Islam'],N/A,N/A,N/A,ms
مطلع البدرين فيمن يوءتى أجره مرتين,"['Suyūṭī', 'Majdī Fatḥī Sayyid']",1991,['Religious life'],N/A,N/A,N/A,ar
MUTIARA AKIDAH & IBADAT,['Ustaz Dr Hj Zaharuddin Hj Abd Rahman'],2010,['Islam'],"MUTIARA AKIDAH DAN IBADAT memuatkan persoalan kon temporari yang kerap timbul sejak akhir-akhir ini. Buku ini disediakan dalam dua bahagian iaitu akidah dan ibadat.Soalan yang dimuatkan tidaklah merangkumi kedua-dua topik secara terperinci, namun ia menjurus kepada soalan yang dipilih dan kerap diutarakan. Di setiap bahagian, ada disertakan penerangan ringkas sebagai panduan agar dapat difahami dengan lebih jelas dan sempurna. Hampir semua jawapan disertakan dengan dalil dan nas sandarannya supaya pembaca lebih menyedari akan ketepatan setiap huraian yang diberikan.",N/A,N/A,ms
المنهزمون,['عظم، يوسف'],2006,['Arab countries'],N/A,N/A,N/A,ar
الزهد والرقائق,['اثري، محمد بن رياض الاحمد السلفي'],2006,['Asceticism'],N/A,N/A,N/A,ar
Servus Kabul,['Emran Feroz'],2024-03-14,[],N/A,N/A,N/A,de
تاريخ علماء الاندلس,['ابن الفرضي، عبد الله بن محمد،'],2008,['Muslim'],N/A,N/A,N/A,ar
YA ALLAH... AKALKU TERHAD ILMUKU DANGKAL,['Sofiyah Satuyah Rasin'],2010,['Inspiration'],"Odyssey dalam buku ini adalah tentang pengembaraan hati, silih bergantinya perasaan dalam menghadapi setiap peristiwa yang ditakdirkan sepanjang pengalaman hidup seharian walaupun pengalaman itu pada zahirnya kelihatan remeh-temeh, kecil dan dianggap ‘tiada apa-apa yang penting’ atau ‘biasa-biasa saja.’ Perasaan manusia bersilih ganti, datang dan pergi. Cinta, kasih, sayang, gembira, bahagia mengharap, bersemangat, yakin, bersyukur, sedih, kesal, marah, bimbang, risau, tercabar, malu, kagum, cemburu, kecewa, jijik dan sebagainya. Setiap pengalaman dan perasaan adalah platform atau peluang mengenal Allah. Allah suka diri-Nya dikenali seperti maksud hadis qudsi: ""Aku adalah perbendaharaan yang tersembunyi. Aku suka dikenali, lalu Aku ciptakan makhluk supaya Aku dikenali"". Semoga silih bergantinya perasaan tidak menyebabkan kita lupa bahawa kita hanya hamba yang perlu tunduk dan pasrah kepada Allah yang Maha Agung. Apa jua yang datang, semoga doa dari maksud ayat quran berikut menjadi penawar.",N/A,N/A,ms
Çağdaş dünyada din ve dindarlar,['Şaban Ali Düzgün'],2012,['Muslim'],N/A,N/A,N/A,tr
