title,authors,publishedDate,categories,description,averageRating,textSnippet,language
De natura deorum,['Ovid'],2000-11-02,['History'],"Book XIII of Ovid's Metamorphoses presents a wide variety of brilliant episodes, from the rhetorically charged contest between Ulysses and Ajax over the arms of Achilles, to the tragic tale of Hecuba and her gruesome revenge, to the amusing story of Polyphemus' unrequited love for Galatea and its bloody conclusion. This edition discusses in detail Ovid's treatment of his sources and sets out the ways in which he has adapted earlier literature as material for his novel work. Guidance is offered on points of language and style, and the Introduction treats in general terms the themes of metamorphosis and the structure of the poem as a whole.",N/A,N/A,en
Dictionary of Greek and Roman Biography and Mythology,['William Smith'],1849,['Biography'],N/A,N/A,N/A,en
The Cambridge Companion to Greek Tragedy,['P. E. Easterling'],1997-10-02,['Drama'],"As a creative medium, ancient Greek tragedy has had an extraordinarily wide influence: many of the surviving plays are still part of the theatrical repertoire, and texts like Agamemnon, Antigone, and Medea have had a profound effect on Western culture. This Companion is not a conventional introductory textbook but an attempt, by seven distinguished scholars, to present the familiar corpus in the context of modern reading, criticism, and performance of Greek tragedy. There are three main emphases: on tragedy as an institution in the civic life of ancient Athens, on a range of different critical interpretations arising from fresh readings of the texts, and on changing patterns of reception, adaptation, and performance from antiquity to the present. Each chapter can be read independently, but each is linked with the others, and most examples are drawn from the same selection of plays.",4,N/A,en
The Metamorphoses of Publius Ovidius Naso ...,"['Ovid', 'Nathan Covington Brooks']",1860,['Mythology'],N/A,N/A,N/A,en
The Oxford Companion to World Mythology,['David Leeming'],2005-11-17,['Reference'],"An interesting and lively book that contains articles on heros, villains, mythologists and mythological approaches.",4.5,N/A,en
The White Goddess,['Robert Graves'],1978,['Literary Criticism'],"Examines the language of ancient Celtic and Mediterranean poetic myths, probing the role of the all-encompassing female figure, the White Goddess, in the earliest forms of poetry.",3,N/A,en
The Golden Bough,['James George Frazer'],1998,['Fiction'],"First published in 1890, The Golden Bough is a seminal work of modern anthropology. A classic study of the beliefs and institutions of mankind that traces the development and confluence of thought from magic and ritual to modern scientific theory, it has been a source of great influence upon such diverse writers as T.S. Eliot, Wyndham Lewis, and D.H. Lawrence. This edition restores many of the controversial passages expurgated in the 1922 edition that elucidate Frazer's bolder theories, and sets them within the framework of a valuable introduction and notes.",4.5,N/A,en
"A Classical Dictionary of Greek and Roman Biography, Mythology and Geography",['William Smith'],1889,['Biography'],N/A,N/A,N/A,en
The Raw and the Cooked,['Claude Lévi-Strauss'],1983-03-15,['Religion'],"In anthropological terms the concept of ""the raw"" verses ""the cooked"" has long been associated with the dichotomy between the natural world and the world of human culture. In a broad-based empirical study of native mythologies, Claude Lévi-Strauss proposes a structural and thematic link between the opposition of the raw and the cooked in mythological thought and man's attempt to establish a balanced relationship between natural and cultural forces. Lévi-Strauss postulates that the raw/cooked axis is characteristic of all human culture, with elements falling along the ""raw"" side of the axis being those of ""natural"" origin, and those on the ""cooked"" side being of ""cultural"" origin - i.e. products of human creation. Symbolically, cooking marks the transition from nature to culture, by means of which the human state can be defined in accordance with all its attributes. In mythological thought, the cooking of food is, in effect, a form of mediation between nature and society, between life and death, and between heaven and earth. The cook, in turn, can be viewed as a cultural agent whose function is to ""mediate the conjunction of the raw product and the human consumer,"" the operation of which has the effect of ""making sure the natural is at once cooked and socialized.""",N/A,N/A,en
The Encyclopedia of Celtic Mythology and Folklore,['Patricia Monaghan'],2014-05-14,"['Body, Mind & Spirit']","Presents an illustrated A to Z reference containing over 1,000 entries providing information on Celtic myths, fables and legends from Ireland, Scotland, Celtic Britain, Wales, Brittany, central France, and Galicia.",N/A,N/A,en
