title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Argonauts of the Western Pacific,['Bronislaw Malinowski'],1961,['Business & Economics'],"Bronislaw Malinowski, one of the all-time great anthropologists of the world, had a talent for bringing together in single comprehension the warm reality of human living with the cool abstractions of science. His pages have become an almost indispensable link between the knowing of exotic and remote people with theoretical knowledge about humankind. This volume¿originally published in 1922¿can be considered the founding document of economic anthropology, and remains the best one to read. It emphasizes the great significance of primitive economics by singling out the notable exchange system of the Trobriand Islands for special consideration. Although the main theme is economic, constant reference is made in this milestone of anthropological research and interpretation to social organization, life and meaning, the power of magic, and mythology and folklore.",N/A,N/A,en
Atlas of Afterlives,['Emily Hawkins'],2023-09-28,['Juvenile Nonfiction'],"An Atlas of Afterlives is a haunting and darkly intriguing take on world myth, giving readers a glimpse at what lies beyond.",N/A,N/A,en
Norse Myths,['Kevin Crossley-Holland'],2017-09-28,['Young Adult Fiction'],"Collects tales of Norse mythology featuring the powerful Odin, Thor and his hammer, Mjolnir, Loki, the final battle of Ragnarok, and power stuggles among the figures.",2,N/A,en
Usborne Greek Myths,['Heather Amery'],2024-09-03,['Juvenile Fiction'],"A pocket-sized collection of some of the best-known Greek myths, specially written for young children to enjoy. With vivid illustrations throughout to bring the stories of gods, monsters and mortals to life. Perfect for reading aloud, with a pronunciation guide at the back to help with Greek names.",N/A,N/A,en
Odin Vs. Ares,['Lydia Lukidis'],2023-08,['Juvenile Nonfiction'],"""Which of these gods of war is more powerful? Who has more abilities? Will Odin or Ares be the one to come out on top? Let the battle begin!""--",N/A,N/A,en
Old Indian Legends,['Zitkala-Sa'],2022-08-30,['Social Science'],"LARGE PRINT EDITION. In the mythology of the Lakota and other Oceti Sakowin peoples, Iktomi is a spider-trickster spirit and cultural hero. In the vast wilderness of the American Midwest, Iktomi experiences a series of humorous and instructive trials that illuminate humanity's relationship with nature. In Old Indian Legends, Zitkála-Sá uses her voice and expansive traditional knowledge to elevate the stories of her people.",N/A,N/A,en
The World of Italian Folk Magic,['Rose Inserra'],2024-09-03,"['Body, Mind & Spirit']","Ancient magical practices to integrate into everyday life. Drawing on her Italian strega (witch) heritage, Rose Inserra's guide to the folk magic of this ancient culture is a treasure trove of Italian folklore, customs, magic and healing practices that will simplify your life and declutter your mind and heart. These practices fulfill the most basic needs of life: warmth, nourishment and connection to the magical and the spiritual. Discover unique Italian witchcraft such as spells, charms and curse removal and learn how to make divination tools, protective amulets and invocations. You'll also find kitchen and herbal witchery with natural remedies to create, spells for love and potions, and recipes for food, wine and even beauty. Delve into Italian spiritual practices and learn about dreams, divination and working with your ancestors, saints and angels, deities, fairies and nature spirits. Brimming with history, culture, remedies, folklore, recipes and – most of all – magic, this book is for anyone fascinated by ancient magical practices with deep connections to nature and the environment – or who wants to discover their Italian heritage.",N/A,N/A,en
Old Indian Legends,['Zitkala-Sa'],2021-03-09,['Social Science'],"Old Indian Legends (1901) is a collection of traditional stories from Yankton Dakota writer Zitkála-Sá. Published while Zitkála-Sá was just beginning her career as an artist and activist, Old Indian Legends collects fourteen traditional legends and stories passed down through Sioux oral tradition. Intending to keep the stories or her people alive, Zitkála-Sá popularized and protected these cultural treasures for generations to come. In ""Iktomi and the Ducks,"" spider-trickster spirit Iktomi befriends a group of ducks by playing them music to dance to. Gaining their trust, he sends them into a dancing frenzy causing them to break their necks, after which he takes them to his teepee to cook a meal. When a tree branch snaps outside, distracting Iktomi, a pack of wolves moves in for a feast of their own. In ""Iktomi's Blanket,"" a starving Iktomi prays to Inyan for a blessing of food. Stumbling across a deer carcass, he believes his prayers have been answered and prepares a fire to roast the deer meat over. Feeling a chill, however, he goes to his teepee for a blanket, leaving the fire unattended. Throughout her collection, Zitkála-Sá faithfully and respectfully retells the stories of her people. Old Indian Legends is a charming compilation from one of the leading American Indian writers of her generation, a committed activist and true voice for change who saw through her own eyes the lives and experiences of countless others. With a beautifully designed cover and professionally typeset manuscript, this edition of Zitkála-Sá's Old Indian Legends is a classic of American Indian literature reimagined for modern readers.",N/A,N/A,en
Norse Mythology,['Neil Gaiman'],2024-11-12,['Fiction'],"The #1 New York Times bestseller--a ""gripping, suspenseful"" (Washington Post) retelling of Norse myths--now with spectacular illustrations.",N/A,N/A,en
Race to the Sun,['Rebecca Roanhorse'],2021,['Juvenile Fiction'],"""Guided by her Navajo ancestors, seventh-grader Nizhoni Begay discovers she is descended from a holy woman and destined to become a monsterslayer, starting with the evil businessman who kidnapped her father. Includes glossary of Navajo terms""--Provided by publisher.",N/A,N/A,en
