title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Networking in 90 Minutes,['Lindsay Bannerman'],2006,['Business & Economics'],"Whether you are new to networking or experienced at it, this book gives you a proven system and a range of easy to use tools to generate instant networking success. It includes real life examples and tactics, and shows how simple it is to create a lasting impression for you, your service or your product, and how to get others talking for you, and essentially promoting you free of charge!",N/A,N/A,en
Networking Essentials,['José Dordoigne'],2007,['Computer networks'],N/A,5,N/A,en
"Operating Systems: Internals And Design Principles, 6/E",['Stallings'],2009-09,['Computer science'],N/A,4,N/A,en
Complete Guide to Networking and Network,['Michael Graves'],2005-06,['Computers'],N/A,N/A,N/A,en
Networking Fundamentals,['Gordon Davies'],2019-12-17,['Computers'],"Become well-versed with basic networking concepts such as routing, switching, and subnetting, and prepare for the Microsoft 98-366 exam Key Features Build a strong foundation in networking concepts Explore both the hardware and software aspects of networking Prepare by taking mock tests with up-to-date exam questions Book Description A network is a collection of computers, servers, mobile devices, or other computing devices connected for sharing data. This book will help you become well versed in basic networking concepts and prepare to pass Microsoft's MTA Networking Fundamentals Exam 98-366. Following Microsoft's official syllabus, the book starts by covering network infrastructures to help you differentiate intranets, internets, and extranets, and learn about network topologies. You'll then get up to date with common network hardware devices such as routers and switches and the media types used to connect them together. As you advance, the book will take you through different protocols and services and the requirements to follow a standardized approach to networking. You'll get to grips with the OSI and TCP/IP models as well as IPv4 and IPv6. The book also shows you how to recall IP addresses through name resolution. Finally, you'll be able to practice everything you've learned and take the exam confidently with the help of mock tests. By the end of this networking book, you'll have developed a strong foundation in the essential networking concepts needed to pass Exam 98-366. What you will learn Things you will learn: Become well versed in networking topologies and concepts Understand network infrastructures such as intranets, extranets, and more Explore network switches, routers, and other network hardware devices Get to grips with different network protocols and models such as OSI and TCP/IP Work with a variety of network services such as DHCP, NAT, firewalls, and remote access Apply networking concepts in different real-world scenarios Who this book is for If you're new to the IT industry or simply want to gain a thorough understanding of networking, this book is for you. A basic understanding of the Windows operating system and your network environment will be helpful.",N/A,N/A,en
Shared Knowledge and the Web of Relationships,['Tuire Palonen'],2003,['Groups'],N/A,N/A,N/A,en
The 20-Minute Networking Meeting - Veterans Edition,"['Nathan A. Perez', 'Marcia Ballinger']",2019-10-25,['Business networks'],"Chock full of real-world scenarios, short stories, meeting examples, and dozens of tips and observations from hiring authorities, executives, recruiting experts, and fellow veterans, the Veteran Edition is an end-to-end lesson on job-search networking, founded on the premises of gratitude, positivity, and reciprocity.",N/A,N/A,en
Understanding Tcp/Ip,"['Libor Dostálek', 'Alena Kabelová']",2006,['Computers'],"This book is suitable for the novice and experienced system administrators, programmers, and anyone who would like to learn how to work with the TCP/IP protocol suite. It can be read even by those who have little background in networking",N/A,N/A,en
Marvelous Results,['Marvin Jones'],2022-09,['Self-Help'],"In this book you will find the most critical components of success. In this gold mine of guidance you'll have access to practical applications transformational concepts, and captivating stories. Become more confident and blast through procrastination. It's time to overcome the obstacles tht keep you stuck in mediocrity.",N/A,N/A,en
Learn Ethical Hacking from Scratch,['Zaid Sabih'],2018-07-31,['Computers'],"Learn how to hack systems like black hat hackers and secure them like security experts Key Features Understand how computer systems work and their vulnerabilities Exploit weaknesses and hack into machines to test their security Learn how to secure systems from hackers Book Description This book starts with the basics of ethical hacking, how to practice hacking safely and legally, and how to install and interact with Kali Linux and the Linux terminal. You will explore network hacking, where you will see how to test the security of wired and wireless networks. You'll also learn how to crack the password for any Wi-Fi network (whether it uses WEP, WPA, or WPA2) and spy on the connected devices. Moving on, you will discover how to gain access to remote computer systems using client-side and server-side attacks. You will also get the hang of post-exploitation techniques, including remotely controlling and interacting with the systems that you compromised. Towards the end of the book, you will be able to pick up web application hacking techniques. You'll see how to discover, exploit, and prevent a number of website vulnerabilities, such as XSS and SQL injections. The attacks covered are practical techniques that work against real systems and are purely for educational purposes. At the end of each section, you will learn how to detect, prevent, and secure systems from these attacks. What you will learn Understand ethical hacking and the different fields and types of hackers Set up a penetration testing lab to practice safe and legal hacking Explore Linux basics, commands, and how to interact with the terminal Access password-protected networks and spy on connected clients Use server and client-side attacks to hack and control remote computers Control a hacked system remotely and use it to hack other systems Discover, exploit, and prevent a number of web application vulnerabilities such as XSS and SQL injections Who this book is for Learning Ethical Hacking from Scratch is for anyone interested in learning how to hack and test the security of systems like professional hackers and security experts.",N/A,N/A,en
