title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Illustrated Art of War,['Sunzi'],2005,['Business & Economics'],"This classic work on planning and conducting war is available in an elegant illustrated edition, featuring 75 color and black-and-white images. It offers the definitive translation of Sun Tzu's text, by former U.S.",5,N/A,en
A Night to Remember,['Walter Lord'],2005-01-07,['History'],A cloth bag containing eight copies of the title.,4,N/A,en
Lonely Planet Vietnam,['Iain Stewart'],2022-04-22,['Travel'],"Lonely Planet's Vietnam is your passport to the most relevant, up-to-date advice on what to see and skip, and what hidden discoveries await you. Experience Hanois labyrinth-like Old Quarter, kayak in Halong Bay, and wander through historic Hoi An; all with your trusted travel companion. Get to the heart of Vietnam and begin your journey now! Inside Lonely Planet's Vietnam Travel Guide: Up-to-date information - all businesses were rechecked before publication to ensure they are still open after 2020s COVID-19 outbreak NEW pull-out, passport-size 'Just Landed' card with wi-fi, ATM and transport info - all you need for a smooth journey from airport to hotel What's New feature taps into cultural trends and helps you find fresh ideas and cool new areas our writers have uncovered Colour maps and images throughout Highlights and itineraries help you tailor your trip to your personal needs and interests Insider tips to save time and money and get around like a local, avoiding crowds and trouble spots Essential info at your fingertips - hours of operation, phone numbers, websites, transit tips, prices Honest reviews for all budgets - eating, sleeping, sightseeing, going out, shopping, hidden gems that most guidebooks miss Cultural insights give you a richer, more rewarding travel experience - history, people, music, landscapes, wildlife, cuisine, politics Over 80 maps Covers Hanoi, Northern Vietnam, Central Vietnam, Southeast Coast, Southwest Highlands, Ho Chi Minh City, Mekong Delta, Siem Reap & the Temples of Angkor and more The Perfect Choice: Lonely Planet's Vietnam, our most comprehensive guide to Vietnam, is perfect for both exploring top sights and taking roads less travelled. Looking for more extensive coverage? Check out Lonely Planet's Vietnam, Cambodia, Laos & Northern Thailand for a comprehensive look at all the region has to offer. About Lonely Planet: Lonely Planet is a leading travel media company, providing both inspiring and trustworthy information for every kind of traveller since 1973. Over the past four decades, we've printed over 145 million guidebooks and phrasebooks for 120 languages, and grown a dedicated, passionate global community of travellers. You'll also find our content online, and in mobile apps, videos, 14 languages, armchair and lifestyle books, ebooks, and more, enabling you to explore every day. 'Lonely Planet guides are, quite simply, like no other.'  New York Times 'Lonely Planet. It's on everyone's bookshelves; it's in every traveller's hands. It's on mobile phones. It's on the Internet. It's everywhere, and it's telling entire generations of people how to travel the world.'  Fairfax Media (Australia)",N/A,N/A,en
The Selfish Gene,['Richard Dawkins'],2016,['Mathematics'],With a new epilogue to the 40th anniversary edition.,N/A,N/A,en
Tao Te Ching (Daodejing),['Laozi'],2018,"['Body, Mind & Spirit']","A new ""translation of the ancient Chinese book of the Tao""--Dust jacket front.",N/A,N/A,en
AI Superpowers,['Kai-Fu Lee'],2018,['Business & Economics'],AI Superpowers is Kai-Fu Lee's New York Times and USA Today bestseller about the American-Chinese competition over the future of artificial intelligence.,N/A,N/A,en
Mind Over Mood,"['Dennis Greenberger', 'Christine A. Padesky']",2015-10-14,['Medical'],"Discover simple yet powerful steps you can take to overcome emotional distress--and feel happier, calmer, and more confident. This life-changing book has already helped more than 1,300,000 readers use cognitive-behavioral therapy--one of today's most effective forms of psychotherapy--to conquer depression, anxiety, panic attacks, anger, guilt, shame, low self-esteem, eating disorders, substance abuse, and relationship problems. Revised and expanded to reflect significant scientific developments of the past 20 years, the second edition contains numerous new features: expanded content on anxiety; chapters on setting personal goals and maintaining progress; happiness rating scales; gratitude journals; innovative exercises focused on mindfulness, acceptance, and forgiveness; 25 new worksheets; and much more. Mind Over Mood will help you: *Learn proven, powerful, practical strategies to transform your life. *Follow step-by-step plans to overcome depression, anxiety, anger, guilt, and shame. *Set doable personal goals and track your progress (you can photocopy the worksheets from the book or download and print additional copies). *Practice your new skills until they become second nature. Cited as “The Most Influential Cognitive-Behavioral Therapy Publication” by the British Association for Behavioural and Cognitive Psychotherapies and included in the UK National Health Service Bibliotherapy Program. Winner (Second Place)--American Journal of Nursing Book of the Year Award, Consumer Health Category See also the Spanish-language edition: El control de tu estado de ánimo, Segunda edición. Plus, mental health professionals, see also The Clinician's Guide to CBT Using Mind Over Mood, Second Edition.",N/A,N/A,en
The Art of War,[],2022,['History'],N/A,N/A,N/A,en
Human by Design,['Gregg Braden'],2017,"['Body, Mind & Spirit']","Human by Design invites you on a journey beyond Darwin's theory of evolution, beginning with the fact that we exist as we do, even more empowered, and more connected with ourselves and the world, than scientists have believed possible.* * *In one of the great ironies of the modern world, the science that was expected to solve life's mysteries has done just the opposite. New discoveries have led to more unanswered questions, created deeper mysteries, and brought us to the brink of forbidden territory when it comes to explaining our origin and existence. These discoveries reveal the following facts: - Fact 1. Our origin--Modern humans appeared suddenly on earth approximately 200,000 years ago, with the advanced brain, nervous system, and capabilities that set them apart from all other known forms of life already developed, rather than having developed slowly and gradually over a long periods of time.- Fact 2. Missing physical evidence--The relationships shown on the conventional tree of human evolution are speculative connections only. While they are believed to exist, a 150-year search has failed to produce the physical evidence that confirms the relationships shown on the evolutionary family tree.- Fact 3. New DNA evidence--The comparison of DNA between ancient Neanderthals, previously thought to be our ancestors, and early humans tells us that we did not descend from the Neanderthals.- Fact 4. A rare DNA fusion--Advanced genome analysis reveals that the DNA that sets us apart from other primates, including in our advanced brain and nervous system, is the result of an ancient and precise fusion of genes occurring in a way that suggests something beyond evolution made our humanness possible.- Fact 5. Our extraordinary abilities--We are born with the capacity to self-heal, to self-regulate longevity, to activate an enhanced immune response, and to experience deep intuition, sympathy, empathy, and, ultimately, compassion--and to do each of these on demand.In this book, New York Times best-selling author and 2017 Templeton Award nominee Gregg Braden crosses the traditional boundaries of science and spirituality to answer the timeless question at the core of our existence--Who are we?--and to reveal science-based techniques that awaken our uniquely human experiences of deep intuition, precognition, advanced states of self-healing, and much more! Beyond any reasonable doubt, Human by Design reveals that we're not what we've been told, and much more than we've ever imagined.",N/A,N/A,en
World War II at Sea,['Craig L. Symonds'],2018,['History'],"Craig L. Symonds' World War II at Sea offers a definitive naval history of the Second World War presenting the chronology of the naval war, from The London Conference of 1930 to the surrender in Tokyo Bay in 1945, on a global scale for the first time.",5,N/A,en
Oh Crap! Potty Training,['Jamie Glowacki'],2015-06-16,['Family & Relationships'],"""Toilet-training expert Jamie Glowacki's self-published OH CRAP! POTTY TRAINING has sold more than 40,000 copies and has been the ""dirty little secret"" of moms on message boards and in parenting groups for years. Now, this proven, 6-step plan (called ""the WHAT TO EXPECT of potty training books"" for its comprehensive, no-nonsense voice) is available to the general trade audience for the first time""--",N/A,N/A,en
The Seat of the Soul,['Gary Zukav'],2014,['New Age movement'],"Explores a new phase of human evolution that reflects a growing understanding about authentic, spiritual power based on cooperative beliefs and a reverence for life.",N/A,N/A,en
Teach Your Child to Read in 100 Easy Lessons,"['Phyllis Haddox', 'Siegfried Engelmann', 'Elaine Bruner']",1986-06-15,['Education'],"A step-by-step program that shows parents, simply and clearly, how to teach their child to read in just 20 minutes a day.",5,N/A,en
Ben Hogan's Five Lessons,"['Ben Hogan', 'Herbert Warren Wind']",1990,['Sports & Recreation'],You can shoot in the 70's!,5,N/A,en
Factfulness,"['Hans Rosling', 'Ola Rosling', 'Anna Rosling Rönnlund']",2019-03-26,['Critical thinking'],"*the #1 Sunday Times bestseller * instant New York Times bestseller * an Observer 'best brainy book of the decade' * #1 Wall Street Journal bestseller * Irish Times bestseller * Audio bestseller * Guardian bestseller * * Endorsed by Barack Obama, Bill and Melinda Gates and Tom Harford, and Longlisted for the 2018 Financial Times/McKinsey Business Book of the Year* The international bestseller by legendary statisticians Hans, Ola and Anna Rosling: inspiring and revelatory, filled with lively anecdotes and moving stories, Factfulness is an urgent and essential book that will change the way you see the world, and make you realise things are better than you thought.",N/A,N/A,en
The End of Everything,['Katie Mack'],2021-05-04,['Science'],"Mack looks at five ways the universe could end, and the lessons each scenario reveals about the most important concepts in cosmology. --From publisher description.",N/A,N/A,en
Supernatural Horror in Literature,['Howard Phillips Lovecraft'],1945,['Fiction'],N/A,N/A,N/A,en
"My Country, My Life",['Ehud Barak'],2018-05-08,['Biography & Autobiography'],"""One of Israel's most influential and enduring figures, Ehud Barak was born on a kibbutz six years before the establishment of the state. During a long career in the military, he led the country's elite special-forces unit and rose to become armed forces chief of staff before going on to serve as Israel's defense minister and prime minister. This is his story--in his own words, for the very first time. In [this book], Ehud Barak draws on his experience as a military and political leader, son, and father to offer an up-close-and-personal look at both the history and future of Israel. In writing this groundbreaking memoir, he found himself ""\'retracing not just my own life but Israel's, step by step, since our shared infancy.' From the country's creation and founding vision to its seven wars, two intifadas, and everyday conflicts between its Jewish and Palestinian populations, Barak examines the reasons his beloved ancestral homeland is at a crossroads today. Israel may be facing a crisis 'more profound than any in my lifetime,' he writes. Still, he feels 'fundamentally optimistic about our ability to come out stronger and more vigorous on the other side.' Offering candid assessments of his fellow politicians, the American administrations with which he worked, and his own trials and tribulations while in office, Barak argues that the country's current drift toward a 'one-state' solution to the conflict with the Palestinians--with permanent control over the West Bank--will inevitably end in tragedy, eroding its democratic principles and the core values of Zionism and sowing the seeds of future violence. He argues that Israel's own security and national interests dictate that, however long it might take, a two-state solution is the only conceivable destination. By rediscovering the twin pillars on which Israel was built--military might and moral purpose--it can thrive, he believes, and only then can peace and stability in the Middle East be achieved.""--Dust jacket.",N/A,N/A,en
Nonviolent Communication,['Marshall B. Rosenberg'],2015,['Psychology'],Psychologist Marshall Rosenberg lays out a communication and conflict-resolution process focusing on inspiring empathy and listening empathically.,5,N/A,en
The Oxford Illustrated History of the Holy Land,"['Robert G. Hoyland', 'Hugh Godfrey Maturin Williamson']",2018,['History'],"The story of the Holy Land, encompassing the three millennia that saw the birth of Judaism, Christianity, and Islam. Each chapter is written by a leading scholar and is highly illustrated with paintings, photographs, and ancient texts.",N/A,N/A,en
Dinner with Darwin,['Jonathan Silvertown'],2017-09-05,['Cooking'],"What do eggs, flour, and milk have in common? They form the basis of crepes of course, but they also each have an evolutionary purpose. Eggs, seeds (from which flour is derived by grinding) and milk are each designed by evolution to nourish offspring. Everything we eat has an evolutionary history. Grocery shelves and restaurant menus are bounteous evidence of evolution at work, though the label on the poultry will not remind us of this with a Jurassic sell-by date, nor will the signs in the produce aisle betray the fact that corn has a 5,000 year history of artificial selection by pre-Colombian Americans. Any shopping list, each recipe, every menu and all ingredients can be used to create culinary and gastronomic magic, but can also each tell a story about natural selection, and its influence on our plates--and palates. Join in for multiple courses, for a tour of evolutionary gastronomy that helps us understand the shape of our diets, and the trajectories of the foods that have been central to them over centuries--from spirits to spices. This literary repast also looks at the science of our interaction with foods and cooking--the sights, the smells, the tastes. The menu has its eclectic components, just as any chef is entitled. But while it is not a comprehensive work which might risk gluttony, this is more than an amuse bouche, and will leave every reader hungry for more.",N/A,N/A,en
Abraham Lincoln,['Michael Burlingame'],2013-04,['Biography & Autobiography'],"Overview: In the first multi-volume biography of Abraham Lincoln to be published in decades, Lincoln scholar Michael Burlingame offers a fresh look at the life of one of America's greatest presidents. Incorporating the field notes of earlier biographers, along with decades of research in multiple manuscript archives and long-neglected newspapers, this remarkable work will both alter and reinforce current understanding of America's sixteenth president. In volume 2, Burlingame examines Lincoln's presidency and the trials of the Civil War. He supplies fascinating details on the crisis over Fort Sumter and the relentless office seekers who plagued Lincoln. He introduces readers to the president's battles with hostile newspaper editors and his quarrels with incompetent field commanders. Burlingame also interprets Lincoln's private life, discussing his marriage to Mary Todd, the untimely death of his son Willie to disease in 1862, and his recurrent anguish over the enormous human costs of the war.",N/A,N/A,en
