title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Mijn zoon heeft een seksleven en ik lees mijn moeder Roodkapje voor,['Renate Dorrestein'],2006,['Novel'],Een bijna vijftigjarige vrouw wordt erg op de proef gesteld als ze naast de problemen met haar puberkinderen en haar menopauze ook nog de zorg krijgt voor haar dementerende moeder.,4,N/A,nl
Le roi de Kahel,['Tierno Monénembo'],2008,"['Africa, West']","Roman librement inspiré de la vie d'Olivier de Sanderval (conquérant du royaume peul du Fouta-Djalon, précurseur de la colonisation de l'Afrique de l'Ouest).",5,N/A,fr
De ontdekking van Moskou / druk 1,['Harry Mulisch'],2015-10-05,[],N/A,N/A,N/A,nl
Imago,['Francesca Rendle-Short'],1996,['Fiction'],"Molly Rose Moon dreamt of worms the night before she married Jimmy Brown in Tooting Bec. The young couple were on their way to Australia. When Molly agrees to go on a journey across hemispheres she’s looking for an escape from home. Once there she meets Marj. Fat Marj. Imago is a story of love and obsession, of seduction and transformations. It’s a story of metamorphosis, taking and eating, larvae and pupae, the risks of stagnation.",N/A,N/A,en
Steal You Away,['Niccolò Ammaniti'],2006,['Fiction'],"Twelve-year-old Pietro reaches crisis point in the tiny village of Ischiano Scalo, where escape from a life of boredom and emptiness is almost impossible.",N/A,N/A,en
Si Phaendin,['Kukrit Pramoj (M.R.)'],1981,['Fiction'],N/A,N/A,N/A,en
Madam Bovary,['Gustave Flaubert'],2011,['French literature'],N/A,N/A,N/A,tr
Listen to My Voice,['Susanna Tamaro'],2008,['Fiction'],"A companion novel to the bestselling 'Follow Your Heart', this is the moving story of a young woman who sets out to make sense of her past.",N/A,N/A,en
The Adventures of Sherlock Holmes,['Arthur Conan Doyle'],1987,['Fiction'],A Scandal in Bohemia -- The Red-headed league -- A case of identify -- The Boscombe Valley mystery -- The Five orange pips -- The Man with the twisted lip -- The Adventure of the blue carbuncle -- The Adventure of the speckled bnad -- The Adventure of the engineer's thumb -- The Adventure of the noble bachelor -- The Adventure of the beryl coronet -- The Adventure of the copper beeches.,N/A,N/A,en
The Prince and the Pauper,['Mark Twain'],1988,['Juvenile Fiction'],"Mark Twain was born Samuel Langhorne Clemens. His humorous tales of human nature, especially ""The Adventures of Tom Sawyer"" (1876) and ""The Adventures of Huckleberry Finn"" (1884), remain standard texts in high school and college literature classes. Twain was born and died in years in which Halley's Comet passed by Earth: 1835 and 1910.",N/A,N/A,en
