title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Practical Applications in Sports Nutrition,"['Heather Hedrick Fink', 'Alan E. Mikesky']",2015,['Athletes'],N/A,N/A,N/A,en
Population and Nutrition,['Massimo Livi Bacci'],1990,['History'],"In this essay, the mechanisms of biological, social and cultural nature linking subsistence, mortality and population are discussed.",N/A,N/A,en
Handbook of Nutrition and Pregnancy,"['Carol J. Lammi-Keefe', 'Sarah C. Couch', 'John P. Kirwan']",2018-08-03,['Medical'],"​This easy to use text provides practitioners and researchers with a global view of current and emerging issues concerned with successful pregnancy outcomes and approaches that have been successful or show promise in ensuring a successful pregnancy. The fully updated and revised second edition expands its scope with topics not covered in the first edition including pregnancy and military service; sleep disorders during pregnancy; the gut microbiome during pregnancy and the newborn; requirement for vitamin D in pregnancy; the environment—contaminants and pregnancy; preeclampsia and new approaches to treatment; health disparities for whites, blacks, and teen pregnancies; depression in pregnancy—role of yoga; safe food handling for successful pregnancy outcome; relationship of epigenetics and diet in pregnancy; caffeine during pregnancy; polycystic ovary syndrome; US Hispanics and preterm births; celiac disease and pregnancy; cannabis use during pregnancy. The second edition of Handbook of Nutrition and Pregnancy will be a valuable resource for clinicians and other healthcare professionals who treat and counsel women of child-bearing age and pregnant women.",N/A,N/A,en
Essentials of Human Nutrition,"['Jim Mann', 'Stewart Truswell']",2012-01-26,['Education'],"Essentials of Human Nutrition offers a broad, quality survey of the field, charting the involvement and impact of nutrition across different age groups, and from the genetic to the community level. It draws together the diverse disciplines necessary to promote the practical application of nutritional science.",N/A,N/A,en
Terrors of the Table,['Walter Gratzer'],2005-09-29,['Health & Fitness'],"Terrors of the Table is an absorbing account of the struggle to find the necessary ingredients of a healthy diet, and the fads and quackery that have always waylaid the unwary and the foolish when it comes to the matter of food and health. Walter Gratzer tells the tale of nutrition's heroes, heroines and charlatans with characteristic crispness and verve. We find an array of colourful personalities, from the distinguished but quarrelsome Liebig, to the enterprising LydiaPinkham. But we also find the slow recognition that the lack of vital ingredients can cause terrible illnesses - scurvy, rickets, beriberi. These diseases stalked the poor in the West even into the 20th century, and scandalously remain in poorer parts of the world today. The narrative stretches from classicaltimes to the modern day and gives a valuable historical perspective to our current understanding. It also highlights some of the problems faced by the developed world regarding health today - in particular diabetes and obesity. And despite our far greater understanding of what our body needs, there are still many who would fall for fads and fancy diets - some dangerous, others just daft.Of course, the story of nutrition does not end there. We have discovered the key vitamins and minerals our body needs, but research continues on the connections between diet, health and disease. The body's biochemistry is complex, and there are no easy answers, no magic formula, that applies to all individuals. The safest and most rational course would seem to be a sensible, moderate, and varied diet, not forgetting that 'a little of what you fancy does you good'.",4,N/A,en
Nutrition and Infectious Diseases,"['Debbie L. Humphries', 'Marilyn E. Scott', 'Sten H. Vermund']",2020-12-10,['Medical'],"This comprehensive and user-friendly volume focuses on the intersection between the fields of nutrition and infectious disease. It highlights the importance of nutritional status in infectious disease outcomes, and the need to recognize the role that nutrition plays in altering the risk of exposure and susceptibility to infection, the severity of the disease, and the effectiveness of treatment. Split into four parts, section one begins with a conceptual model linking nutritional status and infectious diseases, followed by primers on nutrition and immune function, that can serve as resources for students, researchers and practitioners. Section two provides accessible overviews of major categories of pathogens and is intended to be used as antecedents of pathogen-focused subsequent chapters, as well as to serve as discrete educational resources for students, researchers, and practitioners. The third section includes five in-depth case studies on specific infectious diseases where nutrition-infection interactions have been extensively explored: diarrheal and enteric disease, HIV and tuberculosis, arboviruses, malaria, and soil-transmitted helminths. The final section addresses cross-cutting topics such as drug-nutrient interactions, co-infections, and nutrition, infection, and climate change and then concludes by consolidating relevant clinical and public health approaches to addressing infection in the context of nutrition, and thus providing a sharp focus on the clinical relevance of the intersection between nutrition and infection Written by experts in the field, Nutrition and Infectious Diseases will be a go to resource and guide for immunologists, clinical pathologists, sociologists, epidemiologists, nutritionists, and all health care professionals managing and treating patients with infectious diseases.",N/A,N/A,en
Clinical Nutrition of the Essential Trace Elements and Minerals,"['John D. Bogden', 'Leslie M. Klevay']",2000-07-26,['Medical'],"The Nutrition and Health series of books have, as an overriding mission, to provide health professionals with texts that are considered essential because each includes 1) a synthesis of the state of the science, 2) timely, in-depth reviews by the leading researchers in their respective fields, 3) extensive, up-to-date fully annotated reference lists, 4) a detailed index, 5) relevant tables and figures, 6) identification of paradigm shifts and the consequences, 7) virtually no overlap of information between chapters, but targeted, inter-chapter referrals, 8) suggestions of areas for future research, and 9) bal anced, data-driven answers to patient questions which are based upon the totality of evidence rather than the findings of any single study. The series volumes are not the outcome of a symposium. Rather, each editor has the potential to examine a chosen area with a broad perspective, both in subject matter as well as in the choice of chapter authors. The international perspective, especially with regard to public health initiatives, is emphasized where appropriate. The editors, whose trainings are both research and practice oriented, have the opportunity to develop a primary objec tive for their book; define the scope and focus, and then invite the leading authorities from around the world to be part of their initiative. The authors are encouraged to provide an overview of the field, discuss their own research and relate the research findings to potential human health consequences.",N/A,N/A,en
A History of Food,['Maguelonne Toussaint-Samat'],1992,['Cooking'],"Now in paperback, here is the fascinating, definitive history of cuisine and eating. Magauelonne Toussaint-Samat looks at the transition from a vegetable to an increasingly meat-based diet, as well as the relationship between people and what they eat, between particular foods and social behavior, and between dietary habits and methods of cooking.",N/A,N/A,en
Lipids in Health and Nutrition,['John H. P. Tyman'],1999,['Medical'],The wide coverage of the apparently dual nature of lipids provides the latest information for graduates and researchers in the food science and nutrition areas.,N/A,N/A,en
Preventive Nutrition,['Adrianne Bendich'],2013-04-18,['Medical'],"Leading medical authorities and clinicians comprehensively review and critically assess the newest nutritional approaches to preventing or delaying disease processes to create the single most comprehensive resource for health professionals seeking to improve individual health outcomes through nutrition. Along the way these distinguished scientists develop specific nutrient recommendations and illuminate not only the relationship between diet on the one hand and cancer, cardiovascular disease, and diabetes on the other, but also the dietary prevention of cataracts, osteoporosis, and immune dysfunction. In addition, they examine the exciting current research linking nutritional status with the prevention of birth defects, as well as with the optimization of the health and intellectual capacity of children. Their pathbreaking reviews clearly spell out the public health implications of preventive nutrition strategies for the US and Europe, as well as emerging nations and developing countries worldwide.",N/A,N/A,en
