title,authors,publishedDate,categories,description,averageRating,textSnippet,language
City of Heavenly Fire,['Cassandra Clare'],2015-05-05,['Juvenile Nonfiction'],"""Darkness has descended on the Shadowhunter world. Chaos and destruction overwhelm the Nephilim as Clary, Jace, Simon, and their friends band together to fight the greatest evil they have ever faced: Clary's own brother. Nothing in this world can defeat Sebastian--but if they journey to the realm of demons, they just might have a chance..""--",5,N/A,en
Like water for chocolate,['Laura Esquivel'],1994-09-01,['Fiction'],"Despite the fact that she has fallen in love with a young man, Tita, the youngest of three daughters born to a tyrannical rancher, must obey tradition and remain single and at home to care for her mother. Reprint. Movie tie-in.",4,N/A,en
The Witches of Worm,['Zilpha Keatley Snyder'],1972,['Juvenile Fiction'],"Jessica has read enough books to know that her cat Worm must be a witch’s cat. He’s cast a spell on her, but to whom can she turn? After all, no one will believe that Worm has bewitched her . . . or worse,",N/A,N/A,en
The Ring of Fire,['Shirley Rousseau Murphy'],1977-01-01,['Fantasy'],"Although the children of Ynell have always been subject to death because of their occult powers, they suddenly are threatened by a greater evil.",N/A,N/A,en
The Magus,['Francis Barrett'],2000-03,"['Body, Mind & Spirit']","This long-renowned and often-referenced classic contains the ancient and modern practice of the Cabalistic art. Includes information on the occult properties of metals, herbs and stones, good and evil spirits, the nature, creation, and fall of man, andthe magical power inherent in the Soul. A classic reference! Contains five color plates reproduced from the originals, using modern methods for color accuracy not achieved in previous reprints. Smythe-sewn, printed on acid-free paper.",4,N/A,en
Glimpses of the Supernatural,['Frederick George Lee'],1875,['Occult'],N/A,N/A,N/A,en
Book of Shadows,['Cate Tiernan'],2000-10,['Fiction'],"Seventeen-year-old Morgan makes a surprising discovery: witchcraft is an intrinsic part of who she is--and who she will become!Morgan thinks witchcraft is laughable when her best friend Bree drags her to a meeting of the Cirrus Coven. But during a cermony led by Cal, Morgan's long-time crush, Morgan feels a shock. Suddenly everything looks brighter, clearer. Morgan doesn't want to get involved with witchcraft--but she feels like witchcraft is choosing her.",4.5,N/A,en
The Dream Thieves,['Maggie Stiefvater'],2013,['Juvenile Fiction'],"While Ronan struggles with intensifying and pervasive dreams triggered by the resurrected ley lines around Cabeswater, Ganey's search for clues to a local puzzle is threatened by dangerous adversaries. By the best-selling author of The Scorpio Races. 150,000 first printing.",N/A,N/A,en
The Stake,['Richard Laymon'],1991,['Horror tales'],"A horror writer, Larry Dunbar uncovers the body of a high school girl, who had been sacrificed on the altar of a madman's obsession to rid the Earth of a vampire's curse. A world of horrors was born the day the stake was driven into the girl's heart, and Dunbar wants to pull it out.",N/A,N/A,en
Pure,['Jennifer L. Armentrout'],2012,"['Andros, Alexandria (Fictitious character)']","There is need. And then there is Fate. Being destined to become some kind of supernatural electrical outlet isn't exactly awesome--especially when Alexandria's other half is everywhere she goes. Seth's in her training room, outside her classes, and keeps showing up in her bedroom--so not cool. Their connection does have some benefits, like staving off her nightmares of the tragic showdown with her mother, but it has no effect on what Alex feels for the forbidden, pure-blooded Aiden. Or what he will do--and sacrifice--for her. When daimons infiltrate the Covenants and attack students, the gods send furies--lesser gods determined to eradicate any threat to the Covenants and to the gods, and that includes the Apollyon--and Alex. And if that and hordes of aether-sucking monsters didn't blow bad enough, a mysterious threat seems willing to do anything to neutralize Seth, even if that means forcing Alex into servitude--or killing her. When the gods are involved, some decisions can never, ever be undone.",5,N/A,en
