title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Sedimentary Basins,['Gerhard Einsele'],2012-12-06,['Science'],"The modern geological sciences are characterized by extraordinarily rapid progress, as well as by the development and application of numerous new and refined methods,most of them handling an enormous amount of data available from all the continents and oceans. Given this state of affairs, it seams inevitable that many students and professionals tend to become experts in relatively narrow fields and there by are in danger of losing a broad view of current knowledge. The abun dance of new books and symposium volumes testifies to this trend toward specialization. However, many geologic processes are complex and result from the interaction of many, seemingly unrelated, individual factors. This signifies that we still need generalists who have the broad overview and are able to evaluate the great variety of factors and processes controlling a geologic system, such as a sedimentary basin. In addition, this also means that cooperation with other disciplines in the natural sciences and engi neering is increasingly important. Modern text books providing this broad overview of the earth sciences are rare. Some are written by several authors together to make sure that all topics are treated properly. When individual authors write a book, they run the risk of creating a text that is less balanced, because they cannot avoid indulging their own preferences for specific topics and field examples. However, this disadvantage can be compensated for by the fact that just one author can produce a more concise and uniform text and include ap propriate cross references.",N/A,N/A,en
Descriptive Physical Oceanography,"['George L. Pickard', 'William J. Emery']",1990-01-15,['Science'],"'Descriptive Physical Oceanography: An Introduction' 5th edition provides an introduction to descriptive (synoptic) physical oceanography for science undergraduates and early graduate students. There has been an updating of topics such as the heat budget, instruments (particularly the use of satellites), a complete revision of the material on equatorial oceanography, sea-ice physics and distribution and El Nino and information has been added on thermohaline circulation, mixing nad coral reef oceanography.",1,N/A,en
Waves in the Ocean,"['Paul H. LeBlond', 'Lawrence A. Mysak']",1978,['NATURE'],N/A,N/A,N/A,en
Descriptive Physical Oceanography,['George L. Pickard'],1979,['Science'],N/A,N/A,N/A,en
Oceanic Histories,"['David Armitage', 'Alison Bashford', 'Sujit Sivasundaram']",2018,['Business & Economics'],"Freshly presents world history through its oceans and seas in uniquely wide-ranging, original chapters by leading experts in their fields.",N/A,N/A,en
Marine Geochemistry,"['Horst D. Schulz', 'Matthias Zabel']",2006-03-09,['Science'],"Since 1980 a considerable amount of scientific research dealing with geochemical processes in marine sediments has been carried out. This textbook summarizes the state-of-the-art in this field of research providing a complete representation of the subject and including the most recent findings. The topics covered include the examination of sedimentological and physical properties of the sedimentary solid phase. A new chapter describes properties, occurrence and formation of gas hydrates in marine sediments. The textbook ends with a chapter on model conceptions and computer models to quantify processes of early diagenesis.",N/A,N/A,en
Physical Oceanography of the Dying Aral Sea,['Peter O. Zavialov'],2007-03-06,['Science'],"Physical Oceanography of the Dying Aral Sea describes the background, present crisis state, and possible future of this peculiar inland water body from the physical oceanographic standpoint. Based on a wide range of material, a large part of which was published in Russian and has not been previously available to the international reader, the book first provides an historical overview of this unique system, which possesses both lake and sea properties. Next, the current physical state of the lake is described, partly based on original field research and model experiments, along with the remote sensing data, model results and analyses extracted from recent literature. Next, book attempts to forecast the forthcoming state of the Aral Sea and identify plausible future scenarios. Finally, the book discusses the Aral Sea dessication viewd as a part of the global perspective.",N/A,N/A,en
Stable Isotope Geochemistry,['Jochen Hoefs'],2009-01-13,['Science'],"Stable Isotope Geochemistry is an introduction to the use of stable isotopes in the geosciences. It is subdivided into three parts: theoretical and experimental principles; fractionation processes of light and heavy elements; the natural variations of geologically important reservoirs. Since the application of stable isotopes to earth sciences has grown in the last few years, a new edition appears necessary. Recent progress in analysing the rare isotopes of certain elements for instance allow the distinction between mass-dependent and mass-independent fractionations. Special emphasis has been given to the growing field of ""heavy"" elements. Many new references have been added, which will enable quick access to recent literature. For students and scientists alike the book will be a primary source of information with regard to how and where stable isotopes can be used to solve geological problems.",5,N/A,en
"The Cnidaria, Past, Present and Future","['Stefano Goffredo', 'Zvy Dubinsky']",2016-09-07,['Science'],"This volume presents a broad panorama of the current status of research of invertebrate animals considered belonging to the phylum Cnidaria, such as hydra, jellyfish, sea anemone, and coral. In this book the Cnidarians are traced from the Earth’s primordial oceans, to their response to the warming and acidifying oceans. Due to the role of corals in the carbon and calcium cycles, various aspects of cnidarian calcification are discussed. The relation of the Cnidaria with Mankind is approached, in accordance with the Editors’ philosophy of bridging the artificial schism between science, arts and Humanities. Cnidarians' encounters with humans result in a broad spectrum of medical emergencies that are reviewed. The final section of the volume is devoted to the role of Hydra and Medusa in mythology and art.",N/A,N/A,en
The Oceans and Climate,['Grant R. Bigg'],2003-12-11,['Science'],"The oceans are an integral and important part of the climate system. The Oceans and Climate introduces the multi-disciplinary controls on air-sea interaction - physical, chemical and biological - and shows how these interact. It demonstrates how the ocean contributes to, and is affected by, climate processes on timescales from seasonal to millennial and longer. Past, present and future relationships between the ocean and climate are discussed. The new edition of this successful textbook has been completely updated throughout, with extensive new material on thermohaline processes in the ocean and their link to both abrupt climate change and longer-term climate change. It will prove an ideal course and reference book for undergraduate and graduate students studying earth and environmental sciences, oceanography, meteorology and climatology. The book will also be useful for students and teachers of geography, physics, chemistry and biology.",N/A,N/A,en
