title,authors,publishedDate,categories,description,averageRating,textSnippet,language
"Fundamentals Of Management: Concepts, Application And Skill Development",['Robert N Lussier'],2008,['Controlling'],N/A,N/A,N/A,en
In the Kitchen with Heloise,['Heloise'],2000,['Business & Economics'],"Tips on cooking, cleaning and organizing a kitchen.",N/A,N/A,en
Objectives and Design of Environmental Monitoring Programmes for Radioactive Contaminants,"['International Atomic Energy Agency', 'World Health Organization']",1975,['Business & Economics'],N/A,N/A,N/A,en
Quality Assurance During Commissioning and Operation of Nuclear Power Plants,['International Atomic Energy Agency'],1986,['Business & Economics'],N/A,N/A,N/A,en
"Women, Violence and Human Rights",[],1992,['Human rights'],N/A,N/A,N/A,en
Guidebook on Training to Establish and Maintain the Qualification and Competence of Nuclear Power Plant Operations Personnel,[],1994,['Nuclear power plants'],N/A,N/A,N/A,en
Code pour la sûreté des centrales nucléaires,[],1989,[],N/A,N/A,N/A,en
Code pour la sûreté des centrales nucléaires,[],1989,[],N/A,N/A,N/A,en
OSART Guidelines,['International Atomic Energy Agency. IAEA.'],1992,['Education'],N/A,N/A,N/A,en
"Selection, Competency Development and Assessment of Nuclear Power Plant Managers",[],1998,[],N/A,N/A,N/A,en
Policy Document on Nuclear Emergency Planning and Response in the Netherlands,"['Netherlands. Ministerie van Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer']",1989,['Emergency plans'],N/A,N/A,N/A,en
Medical aspects of the Chernobyl accident,[],1989,"['Chernobyl Nuclear Accident, Chornobylʹ, Ukraine, 1986']",N/A,N/A,N/A,en
Analysis of Replies to an IAEA Questionnaire on Regulatory Practices in Member States with Nuclear Power Programmes,[],1988,['Nuclear facilities'],N/A,N/A,N/A,en
Code on the Safety of Nuclear Power Plants,['International Atomic Energy Agency'],1989,[],N/A,N/A,N/A,en
Management of Works,"['Broadwell,William E.']",1971,['Successful manager'],N/A,N/A,N/A,en
Procedures for Treating Common Cause Failures in Safety and Reliability Studies,"['Pickard, Lowe, and Garrick, Inc. U.S. Nuclear Regulatory Commission. Electric Power Research Institute']",1988,['Bwr type reactors'],N/A,N/A,N/A,en
"National Nuclear Safety Administration, People's Republic of China",['National Nuclear Safety Administration'],1994,['Chinese nnsa'],N/A,N/A,N/A,zh-CN
Code on the safety of nuclear power plants,['International Atomic Energy Agency. IAEA.'],1990,['Containment'],N/A,N/A,N/A,zh-CN
SCART Guidelines,['International Atomic Energy Agency'],2008,[],N/A,N/A,N/A,en
Nuclear Powerplant Organization and Staffing for Improved Performance,[],1998,[],N/A,N/A,N/A,en
ASCOT Guidelines,['International Atomic Energy Agency'],1996,['Administrative procedures'],N/A,N/A,N/A,en
OSART results II,[],1989,[],N/A,N/A,N/A,en
Code on the Safety of Nuclear Power Plants,['International Atomic Energy Agency'],1988-01-01,[],N/A,N/A,N/A,en
Emergency preparedness exercises for nuclear facilities,['International Atomic Energy Agency'],1991,['Education'],N/A,N/A,N/A,en
Research and Teaching Nuclear Sciences at Universities in Developing Countries,['International Atomic Energy Agency. IAEA.'],1981,['Developing countries'],N/A,N/A,N/A,en
Heat and Mass Transfer in Nuclear Power Plants,['International Atomic Energy Agency'],1971,['Dryout'],N/A,N/A,N/A,en
Развитие культуры безопасности в ядерной деятельности : практические предложения по содействию прогрессу,['International Atomic Energy Agency'],2000-01-01,[],This Safety Report supplements Safety Series No. 75-INSAG-4: Safety Culture (1991) in describing practices that have proved valuable in establishing and maintaining a sound safety culture.,N/A,N/A,en
Fire Protection in Nuclear Power Plants,['International Atomic Energy Agency'],1992-01-01,[],N/A,N/A,N/A,en
Design of the Reactor Containment Systems in Nuclear Power Plants,['International Atomic Energy Agency'],1985-01-01,[],N/A,N/A,N/A,en
Effective Management of Organizational Changes in Nuclear Facilities [videorecording],['International Atomic Energy Agency'],2007,['IAEA.'],N/A,N/A,N/A,en
World Association of Nuclear Operators Performance Indicators 2006,['World Association of Nuclear Operators'],2006,['Atomic energy agreements'],N/A,N/A,N/A,en
Organizational Analysis and Safety for Utilities with Nuclear Power Plants,['R. N. Osborn'],1983,['Bwr type reactors'],N/A,N/A,N/A,en
"Regulatory Inspection Activities Related to Radiation Protection, Long Shutdowns and Subsequent Restarts, and the Use of Objective Indicators in Evaluating the Performance of Plants",['OECD Nuclear Energy Agency. Committee on the Safety of Nuclear Installations'],2001,['Inspection'],N/A,N/A,N/A,en
Guidelines and Workbook for Assessment of Organization and Administration of Utilities Seeking Operating License for a Nuclear Power Plant,[],1986,['Nuclear power plants'],N/A,N/A,N/A,en
Annual Report - Autoridad Regulatoria Nuclear,['Autoridad Regulatoria Nuclear (Argentina)'],1997,['Argentine organizations'],N/A,N/A,N/A,en
Maintenance of Nuclear Power Plants,['International Atomic Energy Agency'],1991,[],N/A,N/A,N/A,en
Safe Handling of Plutonium,[],1974,[],N/A,N/A,N/A,en
Linking Women's Global Struggles to End Violence,['Match International Centre'],1990,['Organizing'],N/A,N/A,N/A,en
"Organizing for Dummies, Australian Target Edition",['Roth'],2009-07-22,[],N/A,N/A,N/A,en
"Harwell Laboratory (Oxfordshire, England) [technical Report].","['Harwell Laboratory (Oxfordshire, England)']",1958,['Aere'],N/A,N/A,N/A,en
