title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Christianity and Paganism in the Fourth to Eighth Centuries,['Ramsay MacMullen'],1997-01-01,['Religion'],"The slaughter of animals for religious feasts, the tinkling of bells to ward off evil during holy rites, the custom of dancing in religious services--these and many other pagan practices persisted in the Christian church for hundreds of years after Constantine proclaimed Christianity the one official religion of Rome. In this book, Ramsay MacMullen investigates the transition from paganism to Christianity between the fourth and eighth centuries. He reassesses the triumph of Christianity, contending that it was neither tidy nor quick, and he shows that the two religious systems were both vital during an interactive period that lasted far longer than historians have previously believed. MacMullen explores the influences of paganism and Christianity upon each other. In a rich discussion of the different strengths of the two systems, he demonstrates that pagan beliefs were not eclipsed or displaced by Christianity but persisted or were transformed. The victory of the Christian church, he explains, was one not of obliteration but of widening embrace and assimilation. This fascinating book also includes new material on the Christian persecution of pagans over the centuries through methods that ranged from fines to crucifixion; the mixture of motives in conversion; the stubbornness of pagan resistance; the difficulty of satisfying the demands and expectations of new converts; and the degree of assimilation of Christianity to paganism.",N/A,N/A,en
The Pagan Temptation,['Thomas Steven Molnar'],1987,['Religion'],N/A,N/A,N/A,en
"Iamblichus, De Mysteriis",['Iamblichus'],2003,"['Body, Mind & Spirit']","This volume presents the first modern English translation of Iamblichus’s De mysteriis alongside the standard critical edition of the text by Édouard Des Places (Les Belles Lettres, 1966). This important work, which provides a unique insight into the mystical side of late Neoplatonism, has hitherto been neglected to an unfortunate degree, partly due to its inaccessibility. Iamblichus argues that the only true good is union with the gods and that the only route to this divine union is theurgy—religious ritual demonstrating supernatural power—which both symbolizes and encapsulates the extraordinary miracle of the soul’s conversion back to its divine origin. The process of sacrifice, the activities of angels and demons, the meaning of divine possession, and the functioning of oracles are all examined in this extraordinary defense of theurgic mysticism against contemporary critics such as Porphyry. Clarke, Dillon, and Hershbell bring this famous and fascinating text to light through their introduction and extensive notes.",N/A,N/A,en
The Case Against the Pagans,['Arnobius (of Sicca.)'],1949,['Apologetics'],N/A,N/A,N/A,en
A Chronicle of the Last Pagans,['Pierre Chuvin'],1990,['History'],"A Chronicle of the Last Pagans is a history of the triumph of Christianity in the Roman Empire as told from the perspective of the defeated: the adherents of the mysteries, cults, and philosophies that dominated Greco-Roman culture. With a sovereign command of the diverse evidence, Pierre Chuvin portrays the complex spiritual, intellectual, and political lives of professing pagans after Christianity became the state religion. While recreating the unfolding drama of their fate--their gradual loss of power, exclusion from political, military, and civic positions, their assimilation, and finally their persecution--he records a remarkable persistence of pagan religiosity and illustrates the fruitful interaction between Christianity and paganism. The author points to the implications of this late paganism for subsequent developments in the Byzantine Empire and the West. Chuvin's compelling account of an often forgotten world of pagan culture rescues an important aspect of our spiritual heritage and provides new understanding of Late Antiquity.",N/A,N/A,en
Aspects of Anglo-Saxon Magic,['Bill Griffiths'],1996,['History'],"Magic is something unauthorised, an alternative perhaps, even a deliberate cultivation of dark, evil powers. But for the Anglo-Saxon age, the neat division between mainstream and occult, rational and superstitious, Christian and pagan is not always easy to discern. To maintain its authority, the church drew a formal line and outlawed a number of dubious practices, such as divination, spells, and folk healing while at the same time conducting very similar rituals itself. It would seem that there was a convergence of the two cultures, native and Christian and this may effect the tendency to view pagan gods as near omnipotent beings.",N/A,N/A,en
Her Share of the Blessings,['Ross Shepard Kraemer'],1992,['History'],"In this pathbreaking volume, Kraemer provides the first comprehensive look at women's religions in Greco-Roman antiquity, vividly recreating the religious lives of early Christian, Jewish, and pagan women. She offers many fascinating examples, and in every case, reveals the connections between the social constraints under which women lived and their religious beliefs and practices.",N/A,N/A,en
Her Hidden Children,['Chas Clifton'],2006,"['Body, Mind & Spirit']","The history of any religious movement can get murky. But the history of American Paganism--with so many invented lineages, so many solitary practitioners, so much resistance to staid definition, so much hiddenness--is especially hard to decipher. But here in Her Hidden Children Chas Clifton tells many never-before-told stories of the origins of Paganism and Wicca in the United States. The people, publications, and organizations that allowed Paganism and Wicca to set roots down in American soil and become ""nature religion"" are revealed in delicious detail. With a timeline, glossary, and photos of important figures,Her Hidden Children is compelling and important for any student of Paganism or American Religion.",5,N/A,en
The Case Against the Pagans: Sacrifices and ceremonials,['Arnobius (of Sicca.)'],1949,['Apologetics'],N/A,N/A,N/A,en
"Heathen, Hindoo, Hindu",['Michael J. Altman'],2017,['History'],"Heathen, Hindoo, Hindu is a groundbreaking analysis of American representations of religion in India before the turn of the twentieth century. Before Americans wrote about ""Hinduism,"" they wrote about ""heathenism,"" ""the religion of the Hindoos,"" and ""Brahmanism."" Americans used the heathen, Hindoo, and Hindu as an other against which they represented themselves. The questions of American identity, classification, representation and the definition of ""religion"" that animated descriptions of heathens, Hindoos, and Hindus in the past still animate American debates today.",N/A,N/A,en
