title,authors,publishedDate,categories,description,averageRating,textSnippet
Painting and Experience in Fifteenth Century Italy,['Michael Baxandall'],1974,['Art and society'],N/A,N/A,N/A
Early Netherlandish Painting,"['National Gallery of Art (U.S.)', 'John Oliver Hand', 'Martha Wolff']",1986,['Art'],"The volume contains entries for paintings in the National gallery that were produced in the fifteenth and sixteenth centuries by artists from the Netherlands. The entries are arranged alphabetically by artist; a short biography and bibliography for each artist is followed by individual entries on the paintings, each in order of acquisition. The authors address traditional questions of attributes and iconography; in addition, they examine the social, economic, and religious context in which the individual work of art functioned. The volume is also probable the first museum catalogue to include the results of examination by infrared reflectography and dendrochronological analysis.",N/A,N/A
Painters on Painting,['Eric Protter'],1971,['Art'],N/A,N/A,N/A
The Artist's Handbook of Materials and Techniques,['Ralph Mayer'],1970,"[""Artists' materials""]",N/A,N/A,N/A
A Treatise on Painting,['Cennino Cennini'],1844,['Painting'],N/A,N/A,N/A
Modern Painters,['John Ruskin'],1888,['Aesthetics'],N/A,N/A,N/A
Caspar David Friedrich,"['William Vaughan', 'Caspar David Friedrich']",2004-11,['Art'],A introduction to the leading artist of the German Romantic movement of the 19th century.,N/A,N/A
The Seven Lamps of Architecture,['John Ruskin'],1874,['Architecture'],N/A,N/A,N/A
Sam's Painting,['Joan Jarden'],2001,['Juvenile Fiction'],Designed to be used by children in their first six months of school PM Starters One and Two,N/A,N/A
Rembrandt,['Ernst van de Wetering'],2009-04-06,['Art'],"“Ernst van de Wetering's wonderful book has taken us further than almost any study over the past twenty years, towards an understanding of the machinery of Rembrandt's genius. No one attempting to write about Rembrandt in the future will be able to do so without taking this fine work into account.” —Simon Schama ""Who would not have wanted to look over Rembrandt's shoulder while he painted? Among the countless books on Rembrandt, that by Ernst van de Wetering comes closest to conveying something of this experience because the author combines the qualifications of a trained connoisseur and of a practising painter."" —Ernst Gombrich",N/A,N/A
The Artist's Reality,['Mark Rothko'],2004-01-01,['Art'],"This recently discovered manuscript by the celebrated artist Mark Rothko offers a landmark discussion of his views on topics ranging from the Renaissance to contemporary art, criticism, and the role of art and artists in society.",N/A,N/A
Portraits by Ingres,"['Jean-Auguste-Dominique Ingres', 'National Gallery (Great Britain)']",1999,['Art'],Om portrætter af den franske maler Jean Auguste Dominique Ingres (1780-1867),N/A,N/A
A Treatise on Painting,['Leonardo (da Vinci)'],1877,"['Anatomy, Artistic']",N/A,N/A,N/A
Uffizi Gallery,"['Gloria Fossi', 'Galleria degli Uffizi']",2001,['Art'],"The Uffizi Gallery in Florence is one of the oldest and most famous art museums in the world. First commissioned as offices for the Florentine magistrates by Cosimo de Medici, it is now houses some of the world¿s most outstanding works of art. This superb volume offers a comprehensive, detailed, and informative look at the entire exhibited collection of the Gallery ¿ from masterpieces such as Botticelli¿s The Birth of Venus and Caravaggio¿s Medusa to many works of classical sculpture. The Uffizi Gallery also provides readers with an insightful look at the gallery¿s origins and history, as well as discussions about ongoing restoration efforts, and biographies of selected artists.",N/A,N/A
From Van Eyck to Bruegel,"['Metropolitan Museum of Art (New York, N.Y.)']",1998,['Art'],"Published in conjunction with the 1999 exhibition of the same name, ten essays and 317 illustrations (157 in color) depict northern Renaissance painting in Belgium and the Netherlands. This lovely book includes such artists as Van Eyck, Campin, Van der Weyden, David, Memling, and Bruegel, and contains commentaries on individual works, an appendix of paintings not covered in the text, artists' biographies, a glossary, a bibliography, and comparative illustrations. Oversize: 9.5x11.25""Annotation copyrighted by Book News, Inc., Portland, OR",N/A,N/A
Picture this,['Joseph Heller'],1988,['Fiction'],"""Mr. Heller treats the whole panorama of history past and present with the bravado of Mark Twain in one of his sassier moods."" The New York Times Book Review A keenly satirical look at the world of art and museums by the author of the modern classic, Catch-22.",N/A,N/A
