title,authors,publishedDate,categories,description,averageRating,textSnippet
Human Skeletal Remains,['Douglas H. Ubelaker'],1989,['Science'],"Ubelaker's awareness of problems and inadequacies in the excavation procedures and preservation of osteological remains spurred him to publish this book. His aim was to produce a manual which would enhance the appreciation of all kinds of human remains and to outline the procedures for excavating, processing and analysing them. He deals with both the familiar and common problems and issues which arise and many of the anomalies which may be encountered. Technical terms are used and explained in an attempt to encourage use of correct terminology. Contents: Introduction; Skeletal recovery; Sex, stature, and age; Cultural and pathological alterations; Race, identity and time since death; Prehistoric population dynamics.",N/A,N/A
The zoology of the voyage of H.M.S. Beagle,['Charles Darwin'],1842,"['Mammals, Fossil']",N/A,N/A,N/A
"Principles of Geology; Or, the Modern Changes of the Earth and Its Inhabitants",['Sir Charles Lyell'],1842,['Geology'],N/A,N/A,N/A
Principles of Geology,['Sir Charles Lyell'],1842,['Evolution'],N/A,4,N/A
The Proterozoic Biosphere,"['J. William Schopf', 'Cornelis Klein']",1992-06-26,['Science'],"First published in 1992, The Proterozoic Biosphere was the first major study of the paleobiology of the Proterozoic Earth.",N/A,N/A
Vestiges of the Natural History of Creation,['Robert Chambers'],1845,['Creation'],N/A,N/A,N/A
The Wisdom of the Bones,"['Alan Walker', 'Pat Shipman']",1996,['Science'],8 pages of photographs and 13 illustrations in text,N/A,N/A
Bulletin of the American Museum of Natural History,['Joel Asaph Allen'],1890,['Anthropology'],"Comprises articles on geology, paleontology, mammalogy, ornithology, entomology and anthropology.",N/A,N/A
The Rise of Animals,['Mikhail A. Fedonkin'],2007,['Science'],"An essential resource for paleontologists, biologists, geologists, and teachers, The Rise of Animals is the best single reference on one of earth's most significant events.",N/A,N/A
Reliquiæ Diluvianæ,['William Buckland'],1823,['Caves'],N/A,N/A,N/A
Essay on the Theory of the Earth,['Georges baron Cuvier'],1822,['Science'],N/A,N/A,N/A
Scenes from Deep Time,['M. J. S. Rudwick'],1992,['Art'],"In Scenes from Deep Time, Martin J. S. Rudwick traces the earliest attempts to reconstruct the past no one has ever seen. With over 100 stunning lithographs and engravings from the eighteenth and nineteenth centuries, many reproduced here for the first time since their original publication and accompanied by portions of the original explanatory texts, Rudwick argues that scientists and artists made earth history visually compelling as evidence from nature supplanted the biblical view of the distant past.",N/A,N/A
The Geographical Distribution of Animals,['Alfred Russel Wallace'],1876,['Paleontology'],N/A,N/A,N/A
Catalog of the Genera of Recent Fishes,['William N. Eschmeyer'],1990,['Nature'],N/A,N/A,N/A
Frozen Fauna of the Mammoth Steppe,['R. Dale Guthrie'],1990,['Family & Relationships'],"This account of the discovery and examination of a mummified extinct steppe bison in loess deposits of Pleistocene age in interior Alaska near Fairbanks, gives a picture of bison evolutionary history and ecology on the 'Mammoth Steppe'.",N/A,N/A
Principles of Paleontology,"['Michael Foote', 'Arnold I. Miller']",2007,['Science'],"Michael Foote and Arnold Miller have stepped in to revise this classic text. It is their vision to take the core approach of the second edition, and reflect the substantial changes to the rudiments of the subject from the previous two decades. This third edition remains an excellent text for those studying geophysical sciences.",N/A,N/A
The Zoology of the Voyage of H.M.S. Beagle,[],1986,['Beagle Expedition'],N/A,N/A,N/A
The Dodo and Its Kindred,"['Hugh Edwin Strickland', 'Alexander Gordon Melville']",1848,['Science'],"This volume by Strickland, an English ornithologist, and Mitchell, a physician, reconstructs the habits of the extinct dodo and related birds.. Since physical remains were so few, they also relied on contemporary paintings by artists such as Roelandt Savery, many of which are reproduced in this book.",N/A,N/A
Extinct Monsters,['Henry Neville Hutchinson'],1893,['Extinct animals'],List of British localities where remains of the mammoth have been discovered p. [258]-260.,N/A,N/A
Life in Stone,['Rolf Ludvigsen'],1996,['History'],"Life in Stone is the first booik to focus on British Columbia’s fossils. Each of its chapters is written by a specialist for a general audience, and each is devoted to a separte fossil group that is particularly well represented in the province. British Columbia is a vast storehouse of fossils, many of which date back a billion years. Thousands of exposures of sedimentary rocks throughout the province contain fossil shells, scales, bones, teeth, and leaves. Some of the fossils are large and striking, among them the bones of mammals and reptiles, entire ammonoids, and complete fishes and fern fronts. But even a small fossil such as a common shell, a plant fragment, or a bit of bone becomes a unique icon once its nature and age are made clear.",N/A,N/A
Gaining Ground,['Jennifer A. Clack'],2002,['Nature'],The incredible story of how animal life emerged from the sea,4,N/A
Vertebrate Palaeontology,['Michael J. Benton'],1990,['Science'],"Presents an outline of the history of the vertebrates, based on studies by palaeontologists around the world.--",N/A,N/A
De Re Metallica,['Georg Agricola'],1912,['Metallurgy'],N/A,N/A,N/A
The Beginning of the Age of Mammals,['Kenneth D. Rose'],2006-09-26,['Business & Economics'],Publisher description,N/A,N/A
Critiques and Addresses,['Thomas Henry Huxley'],1873,['Literary Criticism'],N/A,N/A,N/A
The Testimony of the Rocks,['Hugh Miller'],1858,['Bible and geology'],N/A,N/A,N/A
The First Fossil Hunters,['Adrienne Mayor'],2000,['History'],"The fascinating story of how the fossils of dinosaurs, mammoths, and other extinct animals influenced some of the most spectacular creatures of classical mythology Griffins, Centaurs, Cyclopes, and Giants--these fabulous creatures of classical mythology continue to live in the modern imagination through the vivid accounts that have come down to us from the ancient Greeks and Romans. But what if these beings were more than merely fictions? What if monstrous creatures once roamed the earth in the very places where their legends first arose? This is the arresting and original thesis that Adrienne Mayor explores in The First Fossil Hunters. Through careful research and meticulous documentation, she convincingly shows that many of the giants and monsters of myth did have a basis in fact--in the enormous bones of long-extinct species that were once abundant in the lands of the Greeks and Romans. As Mayor shows, the Greeks and Romans were well aware that a different breed of creatures once inhabited their lands. They frequently encountered the fossilized bones of these primeval beings, and they developed sophisticated concepts to explain the fossil evidence, concepts that were expressed in mythological stories. The legend of the gold-guarding griffin, for example, sprang from tales first told by Scythian gold-miners, who, passing through the Gobi Desert at the foot of the Altai Mountains, encountered the skeletons of Protoceratops and other dinosaurs that littered the ground. Like their modern counterparts, the ancient fossil hunters collected and measured impressive petrified remains and displayed them in temples and museums; they attempted to reconstruct the appearance of these prehistoric creatures and to explain their extinction. Long thought to be fantasy, the remarkably detailed and perceptive Greek and Roman accounts of giant bone finds were actually based on solid paleontological facts. By reading these neglected narratives for the first time in the light of modern scientific discoveries, Adrienne Mayor illuminates a lost world of ancient paleontology. As Peter Dodson writes in his Foreword, ""Paleontologists, classicists, and historians as well as natural history buffs will read this book with the greatest of delight--surprises abound.""",4.5,N/A
Fossil Snakes of North America,['Charles W. Gilmore'],1938-05-14,['Paleontology'],N/A,N/A,N/A
Twilight of the Mammoths,['Paul S. Martin'],2007-05-08,['Nature'],"""Paul S. Martin's innovative ideas on late quaternary extinctions and wildlife restoration have fueled one of science's most stimulating recent debates. He expounds them vividly here, and defends them eloquently. A must-read.""—David Rains Wallace, author of Beasts of Eden ""This is a marvelous read, by a giant in American prehistory, about one of the greatest mysteries in the earth sciences.""—Tim Flannery, author of The Eternal Frontier ""Whether or not you agree with Paul Martin, he has shaped how we think about our Pleistocene ancestors and their role in transforming this planet.""—Ross D. E. MacPhee, Curator of Mammalogy, American Museum of Natural History",N/A,N/A
Fossil Legends of the First Americans,['Adrienne Mayor'],2023-04-11,['History'],"This book examines the discoveries of enormous bones and uses of fossils for medicine, hunting magic, and spells. Well before Columbus, Native Americans observed the mysterious petrified remains of extinct creatures and sought to understand their transformation to stone. In perceptive creation stories, they visualized the remains of extinct mammoths, dinosaurs, pterosaurs, and marine creatures as Monster Bears, Giant Lizards, Thunder Birds, and Water Monsters. Their insights, some so sophisticated that they anticipate modern scientific theories, were passed down in oral histories over many centuries. Drawing on historical sources, archaeology, traditional accounts, and extensive personal interviews, Adrienne Mayor takes us from Aztec and Inca fossil tales to the traditions of the Iroquois, Navajos, Apaches, Cheyennes, and Pawnees.",N/A,N/A
Geology of North America,['Jules Marcou'],1858,['Geology'],N/A,N/A,N/A
The Story of the Earth and Man,['Sir John William Dawson'],1874,['Earth (Planet)'],N/A,N/A,N/A
Bibliography and Catalogue of the Fossil Vertebrata of North America,['Oliver Perry Hay'],1902,['Paleontology'],N/A,N/A,N/A
Treatise on Invertebrate Paleontology,"['Raymond C. Moore', 'Geological Society of America']",1997,['Science'],N/A,N/A,N/A
The Rise of Placental Mammals,['Kenneth D. Rose'],2005-03-29,['Business & Economics'],Publisher description,2.5,N/A
Rereading the Fossil Record,['David Sepkoski'],2012-04-16,['Science'],"The title provides a historical account of the origin, rise, and importance of paleobiology. Drawing on a wealth of archival material, Sepkoski shows how the movement was promoted by an influential group of paleontologists and examines the intellectual, disciplinary, and political dynamics involved in the ascendancy of paleobiology.",N/A,N/A
The Testimony of the Rocks,['Hugh Miller'],1857,['Bible and geology'],N/A,N/A,N/A
"The Carboniferous of the World: China, Korea, Japan & S.E. Asia",['Robert Herman Wagner'],1983,['Geology'],N/A,N/A,N/A
The Meaning of Fossils,['M. J. S. Rudwick'],1972,['Science'],N/A,N/A,N/A
The Great Dying,['Kenneth Jinghwa Hsü'],1986,['Extinction (Biology)'],N/A,N/A,N/A
The Domestication and Exploitation of Plants and Animals,"['Peter J. Ucko', 'G. W. Dimbleby']",1969,['Agriculture'],N/A,N/A,N/A
Dinosaurs,"['David E. Fastovsky', 'David B. Weishampel']",2012-08-27,['Nature'],"Fully updated, this lively and beautifully illustrated undergraduate textbook emphasizes understanding science over memorization of dinosaur facts.",N/A,N/A
The Geographical and Geological Distribution of Animals,['Angelo Heilprin'],1887,['Paleontology'],N/A,N/A,N/A
"A History of British Fossil Mammals, and Birds",['Richard Owen'],2011-10-21,['Nature'],Richard Owen (1804-92) published this analysis of the comparative anatomy of fossils of British birds and mammals in 1846.,N/A,N/A
"Dinosaurs, Spitfires, and Sea Dragons",['Christopher McGowan'],1991,['Language Arts & Disciplines'],"McGowan attempts to solve some of the enduring mysteries about dinosaurs and other prehistoric reptiles, making fascinating comparisons between living and extinct animals, and drawing on science and engineering concepts to explain the similarities between the aerodynamics of pteradons and Spitfire planes. Illustrations.",N/A,N/A
The Prodromus of Nicolaus Steno's Dissertation Concerning a Solid Body Enclosed by Process of Nature Within a Solid,['Nicolaus Steno'],1916,['Crystallography'],N/A,N/A,N/A
Pleistocene Mammals of Europe,['Björn Kurtén'],1968,['Europe'],Handbuch/übergreifende Darstellung - Europa - Paläontologie.,N/A,N/A
Extinct Monsters and Creatures of Other Days,['Henry Neville Hutchinson'],1910,"['Animals, Fossil']",N/A,N/A,N/A
"Evolution, the Fossils Say No!",['Duane T. Gish'],1978,['Science'],N/A,N/A,N/A
Organic Remains of a Former World,['James Parkinson'],1808,"['Animals, Fossil']",N/A,N/A,N/A
Evolution,"['Joanna Cole', 'Aliki']",1989,['Evolution'],"Describes, using evidence found in fossil layers, how one-cell organisms evolved into complex plants and animals.",N/A,N/A
The Vertebrate Story,['Alfred Sherwood Romer'],1959,['Science'],"Traces the development of vertebrate animals through 400 million years describing structures, functions, habits and behavior.",N/A,N/A
Humankind Emerging,['Bernard Grant Campbell'],1988,['Science'],N/A,N/A,N/A
Old Red Sandstone ...,['Hugh Miller'],1851,['Devonian formation'],N/A,N/A,N/A
The Old Red Sandstone,['Hugh Miller'],1854,['Geology'],N/A,N/A,N/A
Organic Remains of a Former World: The vegetable kingdom,['James Parkinson'],1833,['Paleontology'],N/A,N/A,N/A
Reconstructing Quaternary Environments,"['John Lowe', 'Mike Walker', 'Mike J. C. Walker']",2014,['Science'],"""Examines the various forms of evidence used to establish the history and scale of environmenal changes during the Quaternary. This book examines a wide range palaeological indicators, and synthesises field and laboratory techniques. It is widely illustrated and employs progressive leanring techniques throughout""--",N/A,N/A
Invertebrate Palaeontology and Evolution,['E. N. K. Clarkson'],1998,['Science'],"Taking into account major advances in the field, this new edition of Invertebrate Palaeontology and Evolution builds on the success of what has become the world's most widely used undergraduate palaeontology text.",N/A,N/A
Digging Up Bones,['Don R. Brothwell'],1972,['Social Science'],N/A,N/A,N/A
The Ecology of Fossils,['W. S. McKerrow'],1978,['Nature'],N/A,5,N/A
Encyclopedia of Human Evolution and Prehistory,"['Eric Delson', 'Ian Tattersall', 'John A. Van Couvering']",2000,['Reference'],"Now widely recognised as a standard in the field, this book provides the most complete context possible for understanding the 65-million-year story of humankind's origins.",N/A,N/A
Monograph of the Palaeontographical Society,[],1860,['Paleontology'],N/A,N/A,N/A
The Age of Mammals,['Björn Kurtén'],1971,['Science'],N/A,N/A,N/A
The Ancient Life-history of the Earth,['Henry Alleyne Nicholson'],1897,['Paleontology'],N/A,N/A,N/A
Amphibian Biology,['Harold Heatwole'],2009,['Science'],"The late 20th Century and the early 21st century has been characterized by an unprecedented deterioration of the environment of the earyh and the throes of one of the major extinction events of all time. New diseases have emerged. Unmitigated deforestation,desertation,erosion and salinization of soil,pollution of water and air,and thinning of the UV-protective ozone layer constitute dire ecological threats for life on the planet. This volume contains 12 dynamic chapters reated to amphibian decline; Viral and Bacterial diseases of amphibians,Fungal Diseases; Factors affecting Interspecific variation in susceptibility to Disease ,Digenitic trematodes and their relationship to amphibian declines and deformaties,Amphibian malformations,Ultra Violet-B radiation,pollution,impact of reactive nitrogen, evaluating the impact of pesticides,endocrine disrupting chemicals,role of petrochemicals and heavy metals,acidification,and its effects and climate change.",N/A,N/A
Understanding Fossils,"['Peter Doyle', 'Florence M. D. Lowry']",1996-08-06,['Nature'],"Understanding Fossils is the first introductory level palaeontology text which demonstrates the importance of fossils in geological and biological studies, particularly in understanding evolutionary patterns, palaeoenvironmental analysis, and stratigraphy. The book contains three parts. Part One explores several key concepts: the processes of fossil preservation, the determination of evolutionary patterns, ancient ecologies and use of fossils as stratigraphical tools. Part Two introduces the main fossil groups of value in these applied fields. Each group is described with reference to their most important characters, and each has summaries of classification, evolutionary history and applications. Part Three concentrates on the examination of important case histories which demonstrate the use of fossils in diverse practical examples. Evolutionary studies, palaeoenvironmental analysis and stratigraphical applications are documented using up-to-date examples supported by overviews of the principles.",N/A,N/A
Dire Wolf,['Marc Zabludoff'],2010,['Juvenile Nonfiction'],"Another bright, warm day and the sunlight sparkles off the ripples on the surface of the sea. It practically hums with the busy motion of life. Fish of all sizes and colors glisten as they dart about, their bodies and tails vibrating from side to side. A giant is gliding through the water as well just below the surface. Its head rises above the water. The ancient king of the seas has arrived-Basilosaurus! Book jacket.",N/A,N/A
Research in China ...,['Carnegie Institution of Washington'],1913,['Geology'],N/A,N/A,N/A
Wonderful Life,['Stephen Jay Gould'],1990,['Burgess Shale (B.C.)'],N/A,N/A,N/A
