title,authors,publishedDate,categories,description,averageRating,textSnippet,language
City of Heavenly Fire,['Cassandra Clare'],2015-05-05,['Juvenile Nonfiction'],"""Darkness has descended on the Shadowhunter world. Chaos and destruction overwhelm the Nephilim as Clary, Jace, Simon, and their friends band together to fight the greatest evil they have ever faced: Clary's own brother. Nothing in this world can defeat Sebastian--but if they journey to the realm of demons, they just might have a chance..""--",5,N/A,en
Storm Born,['Richelle Mead'],2008,['Fiction'],"Just typical. No love life to speak of for months, then all at once, every horny creature in the Otherworld wants to get in your pants... Eugenie Markham is a powerful shaman who does a brisk trade banishing spirits and fey who cross into the mortal world. Mercenary, yes, but a girl's got to eat. Her most recent case, however, is enough to ruin her appetite. Hired to find a teenager who has been taken to the Otherworld, Eugenie comes face to face with a startling prophecy--one that uncovers dark secrets about her past and claims that Eugenie's first-born will threaten the future of the world as she knows it. Now Eugenie is a hot target for every ambitious demon and Otherworldy ne'er-do-well, and the ones who don't want to knock her up want her dead. Eugenie handles a Glock as smoothly as she wields a wand, but she needs some formidable allies for a job like this. She finds them in Dorian, a seductive fairy king with a taste for bondage, and Kiyo, a gorgeous shape-shifter who redefines animal attraction. But with enemies growing bolder and time running out, Eugenie realizes that the greatest danger is yet to come, and it lies in the dark powers that are stirring to life within her...",N/A,N/A,en
Michael Vey,['Richard Paul Evans'],2012-07-10,['Juvenile Fiction'],"Michael Vey seems like an ordinary teenager, but he has a unique power. After his mother is kidnapped he and his friends have to find his mother and fight the hunters to save other kids with the same powers.",4.5,N/A,en
The Screaming Staircase,['Jonathan Stroud'],2014-07-03,['Juvenile Fiction'],"""When the dead come back to haunt the living, Lockwood & Co. step in . . . For more than fifty years, the country has been affected by a horrifying epidemic of ghosts. A number of Psychic Investigations Agencies have sprung up to destroy the dangerous apparitions. Lucy Carlyle, a talented young agent, arrives in London hoping for a notable career. Instead she finds herself joining the smallest most ramshackle agency in the city, run by the charismatic Anthony Lockwood. When one of their cases goes horribly wrong, Lockwood & Co. have one last chance of redemption. Unfortunately this involves spending the night in one of the most haunted houses in England, and trying to escape alive. Set in a city stalked by spectres, The Screaming Staircase is the first in a chilling new series full of suspense, humour and truly terrifying ghosts. Your nights will never be the same again . . .""",N/A,N/A,en
The Beast,['J. R. Ward'],2016,['Fiction'],"""Rhage and Mary return in...[this] novel of the Black Dagger Brotherhood... Nothing is as it used to be for the Black Dagger Brotherhood. After avoiding war with the Shadows, alliances have shifted and lines have been drawn. The slayers of the Lessening Society are stronger than ever, preying on human weakness to acquire more money, more weapons, more power. But as the Brotherhood readies for an all-out attack on them, one of their own fights a battle within himself...""--",N/A,N/A,en
Tales of H.P. Lovecraft,['Howard Phillips Lovecraft'],2000-09-19,['Fiction'],One of America's leading novelists pays tribute to horror genre master H.P Lovecraft in this collection of Lovecraft's finest works.,N/A,N/A,en
Poison Princess,['Kresley Cole'],2012-10-02,['Juvenile Fiction'],"In the aftermath of a cataclysmic event, 16-year-old Evie, from a well-to-do Louisiana family, learns that her terrible visions are actually prophecies and that there are others like herselfNembodiments of Tarot cards destined to engage in an epic battle.",N/A,N/A,en
Red Hill Signed Limited Edition,['Jamie McGuire'],2013-10,['Fiction'],"When a deadly outbreak threatens everyone, Scarlet, Nathan, and Miranda seek shelter at the Red Hill ranch, as their relationships and instincts for survival are tested in an apocalyptic world.",N/A,N/A,en
Midnight Riot,['Ben Aaronovitch'],2011-02-01,['Fiction'],"When his ability to speak with the lingering dead brings him to the attention of Detective Chief Inspector Thomas Nightingale, who investigates paranormal crimes, Probationary Constable Peter Grant is drawn into a world where an ancient evil is making a comeback on a rising tide of murder and dark magic. Original.",N/A,N/A,en
It,['Stephen King'],2011,['Fiction'],"A thriller about a malevolent force in a small New England town that takes the shape of a clown, terrifying youngsters with their innermost fears and bringing them to untimely doom.",4.5,N/A,en
Neferet's Curse,"['P. C. Cast', 'Kristin Cast']",2013,['Fantasy fiction'],"In the third House of Night novella, the secret history we've all been waiting for is finally revealed. Neferet, the Tulsa House of Night's darkly seductive High Priestess, wasn't always a powerful vampyre, but she has always been beautiful. Raised in turn-of-the-century Chicago in a motherless home, her beauty makes her the prey of unwanted attention and abuse, leaving her with scars that will never heal - and a Darkness that will eventually need to find its way out. But when she is Marked and gains strength, both physical and magickal, she turns her anger into power and looks for a way to regain what was stolen from her. From victim to High Priestess, beautiful young woman to powerful seductress, Neferet's journey begins.",N/A,N/A,en
If Angels Burn,['Lynn Viehl'],2005,['Fiction'],"Hired by reclusive millionaire Michael Cyprien, who is in desperate need of her skills, Dr. Vanessa Killian, a renowned reconstructive surgeon, is drawn in a dark world of desire where the true nature of this mysterious, seductive man is revealed, forcing her to make a life-changing decision. Original.",N/A,N/A,en
Faerie Wars,['Herbie Brennan'],2004-09,['Fiction'],"Now available in mass-market paperback--the adventures of Henry and Pyrgus inthe magical world of the Faerie Realm that Eoin Colfer (""Artemis Fowl"") calls""an astounding blend of fantasy, mythology, and science.""",N/A,N/A,en
The Demonologist,['Gerald Brittle'],2013,['Biography & Autobiography'],The paranormal investigators from The Conjuring films reveal the religious process behind supernatural events and believe that they can happen to anyone.,N/A,N/A,en
Let the Dead Sleep,['Heather Graham'],2013-03-26,['Fiction'],"Danni Cafferty teams up with Michael Quinn, a former cop with an unusual past, to find and destroy a centuries-old bust that was stolen from a New Orleans grave, which has mysteriously appeared and disappeared from her late father's antique shop.",N/A,N/A,en
We Have Always Lived in the Castle,['Shirley Jackson'],2011,['Compulsive behavior'],"""Living in the Blackwood family home with only her sister Constance and her Uncle Julian for company, Merricat just wants to preserve their delicate way of life. But ever since Constance was acquitted of murdering the rest of the family, the world isn't leaving the Blackwoods alone. And when Cousin Charles arrives, armed with overtures of friendship and a desperate need to get into the safe, Merricat must do everything in her power to protect the remaining family.""--Cover.",N/A,N/A,en
Before I Wake,['Rachel Vincent'],2012-06-26,['Fiction'],"Killed by a paranormal monster that unsuccessfully attempted to steal her soul, Kaylee is secretly rendered an immortal being and is required to reclaim stolen souls in exchange for being allowed to exist in the human world.",N/A,N/A,en
