title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Maternity and Paternity at Work,"['Laura Addati', 'Naomi Cassirer', 'Katherine Gilchrist', 'International Labour Office']",2014,['Business & Economics'],"This report provides a picture of where we stand and what we have learned so far about maternity and paternity rights across the world. It offers a rich international comparative analysis of law and practice relating to maternity protection at work in 185 countries and territories, comprising leave, cash benefits, employment protection and non-discrimination, health protection, breastfeeding arrangements at work and childcare. Expanding on previous editions, it is based on an extensive set of new legal and statistical indicators, including coverage in law and in practice of paid maternity leave as well as statutory provision of paternity and parental leave and their evolution over the last 20 years. The report also takes account of the recent economic crisis and austerity measures. It shows how well national laws and practice conform to the ILO Maternity Protection Convention, 2000 (No. 183), its accompanying Recommendation (No. 191) and the Workers with Family Responsibilities Convention, 1981 (No. 156), and offers guidance on policy design and implementation. This report shows that a majority of countries have established legislation to protect and support maternity and paternity at work, even if those provisions do not always meet the ILO standards. One of the persistent challenges is the effective implementation of legislation, to ensure that all workers are able to benefit from these essential labour rights.",N/A,N/A,en
Parent Effectiveness Training,['Thomas Gordon'],2000,['Family & Relationships'],"Percy is incredibly accident-prone, and holds the dubious record of the most accidents. Percy has had a small rivalary with Harold, however, they are always willing to help each other when in trouble.",N/A,N/A,en
Preventive Child Psychiatry in an Age of Transitions,"['Elwyn James Anthony', 'Colette Chiland']",1980,['Family & Relationships'],N/A,N/A,N/A,en
Parents and Teachers Together,['Larry A. Rood'],1970,['Education'],N/A,N/A,N/A,en
Child Sense,['William E. Homan'],1977,['Family & Relationships'],N/A,N/A,N/A,en
Ana babalık,"['Çiçek Öztek', 'Gizem Ülker']",2020,['Child development'],N/A,N/A,N/A,tr
Anne Duyarligi Ve Cocuklarda Baglanma,['Ed Nebi Sumer'],2016-09-02,[],"Anne Davranislari Siniflandirma Seti ve Baglanma Davranislari Siniflandirma Seti Turkce Uyarlama Calismasi. Yaklasik 60 yil once, baglanma kuraminin kurucusu John Bowlby cocuk ile onu buyuten yetiskin arasindaki bagin, duygusal gelisim uzerinde yasam boyu suren etkisini tartisarak psikoloji alaninda bir devrim yaratti. Bowlby'nin kurami ve baglanma arastirmacilari sayesinde, ebeveyn davranislari ile cocuklarin tepkileri arasindaki karmasik iliskileri anlamada cok buyuk mesafe kaydedildi. Ozellikle Bati ulkelerinde yapilan baglanma arastirmalarina dayanarak cok sayida olcum araci ve uygulama yontemi gelistirildi. Baglanma kurami yillar icinde psikolojinin hem ebeveynler, hem arastirmacilar, hem de uygulamacilar tarafindan dogrudan gunluk hayata aktarilabilen en etkili kurami oldu. Anne Duyarligi ve Cocuklarda Baglanma, Turkiye'de baglanma kuramina iliskin calismalarda ihmal edilen erken doneme odaklaniyor. Nebi Sumer, Melike Sayil ve Sibel Kazak Berument'in TUBITAK (Proje No: 105K102) destegi ile uc yil boyunca yaptiklari calismada, annelerin duyarlik ve cocuklarin baglanma duzeyini kart siniflama yoluyla olcen iki temel olcme araci olan Anne Davranislari Siniflandirma Seti ve Baglanma Davranislari Siniflandirma Seti Turkceye uyarlanip kapsamli olarak inceleniyor. Turkiye'de baglanma ve ebeveyn davranislari alanindaki arastirmalara ve uygulamalara degerli katkida bulunacak el kitabi niteliginde, onemli bir kaynak.",N/A,N/A,tr
Young Mothers' Media Use,['Alysha Ashbourne'],2017,['Family and relationships'],"Although the effects of social media usage on the individual has been studied, the specific impact of social media use on young mothers has not directly been examined in a parenting context. The aim of this literature review was to explore the impact social media has on a young mother's parenting, with regard to their involvement and interaction with their child (ren). The variables associated with young mother's parenting and social media usage are parenting stress, parenting style, maternal satisfaction, and psychological well-being. Twenty-four studies met the inclusion criterion and specifically examined social media usage by mothers. Results revealed an indirect relationship among parenting stress and the participation in social media sites. Mothers who used social media sites were likely to experience less parenting stress and more likely to build a social support system, however, higher rates of social media usage increased parenting stress. The results indicated that social media could potentially enhance or decrease mother-child interaction. The interaction is enhanced when mothers use social media for informative parental information. The mother-child interaction is decreased when mothers spend more time online and neglect childcare or household duties. As the cyberworld is constantly growing, this literature review aids in building a foundation for future research on young mothers' social media usage and parenting.",N/A,N/A,en
Are You Ready Now for Another Child?,['Francesca Luppi'],2014,"['Fertility, Human']","""The research aims to study the relationship between fertility and subjective wellbeing on a sample of Australian couples (source: HILDA 2001-2009), followed since the year of the pregnancy of the first child. In particular, I focus on whether the arrival of the first child modifies new parents' fertility expectations and the subsequent probability to experience a second childbirth, as a consequence of the changes in couple's subjective wellbeing after the transition to the first parenthood.""--Author abstract.",N/A,N/A,en
Exploration of Psychosocial Coping Strategies Towards Parental Role-changes in Single Parenthood Among Montsiwa Stad Clinic Parents in Mafikeng North West Province,['Gladys Shadi Tlapu'],2010,['Child rearing'],N/A,N/A,N/A,en
