title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The 7 Habits of Highly Effective People,['Stephen R. Covey'],2013-11-19,['Business & Economics'],"Previously published: New York: Free Press, c2004.",3,N/A,en
"Collected Works of C.G. Jung, Volume 6",['C. G. Jung'],1976-10-21,['Psychology'],Jung explains his system of personality types and how they can assist in diagnosing and treating psychological disorders and conditions.,N/A,N/A,en
Positions,['Jacques Derrida'],1982-11-15,['Biography & Autobiography'],A collection of three interviews granted by Derrida that serve to clarify his thought and writing.,5,N/A,en
Handbook of Personality Psychology,"['Robert Hogan', 'John A. Johnson', 'Stephen R. Briggs']",1997,['Medical'],"The most comprehensive single volume ever published on the subject, the Handbook of Personality Psychology is the end-all, must-have reference work for personality psychologists. This handbook discusses the development and measurement of personality as well as biological and social determinants, dynamic personality processes, the personality's relation to the self, and personality in relation to applied psychology. Authored by the field's most respected researchers, each chapter provides a concise summary of the subject to date. Topics include such areas as individual differences, stability of personality, evolutionary foundations of personality, cross-cultural perspectives, emotion, psychological defenses, and the connection between personality and health. Intended for an advanced audience, the Handbook of Personality Psychology will be your foremost resource in this diverse field. Chapter topics include : * Nature of personality psychology * Conceptual and measurement issues in personality * Developmental issues * Biological determinants of personality * Social determinants of personality * Dynamic personality processes * Personality and the self * The Five Factor Model * Applied psychology.",N/A,N/A,en
Self-Esteem,['Roy F. Baumeister'],2013-11-11,['Psychology'],"Summarizing and integrating the major empirical research of the past twenty years, this volume presents a thorough review of the subject, with a special focus on what sets people with low self-esteem apart from others. As the subject is central to the understanding of personality, mental health, and social adjustment, this work will be appreciated by professionals and advanced students in the fields of personality, social, clinical, and organizational psychology.",3,N/A,en
Personality Types,['Daryl Sharp'],1987,['Psychology'],Explains the model of psychological types elaborated by C.G. Jung. -- Back cover.,3,N/A,en
Self-Understanding in Childhood and Adolescence,"['William Damon', 'Daniel Hart']",1991-10-25,['Psychology'],"Reports data from several cross-sectional and longitudinal studies of children's and adolescent's self conceptions and presents new methods for interviewing children about themselves and for analyzing their responses for developmental level and schematic orientation. Annotation copyrighted by Book News, Inc., Portland, OR",N/A,N/A,en
Steppenwolf,['Hermann Hesse'],1998,['Alienation (Social psychology)'],"In postwar Germany, a fifty-year-old man regards himself as a dual personality, half man and half wolf.",N/A,N/A,en
Oxford Handbook of Positive Psychology,"['C. R. Snyder', 'Shane J. Lopez']",2009,['Psychology'],"The Oxford Handbook of Positive Psychology is the seminal reference in the field of positive psychology, which in recent years has transcended academia to capture the imagination of the general public. The handbook provides a roadmap for the psychology needed by the majority of the population -- those who don't need treatment but want to achieve the lives to which they aspire. These 65 chapters summarize all of the relevant literature in the field. The content's breadth and depth provide an unparalleled cross-disciplinary look at positive psychology from diverse fields and all branches of psychology, including social, clinical, personality, counseling, school, and developmental psychology. Topics include not only happiness but also hope, strengths, positive emotions, life longings, creativity, emotional creativity, courage, and more, plus guidelines for applying what has worked for people across time and cultures.",N/A,N/A,en
Personality Traits,"['Gerald Matthews', 'Ian J. Deary', 'Martha C. Whiteman']",2003-12-04,['Psychology'],"This second edition of the bestselling textbook Personality Traits is an essential text for students doing courses in personality psychology and individual differences. The authors have updated the volume throughout, incorporating the latest research in the field, and added three new chapters on personality across the lifespan, health and applications of personality assessment. Personality research has been transformed by recent advances in our understanding of personality traits. This book reviews the origins of traits in biological and social processes, and their consequences for cognition, stress, and physical and mental health. Contrary to the traditional view of personality research as a collection of disconnected theories, Personality Traits provides an integrated account, linking theory-driven research with applications in clinical and occupational psychology. The new format of the book, including many additional features, makes it even more accessible and reader friendly.",2.5,N/A,en
The Social Psychology of Communication,"['D. Hook', 'B. Franks', 'M. Bauer']",2016-04-30,['Psychology'],"This is the first comprehensive text on social psychological approaches to communication, providing an excellent introduction to theoretical perspectives, special topics, and applied areas and practice in communication. Bringing together scholars of international reputation, this book provides a unique contribution to the field.",N/A,N/A,en
To Have Or To Be?,['Erich Fromm'],2013-06-27,['Philosophy'],"Fromm gennemgår forskellen mellem begreberne at have og at være og mener, at hvis alle tilslutter sig en ""værende"" livsform, vil et nyt og sundere samfund opstå",N/A,N/A,en
Psycho-Social Analysis of the Indian Mindset,['Jai B.P. Sinha'],2014-10-17,['Psychology'],"​This volume situates Indians in the contemporary world and profiles the major facets of their thought and behaviour; then goes back to trace their roots to ancient thought to see how the past predisposes and the present guides Indians in their everyday life. The volume begins with a conceptual framework showing how the Indian worldview has encompassed and enveloped a variety of ideas and influences from divergent sources. As a result, Indians are both collectivists and individualists, hierarchically oriented while respecting merit and quality, religious as well as secular and sexually indulgent, spiritual as well as materialists, excessively dependent but remarkably entrepreneurial, non-violent in principle but violent in practice and comfortable in shifting between analytical, synthetic as well as intuitive approaches to reality. Such a coexistence of opposites often causes inaction, hesitation and perfunctory action, but also equips Indians to be innovative by continuously aligning their thought and behaviour to the demands of a milieu. The milieu has an inner layer consisting of desh (place), kaal (time) and paatra (person), which are embedded in the larger societal contexts of castes and classes, poverty, corruption, fragmenting politics, conflicts and violence and unfolding global opportunities and challenges. Cultural heritage permeates in all these. Indians function in this tiered, multifactorial, dynamic space. This volume draws evidence from ancient texts and the latest national and international research, many of which were conducted by the author and his associates. It does not, however, hesitate to indulge in anecdotal evidence, cases and speculative ideas in order to complete the picture. The author takes an in-depth view of the Indian mindset without getting the reader lost in either the intricacies of ancient philosophical abyss or the trivialities of present-day non-events.",N/A,N/A,en
"Selected Writings of Edward Sapir in Language, Culture and Personality",['Edward Sapir'],1949,['Language Arts & Disciplines'],Sapir was skillfull at analyzing unwritten languages on the basis of his own fieldwork. He contributed significantly to the mapping of languages and cultures of native America.,N/A,N/A,en
How to Win Friends and Influence People,['Dale Carnegie'],1956,['Characters and characterist'],This practical guide to pleasing people in business or in society cites examples of successes or failures of well-known people.,N/A,N/A,en
Psychobiology of Personality,['Marvin Zuckerman'],1991-05-31,['Psychology'],"Personality can be defined along a small number of well established dimensions, at least half of which are determined by hereditary factors. This book explores the biological basis of individual differences in personality from genes to the structure, chemistry, and function of the brain and peripheral nervous system.",N/A,N/A,en
The Invention of Culture,['Roy Wagner'],1975,['History'],"""Analyzing 'culture' and other concepts of anthropology, the author presents a fresh view of American society through its cultic interpretation of cultural ideals in advertising, entertainment, the media, etc. He compares this self-conscious 'invention of culture' with the improvisatory invention of tribal and mature class-based societies. He deals with comparative cultural realities and the self-deception that is necessary in order to realize them""--Book jacket.",N/A,N/A,en
Personality and Interpersonal Behavior,['Robert Freed Bales'],1969,['Psychology'],N/A,N/A,N/A,en
"Who Are You, Really?",['Brian R. Little'],2017-08-15,"['Body, Mind & Spirit']","""Traditionally, scientists have emphasized what they call the first and second natures of personality--genes and culture, respectively. But today the field of personality science has moved well beyond the nature vs. nurture debate. In Who Are You, Really? Dr. Brian Little presents a distinctive view of how personality shapes our lives--and why this matters. Little makes the case for a third nature to the human condition--the pursuit of personal projects, idealistic dreams, and creative ventures that shape both people's lives and their personalities. Little uncovers what personality science has been discovering about the role of personal projects, revealing how this new concept can help people better understand themselves and shape their lives""--Provided by publisher.",N/A,N/A,en
Quick Guide to the 16 Personality Types in Organizations,['Linda V. Berens'],2001,['Business & Economics'],N/A,N/A,N/A,en
The Farther Reaches of Human Nature,['Abraham Harold Maslow'],1976,['Psychology'],"With essays on biology, synergy, creativity, cognition, self-actualization, and the hierarchy of needs, this work is a wide-ranging synthesis of Maslow's inspiring and influential ideas. Copyright © Libri GmbH. All rights reserved.",N/A,N/A,en
Multilingual Living,['C. Burck'],2004-12-07,['Language Arts & Disciplines'],"Multilingual Living presents speakers' own accounts of the challenges and advantages of living in several languages at individual, family and societal levels. Individuals note profound differences in their sense of themselves, their relationships and their parenting, depending on which language they use.",N/A,N/A,en
The 7 Habits of Highly Effective People,"['Stephen R. Covey', 'Sean Covey']",2020-06,[],"The 7 habits have become famous and are integrated into everyday thinking by millions and millions of people. Why? Because they work! With Sean Covey's added takeaways on how the habits can be used in our modern age, the wisdom of the 7 habits will be refreshed for a new generation of leaders. They include: Habit 1: Be Proactive Habit 2: Begin with the End in Mind Habit 3: Put First Things First Habit 4: Think Win/Win Habit 5: Seek First to Understand, Then to Be Understood Habit 6: Synergize Habit 7: Sharpen the Saw This beloved classic presents a principle-centered approach for solving both personal and professional problems. With penetrating insights and practical anecdotes, Stephen R. Covey reveals a step-by-step pathway for living with fairness, integrity, honesty, and human dignity--principles that give us the security to adapt to change and the wisdom and power to take advantage of the opportunities that change creates.",N/A,N/A,en
Being a Character,['Christopher Bollas'],1993,['Psychology'],"Taking Freud's model of dreamwork as a model for all unconscious thinking, Bollas argues that we dreamwork ourselves into becoming who we are. He illustrates how patient and analyst can use such unconscious processes to alter self experience.",3,N/A,en
Toward a Psychology of Being,['Abraham Harold Maslow'],1968,['Humanistic psychology'],"In this second edition of Toward A Psychology of Being, there is a constant optimistic thrust toward a future based on the intrinsic values of humanity.",N/A,N/A,en
'Honour' Killing and Violence,"['Aisha K. Gill', 'C. Strange', 'K. Roberts']",2014-05-07,['Psychology'],"In this interdisciplinary collection leading experts and scholars from criminology, psychology, law and history provide a compelling analysis of practices and beliefs that lead to violence against women, men and children in the name 'honour'.",N/A,N/A,en
How Win Friends (749307846) Ceda,['Dale Carnegie'],1986-05-01,['Success'],N/A,N/A,N/A,en
"Mind, Character, and Personality",['Ellen Gould Harmon White'],2001,['Character'],N/A,N/A,N/A,en
A Secure Base,['John Bowlby'],2005,['Family & Relationships'],"Dr John Bowlby, a truly international and outstanding writer, presents the fruits of current research in attachment theory and provides an up to date outline of its main features in this new collection of lectures. In this collection of lectures Dr Bowlby describes recent findings, and gives an outline of the main features of attachment theory, now widely recognised as a most productive conceptual framework within which to organise the evidence. In the final lecture he shows how this knowledge, when applied to analytically oriented psychotherapy, helps both to clarify the aims of therapy and to guide the therapist in his or her own work. This collection will be welcomed by students as a lucid introduction to the field, by professionals who are still unfamiliar with recent developments, as well as by those eager to extend their existing knowledge.",N/A,N/A,en
