title,authors,publishedDate,categories,description,averageRating,textSnippet,language
Parrots,"['Tony Juniper', 'Mike Parr']",1998,['Pets'],"This volume is dedicated primarily to the field identification of parrots, with illustrations of every species and the most identifiable subspecies.",N/A,N/A,en
The Domestic Dog,['James Serpell'],1995,['Nature'],"A scientific analysis of dogs, their behaviour, and their relationships with humans.",4.5,N/A,en
Free-Ranging Dogs and Wildlife Conservation,['Matthew E. Gompper'],2014,['Nature'],"This edited volume adopts a global perspective to review how dogs interact with wildlife, how humans perceive these interactions, the potential importance of dog-wildlife interactions, and the scope of the problems.",N/A,N/A,en
When Cats Reigned Like Kings,['Georgie Anne Geyer'],2012,['Nature'],"Originally published: Kansas City: Andrews McMeel Pub., c2004.",N/A,N/A,en
The Lion in the Living Room,['Abigail Tucker'],2016-10-18,['Nature'],"Cats are incredible creatures: they can eat practically anything and live almost anywhere. Tracing their rise from prehistory to the modern cat craze, Abigail Tucker presents an adventure through history, natural science, and pop culture. With keen reporting and lively wit, Tucker investigates the way house cats have used their relationship with humans to become one of the most powerful animals on the planet--",N/A,N/A,en
The Barnabus Project,"['Terry Fan', 'Eric Fan', 'Devin Fan']",2020-10-06,['Juvenile Nonfiction'],"In a world built for Perfect Pets, Barnabus is a Failed Project, half mouse, half elephant, kept out of sight until his dreams of freedom lead him and his misfit friends on a perilous adventure. A stunning picture book from international bestsellers The Fan Brothers, joined by their brother Devin Fan. Deep underground beneath Perfect Pets, where children can buy genetically engineered ""perfect"" creatures, there is a secret lab. Barnabus and his friends live in this lab, but none of them are perfect. They are all Failed Projects. Barnabus has never been outside his tiny bell jar, yet he dreams of one day seeing the world above ground that his pal Pip the cockroach has told him about: a world with green hills and trees, and buildings that reach all the way to the sky, lit with their own stars. But Barnabus may have to reach the outside world sooner than he thought, because the Green Rubber Suits are about to recycle all Failed Projects . . . and Barnabus doesn't want to be made into a fluffier pet with bigger eyes. He just wants to be himself. So he decides it's time for he and the others to escape. With his little trunk and a lot of cooperation and courage, Barnabus sets out to find freedom - and a place where he and his friends can finally be accepted for who they are. This suspenseful, poignant and magical story about following your dreams and finding where you truly belong will draw readers into a surreal, lushly detailed world in which perfection really means being true to yourself and your friends. 'A stately, cathartic morality tale about freeing oneself from the tyranny of wanting to be perfect.' --The Financial Times 'ingeniously imaginative' -- School Library Journal 'A heartfelt, timely allegory celebrating diversity, bravery, and solidarity.'-- Kirkus",N/A,N/A,en
The Genius of Dogs,"['Brian Hare', 'Vanessa Woods']",2013-02-05,['Pets'],"The perfect gift for dog lovers and readers of Inside of a Dog by Alexandra Horowitz—this New York Times bestseller offers mesmerizing insights into the thoughts and lives of our smartest and most beloved pets. Does your dog feel guilt? Is she pretending she can't hear you? Does she want affection—or just your sandwich? In their New York Times bestselling book Th­e Genius of Dogs, husband and wife team Brian Hare and Vanessa Woods lay out landmark discoveries from the Duke Canine Cognition Center and other research facilities around the world to reveal how your dog thinks and how we humans can have even deeper relationships with our best four-legged friends. Breakthroughs in cognitive science have proven dogs have a kind of genius for getting along with people that is unique in the animal kingdom. This dog genius revolution is transforming how we live and work with dogs of all breeds, and what it means for you in your daily life with your canine friend.",N/A,N/A,en
Working Sheep Dogs,['Tully Williams'],2007-04-26,['Science'],"Working Sheep Dogs examines and illuminates every aspect of the high-quality working dog. It provides a detailed discussion of the principles behind the training of working dogs, and reveals little-known methods for training and handling sheep dogs in the most effortless manner. The text is divided into six major sections covering the instincts of the working dog, breeding, principles of training, methods of training, handling livestock and sheep dog trials. Photographs and line drawings help to illustrate best techniques when training dogs, such as how to teach dogs to cast, muster and drive. Containing the first comprehensive breakdown and analysis of the instincts of the working dog, and discussing the various principles and methods of their breeding, this book is a practical reference for farmers and stockmen, hobby and lifestyle farmers, sheep dog trial competitors and breeders of working dogs.",5,N/A,en
Chimpanzee Politics,"['Frans de Waal', 'Frans B. M. Waal']",1998,['Chimpanzees'],"First published in 1982, ""Chimpanzee Politics"" helped to establish the now accepted view that the higher animals experience desires, intentions, and even consciousness. With this edition, de Waal brings his revealing study of primate politics up to date. 147 illustrations. in color.",N/A,N/A,en
Empire of Dogs,['Aaron Skabelund'],2011-12-15,['History'],"In 1924, Professor Ueno Eizaburo of Tokyo Imperial University adopted an Akita puppy he named Hachiko. Each evening Hachiko greeted Ueno on his return to Shibuya Station. In May 1925 Ueno died while giving a lecture. Every day for over nine years the Akita waited at Shibuya Station, eventually becoming nationally and even internationally famous for his purported loyalty. A year before his death in 1935, the city of Tokyo erected a statue of Hachiko outside the station. The story of Hachiko reveals much about the place of dogs in Japan's cultural imagination. In the groundbreaking Empire of Dogs, Aaron Herald Skabelund examines the history and cultural significance of dogs in nineteenth- and twentieth-century Japan, beginning with the arrival of Western dog breeds and new modes of dog keeping, which spread throughout the world with Western imperialism. He highlights how dogs joined with humans to create the modern imperial world and how, in turn, imperialism shaped dogs' bodies and their relationship with humans through its impact on dog-breeding and dog-keeping practices that pervade much of the world today. In a book that is both enlightening and entertaining, Skabelund focuses on actual and metaphorical dogs in a variety of contexts: the rhetorical pairing of the Western ""colonial dog"" with native canines; subsequent campaigns against indigenous canines in the imperial realm; the creation, maintenance, and in some cases restoration of Japanese dog breeds, including the Shiba Inu; the mobilization of military dogs, both real and fictional; and the emergence of Japan as a ""pet superpower"" in the second half of the twentieth century. Through this provocative account, Skabelund demonstrates how animals generally and canines specifically have contributed to the creation of our shared history, and how certain dogs have subtly influenced how that history is told. Generously illustrated with both color and black-and-white images, Empire of Dogs shows that human-canine relations often expose how people—especially those with power and wealth—use animals to define, regulate, and enforce political and social boundaries between themselves and other humans, especially in imperial contexts.",N/A,N/A,en
